"","Time","Boston","","Score","","Milwaukee"
"349","2:30.0","Offensive foul by D. Theis (drawn by G. Hill)","","68-78","",""
"350","2:30.0","Turnover by D. Theis (offensive foul)","","68-78","",""
"351","2:30.0","M. Smart enters the game for D. Theis","","68-78","",""
"352","2:30.0","","","68-78","","B. Portis enters the game for G. Antetokounmpo"
"353","2:16.0","","","68-78","","Offensive foul by J. Holiday (drawn by D. White)"
"354","2:16.0","","","68-78","","Turnover by J. Holiday (offensive foul)"
"355","2:16.0","","","68-78","","P. Connaughton enters the game for B. Portis"
"356","2:04.0","J. Brown makes 2-pt jump shot from 4 ft","+2","70-78","",""
"357","1:51.0","","","70-78","","J. Holiday misses 2-pt jump shot from 22 ft"
"358","1:48.0","Defensive rebound by J. Brown","","70-78","",""
"359","1:47.0","Offensive foul by J. Brown (drawn by J. Holiday)","","70-78","",""
"360","1:47.0","Turnover by J. Brown (offensive foul)","","70-78","",""
"361","1:47.0","","","70-78","","Milwaukee full timeout"
"362","1:47.0","","","70-78","","Instant Replay (Challenge: Ruling Stands)"
"363","1:47.0","P. Pritchard enters the game for J. Brown","","70-78","",""
"364","1:33.0","","","70-78","","Shooting foul by M. Smart (drawn by J. Holiday)"
"365","1:33.0","","","70-79","+1","J. Holiday makes free throw 1 of 2"
"366","1:33.0","","","70-80","+1","J. Holiday makes free throw 2 of 2"
"367","1:16.0","J. Tatum misses 3-pt jump shot from 26 ft","","70-80","",""
"368","1:13.0","","","70-80","","Defensive rebound by J. Holiday"
"369","0:59.0","","","70-80","","J. Holiday misses 2-pt jump shot from 18 ft"
"370","0:57.0","Defensive rebound by J. Tatum","","70-80","",""
"371","0:53.0","D. White makes 3-pt jump shot from 23 ft (assist by M. Smart)","+3","73-80","",""
"372","0:39.0","","","73-80","","Turnover by B. Lopez (traveling)"
"373","0:39.0","","","73-80","","G. Antetokounmpo enters the game for B. Lopez"
"374","0:32.0","J. Tatum misses 3-pt jump shot from 28 ft","","73-80","",""
"375","0:28.0","","","73-80","","Defensive rebound by G. Antetokounmpo"
"376","0:19.0","","","73-80","","P. Connaughton misses 3-pt jump shot from 28 ft"
"377","0:19.0","Defensive rebound by A. Horford","","73-80","",""
"378","0:01.0","A. Horford misses 3-pt jump shot from 24 ft","","73-80","",""
"379","0:01.0","","","73-80","","Defensive rebound by P. Connaughton"
"380","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"381","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"382","Time","Boston","","Score","","Milwaukee"
"383","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"384","11:49.0","","","73-80","","J. Holiday misses 3-pt jump shot from 26 ft"
"385","11:46.0","Defensive rebound by M. Smart","","73-80","",""
"386","11:30.0","A. Horford makes 2-pt jump shot from 16 ft (assist by M. Smart)","+2","75-80","",""
"387","11:10.0","","","75-80","","G. Antetokounmpo misses 2-pt jump shot from 11 ft"
"388","11:08.0","Defensive rebound by J. Tatum","","75-80","",""
"389","10:54.0","M. Smart misses 2-pt layup from 3 ft","","75-80","",""
"390","10:52.0","","","75-80","","Defensive rebound by G. Antetokounmpo"
"391","10:52.0","","","75-80","","Personal take foul by D. White (drawn by G. Antetokounmpo)"
"392","10:36.0","","","75-80","","G. Antetokounmpo misses 2-pt jump shot from 19 ft"
"393","10:32.0","Defensive rebound by J. Tatum","","75-80","",""
"394","10:25.0","M. Smart makes 3-pt jump shot from 27 ft (assist by D. White)","+3","78-80","",""
"395","10:01.0","","","78-80","","J. Holiday misses 2-pt layup from 5 ft"
"396","9:59.0","Defensive rebound by A. Horford","","78-80","",""
"397","9:51.0","A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart)","+2","80-80","",""
"398","9:51.0","Shooting foul by G. Antetokounmpo (drawn by A. Horford)","","80-80","",""
"399","9:51.0","Instant Replay (Request: Ruling Stands)","","80-80","",""
"400","9:51.0","Technical foul by A. Horford","","80-80","",""
"401","9:51.0","","","80-81","+1","J. Holiday makes technical free throw"
"402","9:51.0","","","80-81","","B. Lopez enters the game for G. Allen"
"403","9:51.0","","","80-81","","W. Matthews enters the game for P. Connaughton"
"404","9:51.0","A. Horford makes free throw 1 of 1","+1","81-81","",""
"405","9:39.0","","","81-81","","Shooting foul by J. Tatum (drawn by B. Lopez)"
"406","9:39.0","","","81-82","+1","B. Lopez makes free throw 1 of 2"
"407","9:39.0","","","81-83","+1","B. Lopez makes free throw 2 of 2"
"408","9:28.0","Turnover by M. Smart (bad pass; steal by W. Matthews)","","81-83","",""
"409","9:22.0","","","81-85","+2","B. Lopez makes 2-pt dunk at rim (assist by G. Hill)"
"410","9:08.0","A. Horford makes 2-pt jump shot from 14 ft (assist by D. White)","+2","83-85","",""
"411","8:52.0","","","83-85","","Personal foul by M. Smart (drawn by B. Lopez)"
"412","8:37.0","","","83-85","","Turnover by G. Antetokounmpo (bad pass; steal by P. Pritchard)"
"413","8:31.0","D. White makes 2-pt layup from 2 ft (assist by P. Pritchard)","+2","85-85","",""
"414","8:15.0","","","85-85","","J. Holiday misses 2-pt jump shot from 19 ft"
"415","8:12.0","Defensive rebound by P. Pritchard","","85-85","",""
"416","8:08.0","A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum)","+3","88-85","",""
"417","8:01.0","","","88-85","","Milwaukee full timeout"
"418","8:01.0","","","88-85","","P. Connaughton enters the game for G. Hill"
"419","7:46.0","","","88-85","","G. Antetokounmpo misses 2-pt layup from 3 ft (block by D. White)"
"420","7:46.0","","","88-85","","Offensive rebound by Team"
"421","7:41.0","","","88-87","+2","B. Lopez makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo)"
"422","7:27.0","M. Smart makes 2-pt jump shot from 6 ft","+2","90-87","",""
"423","7:06.0","","","90-89","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"424","6:45.0","P. Pritchard misses 3-pt jump shot from 24 ft","","90-89","",""
"425","6:41.0","","","90-89","","Defensive rebound by J. Holiday"
"426","6:29.0","","","90-92","+3","P. Connaughton makes 3-pt jump shot from 26 ft (assist by J. Holiday)"
"427","6:09.0","J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford)","+2","92-92","",""
"428","6:02.0","","","92-94","+2","G. Antetokounmpo makes 2-pt layup from 3 ft (assist by J. Holiday)"
"429","6:02.0","","","92-94","","Shooting foul by A. Horford (drawn by G. Antetokounmpo)"
"430","6:02.0","J. Brown enters the game for P. Pritchard","","92-94","",""
"431","6:02.0","","","92-94","","G. Antetokounmpo misses free throw 1 of 1"
"432","5:57.0","Defensive rebound by D. White","","92-94","",""
"433","5:40.0","A. Horford makes 3-pt jump shot from 23 ft (assist by J. Tatum)","+3","95-94","",""
"434","5:21.0","","","95-94","","G. Antetokounmpo misses 2-pt hook shot from 7 ft"
"435","5:19.0","","","95-94","","Offensive rebound by B. Lopez"
"436","5:18.0","","","95-94","","B. Lopez misses 2-pt layup from 3 ft"
"437","5:15.0","Defensive rebound by A. Horford","","95-94","",""
"438","5:09.0","A. Horford makes 2-pt hook shot from 4 ft (assist by D. White)","+2","97-94","",""
"439","5:09.0","Shooting foul by B. Lopez (drawn by A. Horford)","","97-94","",""
"440","5:09.0","Boston full timeout","","97-94","",""
"441","5:09.0","","","97-94","","G. Hill enters the game for G. Antetokounmpo"
"442","5:09.0","A. Horford makes free throw 1 of 1","+1","98-94","",""
"443","4:47.0","","","98-96","+2","B. Lopez makes 2-pt dunk from 3 ft (assist by J. Holiday)"
"444","4:29.0","J. Tatum makes 2-pt layup from 1 ft","+2","100-96","",""
"445","4:21.0","","","100-96","","J. Holiday misses 3-pt jump shot from 27 ft"
"446","4:20.0","Defensive rebound by Team","","100-96","",""
"447","4:20.0","","","100-96","","G. Antetokounmpo enters the game for P. Connaughton"
"448","4:06.0","J. Tatum makes 2-pt jump shot from 6 ft","+2","102-96","",""
"449","4:06.0","Shooting foul by G. Hill (drawn by J. Tatum)","","102-96","",""
"450","4:06.0","J. Tatum makes free throw 1 of 1","+1","103-96","",""
"451","3:54.0","","","103-96","","Offensive foul by G. Antetokounmpo (drawn by M. Smart)"
"452","3:54.0","","","103-96","","Turnover by G. Antetokounmpo (offensive foul)"
"453","3:33.0","J. Tatum makes 3-pt jump shot from 27 ft","+3","106-96","",""
"454","3:24.0","","","106-96","","Milwaukee full timeout"
"455","3:24.0","G. Williams enters the game for J. Brown","","106-96","",""
"456","3:24.0","","","106-96","","G. Allen enters the game for B. Lopez"
"457","3:13.0","","","106-99","+3","G. Allen makes 3-pt jump shot from 26 ft (assist by J. Holiday)"
"458","3:05.0","Boston full timeout","","106-99","",""
"459","3:05.0","J. Brown enters the game for G. Williams","","106-99","",""
"460","2:50.0","J. Tatum makes 2-pt layup from 5 ft","+2","108-99","",""
"461","2:42.0","","","108-102","+3","W. Matthews makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo)"
"462","2:18.0","J. Tatum misses 2-pt jump shot from 13 ft","","108-102","",""
"463","2:15.0","","","108-102","","Defensive rebound by J. Holiday"
"464","2:07.0","","","108-102","","J. Holiday misses 2-pt layup from 4 ft"
"465","2:05.0","","","108-102","","Offensive rebound by G. Allen"
"466","2:05.0","","","108-102","","G. Allen misses 3-pt jump shot from 27 ft"
"467","2:03.0","Defensive rebound by Team","","108-102","",""
"468","1:44.0","M. Smart makes 2-pt jump shot from 5 ft","+2","110-102","",""
"469","1:32.0","","","110-102","","W. Matthews misses 2-pt jump shot from 4 ft"
"470","1:32.0","Defensive rebound by D. White","","110-102","",""
"471","1:27.0","Shooting foul by G. Antetokounmpo (drawn by J. Brown)","","110-102","",""
"472","1:27.0","J. Brown makes free throw 1 of 2","+1","111-102","",""
"473","1:27.0","J. Brown makes free throw 2 of 2","+1","112-102","",""
"474","1:27.0","","","112-102","","Milwaukee full timeout"
"475","1:27.0","","","112-102","","B. Lopez enters the game for G. Hill"
"476","1:19.0","","","112-104","+2","B. Lopez makes 2-pt dunk from 1 ft (assist by J. Holiday)"
"477","0:58.0","M. Smart makes 2-pt jump shot from 8 ft","+2","114-104","",""
"478","0:49.0","","","114-106","+2","G. Antetokounmpo makes 2-pt hook shot from 12 ft"
"479","0:43.0","Personal take foul by B. Lopez (drawn by D. White)","","114-106","",""
"480","0:43.0","D. White makes free throw 1 of 2","+1","115-106","",""
"481","0:43.0","D. White makes free throw 2 of 2","+1","116-106","",""
"482","0:43.0","","","116-106","","Milwaukee full timeout"
"483","0:43.0","D. Theis enters the game for A. Horford","","116-106","",""
"484","0:43.0","","","116-106","","T. Antetokounmpo enters the game for G. Allen"
"485","0:43.0","","","116-106","","J. Carter enters the game for G. Antetokounmpo"
"486","0:43.0","","","116-106","","J. Nwora enters the game for J. Holiday"
"487","0:43.0","","","116-106","","R. Tucker enters the game for B. Lopez"
"488","0:43.0","","","116-106","","L. Vildoza enters the game for W. Matthews"
"489","0:19.0","","","116-108","+2","R. Tucker makes 2-pt layup from 2 ft"
"490","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
