"","Time","Boston","","Score","","Milwaukee"
"75","3:49.0","J. Brown misses 3-pt jump shot from 27 ft","","11-19","",""
"76","3:46.0","","","11-19","","Defensive rebound by P. Connaughton"
"77","3:33.0","","","11-19","","J. Holiday misses 2-pt jump shot from 5 ft"
"78","3:29.0","","","11-19","","Offensive rebound by J. Holiday"
"79","3:29.0","","","11-19","","J. Holiday misses 2-pt layup at rim"
"80","3:28.0","Defensive rebound by G. Williams","","11-19","",""
"81","3:23.0","Turnover by G. Williams (bad pass; steal by J. Holiday)","","11-19","",""
"82","3:19.0","","","11-21","+2","G. Allen makes 2-pt layup from 2 ft (assist by J. Holiday)"
"83","3:19.0","Boston full timeout","","11-21","",""
"84","3:19.0","A. Horford enters the game for J. Brown","","11-21","",""
"85","3:19.0","J. Tatum enters the game for G. Williams","","11-21","",""
"86","3:02.0","J. Tatum makes 2-pt jump shot from 14 ft","+2","13-21","",""
"87","2:46.0","","","13-21","","J. Holiday misses 2-pt jump shot from 15 ft"
"88","2:44.0","Defensive rebound by J. Tatum","","13-21","",""
"89","2:39.0","D. Theis misses 3-pt jump shot from 25 ft","","13-21","",""
"90","2:35.0","","","13-21","","Defensive rebound by B. Portis"
"91","2:14.0","","","13-21","","G. Allen misses 2-pt jump shot from 10 ft"
"92","2:13.0","","","13-21","","Offensive rebound by B. Portis"
"93","2:09.0","","","13-21","","J. Holiday misses 3-pt jump shot from 27 ft"
"94","2:06.0","Defensive rebound by D. Theis","","13-21","",""
"95","1:57.0","A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart)","+3","16-21","",""
"96","1:38.0","","","16-21","","B. Portis misses 2-pt hook shot from 6 ft"
"97","1:36.0","","","16-21","","Offensive rebound by B. Lopez"
"98","1:33.0","","","16-21","","B. Lopez misses 3-pt jump shot from 23 ft"
"99","1:32.0","","","16-21","","Offensive rebound by Team"
"100","1:32.0","","","16-21","","Turnover by Team (shot clock)"
"101","1:32.0","","","16-21","","G. Antetokounmpo enters the game for G. Allen"
"102","1:32.0","","","16-21","","G. Hill enters the game for J. Holiday"
"103","1:32.0","","","16-21","","W. Matthews enters the game for B. Portis"
"104","1:16.0","D. Theis misses 2-pt dunk from 5 ft (block by B. Lopez)","","16-21","",""
"105","1:15.0","Offensive rebound by Team","","16-21","",""
"106","1:08.0","D. Theis misses 3-pt jump shot from 27 ft","","16-21","",""
"107","1:05.0","","","16-21","","Defensive rebound by P. Connaughton"
"108","0:58.0","","","16-23","+2","G. Antetokounmpo makes 2-pt jump shot from 19 ft"
"109","0:46.0","Offensive foul by J. Tatum (drawn by G. Hill)","","16-23","",""
"110","0:46.0","Turnover by J. Tatum (offensive foul)","","16-23","",""
"111","0:46.0","J. Brown enters the game for J. Tatum","","16-23","",""
"112","0:34.0","","","16-23","","Offensive foul by G. Antetokounmpo (drawn by M. Smart)"
"113","0:34.0","","","16-23","","Turnover by G. Antetokounmpo (offensive foul)"
"114","0:26.0","J. Brown makes 2-pt jump shot from 11 ft","+2","18-23","",""
"115","0:07.0","","","18-25","+2","G. Antetokounmpo makes 2-pt dunk from 3 ft"
"116","0:00.0","J. Brown misses 2-pt jump shot from 17 ft","","18-25","",""
"117","0:00.0","Offensive rebound by Team","","18-25","",""
"118","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"119","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"120","Time","Boston","","Score","","Milwaukee"
"121","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"122","11:46.0","Personal foul by W. Matthews (drawn by J. Brown)","","18-25","",""
"123","11:46.0","","","18-25","","J. Holiday enters the game for W. Matthews"
"124","11:39.0","D. White makes 2-pt jump shot from 18 ft","+2","20-25","",""
"125","11:28.0","","","20-25","","Personal foul by P. Pritchard (drawn by G. Hill)"
"126","11:21.0","","","20-25","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"127","11:20.0","","","20-25","","Offensive rebound by G. Antetokounmpo"
