"","Time","Chicago","","Score","","Milwaukee"
"352","2:03.0","T. Thompson misses 2-pt layup at rim","","69-66","",""
"353","2:01.0","","","69-66","","Defensive rebound by P. Connaughton"
"354","1:58.0","","","69-68","+2","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by P. Connaughton)"
"355","1:46.0","C. White makes 2-pt jump shot from 16 ft (assist by A. Dosunmu)","+2","71-68","",""
"356","1:33.0","","","71-68","","P. Connaughton misses 3-pt jump shot from 24 ft"
"357","1:30.0","","","71-68","","Offensive rebound by J. Holiday"
"358","1:25.0","","","71-71","+3","B. Portis makes 3-pt jump shot from 24 ft (assist by J. Holiday)"
"359","1:07.0","C. White misses 3-pt jump shot from 27 ft","","71-71","",""
"360","1:04.0","","","71-71","","Defensive rebound by J. Holiday"
"361","0:59.0","","","71-71","","Turnover by J. Holiday (lost ball; steal by J. Green)"
"362","0:42.0","D. DeRozan misses 2-pt jump shot from 20 ft","","71-71","",""
"363","0:40.0","","","71-71","","Defensive rebound by B. Portis"
"364","0:36.0","","","71-73","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"365","0:36.0","","","71-73","","Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)"
"366","0:36.0","D. Jones enters the game for J. Green","","71-73","",""
"367","0:36.0","","","71-73","","J. Carter enters the game for G. Allen"
"368","0:36.0","","","71-73","","W. Matthews enters the game for J. Holiday"
"369","0:36.0","","","71-74","+1","G. Antetokounmpo makes free throw 1 of 1"
"370","0:24.0","D. DeRozan misses 2-pt layup from 4 ft (block by B. Portis)","","71-74","",""
"371","0:16.0","","","71-74","","Defensive rebound by J. Carter"
"372","0:01.0","","","71-74","","G. Antetokounmpo misses 2-pt jump shot from 20 ft"
"373","0:01.0","Defensive rebound by A. Dosunmu","","71-74","",""
"374","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"375","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"376","Time","Chicago","","Score","","Milwaukee"
"377","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"378","11:46.0","","","71-74","","B. Portis misses 3-pt jump shot from 26 ft"
"379","11:43.0","Defensive rebound by Z. LaVine","","71-74","",""
"380","11:32.0","Turnover by Z. LaVine (lost ball; steal by B. Portis)","","71-74","",""
"381","11:29.0","","","71-74","","Turnover by G. Allen (bad pass)"
"382","11:15.0","Z. LaVine misses 3-pt jump shot from 29 ft","","71-74","",""
"383","11:11.0","","","71-74","","Defensive rebound by G. Antetokounmpo"
"384","11:04.0","","","71-74","","B. Portis misses 3-pt jump shot from 24 ft"
"385","11:00.0","Defensive rebound by Z. LaVine","","71-74","",""
"386","10:49.0","Z. LaVine misses 2-pt jump shot from 14 ft","","71-74","",""
"387","10:46.0","","","71-74","","Defensive rebound by K. Middleton"
"388","10:40.0","","","71-74","","B. Portis misses 2-pt layup from 4 ft"
"389","10:39.0","","","71-74","","Offensive rebound by B. Portis"
"390","10:38.0","","","71-74","","Shooting foul by Z. LaVine (drawn by B. Portis)"
"391","10:38.0","","","71-74","","B. Portis misses free throw 1 of 2"
"392","10:38.0","","","71-74","","Offensive rebound by Team"
"393","10:38.0","N. Vucevic enters the game for T. Thompson","","71-74","",""
"394","10:38.0","","","71-74","","P. Connaughton enters the game for G. Allen"
"395","10:38.0","","","71-75","+1","B. Portis makes free throw 2 of 2"
"396","10:20.0","A. Caruso makes 3-pt jump shot from 23 ft (assist by D. Jones)","+3","74-75","",""
"397","10:05.0","","","74-75","","Turnover by K. Middleton (lost ball; steal by A. Caruso)"
"398","9:43.0","N. Vucevic misses 3-pt jump shot from 27 ft","","74-75","",""
"399","9:40.0","","","74-75","","Defensive rebound by K. Middleton"
"400","9:35.0","","","74-75","","Offensive foul by G. Antetokounmpo (drawn by A. Caruso)"
"401","9:35.0","","","74-75","","Turnover by G. Antetokounmpo (offensive foul)"
"402","9:35.0","D. DeRozan enters the game for Z. LaVine","","74-75","",""
"403","9:35.0","","","74-75","","J. Holiday enters the game for B. Portis"
"404","9:22.0","C. White misses 3-pt jump shot from 26 ft","","74-75","",""
"405","9:21.0","Offensive rebound by D. Jones","","74-75","",""
"406","9:20.0","Turnover by N. Vucevic (traveling)","","74-75","",""
"407","9:09.0","","","74-75","","G. Antetokounmpo misses 2-pt jump shot from 19 ft"
"408","9:06.0","Defensive rebound by N. Vucevic","","74-75","",""
"409","8:58.0","C. White misses 3-pt jump shot from 28 ft","","74-75","",""
"410","8:54.0","Offensive rebound by N. Vucevic","","74-75","",""
"411","8:53.0","N. Vucevic misses 2-pt layup from 3 ft","","74-75","",""
"412","8:52.0","Offensive rebound by N. Vucevic","","74-75","",""
"413","8:50.0","N. Vucevic misses 2-pt layup from 2 ft","","74-75","",""
"414","8:50.0","Offensive rebound by N. Vucevic","","74-75","",""
"415","8:49.0","N. Vucevic misses 2-pt layup at rim","","74-75","",""
"416","8:48.0","Offensive rebound by D. Jones","","74-75","",""
"417","8:43.0","D. DeRozan misses 3-pt jump shot from 26 ft","","74-75","",""
"418","8:39.0","","","74-75","","Defensive rebound by G. Antetokounmpo"
"419","8:28.0","","","74-75","","J. Holiday misses 3-pt jump shot from 30 ft"
"420","8:26.0","","","74-75","","Offensive rebound by J. Carter"
"421","8:14.0","","","74-75","","Offensive foul by G. Antetokounmpo (drawn by A. Caruso)"
"422","8:14.0","","","74-75","","Turnover by G. Antetokounmpo (offensive foul)"
"423","8:14.0","Chicago full timeout","","74-75","",""
"424","8:14.0","","","74-75","","B. Lopez enters the game for G. Antetokounmpo"
"425","8:14.0","","","74-75","","W. Matthews enters the game for J. Carter"
"426","8:01.0","D. Jones misses 3-pt jump shot from 23 ft","","74-75","",""
"427","7:57.0","","","74-75","","Defensive rebound by K. Middleton"
"428","7:50.0","","","74-75","","Turnover by K. Middleton (bad pass; steal by D. DeRozan)"
"429","7:46.0","","","74-75","","Violation by Team (kicked ball)"
"430","7:41.0","Offensive foul by N. Vucevic (drawn by W. Matthews)","","74-75","",""
"431","7:41.0","Turnover by N. Vucevic (offensive foul)","","74-75","",""
"432","7:26.0","","","74-77","+2","J. Holiday makes 2-pt layup from 2 ft"
"433","7:07.0","N. Vucevic misses 3-pt jump shot from 27 ft","","74-77","",""
"434","7:04.0","","","74-77","","Defensive rebound by K. Middleton"
"435","6:58.0","","","74-77","","Turnover by J. Holiday (bad pass; steal by A. Caruso)"
"436","6:54.0","C. White makes 2-pt layup from 1 ft (assist by A. Caruso)","+2","76-77","",""
"437","6:37.0","","","76-77","","J. Holiday misses 2-pt jump shot from 15 ft"
"438","6:35.0","Defensive rebound by C. White","","76-77","",""
"439","6:24.0","D. DeRozan misses 2-pt jump shot from 19 ft","","76-77","",""
"440","6:21.0","","","76-77","","Defensive rebound by P. Connaughton"
"441","6:12.0","","","76-77","","K. Middleton misses 2-pt jump shot from 17 ft"
"442","6:10.0","Defensive rebound by D. DeRozan","","76-77","",""
"443","5:56.0","N. Vucevic makes 2-pt hook shot from 2 ft","+2","78-77","",""
"444","5:38.0","","","78-77","","Turnover by J. Holiday (bad pass)"
"445","5:38.0","Z. LaVine enters the game for A. Caruso","","78-77","",""
"446","5:38.0","","","78-77","","G. Antetokounmpo enters the game for P. Connaughton"
"447","5:25.0","D. DeRozan misses 2-pt jump shot from 18 ft","","78-77","",""
"448","5:22.0","","","78-77","","Defensive rebound by G. Antetokounmpo"
"449","5:03.0","","","78-80","+3","J. Holiday makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)"
"450","4:51.0","Chicago full timeout","","78-80","",""
"451","4:51.0","P. Williams enters the game for D. Jones","","78-80","",""
"452","4:51.0","","","78-80","","B. Portis enters the game for G. Antetokounmpo"
"453","4:43.0","D. DeRozan misses 2-pt jump shot from 5 ft","","78-80","",""
"454","4:40.0","","","78-80","","Defensive rebound by B. Portis"
"455","4:34.0","","","78-82","+2","B. Lopez makes 2-pt jump shot from 10 ft (assist by B. Portis)"
"456","4:34.0","","","78-82","","Shooting foul by N. Vucevic (drawn by B. Lopez)"
"457","4:34.0","A. Caruso enters the game for C. White","","78-82","",""
"458","4:34.0","","","78-83","+1","B. Lopez makes free throw 1 of 1"
"459","4:13.0","Z. LaVine misses 3-pt jump shot from 27 ft","","78-83","",""
"460","4:11.0","","","78-83","","Defensive rebound by W. Matthews"
"461","3:58.0","","","78-85","+2","J. Holiday makes 2-pt jump shot from 14 ft"
"462","3:43.0","A. Caruso misses 3-pt jump shot from 24 ft","","78-85","",""
"463","3:42.0","Offensive rebound by D. DeRozan","","78-85","",""
"464","3:42.0","Shooting foul by B. Lopez (drawn by D. DeRozan)","","78-85","",""
"465","3:42.0","D. DeRozan makes free throw 1 of 2","+1","79-85","",""
"466","3:42.0","D. DeRozan makes free throw 2 of 2","+1","80-85","",""
"467","3:37.0","","","80-85","","Milwaukee full timeout"
"468","3:37.0","","","80-85","","G. Antetokounmpo enters the game for B. Portis"
"469","3:18.0","","","80-85","","Turnover by G. Antetokounmpo (bad pass; steal by P. Williams)"
"470","3:08.0","Personal foul by B. Lopez (drawn by N. Vucevic)","","80-85","",""
"471","3:04.0","P. Williams makes 2-pt layup from 2 ft (assist by Z. LaVine)","+2","82-85","",""
"472","2:36.0","","","82-85","","B. Lopez misses 2-pt layup from 2 ft (block by N. Vucevic)"
"473","2:32.0","","","82-85","","Offensive rebound by B. Lopez"
"474","2:32.0","","","82-87","+2","B. Lopez makes 2-pt layup at rim"
"475","2:18.0","D. DeRozan makes 2-pt jump shot from 16 ft","+2","84-87","",""
"476","2:05.0","","","84-87","","J. Holiday misses 2-pt jump shot from 20 ft"
"477","2:05.0","","","84-87","","Offensive rebound by Team"
"478","2:05.0","Loose ball foul by P. Williams (drawn by G. Antetokounmpo)","","84-87","",""
"479","1:54.0","","","84-87","","B. Lopez misses 3-pt jump shot from 26 ft"
"480","1:51.0","Defensive rebound by D. DeRozan","","84-87","",""
"481","1:39.0","Z. LaVine misses 2-pt layup from 4 ft (block by B. Lopez)","","84-87","",""
"482","1:39.0","Offensive rebound by Team","","84-87","",""
"483","1:36.0","A. Caruso makes 2-pt layup from 1 ft (assist by N. Vucevic)","+2","86-87","",""
"484","1:24.0","","","86-89","+2","B. Lopez makes 2-pt jump shot from 5 ft (assist by J. Holiday)"
"485","1:24.0","","","86-89","","Shooting foul by P. Williams (drawn by B. Lopez)"
"486","1:24.0","","","86-89","","B. Portis enters the game for G. Antetokounmpo"
"487","1:24.0","","","86-89","","B. Lopez misses free throw 1 of 1"
"488","1:20.0","Defensive rebound by P. Williams","","86-89","",""
"489","0:59.0","N. Vucevic misses 2-pt jump shot from 3 ft","","86-89","",""
"490","0:55.0","Offensive rebound by N. Vucevic","","86-89","",""
"491","0:52.0","N. Vucevic misses 2-pt layup from 2 ft","","86-89","",""
"492","0:43.0","","","86-89","","Defensive rebound by B. Lopez"
"493","0:38.0","","","86-89","","Turnover by W. Matthews (lost ball; steal by Z. LaVine)"
"494","0:29.0","Z. LaVine misses 3-pt jump shot from 31 ft","","86-89","",""
"495","0:25.0","","","86-89","","Defensive rebound by B. Portis"
"496","0:15.0","","","86-89","","Personal take foul by A. Caruso (drawn by J. Holiday)"
"497","0:15.0","","","86-90","+1","J. Holiday makes free throw 1 of 2"
"498","0:15.0","","","86-90","","G. Antetokounmpo enters the game for B. Portis"
"499","0:15.0","","","86-91","+1","J. Holiday makes free throw 2 of 2"
"500","0:15.0","Chicago full timeout","","86-91","",""
"501","0:10.0","D. DeRozan misses 2-pt jump shot from 7 ft","","86-91","",""
"502","0:08.0","","","86-91","","Defensive rebound by K. Middleton"
"503","0:08.0","","","86-91","","Personal take foul by A. Caruso (drawn by K. Middleton)"
"504","0:08.0","","","86-92","+1","K. Middleton makes free throw 1 of 2"
"505","0:08.0","","","86-93","+1","K. Middleton makes free throw 2 of 2"
"506","0:08.0","Chicago full timeout","","86-93","",""
"507","0:08.0","","","86-93","","P. Connaughton enters the game for B. Lopez"
"508","0:03.0","Z. LaVine misses 3-pt jump shot from 25 ft","","86-93","",""
"509","0:00.0","","","86-93","","Defensive rebound by G. Antetokounmpo"
"510","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
