"","Time","Dallas","","Score","","Golden State"
"37","7:18.0","M. Kleber enters the game for D. Powell","","10-14","",""
"38","7:03.0","Personal foul by K. Thompson (drawn by R. Bullock)","","10-14","",""
"39","6:52.0","L. Doncic misses 2-pt jump shot from 6 ft","","10-14","",""
"40","6:50.0","","","10-14","","Defensive rebound by A. Wiggins"
"41","6:37.0","","","10-14","","S. Curry misses 2-pt layup from 6 ft (block by M. Kleber)"
"42","6:35.0","Defensive rebound by D. Finney-Smith","","10-14","",""
"43","6:29.0","R. Bullock misses 3-pt jump shot from 25 ft","","10-14","",""
"44","6:27.0","","","10-14","","Defensive rebound by Team"
"45","6:16.0","","","10-14","","A. Wiggins misses 3-pt jump shot from 29 ft"
"46","6:14.0","Defensive rebound by J. Brunson","","10-14","",""
"47","6:01.0","L. Doncic misses 2-pt layup from 7 ft","","10-14","",""
"48","5:59.0","","","10-14","","Defensive rebound by K. Looney"
"49","5:48.0","","","10-14","","K. Thompson misses 3-pt jump shot from 27 ft"
"50","5:46.0","Defensive rebound by L. Doncic","","10-14","",""
"51","5:42.0","Shooting foul by K. Looney (drawn by L. Doncic)","","10-14","",""
"52","5:42.0","L. Doncic makes free throw 1 of 2","+1","11-14","",""
"53","5:42.0","S. Dinwiddie enters the game for J. Brunson","","11-14","",""
"54","5:42.0","F. Ntilikina enters the game for R. Bullock","","11-14","",""
"55","5:42.0","","","11-14","","J. Poole enters the game for D. Green"
"56","5:42.0","L. Doncic makes free throw 2 of 2","+1","12-14","",""
"57","5:28.0","","","12-14","","A. Wiggins misses 2-pt layup from 6 ft"
"58","5:26.0","Defensive rebound by L. Doncic","","12-14","",""
"59","5:22.0","L. Doncic misses 3-pt jump shot from 28 ft","","12-14","",""
"60","5:20.0","","","12-14","","Defensive rebound by S. Curry"
"61","5:08.0","","","12-14","","A. Wiggins misses 3-pt jump shot from 28 ft"
"62","5:05.0","","","12-14","","Offensive rebound by K. Looney"
"63","5:00.0","","","12-16","+2","A. Wiggins makes 2-pt layup from 4 ft (assist by S. Curry)"
"64","4:47.0","S. Dinwiddie misses 3-pt jump shot from 27 ft","","12-16","",""
"65","4:45.0","","","12-16","","Defensive rebound by K. Looney"
"66","4:34.0","","","12-16","","K. Looney misses 2-pt layup from 5 ft (block by D. Finney-Smith)"
"67","4:32.0","Defensive rebound by F. Ntilikina","","12-16","",""
"68","4:32.0","Personal foul by A. Wiggins (drawn by F. Ntilikina)","","12-16","",""
"69","4:20.0","Turnover by L. Doncic (bad pass; steal by S. Curry)","","12-16","",""
"70","4:16.0","","","12-19","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry)"
"71","4:00.0","M. Kleber makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)","+3","15-19","",""
"72","3:41.0","","","15-19","","J. Poole misses 3-pt jump shot from 23 ft"
"73","3:40.0","Defensive rebound by L. Doncic","","15-19","",""
"74","3:22.0","L. Doncic misses 3-pt jump shot from 27 ft","","15-19","",""
"75","3:19.0","","","15-19","","Defensive rebound by K. Looney"
"76","3:12.0","","","15-19","","K. Thompson misses 2-pt layup from 5 ft"
"77","3:10.0","Defensive rebound by M. Kleber","","15-19","",""
"78","2:57.0","L. Doncic makes 2-pt jump shot from 6 ft","+2","17-19","",""
"79","2:39.0","","","17-21","+2","K. Looney makes 2-pt dunk from 4 ft (assist by J. Poole)"
"80","2:39.0","Dallas full timeout","","17-21","",""
"81","2:39.0","R. Bullock enters the game for D. Finney-Smith","","17-21","",""
"82","2:39.0","","","17-21","","N. Bjelica enters the game for K. Looney"
"83","2:39.0","","","17-21","","D. Green enters the game for K. Thompson"
"84","2:23.0","L. Doncic misses 2-pt layup from 5 ft (block by D. Green)","","17-21","",""
"85","2:22.0","Offensive rebound by Team","","17-21","",""
"86","2:15.0","S. Dinwiddie misses 2-pt layup from 4 ft","","17-21","",""
"87","2:12.0","","","17-21","","Defensive rebound by J. Poole"
"88","2:01.0","","","17-21","","A. Wiggins misses 3-pt jump shot from 25 ft"
"89","1:58.0","Defensive rebound by M. Kleber","","17-21","",""
"90","1:39.0","M. Kleber misses 2-pt jump shot from 9 ft","","17-21","",""
"91","1:36.0","","","17-21","","Defensive rebound by D. Green"
"92","1:19.0","","","17-23","+2","A. Wiggins makes 2-pt layup from 6 ft (assist by D. Green)"
"93","0:57.0","L. Doncic misses 3-pt jump shot from 28 ft","","17-23","",""
"94","0:54.0","","","17-23","","Defensive rebound by A. Wiggins"
"95","0:50.0","","","17-23","","Personal foul by L. Doncic (drawn by J. Poole)"
"96","0:50.0","D. Finney-Smith enters the game for F. Ntilikina","","17-23","",""
"97","0:41.0","","","17-26","+3","D. Green makes 3-pt jump shot from 23 ft (assist by S. Curry)"
"98","0:31.0","M. Kleber misses 3-pt jump shot from 25 ft","","17-26","",""
"99","0:29.0","Offensive rebound by D. Finney-Smith","","17-26","",""
"100","0:17.0","S. Dinwiddie makes 3-pt jump shot from 27 ft (assist by L. Doncic)","+3","20-26","",""
"101","0:06.0","","","20-26","","Personal foul by S. Dinwiddie (drawn by A. Wiggins)"
"102","0:06.0","","","20-27","+1","A. Wiggins makes free throw 1 of 2"
"103","0:06.0","","","20-27","","M. Moody enters the game for S. Curry"
"104","0:06.0","","","20-27","","J. Toscano-Anderson enters the game for J. Poole"
"105","0:06.0","","","20-28","+1","A. Wiggins makes free throw 2 of 2"
"106","0:00.0","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by L. Doncic)","+3","23-28","",""
"107","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"108","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"109","Time","Dallas","","Score","","Golden State"
"110","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"111","1st Q","1st Q","1st Q","1st Q","1st Q","1st Q"
"112","Time","Dallas","","Score","","Golden State"
"113","0:00.0","Instant Replay (Request: Ruling Stands)","","23-28","",""
"114","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"115","Time","Dallas","","Score","","Golden State"
"116","12:00.0","D. Bertans enters the game for L. Doncic","","23-28","",""
"117","12:00.0","J. Brunson enters the game for M. Kleber","","23-28","",""
"118","12:00.0","","","23-28","","J. Poole enters the game for J. Toscano-Anderson"
"119","12:00.0","","","23-28","","K. Thompson enters the game for A. Wiggins"
"120","11:50.0","S. Dinwiddie misses 2-pt jump shot from 9 ft","","23-28","",""
"121","11:46.0","","","23-28","","Defensive rebound by D. Green"
"122","11:45.0","","","23-28","","Turnover by D. Green (lost ball; steal by D. Finney-Smith)"
"123","11:43.0","Turnover by D. Finney-Smith (lost ball; steal by J. Poole)","","23-28","",""
"124","11:30.0","","","23-30","+2","J. Poole makes 2-pt layup from 5 ft (assist by D. Green)"
"125","11:15.0","J. Brunson makes 2-pt jump shot from 12 ft","+2","25-30","",""
"126","11:00.0","","","25-33","+3","J. Poole makes 3-pt jump shot from 28 ft (assist by K. Thompson)"
"127","10:45.0","Personal foul by J. Poole (drawn by D. Bertans)","","25-33","",""
"128","10:32.0","J. Brunson makes 2-pt jump shot from 15 ft (assist by R. Bullock)","+2","27-33","",""
"129","10:14.0","","","27-36","+3","K. Thompson makes 3-pt jump shot from 29 ft (assist by N. Bjelica)"
"130","9:59.0","J. Brunson misses 3-pt jump shot from 24 ft","","27-36","",""
"131","9:56.0","","","27-36","","Defensive rebound by N. Bjelica"
"132","9:50.0","","","27-36","","N. Bjelica misses 2-pt layup from 5 ft"
"133","9:48.0","Defensive rebound by D. Bertans","","27-36","",""
"134","9:41.0","S. Dinwiddie makes 2-pt layup from 4 ft","+2","29-36","",""
"135","9:26.0","","","29-38","+2","J. Poole makes 2-pt jump shot from 17 ft"
"136","9:11.0","D. Bertans makes 3-pt jump shot from 27 ft (assist by R. Bullock)","+3","32-38","",""
"137","8:48.0","","","32-38","","M. Moody misses 2-pt layup from 9 ft (block by S. Dinwiddie)"
"138","8:45.0","Defensive rebound by J. Brunson","","32-38","",""
"139","8:43.0","D. Bertans misses 3-pt jump shot from 24 ft","","32-38","",""
"140","8:41.0","","","32-38","","Defensive rebound by N. Bjelica"
"141","8:35.0","","","32-38","","Personal foul by D. Bertans (drawn by J. Poole)"
"142","8:27.0","","","32-40","+2","K. Thompson makes 2-pt jump shot from 18 ft (assist by D. Green)"
"143","8:09.0","J. Brunson misses 2-pt layup from 6 ft","","32-40","",""
"144","8:07.0","","","32-40","","Defensive rebound by J. Poole"
"145","8:03.0","","","32-40","","Shooting foul by D. Finney-Smith (drawn by D. Green)"
"146","8:03.0","","","32-41","+1","D. Green makes free throw 1 of 2"
"147","8:03.0","M. Kleber enters the game for D. Bertans","","32-41","",""
"148","8:03.0","F. Ntilikina enters the game for D. Finney-Smith","","32-41","",""
"149","8:03.0","","","32-42","+1","D. Green makes free throw 2 of 2"
"150","7:42.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","32-42","",""
"151","7:39.0","","","32-42","","Defensive rebound by N. Bjelica"
"152","7:31.0","","","32-45","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green)"
"153","7:30.0","Dallas full timeout","","32-45","",""
"154","7:30.0","","","32-45","","K. Looney enters the game for D. Green"
"155","7:07.0","M. Kleber misses 2-pt hook shot from 5 ft","","32-45","",""
"156","7:05.0","Offensive rebound by M. Kleber","","32-45","",""
"157","7:03.0","M. Kleber makes 2-pt layup at rim","+2","34-45","",""
"158","6:52.0","","","34-45","","Shooting foul by J. Brunson (drawn by J. Poole)"
"159","6:52.0","","","34-46","+1","J. Poole makes free throw 1 of 2"
"160","6:52.0","","","34-47","+1","J. Poole makes free throw 2 of 2"
"161","6:32.0","F. Ntilikina makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","37-47","",""
"162","6:15.0","","","37-47","","J. Poole misses 3-pt jump shot from 28 ft"
"163","6:12.0","Defensive rebound by F. Ntilikina","","37-47","",""
"164","6:05.0","J. Brunson misses 2-pt jump shot from 4 ft","","37-47","",""
"165","6:02.0","","","37-47","","Defensive rebound by K. Looney"
"166","5:44.0","","","37-47","","Turnover by J. Poole (bad pass; steal by M. Kleber)"
"167","5:40.0","Shooting foul by N. Bjelica (drawn by J. Brunson)","","37-47","",""
"168","5:40.0","J. Brunson misses free throw 1 of 2","","37-47","",""
"169","5:40.0","Offensive rebound by Team","","37-47","",""
"170","5:40.0","L. Doncic enters the game for S. Dinwiddie","","37-47","",""
"171","5:40.0","D. Finney-Smith enters the game for F. Ntilikina","","37-47","",""
"172","5:40.0","","","37-47","","S. Curry enters the game for J. Poole"
"173","5:40.0","","","37-47","","A. Wiggins enters the game for K. Thompson"
"174","5:40.0","J. Brunson makes free throw 2 of 2","+1","38-47","",""
"175","5:16.0","","","38-49","+2","M. Moody makes 2-pt jump shot from 19 ft (assist by A. Wiggins)"
"176","4:54.0","L. Doncic misses 2-pt layup from 4 ft","","38-49","",""
"177","4:52.0","","","38-49","","Defensive rebound by K. Looney"
"178","4:47.0","","","38-51","+2","N. Bjelica makes 2-pt layup from 4 ft (assist by S. Curry)"
"179","4:28.0","L. Doncic misses 2-pt layup from 7 ft (block by M. Moody)","","38-51","",""
"180","4:25.0","","","38-51","","Defensive rebound by N. Bjelica"
"181","4:21.0","","","38-51","","N. Bjelica misses 2-pt jump shot from 10 ft"
"182","4:20.0","","","38-51","","Offensive rebound by N. Bjelica"
"183","4:20.0","","","38-51","","Shooting foul by M. Kleber (drawn by M. Moody)"
"184","4:20.0","","","38-52","+1","M. Moody makes free throw 1 of 2"
"185","4:20.0","S. Dinwiddie enters the game for J. Brunson","","38-52","",""
"186","4:20.0","","","38-53","+1","M. Moody makes free throw 2 of 2"
"187","4:08.0","Turnover by S. Dinwiddie (lost ball; steal by S. Curry)","","38-53","",""
"188","4:00.0","","","38-56","+3","M. Moody makes 3-pt jump shot from 23 ft (assist by S. Curry)"
"189","3:59.0","Dallas full timeout","","38-56","",""
"190","3:59.0","","","38-56","","D. Green enters the game for N. Bjelica"
"191","3:59.0","","","38-56","","J. Poole enters the game for K. Looney"
"192","3:37.0","S. Dinwiddie misses 2-pt layup from 5 ft","","38-56","",""
"193","3:34.0","","","38-56","","Defensive rebound by J. Poole"
"194","3:15.0","","","38-56","","S. Curry misses 2-pt jump shot from 8 ft"
"195","3:11.0","Defensive rebound by M. Kleber","","38-56","",""
"196","3:07.0","S. Dinwiddie makes 2-pt layup from 4 ft","+2","40-56","",""
"197","3:07.0","Shooting foul by M. Moody (drawn by S. Dinwiddie)","","40-56","",""
"198","3:07.0","F. Ntilikina enters the game for R. Bullock","","40-56","",""
"199","3:07.0","","","40-56","","K. Thompson enters the game for M. Moody"
"200","3:07.0","S. Dinwiddie makes free throw 1 of 1","+1","41-56","",""
"201","2:58.0","","","41-58","+2","D. Green makes 2-pt layup from 5 ft (assist by J. Poole)"
"202","2:58.0","","","41-58","","Shooting foul by M. Kleber (drawn by D. Green)"
"203","2:58.0","","","41-59","+1","D. Green makes free throw 1 of 1"
"204","2:46.0","F. Ntilikina makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie)","+3","44-59","",""
"205","2:31.0","","","44-61","+2","J. Poole makes 2-pt layup from 7 ft"
"206","2:31.0","","","44-61","","Shooting foul by L. Doncic (drawn by J. Poole)"
"207","2:31.0","","","44-62","+1","J. Poole makes free throw 1 of 1"
"208","2:19.0","D. Finney-Smith misses 3-pt jump shot from 24 ft","","44-62","",""
"209","2:16.0","Offensive rebound by F. Ntilikina","","44-62","",""
"210","2:13.0","D. Finney-Smith makes 2-pt jump shot from 5 ft (assist by F. Ntilikina)","+2","46-62","",""
"211","2:04.0","","","46-65","+3","K. Thompson makes 3-pt jump shot from 26 ft (assist by J. Poole)"
"212","1:43.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","46-65","",""
"213","1:40.0","","","46-65","","Defensive rebound by D. Green"
"214","1:30.0","","","46-65","","Turnover by K. Thompson (bad pass; steal by F. Ntilikina)"
"215","1:28.0","Personal take foul by D. Green (drawn by L. Doncic)","","46-65","",""
"216","1:22.0","Turnover by L. Doncic (lost ball; steal by A. Wiggins)","","46-65","",""
"217","1:11.0","","","46-67","+2","D. Green makes 2-pt layup from 5 ft (assist by J. Poole)"
"218","0:57.0","S. Dinwiddie makes 3-pt jump shot from 27 ft","+3","49-67","",""
"219","0:38.0","","","49-67","","Shooting foul by F. Ntilikina (drawn by S. Curry)"
"220","0:38.0","","","49-68","+1","S. Curry makes free throw 1 of 2"
"221","0:38.0","","","49-68","","K. Looney enters the game for D. Green"
"222","0:38.0","","","49-69","+1","S. Curry makes free throw 2 of 2"
"223","0:27.0","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by L. Doncic)","+3","52-69","",""
"224","0:06.0","","","52-69","","S. Curry misses 3-pt jump shot from 27 ft"
"225","0:04.0","Defensive rebound by M. Kleber","","52-69","",""
"226","0:00.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","52-69","",""
"227","0:00.0","Offensive rebound by Team","","52-69","",""
"228","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"229","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"230","Time","Dallas","","Score","","Golden State"
"231","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"232","11:43.0","J. Brunson misses 3-pt jump shot from 25 ft","","52-69","",""
"233","11:41.0","","","52-69","","Defensive rebound by K. Looney"
"234","11:20.0","","","52-69","","A. Wiggins misses 3-pt jump shot from 23 ft"
"235","11:17.0","","","52-69","","Offensive rebound by K. Looney"
"236","11:13.0","Violation by Team (kicked ball)","","52-69","",""
"237","11:06.0","","","52-69","","K. Thompson misses 3-pt jump shot from 28 ft"
"238","11:04.0","","","52-69","","Offensive rebound by A. Wiggins"
"239","11:04.0","","","52-69","","Personal foul by J. Brunson (drawn by A. Wiggins)"
"240","11:01.0","","","52-69","","S. Curry misses 3-pt jump shot from 27 ft"
"241","10:58.0","Defensive rebound by L. Doncic","","52-69","",""
"242","10:53.0","Shooting foul by S. Curry (drawn by J. Brunson)","","52-69","",""
"243","10:53.0","J. Brunson makes free throw 1 of 2","+1","53-69","",""
"244","10:53.0","J. Brunson misses free throw 2 of 2","","53-69","",""
"245","10:51.0","","","53-69","","Defensive rebound by K. Looney"
"246","10:33.0","","","53-69","","K. Thompson misses 3-pt jump shot from 23 ft"
"247","10:31.0","","","53-69","","Offensive rebound by A. Wiggins"
"248","10:31.0","","","53-69","","Shooting foul by L. Doncic (drawn by A. Wiggins)"
"249","10:31.0","","","53-70","+1","A. Wiggins makes free throw 1 of 2"
"250","10:31.0","","","53-71","+1","A. Wiggins makes free throw 2 of 2"
"251","10:14.0","L. Doncic misses 2-pt layup from 5 ft","","53-71","",""
"252","10:11.0","","","53-71","","Defensive rebound by K. Looney"
"253","10:05.0","","","53-74","+3","K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green)"
"254","10:05.0","Dallas full timeout","","53-74","",""
"255","9:49.0","Turnover by L. Doncic (bad pass; steal by K. Thompson)","","53-74","",""
"256","9:28.0","","","53-76","+2","A. Wiggins makes 2-pt jump shot from 9 ft (assist by D. Green)"
"257","9:15.0","Shooting foul by D. Green (drawn by J. Brunson)","","53-76","",""
"258","9:15.0","J. Brunson makes free throw 1 of 2","+1","54-76","",""
"259","9:15.0","M. Kleber enters the game for D. Powell","","54-76","",""
"260","9:15.0","J. Brunson makes free throw 2 of 2","+1","55-76","",""
"261","8:54.0","","","55-78","+2","A. Wiggins makes 2-pt jump shot from 10 ft (assist by D. Green)"
"262","8:42.0","L. Doncic misses 3-pt jump shot from 30 ft","","55-78","",""
"263","8:40.0","","","55-78","","Defensive rebound by A. Wiggins"
"264","8:39.0","","","55-78","","Personal foul by J. Brunson (drawn by A. Wiggins)"
"265","8:32.0","","","55-78","","S. Curry misses 3-pt jump shot from 30 ft"
"266","8:30.0","Defensive rebound by D. Finney-Smith","","55-78","",""
"267","8:17.0","L. Doncic makes 2-pt jump shot from 8 ft (assist by D. Finney-Smith)","+2","57-78","",""
"268","8:17.0","Shooting foul by K. Thompson (drawn by L. Doncic)","","57-78","",""
"269","8:17.0","L. Doncic makes free throw 1 of 1","+1","58-78","",""
"270","8:08.0","","","58-81","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry)"
"271","7:44.0","D. Finney-Smith makes 2-pt layup from 5 ft (assist by M. Kleber)","+2","60-81","",""
"272","7:26.0","","","60-83","+2","S. Curry makes 2-pt layup from 7 ft (assist by D. Green)"
"273","7:16.0","J. Brunson makes 2-pt layup from 7 ft","+2","62-83","",""
"274","7:00.0","","","62-83","","Golden State full timeout"
"275","6:58.0","","","62-83","","Turnover by D. Green (bad pass; steal by L. Doncic)"
"276","6:45.0","J. Brunson misses 2-pt jump shot from 8 ft","","62-83","",""
"277","6:40.0","","","62-83","","Defensive rebound by Team"
"278","6:17.0","","","62-85","+2","K. Looney makes 2-pt dunk from 2 ft (assist by K. Thompson)"
"279","5:51.0","J. Brunson misses 2-pt jump shot from 7 ft","","62-85","",""
"280","5:49.0","","","62-85","","Defensive rebound by D. Green"
"281","5:47.0","","","62-85","","Personal take foul by D. Finney-Smith (drawn by S. Curry)"
"282","5:47.0","S. Dinwiddie enters the game for J. Brunson","","62-85","",""
"283","5:47.0","","","62-85","","J. Poole enters the game for D. Green"
"284","5:41.0","","","62-87","+2","S. Curry makes 2-pt jump shot from 8 ft"
"285","5:26.0","L. Doncic makes 2-pt jump shot from 9 ft","+2","64-87","",""
"286","5:07.0","","","64-87","","K. Thompson misses 2-pt jump shot from 12 ft"
"287","5:04.0","Defensive rebound by L. Doncic","","64-87","",""
"288","4:55.0","D. Finney-Smith makes 3-pt jump shot from 28 ft","+3","67-87","",""
"289","4:38.0","","","67-89","+2","S. Curry makes 2-pt jump shot from 14 ft"
"290","4:31.0","Personal foul by J. Poole (drawn by L. Doncic)","","67-89","",""
"291","4:19.0","M. Kleber makes 2-pt dunk from 5 ft (assist by L. Doncic)","+2","69-89","",""
"292","4:13.0","","","69-89","","Away from play foul by S. Dinwiddie (drawn by J. Poole)"
"293","4:13.0","","","69-90","+1","S. Curry makes free throw 1 of 1"
"294","4:01.0","","","69-92","+2","K. Thompson makes 2-pt layup from 4 ft (assist by K. Looney)"
"295","3:51.0","Personal foul by S. Curry (drawn by L. Doncic)","","69-92","",""
"296","3:51.0","L. Doncic makes free throw 1 of 2","+1","70-92","",""
"297","3:51.0","","","70-92","","N. Bjelica enters the game for K. Looney"
"298","3:51.0","","","70-92","","D. Green enters the game for K. Thompson"
"299","3:51.0","L. Doncic misses free throw 2 of 2","","70-92","",""
"300","3:48.0","","","70-92","","Defensive rebound by J. Poole"
"301","3:38.0","","","70-92","","S. Curry misses 3-pt jump shot from 30 ft"
"302","3:36.0","Defensive rebound by M. Kleber","","70-92","",""
"303","3:13.0","R. Bullock makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)","+3","73-92","",""
"304","2:56.0","","","73-92","","A. Wiggins misses 2-pt jump shot from 20 ft"
"305","2:54.0","Defensive rebound by M. Kleber","","73-92","",""
"306","2:40.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","76-92","",""
"307","2:39.0","","","76-92","","Golden State full timeout"
"308","2:23.0","","","76-92","","S. Curry misses 2-pt jump shot from 7 ft"
"309","2:22.0","","","76-92","","Offensive rebound by D. Green"
"310","2:21.0","","","76-92","","D. Green misses 2-pt layup from 3 ft"
"311","2:20.0","Defensive rebound by R. Bullock","","76-92","",""
"312","2:04.0","L. Doncic makes 3-pt jump shot from 27 ft","+3","79-92","",""
"313","1:46.0","","","79-92","","Turnover by A. Wiggins (lost ball; steal by D. Finney-Smith)"
"314","1:33.0","D. Finney-Smith makes 2-pt layup from 5 ft (assist by L. Doncic)","+2","81-92","",""
"315","1:33.0","","","81-92","","Violation by Team (def goaltending)"
"316","1:17.0","","","81-92","","S. Curry misses 2-pt layup from 4 ft"
"317","1:14.0","Defensive rebound by M. Kleber","","81-92","",""
"318","1:09.0","L. Doncic makes 2-pt jump shot from 9 ft (assist by S. Dinwiddie)","+2","83-92","",""
"319","0:40.0","","","83-92","","Turnover by Team (shot clock)"
"320","0:40.0","","","83-92","","K. Looney enters the game for N. Bjelica"
"321","0:34.0","Personal foul by D. Green (drawn by L. Doncic)","","83-92","",""
"322","0:34.0","L. Doncic makes free throw 1 of 2","+1","84-92","",""
"323","0:34.0","L. Doncic misses free throw 2 of 2","","84-92","",""
"324","0:33.0","","","84-92","","Defensive rebound by A. Wiggins"
"325","0:12.0","","","84-94","+2","J. Poole makes 2-pt layup from 4 ft"
"326","0:02.0","L. Doncic misses 3-pt jump shot from 31 ft","","84-94","",""
"327","0:00.0","","","84-94","","Defensive rebound by J. Poole"
"328","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"329","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"330","Time","Dallas","","Score","","Golden State"
"331","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"332","11:42.0","","","84-96","+2","A. Wiggins makes 2-pt dunk from 2 ft (assist by N. Bjelica)"
"333","11:19.0","L. Doncic misses 3-pt jump shot from 26 ft","","84-96","",""
"334","11:16.0","","","84-96","","Defensive rebound by J. Poole"
"335","11:10.0","","","84-98","+2","D. Green makes 2-pt layup from 5 ft (assist by K. Thompson)"
"336","11:10.0","","","84-98","","Shooting foul by D. Finney-Smith (drawn by D. Green)"
"337","11:10.0","","","84-99","+1","D. Green makes free throw 1 of 1"
"338","10:52.0","F. Ntilikina misses 3-pt jump shot from 23 ft","","84-99","",""
"339","10:48.0","Offensive rebound by L. Doncic","","84-99","",""
"340","10:43.0","Shooting foul by N. Bjelica (drawn by S. Dinwiddie)","","84-99","",""
"341","10:43.0","S. Dinwiddie makes free throw 1 of 2","+1","85-99","",""
"342","10:43.0","S. Dinwiddie misses free throw 2 of 2","","85-99","",""
"343","10:41.0","","","85-99","","Defensive rebound by D. Green"
"344","10:26.0","","","85-101","+2","D. Green makes 2-pt layup from 4 ft (assist by J. Poole)"
"345","10:17.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","87-101","",""
"346","10:00.0","","","87-101","","Offensive foul by D. Green (drawn by J. Brunson)"
"347","10:00.0","","","87-101","","Turnover by D. Green (offensive foul)"
"348","10:00.0","","","87-101","","Golden State full timeout"
