"","Time","Golden State","","Score","","Dallas"
"152","8:07.0","Turnover by J. Poole (lost ball; steal by D. Bertans)","","29-32","",""
"153","7:46.0","","","29-32","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"154","7:44.0","Defensive rebound by J. Poole","","29-32","",""
"155","7:37.0","K. Thompson misses 2-pt jump shot from 18 ft","","29-32","",""
"156","7:35.0","Offensive rebound by K. Looney","","29-32","",""
"157","7:35.0","Personal foul by D. Bertans (drawn by K. Looney)","","29-32","",""
"158","7:27.0","M. Moody misses 3-pt jump shot from 23 ft","","29-32","",""
"159","7:24.0","Offensive rebound by J. Poole","","29-32","",""
"160","7:22.0","K. Thompson misses 2-pt jump shot from 19 ft","","29-32","",""
"161","7:18.0","","","29-32","","Defensive rebound by R. Bullock"
"162","7:08.0","","","29-32","","Personal foul by J. Poole (drawn by J. Brunson)"
"163","6:53.0","","","29-34","+2","J. Brunson makes 2-pt layup from 1 ft"
"164","6:40.0","Personal foul by R. Bullock (drawn by J. Poole)","","29-34","",""
"165","6:40.0","S. Curry enters the game for K. Looney","","29-34","",""
"166","6:40.0","D. Green enters the game for J. Poole","","29-34","",""
"167","6:40.0","A. Wiggins enters the game for K. Thompson","","29-34","",""
"168","6:40.0","","","29-34","","L. Doncic enters the game for D. Bertans"
"169","6:40.0","","","29-34","","D. Powell enters the game for S. Dinwiddie"
"170","6:28.0","M. Moody misses 3-pt jump shot from 25 ft","","29-34","",""
"171","6:23.0","Offensive rebound by A. Wiggins","","29-34","",""
"172","6:23.0","A. Wiggins misses 2-pt layup at rim","","29-34","",""
"173","6:22.0","Offensive rebound by A. Wiggins","","29-34","",""
"174","6:22.0","A. Wiggins makes 2-pt layup at rim","+2","31-34","",""
"175","6:01.0","","","31-37","+3","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Brunson)"
"176","5:51.0","Turnover by S. Curry (back court)","","31-37","",""
"177","5:51.0","Technical foul by D. Green","","31-37","",""
"178","5:51.0","","","31-38","+1","L. Doncic makes technical free throw"
"179","5:47.0","","","31-38","","Personal foul by D. Green (drawn by D. Powell)"
"180","5:47.0","","","31-38","","D. Powell misses free throw 1 of 2"
"181","5:47.0","","","31-38","","Offensive rebound by Team"
"182","5:47.0","Golden State full timeout","","31-38","",""
"183","5:47.0","","","31-38","","S. Dinwiddie enters the game for J. Brunson"
"184","5:47.0","","","31-39","+1","D. Powell makes free throw 2 of 2"
"185","5:35.0","S. Curry makes 2-pt layup from 1 ft","+2","33-39","",""
"186","5:17.0","","","33-39","","Shooting foul by D. Green (drawn by L. Doncic)"
"187","5:17.0","","","33-40","+1","L. Doncic makes free throw 1 of 2"
"188","5:17.0","","","33-41","+1","L. Doncic makes free throw 2 of 2"
"189","5:04.0","Turnover by S. Curry (bad pass; steal by L. Doncic)","","33-41","",""
"190","4:43.0","","","33-41","","S. Dinwiddie misses 3-pt jump shot from 27 ft"
"191","4:40.0","","","33-41","","Offensive rebound by D. Powell"
"192","4:38.0","","","33-41","","R. Bullock misses 3-pt jump shot from 30 ft"
"193","4:38.0","Defensive rebound by Team","","33-41","",""
"194","4:21.0","A. Wiggins misses 3-pt jump shot from 25 ft","","33-41","",""
"195","4:18.0","","","33-41","","Defensive rebound by L. Doncic"
"196","4:08.0","","","33-41","","Offensive foul by L. Doncic (drawn by J. Toscano-Anderson)"
"197","4:08.0","","","33-41","","Turnover by L. Doncic (offensive foul)"
"198","4:08.0","K. Looney enters the game for M. Moody","","33-41","",""
"199","4:08.0","K. Thompson enters the game for J. Toscano-Anderson","","33-41","",""
"200","4:08.0","","","33-41","","M. Kleber enters the game for D. Powell"
"201","3:58.0","Turnover by S. Curry (lost ball)","","33-41","",""
"202","3:58.0","Loose ball foul by S. Curry (drawn by D. Finney-Smith)","","33-41","",""
"203","3:58.0","","","33-41","","D. Finney-Smith misses free throw 1 of 2"
"204","3:58.0","","","33-41","","Offensive rebound by Team"
"205","3:58.0","","","33-42","+1","D. Finney-Smith makes free throw 2 of 2"
"206","3:45.0","D. Green makes 2-pt dunk from 1 ft (assist by S. Curry)","+2","35-42","",""
"207","3:24.0","","","35-42","","L. Doncic misses 2-pt jump shot from 9 ft"
"208","3:22.0","Defensive rebound by K. Looney","","35-42","",""
"209","3:11.0","S. Curry makes 3-pt jump shot from 25 ft (assist by A. Wiggins)","+3","38-42","",""
"210","2:46.0","","","38-42","","L. Doncic misses 3-pt jump shot from 28 ft"
"211","2:45.0","Defensive rebound by Team","","38-42","",""
"212","2:34.0","A. Wiggins makes 2-pt layup from 1 ft (assist by S. Curry)","+2","40-42","",""
"213","2:17.0","","","40-42","","L. Doncic misses 2-pt jump shot from 6 ft"
"214","2:15.0","Defensive rebound by K. Looney","","40-42","",""
"215","2:01.0","S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney)","+3","43-42","",""
"216","2:01.0","","","43-42","","Dallas full timeout"
"217","2:01.0","","","43-42","","J. Brunson enters the game for S. Dinwiddie"
"218","1:44.0","","","43-42","","D. Finney-Smith misses 3-pt jump shot from 26 ft"
"219","1:42.0","Defensive rebound by Team","","43-42","",""
"220","1:30.0","S. Curry misses 2-pt layup from 6 ft","","43-42","",""
"221","1:29.0","","","43-42","","Defensive rebound by Team"
"222","1:24.0","","","43-42","","Personal foul by S. Curry (drawn by L. Doncic)"
"223","1:24.0","","","43-43","+1","L. Doncic makes free throw 1 of 2"
"224","1:24.0","","","43-44","+1","L. Doncic makes free throw 2 of 2"
"225","1:06.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry)","+3","46-44","",""
"226","0:45.0","","","46-47","+3","J. Brunson makes 3-pt jump shot from 23 ft (assist by M. Kleber)"
"227","0:28.0","A. Wiggins makes 2-pt dunk at rim (assist by K. Looney)","+2","48-47","",""
"228","0:03.0","","","48-47","","R. Bullock misses 3-pt jump shot from 24 ft"
"229","0:03.0","Defensive rebound by K. Looney","","48-47","",""
"230","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"231","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"232","Time","Golden State","","Score","","Dallas"
"233","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"234","11:44.0","A. Wiggins makes 2-pt hook shot from 4 ft (assist by D. Green)","+2","50-47","",""
"235","11:27.0","","","50-47","","D. Finney-Smith misses 2-pt layup from 1 ft"
"236","11:23.0","Defensive rebound by K. Looney","","50-47","",""
"237","11:01.0","D. Green misses 2-pt jump shot from 18 ft","","50-47","",""
"238","10:58.0","","","50-47","","Defensive rebound by D. Powell"
"239","10:46.0","","","50-47","","L. Doncic misses 3-pt jump shot from 25 ft"
"240","10:43.0","Defensive rebound by K. Thompson","","50-47","",""
"241","10:36.0","Personal foul by R. Bullock (drawn by S. Curry)","","50-47","",""
"242","10:30.0","K. Thompson misses 2-pt layup from 3 ft","","50-47","",""
