"","Time","Phoenix","","Score","","New Orleans"
"348","10:02.0","","","79-86","","Shooting foul by J. McGee (drawn by J. Valanciunas)"
"349","10:02.0","","","79-87","+1","J. Valanciunas makes free throw 1 of 2"
"350","10:02.0","D. Ayton enters the game for J. McGee","","79-87","",""
"351","10:02.0","","","79-88","+1","J. Valanciunas makes free throw 2 of 2"
"352","9:47.0","D. Ayton makes 2-pt jump shot from 8 ft (assist by C. Paul)","+2","81-88","",""
"353","9:26.0","","","81-88","","D. Graham misses 3-pt jump shot from 28 ft"
"354","9:21.0","Defensive rebound by C. Johnson","","81-88","",""
"355","9:11.0","M. Bridges misses 3-pt jump shot from 24 ft (block by H. Jones)","","81-88","",""
"356","9:11.0","Offensive rebound by Team","","81-88","",""
"357","9:02.0","D. Ayton makes 2-pt dunk from 5 ft (assist by C. Paul)","+2","83-88","",""
"358","8:41.0","","","83-88","","Shooting foul by D. Ayton (drawn by J. Valanciunas)"
"359","8:41.0","","","83-88","","J. Valanciunas misses free throw 1 of 2"
"360","8:41.0","","","83-88","","Offensive rebound by Team"
"361","8:41.0","","","83-88","","J. Alvarado enters the game for D. Graham"
"362","8:41.0","","","83-88","","L. Nance enters the game for N. Marshall"
"363","8:41.0","","","83-89","+1","J. Valanciunas makes free throw 2 of 2"
"364","8:32.0","Turnover by  (8 sec)","","83-89","",""
"365","8:21.0","","","83-89","","C. McCollum misses 2-pt jump shot from 17 ft"
"366","8:18.0","Defensive rebound by C. Johnson","","83-89","",""
"367","8:03.0","L. Shamet makes 2-pt jump shot from 15 ft (assist by C. Paul)","+2","85-89","",""
"368","7:37.0","","","85-91","+2","J. Valanciunas makes 2-pt jump shot from 4 ft"
"369","7:18.0","C. Paul misses 3-pt jump shot from 26 ft","","85-91","",""
"370","7:14.0","","","85-91","","Defensive rebound by J. Alvarado"
"371","7:07.0","","","85-94","+3","J. Valanciunas makes 3-pt jump shot from 27 ft (assist by J. Alvarado)"
"372","7:06.0","Phoenix full timeout","","85-94","",""
"373","7:06.0","J. Crowder enters the game for L. Shamet","","85-94","",""
"374","7:06.0","","","85-94","","B. Ingram enters the game for C. McCollum"
"375","6:53.0","C. Johnson misses 3-pt jump shot from 26 ft","","85-94","",""
"376","6:49.0","","","85-94","","Defensive rebound by L. Nance"
"377","6:31.0","","","85-94","","J. Valanciunas misses 2-pt layup from 4 ft"
"378","6:27.0","","","85-94","","Offensive rebound by J. Valanciunas"
"379","6:27.0","","","85-96","+2","J. Valanciunas makes 2-pt layup at rim"
"380","6:25.0","Personal foul by J. Alvarado (drawn by C. Paul)","","85-96","",""
"381","6:24.0","Turnover by J. Crowder (bad pass; steal by H. Jones)","","85-96","",""
"382","6:23.0","","","85-98","+2","H. Jones makes 2-pt layup from 3 ft"
"383","6:23.0","","","85-98","","Flagrant foul type 1 by C. Paul (drawn by H. Jones)"
"384","6:23.0","","","85-98","","Instant Replay (Request: Ruling Stands)"
"385","6:23.0","C. Payne enters the game for C. Johnson","","85-98","",""
"386","6:23.0","","","85-98","","H. Jones misses flagrant free throw 1 of 2"
"387","6:23.0","","","85-99","+1","H. Jones makes flagrant free throw 2 of 2"
"388","6:23.0","","","85-99","","Offensive rebound by Team"
"389","6:11.0","","","85-99","","B. Ingram misses 2-pt layup from 3 ft"
"390","6:07.0","","","85-99","","Offensive rebound by J. Valanciunas"
"391","6:07.0","","","85-99","","J. Valanciunas misses 2-pt dunk at rim"
"392","6:06.0","Defensive rebound by C. Paul","","85-99","",""
"393","6:01.0","C. Payne misses 3-pt jump shot from 26 ft","","85-99","",""
"394","5:58.0","","","85-99","","Defensive rebound by J. Valanciunas"
"395","5:44.0","","","85-99","","Shooting foul by C. Paul (drawn by J. Alvarado)"
"396","5:44.0","","","85-100","+1","J. Alvarado makes free throw 1 of 2"
"397","5:44.0","","","85-101","+1","J. Alvarado makes free throw 2 of 2"
"398","5:26.0","C. Payne misses 3-pt jump shot from 27 ft (block by H. Jones)","","85-101","",""
"399","5:24.0","Offensive rebound by Team","","85-101","",""
"400","5:21.0","C. Payne misses 3-pt jump shot from 26 ft","","85-101","",""
"401","5:17.0","","","85-101","","Defensive rebound by B. Ingram"
"402","5:08.0","","","85-101","","Turnover by J. Alvarado (bad pass; steal by J. Crowder)"
"403","5:04.0","J. Crowder makes 2-pt layup from 4 ft","+2","87-101","",""
"404","4:44.0","","","87-101","","Personal foul by J. Crowder (drawn by J. Valanciunas)"
"405","4:44.0","Technical foul by M. Williams","","87-101","",""
"406","4:44.0","Phoenix full timeout","","87-101","",""
"407","4:44.0","Technical foul by C. Paul","","87-101","",""
"408","4:44.0","Instant Replay (Challenge: Stands)","","87-101","",""
"409","4:44.0","","","87-101","","C. McCollum enters the game for L. Nance"
"410","4:44.0","","","87-101","","B. Ingram misses technical free throw"
"411","4:44.0","","","87-101","","Offensive rebound by Team"
"412","4:44.0","","","87-101","","B. Ingram misses technical free throw"
"413","4:44.0","","","87-101","","Offensive rebound by Team"
"414","4:44.0","","","87-101","","J. Valanciunas misses free throw 1 of 2"
"415","4:44.0","","","87-101","","Offensive rebound by Team"
"416","4:44.0","","","87-102","+1","J. Valanciunas makes free throw 2 of 2"
"417","4:31.0","J. Crowder misses 3-pt jump shot from 27 ft","","87-102","",""
"418","4:28.0","","","87-102","","Defensive rebound by J. Valanciunas"
"419","4:22.0","","","87-102","","New Orleans full timeout"
"420","4:22.0","","","87-102","","L. Nance enters the game for J. Valanciunas"
"421","4:08.0","","","87-102","","B. Ingram misses 2-pt jump shot from 9 ft"
"422","4:06.0","","","87-102","","Offensive rebound by L. Nance"
"423","4:05.0","","","87-104","+2","L. Nance makes 2-pt layup at rim"
"424","3:44.0","D. Ayton makes 2-pt jump shot from 19 ft (assist by M. Bridges)","+2","89-104","",""
"425","3:29.0","","","89-104","","H. Jones misses 2-pt layup from 5 ft"
"426","3:29.0","","","89-104","","Offensive rebound by Team"
"427","3:20.0","","","89-104","","J. Alvarado misses 3-pt jump shot from 27 ft"
"428","3:16.0","","","89-104","","Offensive rebound by L. Nance"
"429","3:14.0","","","89-107","+3","C. McCollum makes 3-pt jump shot from 29 ft (assist by L. Nance)"
"430","3:05.0","Shooting foul by L. Nance (drawn by C. Payne)","","89-107","",""
"431","3:05.0","C. Payne makes free throw 1 of 2","+1","90-107","",""
"432","3:05.0","C. Payne makes free throw 2 of 2","+1","91-107","",""
"433","2:42.0","","","91-107","","B. Ingram misses 2-pt jump shot from 7 ft"
"434","2:40.0","Defensive rebound by M. Bridges","","91-107","",""
"435","2:37.0","Turnover by C. Paul (lost ball; steal by J. Alvarado)","","91-107","",""
"436","2:31.0","","","91-109","+2","H. Jones makes 2-pt layup from 3 ft (assist by B. Ingram)"
"437","2:24.0","Personal foul by J. Alvarado (drawn by C. Paul)","","91-109","",""
"438","2:24.0","B. Biyombo enters the game for D. Ayton","","91-109","",""
"439","2:24.0","T. Craig enters the game for M. Bridges","","91-109","",""
"440","2:24.0","A. Holiday enters the game for J. Crowder","","91-109","",""
"441","2:24.0","E. Payton enters the game for C. Paul","","91-109","",""
"442","2:24.0","I. Wainright enters the game for C. Payne","","91-109","",""
"443","2:24.0","","","91-109","","N. Marshall enters the game for B. Ingram"
"444","2:24.0","","","91-109","","T. Murphy enters the game for C. McCollum"
"445","2:18.0","A. Holiday makes 3-pt jump shot from 27 ft (assist by E. Payton)","+3","94-109","",""
"446","1:55.0","","","94-109","","Shooting foul by B. Biyombo (drawn by N. Marshall)"
"447","1:55.0","","","94-110","+1","N. Marshall makes free throw 1 of 2"
"448","1:55.0","","","94-110","","W. Hernangómez enters the game for H. Jones"
"449","1:55.0","","","94-110","","G. Temple enters the game for L. Nance"
"450","1:55.0","","","94-111","+1","N. Marshall makes free throw 2 of 2"
"451","1:48.0","A. Holiday makes 2-pt layup from 4 ft","+2","96-111","",""
"452","1:48.0","Shooting foul by W. Hernangómez (drawn by A. Holiday)","","96-111","",""
"453","1:48.0","A. Holiday misses free throw 1 of 1","","96-111","",""
"454","1:46.0","Offensive rebound by B. Biyombo","","96-111","",""
"455","1:45.0","A. Holiday makes 2-pt layup from 4 ft (assist by B. Biyombo)","+2","98-111","",""
"456","1:45.0","Technical foul by A. Holiday","","98-111","",""
"457","1:45.0","","","98-112","+1","T. Murphy makes technical free throw"
"458","1:28.0","","","98-112","","W. Hernangómez misses 2-pt dunk from 5 ft"
"459","1:25.0","","","98-112","","Offensive rebound by W. Hernangómez"
"460","1:25.0","","","98-112","","W. Hernangómez misses 2-pt layup at rim"
"461","1:15.0","","","98-112","","Offensive rebound by W. Hernangómez"
"462","1:15.0","","","98-114","+2","W. Hernangómez makes 2-pt layup at rim"
"463","1:13.0","Turnover by B. Biyombo (bad pass; steal by J. Alvarado)","","98-114","",""
"464","1:09.0","","","98-114","","W. Hernangómez misses 3-pt jump shot from 26 ft"
"465","1:06.0","Defensive rebound by B. Biyombo","","98-114","",""
"466","0:59.0","Turnover by B. Biyombo (bad pass; steal by N. Marshall)","","98-114","",""
"467","0:57.0","","","98-116","+2","N. Marshall makes 2-pt dunk from 2 ft"
"468","0:51.0","T. Craig makes 3-pt jump shot from 23 ft (assist by A. Holiday)","+3","101-116","",""
"469","0:42.0","","","101-116","","Turnover by N. Marshall (lost ball; steal by I. Wainright)"
"470","0:38.0","I. Wainright misses 2-pt layup from 3 ft","","101-116","",""
"471","0:35.0","Offensive rebound by I. Wainright","","101-116","",""
"472","0:33.0","I. Wainright misses 3-pt jump shot from 23 ft","","101-116","",""
"473","0:30.0","","","101-116","","Defensive rebound by G. Temple"
"474","0:13.0","","","101-118","+2","J. Alvarado makes 2-pt layup from 3 ft"
"475","0:03.0","E. Payton makes 2-pt layup from 4 ft (assist by A. Holiday)","+2","103-118","",""
"476","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
