"","Time","Dallas","","Score","","Utah"
"148","8:27.0","","","26-31","","Offensive rebound by H. Whiteside"
"149","8:26.0","","","26-31","","H. Whiteside misses 2-pt layup from 4 ft"
"150","8:24.0","Defensive rebound by D. Finney-Smith","","26-31","",""
"151","8:20.0","S. Dinwiddie makes 2-pt jump shot from 8 ft","+2","28-31","",""
"152","8:20.0","Shooting foul by B. Bogdanovic (drawn by S. Dinwiddie)","","28-31","",""
"153","8:20.0","S. Dinwiddie makes free throw 1 of 1","+1","29-31","",""
"154","8:01.0","","","29-31","","D. House misses 3-pt jump shot from 25 ft"
"155","7:58.0","Defensive rebound by Team","","29-31","",""
"156","7:34.0","D. Finney-Smith makes 2-pt jump shot from 10 ft","+2","31-31","",""
"157","7:16.0","","","31-33","+2","D. House makes 2-pt jump shot from 5 ft (assist by D. Mitchell)"
"158","6:57.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","34-33","",""
"159","6:41.0","","","34-33","","B. Bogdanovic misses 2-pt layup from 5 ft (block by S. Dinwiddie)"
"160","6:38.0","Defensive rebound by R. Bullock","","34-33","",""
"161","6:34.0","R. Bullock misses 3-pt jump shot from 25 ft","","34-33","",""
"162","6:31.0","","","34-33","","Defensive rebound by D. Mitchell"
"163","6:24.0","","","34-33","","J. Clarkson misses 3-pt jump shot from 26 ft"
"164","6:22.0","Defensive rebound by L. Doncic","","34-33","",""
"165","6:07.0","L. Doncic misses 3-pt jump shot from 25 ft","","34-33","",""
"166","6:06.0","","","34-33","","Defensive rebound by Team"
"167","6:06.0","","","34-33","","Utah full timeout"
"168","6:06.0","J. Brunson enters the game for S. Dinwiddie","","34-33","",""
"169","6:06.0","","","34-33","","R. Gobert enters the game for D. House"
"170","6:06.0","","","34-33","","R. O'Neale enters the game for H. Whiteside"
"171","5:49.0","","","34-35","+2","B. Bogdanovic makes 2-pt layup from 2 ft (assist by J. Clarkson)"
"172","5:24.0","J. Brunson makes 2-pt layup from 10 ft (assist by D. Finney-Smith)","+2","36-35","",""
"173","5:12.0","","","36-37","+2","D. Mitchell makes 2-pt layup from 3 ft"
"174","4:42.0","Turnover by Team (shot clock)","","36-37","",""
"175","4:29.0","","","36-39","+2","R. O'Neale makes 2-pt layup from 4 ft (assist by D. Mitchell)"
"176","4:09.0","R. Bullock misses 3-pt jump shot from 23 ft","","36-39","",""
"177","4:06.0","","","36-39","","Defensive rebound by R. Gobert"
"178","3:51.0","","","36-39","","R. Gobert misses 2-pt layup from 3 ft"
"179","3:47.0","Defensive rebound by M. Kleber","","36-39","",""
"180","3:42.0","J. Brunson misses 2-pt layup from 4 ft","","36-39","",""
"181","3:40.0","","","36-39","","Defensive rebound by R. Gobert"
"182","3:34.0","","","36-41","+2","D. Mitchell makes 2-pt layup from 3 ft"
