"","Time","New Orleans","","Score","","Phoenix"
"133","9:02.0","","","34-34","+2","J. McGee makes 2-pt layup from 1 ft (assist by M. Bridges)"
"134","8:52.0","L. Nance makes 3-pt jump shot from 27 ft (assist by J. Alvarado)","+3","37-34","",""
"135","8:51.0","","","37-34","","Phoenix full timeout"
"136","8:51.0","J. Hayes enters the game for N. Marshall","","37-34","",""
"137","8:51.0","H. Jones enters the game for T. Murphy","","37-34","",""
"138","8:33.0","","","37-36","+2","C. Johnson makes 2-pt layup from 3 ft (assist by C. Paul)"
"139","8:16.0","Turnover by L. Nance (bad pass)","","37-36","",""
"140","7:53.0","","","37-36","","C. Payne misses 3-pt jump shot from 27 ft"
"141","7:49.0","","","37-36","","Offensive rebound by M. Bridges"
"142","7:43.0","","","37-36","","Offensive foul by J. McGee (drawn by J. Alvarado)"
"143","7:43.0","","","37-36","","Turnover by J. McGee (offensive foul)"
"144","7:43.0","J. Valanciunas enters the game for L. Nance","","37-36","",""
"145","7:43.0","","","37-36","","D. Ayton enters the game for J. McGee"
"146","7:30.0","Offensive foul by J. Valanciunas (drawn by M. Bridges)","","37-36","",""
"147","7:30.0","Turnover by J. Valanciunas (offensive foul)","","37-36","",""
"148","7:15.0","","","37-36","","C. Johnson misses 3-pt jump shot from 23 ft"
"149","7:14.0","Defensive rebound by J. Valanciunas","","37-36","",""
"150","6:57.0","Shooting foul by C. Payne (drawn by C. McCollum)","","37-36","",""
"151","6:57.0","C. McCollum makes free throw 1 of 2","+1","38-36","",""
"152","6:57.0","B. Ingram enters the game for J. Alvarado","","38-36","",""
"153","6:57.0","","","38-36","","J. Crowder enters the game for C. Johnson"
"154","6:57.0","C. McCollum makes free throw 2 of 2","+1","39-36","",""
"155","6:39.0","","","39-36","","D. Ayton misses 2-pt jump shot from 15 ft"
"156","6:37.0","Defensive rebound by B. Ingram","","39-36","",""
"157","6:32.0","J. Hayes makes 2-pt layup from 1 ft (assist by C. McCollum)","+2","41-36","",""
"158","6:19.0","","","41-39","+3","C. Paul makes 3-pt jump shot from 25 ft"
"159","6:03.0","J. Valanciunas misses 3-pt jump shot from 26 ft","","41-39","",""
"160","5:58.0","","","41-39","","Defensive rebound by D. Ayton"
"161","5:48.0","","","41-39","","J. Crowder misses 2-pt jump shot from 13 ft"
"162","5:45.0","Defensive rebound by J. Valanciunas","","41-39","",""
"163","5:32.0","Turnover by C. McCollum (bad pass; steal by C. Payne)","","41-39","",""
"164","5:23.0","","","41-42","+3","M. Bridges makes 3-pt jump shot from 24 ft (assist by J. Crowder)"
"165","5:22.0","New Orleans full timeout","","41-42","",""
"166","5:22.0","","","41-42","","D. Booker enters the game for C. Paul"
"167","5:01.0","C. McCollum misses 3-pt jump shot from 25 ft","","41-42","",""
"168","5:01.0","Offensive rebound by Team","","41-42","",""
"169","5:01.0","","","41-42","","Loose ball foul by D. Ayton (drawn by J. Valanciunas)"
"170","4:50.0","B. Ingram misses 2-pt jump shot from 12 ft","","41-42","",""
"171","4:47.0","Offensive rebound by J. Valanciunas","","41-42","",""
"172","4:44.0","Shooting foul by D. Ayton (drawn by J. Valanciunas)","","41-42","",""
"173","4:44.0","J. Valanciunas makes free throw 1 of 2","+1","42-42","",""
"174","4:44.0","J. Valanciunas makes free throw 2 of 2","+1","43-42","",""
