"","Time","Boston","","Score","","Milwaukee"
"141","10:01.0","","","22-26","","Defensive rebound by G. Antetokounmpo"
"142","9:53.0","","","22-26","","G. Allen misses 3-pt jump shot from 23 ft"
"143","9:50.0","Defensive rebound by A. Horford","","22-26","",""
"144","9:32.0","R. Williams makes 2-pt jump shot from 16 ft (assist by P. Pritchard)","+2","24-26","",""
"145","9:19.0","","","24-28","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft"
"146","9:00.0","D. White makes 3-pt jump shot from 28 ft","+3","27-28","",""
"147","8:47.0","","","27-28","","G. Antetokounmpo misses 3-pt jump shot from 28 ft"
"148","8:47.0","Defensive rebound by Team","","27-28","",""
"149","8:47.0","M. Smart enters the game for P. Pritchard","","27-28","",""
"150","8:47.0","G. Williams enters the game for R. Williams","","27-28","",""
"151","8:47.0","","","27-28","","J. Carter enters the game for P. Connaughton"
"152","8:34.0","Turnover by J. Tatum (lost ball; steal by B. Lopez)","","27-28","",""
"153","8:26.0","","","27-28","","G. Antetokounmpo misses 2-pt layup from 6 ft"
"154","8:20.0","","","27-28","","Offensive rebound by B. Lopez"
"155","8:20.0","","","27-28","","B. Lopez misses 2-pt layup at rim"
"156","8:19.0","Defensive rebound by A. Horford","","27-28","",""
"157","8:18.0","D. White misses 2-pt jump shot from 7 ft","","27-28","",""
"158","8:18.0","","","27-28","","Defensive rebound by J. Carter"
"159","8:07.0","","","27-28","","Turnover by J. Holiday (bad pass; steal by D. White)"
"160","8:04.0","J. Tatum makes 2-pt dunk from 2 ft (assist by G. Williams)","+2","29-28","",""
"161","8:04.0","Shooting foul by G. Antetokounmpo (drawn by J. Tatum)","","29-28","",""
"162","8:04.0","Instant Replay (Request: Stands)","","29-28","",""
"163","8:04.0","J. Brown enters the game for D. White","","29-28","",""
"164","8:04.0","","","29-28","","W. Matthews enters the game for G. Allen"
"165","8:04.0","J. Tatum makes free throw 1 of 1","+1","30-28","",""
"166","7:49.0","","","30-30","+2","B. Lopez makes 2-pt hook shot from 3 ft"
"167","7:49.0","","","30-30","","Shooting foul by A. Horford (drawn by B. Lopez)"
"168","7:49.0","","","30-31","+1","B. Lopez makes free throw 1 of 1"
"169","7:27.0","J. Brown makes 2-pt jump shot from 10 ft","+2","32-31","",""
"170","7:06.0","","","32-31","","B. Lopez misses 2-pt hook shot from 7 ft"
"171","7:02.0","Defensive rebound by A. Horford","","32-31","",""
"172","6:58.0","A. Horford misses 3-pt jump shot from 26 ft","","32-31","",""
"173","6:58.0","","","32-31","","Defensive rebound by Team"
"174","6:58.0","","","32-31","","Milwaukee full timeout"
"175","6:58.0","R. Williams enters the game for A. Horford","","32-31","",""
