"","Time","Milwaukee","","Score","","Boston"
"349","9:07.0","W. Matthews enters the game for B. Portis","","70-88","",""
"350","9:07.0","","","70-88","","G. Williams enters the game for R. Williams"
"351","9:07.0","G. Antetokounmpo makes free throw 2 of 2","+1","71-88","",""
"352","8:48.0","","","71-88","","Personal foul by J. Carter (drawn by J. Brown)"
"353","8:48.0","","","71-88","","R. Williams enters the game for J. Tatum"
"354","8:46.0","","","71-88","","Personal foul by B. Lopez (drawn by D. White)"
"355","8:46.0","B. Portis enters the game for B. Lopez","","71-88","",""
"356","8:36.0","","","71-88","","G. Williams misses 2-pt jump shot from 7 ft"
"357","8:32.0","Defensive rebound by B. Portis","","71-88","",""
"358","8:27.0","B. Portis misses 3-pt jump shot from 26 ft","","71-88","",""
"359","8:25.0","","","71-88","","Defensive rebound by J. Brown"
"360","8:25.0","","","71-88","","Personal foul by G. Antetokounmpo (drawn by J. Brown)"
"361","8:25.0","Milwaukee full timeout","","71-88","",""
"362","8:25.0","Instant Replay (Challenge: Stands)","","71-88","",""
"363","8:25.0","J. Holiday enters the game for B. Portis","","71-88","",""
"364","8:25.0","","","71-88","","J. Tatum enters the game for A. Horford"
"365","8:09.0","","","71-88","","Offensive foul by R. Williams (drawn by W. Matthews)"
"366","8:09.0","","","71-88","","Turnover by R. Williams (offensive foul)"
"367","7:58.0","G. Antetokounmpo misses 2-pt layup from 6 ft (block by R. Williams)","","71-88","",""
"368","7:56.0","Offensive rebound by Team","","71-88","",""
"369","7:56.0","","","71-88","","A. Horford enters the game for R. Williams"
"370","7:52.0","P. Connaughton makes 2-pt layup from 3 ft (assist by J. Holiday)","+2","73-88","",""
"371","7:34.0","","","73-91","+3","G. Williams makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"372","7:16.0","J. Holiday makes 2-pt jump shot from 6 ft","+2","75-91","",""
"373","6:59.0","","","75-91","","Personal foul by P. Connaughton (drawn by G. Williams)"
"374","6:59.0","","","75-91","","Instant Replay (Request: Ruling Stands)"
"375","6:59.0","G. Allen enters the game for J. Carter","","75-91","",""
"376","6:59.0","","","75-92","+1","G. Williams makes free throw 1 of 2"
"377","6:59.0","","","75-92","","G. Williams misses free throw 2 of 2"
"378","6:59.0","Defensive rebound by J. Holiday","","75-92","",""
"379","6:46.0","P. Connaughton makes 2-pt layup at rim (assist by G. Antetokounmpo)","+2","77-92","",""
"380","6:19.0","","","77-92","","J. Tatum misses 2-pt jump shot from 19 ft"
"381","6:17.0","","","77-92","","Offensive rebound by G. Williams"
"382","6:15.0","","","77-92","","J. Brown misses 3-pt jump shot from 26 ft"
"383","6:13.0","Defensive rebound by G. Antetokounmpo","","77-92","",""
"384","6:07.0","Shooting foul by D. White (drawn by G. Allen)","","77-92","",""
"385","6:07.0","G. Allen misses free throw 1 of 2","","77-92","",""
"386","6:07.0","Offensive rebound by Team","","77-92","",""
"387","6:07.0","","","77-92","","P. Pritchard enters the game for D. White"
"388","6:07.0","G. Allen makes free throw 2 of 2","+1","78-92","",""
"389","5:49.0","","","78-94","+2","J. Tatum makes 2-pt layup from 3 ft"
"390","5:40.0","Personal foul by P. Pritchard (drawn by G. Allen)","","78-94","",""
"391","5:40.0","Instant Replay (Request: Stands)","","78-94","",""
"392","5:31.0","G. Allen makes 2-pt layup from 1 ft (assist by G. Antetokounmpo)","+2","80-94","",""
"393","5:09.0","","","80-94","","J. Brown misses 3-pt jump shot from 24 ft"
"394","5:06.0","Defensive rebound by G. Antetokounmpo","","80-94","",""
"395","4:58.0","G. Antetokounmpo misses 2-pt hook shot from 8 ft","","80-94","",""
"396","4:56.0","","","80-94","","Defensive rebound by A. Horford"
"397","4:43.0","","","80-94","","P. Pritchard misses 3-pt jump shot from 27 ft"
"398","4:40.0","Defensive rebound by Team","","80-94","",""
"399","4:30.0","Shooting foul by A. Horford (drawn by G. Antetokounmpo)","","80-94","",""
"400","4:30.0","G. Antetokounmpo makes free throw 1 of 2","+1","81-94","",""
"401","4:30.0","G. Antetokounmpo makes free throw 2 of 2","+1","82-94","",""
"402","4:05.0","","","82-97","+3","J. Tatum makes 3-pt jump shot from 24 ft (assist by J. Brown)"
"403","3:52.0","Shooting foul by A. Horford (drawn by J. Holiday)","","82-97","",""
"404","3:52.0","J. Holiday makes free throw 1 of 2","+1","83-97","",""
"405","3:52.0","J. Holiday makes free throw 2 of 2","+1","84-97","",""
"406","3:30.0","","","84-97","","P. Pritchard misses 3-pt jump shot from 30 ft"
"407","3:27.0","","","84-97","","Offensive rebound by J. Brown"
"408","3:24.0","","","84-99","+2","J. Brown makes 2-pt layup from 3 ft"
"409","3:13.0","G. Antetokounmpo makes 2-pt layup at rim (assist by J. Holiday)","+2","86-99","",""
"410","2:51.0","","","86-99","","Personal foul by W. Matthews (drawn by J. Tatum)"
"411","2:51.0","","","86-99","","Boston full timeout"
"412","2:51.0","","","86-99","","D. White enters the game for J. Brown"
"413","2:51.0","","","86-99","","R. Williams enters the game for P. Pritchard"
"414","2:51.0","","","86-100","+1","J. Tatum makes free throw 1 of 2"
"415","2:51.0","","","86-101","+1","J. Tatum makes free throw 2 of 2"
"416","2:39.0","Turnover by G. Antetokounmpo (lost ball; steal by A. Horford)","","86-101","",""
"417","2:28.0","","","86-104","+3","J. Tatum makes 3-pt jump shot from 24 ft (assist by D. White)"
"418","2:18.0","J. Holiday misses 3-pt jump shot from 24 ft","","86-104","",""
"419","2:16.0","","","86-104","","Defensive rebound by Team"
"420","1:58.0","","","86-107","+3","G. Williams makes 3-pt jump shot from 25 ft (assist by J. Tatum)"
"421","1:52.0","Milwaukee full timeout","","86-107","",""
"422","1:52.0","T. Antetokounmpo enters the game for G. Allen","","86-107","",""
"423","1:52.0","S. Ibaka enters the game for G. Antetokounmpo","","86-107","",""
"424","1:52.0","J. Nwora enters the game for P. Connaughton","","86-107","",""
"425","1:52.0","R. Tucker enters the game for J. Holiday","","86-107","",""
"426","1:52.0","L. Vildoza enters the game for W. Matthews","","86-107","",""
"427","1:52.0","","","86-107","","M. Fitts enters the game for A. Horford"
"428","1:52.0","","","86-107","","S. Hauser enters the game for J. Tatum"
"429","1:52.0","","","86-107","","L. Kornet enters the game for D. White"
"430","1:52.0","","","86-107","","A. Nesmith enters the game for G. Williams"
"431","1:52.0","","","86-107","","N. Stauskas enters the game for R. Williams"
"432","1:46.0","L. Vildoza misses 3-pt jump shot from 25 ft","","86-107","",""
"433","1:43.0","","","86-107","","Defensive rebound by S. Hauser"
"434","1:32.0","","","86-107","","S. Hauser misses 3-pt jump shot from 26 ft"
"435","1:28.0","Defensive rebound by R. Tucker","","86-107","",""
"436","1:19.0","S. Ibaka misses 3-pt jump shot from 26 ft","","86-107","",""
"437","1:16.0","","","86-107","","Defensive rebound by M. Fitts"
"438","1:08.0","","","86-107","","M. Fitts misses 2-pt jump shot from 18 ft"
"439","1:04.0","Defensive rebound by J. Nwora","","86-107","",""
"440","0:56.0","S. Ibaka misses 2-pt hook shot from 5 ft","","86-107","",""
"441","0:54.0","","","86-107","","Defensive rebound by L. Kornet"
"442","0:49.0","","","86-107","","Shooting foul by T. Antetokounmpo (drawn by S. Hauser)"
"443","0:49.0","","","86-108","+1","S. Hauser makes free throw 1 of 2"
"444","0:49.0","","","86-109","+1","S. Hauser makes free throw 2 of 2"
"445","0:39.0","Shooting foul by L. Kornet (drawn by J. Nwora)","","86-109","",""
"446","0:39.0","J. Nwora misses free throw 1 of 2","","86-109","",""
"447","0:39.0","Offensive rebound by Team","","86-109","",""
"448","0:39.0","J. Nwora misses free throw 2 of 2","","86-109","",""
"449","0:38.0","","","86-109","","Defensive rebound by A. Nesmith"
"450","0:13.0","","","86-109","","Turnover by Team (shot clock)"
"451","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
