"","Time","Utah","","Score","","Dallas"
"349","11:11.0","Instant Replay (Request: Stands)","","57-81","",""
"350","11:02.0","","","57-81","","Turnover by S. Dinwiddie (bad pass; steal by J. Hernangómez)"
"351","10:48.0","R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley)","+2","59-81","",""
"352","10:32.0","","","59-83","+2","J. Brunson makes 2-pt jump shot from 8 ft"
"353","10:09.0","J. Clarkson makes 2-pt layup from 2 ft (assist by M. Conley)","+2","61-83","",""
"354","9:42.0","","","61-86","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"355","9:19.0","J. Clarkson makes 2-pt jump shot from 14 ft","+2","63-86","",""
"356","9:00.0","","","63-86","","J. Brunson misses 2-pt jump shot from 12 ft"
"357","8:57.0","","","63-86","","Offensive rebound by S. Dinwiddie"
"358","8:53.0","","","63-86","","S. Dinwiddie misses 3-pt jump shot from 27 ft"
"359","8:51.0","","","63-86","","Offensive rebound by D. Powell"
"360","8:44.0","","","63-86","","Personal foul by M. Conley (drawn by D. Powell)"
"361","8:35.0","","","63-86","","J. Green misses 3-pt jump shot from 23 ft"
"362","8:32.0","Defensive rebound by J. Hernangómez","","63-86","",""
"363","8:28.0","J. Clarkson misses 3-pt jump shot from 24 ft","","63-86","",""
"364","8:25.0","","","63-86","","Defensive rebound by J. Brunson"
"365","8:03.0","","","63-86","","S. Dinwiddie misses 2-pt jump shot from 14 ft"
"366","8:01.0","Defensive rebound by R. Gobert","","63-86","",""
"367","7:54.0","Shooting foul by D. Powell (drawn by J. Clarkson)","","63-86","",""
"368","7:54.0","J. Clarkson makes free throw 1 of 2","+1","64-86","",""
"369","7:54.0","D. Mitchell enters the game for R. Gobert","","64-86","",""
"370","7:54.0","H. Whiteside enters the game for D. House","","64-86","",""
"371","7:54.0","J. Clarkson makes free throw 2 of 2","+1","65-86","",""
"372","7:36.0","","","65-86","","D. Finney-Smith misses 2-pt jump shot from 8 ft"
"373","7:33.0","","","65-86","","Offensive rebound by J. Brunson"
"374","7:28.0","","","65-86","","J. Green misses 3-pt jump shot from 23 ft"
"375","7:26.0","Defensive rebound by H. Whiteside","","65-86","",""
"376","7:18.0","M. Conley misses 3-pt jump shot from 26 ft","","65-86","",""
"377","7:15.0","","","65-86","","Defensive rebound by J. Brunson"
"378","7:13.0","","","65-86","","Dallas full timeout"
"379","7:13.0","B. Bogdanovic enters the game for M. Conley","","65-86","",""
"380","7:13.0","","","65-86","","R. Bullock enters the game for S. Dinwiddie"
"381","7:13.0","","","65-86","","L. Doncic enters the game for J. Green"
"382","7:13.0","","","65-86","","M. Kleber enters the game for D. Powell"
"383","6:51.0","","","65-89","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"384","6:28.0","J. Clarkson misses 3-pt jump shot from 25 ft","","65-89","",""
"385","6:26.0","Offensive rebound by B. Bogdanovic","","65-89","",""
"386","6:22.0","Offensive foul by J. Hernangómez (drawn by J. Brunson)","","65-89","",""
"387","6:22.0","Turnover by J. Hernangómez (offensive foul)","","65-89","",""
"388","6:00.0","","","65-89","","R. Bullock misses 3-pt jump shot from 25 ft"
"389","5:56.0","Defensive rebound by H. Whiteside","","65-89","",""
"390","5:50.0","D. Mitchell misses 3-pt jump shot from 24 ft","","65-89","",""
"391","5:49.0","","","65-89","","Defensive rebound by Team"
"392","5:49.0","Loose ball foul by H. Whiteside (drawn by M. Kleber)","","65-89","",""
"393","5:33.0","","","65-89","","Shooting foul by H. Whiteside (drawn by L. Doncic)"
"394","5:33.0","","","65-89","","Instant Replay"
"395","5:33.0","","","65-89","","Technical foul by R. Bullock"
"396","5:33.0","","","65-89","","Technical foul by D. Finney-Smith"
"397","5:33.0","Technical foul by H. Whiteside","","65-89","",""
"398","5:33.0","Technical foul by H. Whiteside","","65-89","",""
"399","5:33.0","H. Whiteside ejected from game","","65-89","",""
"400","5:33.0","","","65-89","","R. Bullock ejected from game"
"401","5:33.0","M. Conley enters the game for J. Hernangómez","","65-89","",""
"402","5:33.0","R. Gobert enters the game for H. Whiteside","","65-89","",""
"403","5:33.0","","","65-89","","S. Dinwiddie enters the game for R. Bullock"
"404","5:33.0","","","65-90","+1","L. Doncic makes free throw 1 of 2"
"405","5:33.0","","","65-91","+1","L. Doncic makes free throw 2 of 2"
"406","5:24.0","Turnover by M. Conley (bad pass; steal by J. Brunson)","","65-91","",""
"407","5:07.0","","","65-93","+2","J. Brunson makes 2-pt jump shot from 4 ft"
"408","4:53.0","B. Bogdanovic misses 3-pt jump shot from 22 ft","","65-93","",""
"409","4:50.0","","","65-93","","Defensive rebound by L. Doncic"
"410","4:41.0","","","65-93","","Personal take foul by J. Clarkson (drawn by L. Doncic)"
"411","4:41.0","Utah full timeout","","65-93","",""
"412","4:41.0","N. Alexander-Walker enters the game for B. Bogdanovic","","65-93","",""
"413","4:41.0","J. Butler enters the game for J. Clarkson","","65-93","",""
"414","4:41.0","J. Hernangómez enters the game for M. Conley","","65-93","",""
"415","4:41.0","D. House enters the game for R. Gobert","","65-93","",""
"416","4:41.0","E. Paschall enters the game for D. Mitchell","","65-93","",""
"417","4:41.0","","","65-93","","L. Doncic misses free throw 1 of 2"
"418","4:41.0","","","65-93","","Offensive rebound by Team"
"419","4:41.0","","","65-94","+1","L. Doncic makes free throw 2 of 2"
"420","4:40.0","Personal take foul by L. Doncic (drawn by J. Butler)","","65-94","",""
"421","4:40.0","","","65-94","","T. Burke enters the game for J. Brunson"
"422","4:40.0","","","65-94","","J. Green enters the game for L. Doncic"
"423","4:31.0","E. Paschall misses 2-pt layup from 2 ft","","65-94","",""
"424","4:28.0","","","65-94","","Defensive rebound by M. Kleber"
"425","4:13.0","","","65-94","","S. Dinwiddie misses 2-pt jump shot from 18 ft"
"426","4:11.0","Defensive rebound by N. Alexander-Walker","","65-94","",""
"427","4:05.0","Shooting foul by D. Finney-Smith (drawn by D. House)","","65-94","",""
"428","4:05.0","D. House misses free throw 1 of 2","","65-94","",""
"429","4:05.0","Offensive rebound by Team","","65-94","",""
"430","4:05.0","","","65-94","","D. Bertans enters the game for D. Finney-Smith"
"431","4:05.0","","","65-94","","M. Chriss enters the game for M. Kleber"
"432","4:05.0","D. House makes free throw 2 of 2","+1","66-94","",""
"433","3:38.0","","","66-96","+2","S. Dinwiddie makes 2-pt jump shot from 5 ft"
"434","3:21.0","J. Hernangómez misses 3-pt jump shot from 24 ft","","66-96","",""
"435","3:17.0","","","66-96","","Defensive rebound by M. Chriss"
"436","3:15.0","","","66-96","","M. Chriss misses 2-pt layup from 2 ft"
"437","3:13.0","","","66-96","","Offensive rebound by M. Chriss"
"438","3:09.0","","","66-98","+2","M. Chriss makes 2-pt dunk at rim"
"439","2:55.0","J. Butler misses 2-pt jump shot from 21 ft","","66-98","",""
"440","2:51.0","Offensive rebound by J. Hernangómez","","66-98","",""
"441","2:51.0","J. Hernangómez makes 2-pt dunk from 2 ft","+2","68-98","",""
"442","2:32.0","","","68-98","","S. Dinwiddie misses 3-pt jump shot from 25 ft"
"443","2:28.0","Defensive rebound by J. Butler","","68-98","",""
"444","2:17.0","J. Butler misses 2-pt hook shot from 5 ft","","68-98","",""
"445","2:15.0","","","68-98","","Defensive rebound by T. Burke"
"446","2:06.0","","","68-100","+2","T. Burke makes 2-pt jump shot from 12 ft"
"447","1:56.0","N. Alexander-Walker makes 2-pt jump shot from 7 ft","+2","70-100","",""
"448","1:46.0","","","70-102","+2","T. Burke makes 2-pt jump shot from 12 ft"
"449","1:36.0","N. Alexander-Walker makes 2-pt jump shot from 4 ft","+2","72-102","",""
"450","1:36.0","Shooting foul by D. Bertans (drawn by N. Alexander-Walker)","","72-102","",""
"451","1:36.0","N. Alexander-Walker makes free throw 1 of 1","+1","73-102","",""
"452","1:20.0","","","73-102","","T. Burke misses 3-pt jump shot from 28 ft"
"453","1:17.0","Defensive rebound by D. House","","73-102","",""
"454","1:15.0","Personal take foul by J. Green (drawn by D. House)","","73-102","",""
"455","1:15.0","D. House makes free throw 1 of 2","+1","74-102","",""
"456","1:15.0","","","74-102","","B. Marjanovic enters the game for S. Dinwiddie"
"457","1:15.0","D. House makes free throw 2 of 2","+1","75-102","",""
"458","1:00.0","","","75-102","","Turnover by B. Marjanovic (bad pass; steal by N. Alexander-Walker)"
"459","0:52.0","J. Hernangómez misses 3-pt jump shot from 25 ft","","75-102","",""
"460","0:50.0","","","75-102","","Defensive rebound by B. Marjanovic"
"461","0:36.0","","","75-102","","B. Marjanovic misses 2-pt hook shot from 13 ft"
"462","0:33.0","Defensive rebound by E. Paschall","","75-102","",""
"463","0:30.0","D. House makes 2-pt dunk from 1 ft (assist by N. Alexander-Walker)","+2","77-102","",""
"464","0:17.0","","","77-102","","T. Burke misses 2-pt jump shot from 6 ft"
"465","0:13.0","","","77-102","","Offensive rebound by D. Bertans"
"466","0:01.0","","","77-102","","Turnover by Team (shot clock)"
"467","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
