Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
8:02.0,L.Doncic,5,7-14,1.0,3-pt,jump,27,misses,Dallas,2022-08-01 08:02:00,GSW
6:52.0,L.Doncic,5,10-14,1.0,2-pt,jump,6,misses,Dallas,2022-08-01 06:52:00,GSW
6:01.0,L.Doncic,5,10-14,1.0,2-pt,layup,ft,misses,Dallas,2022-08-01 06:01:00,GSW
5:42.0,L.Doncic,5,11-14,1.0,free,throw,2,makes,Dallas,2022-08-01 05:42:00,GSW
5:42.0,L.Doncic,5,12-14,1.0,free,throw,2,makes,Dallas,2022-08-01 05:42:00,GSW
5:22.0,L.Doncic,5,12-14,1.0,3-pt,jump,28,misses,Dallas,2022-08-01 05:22:00,GSW
3:22.0,L.Doncic,5,15-19,1.0,3-pt,jump,27,misses,Dallas,2022-08-01 03:22:00,GSW
2:57.0,L.Doncic,5,17-19,1.0,2-pt,jump,6,makes,Dallas,2022-08-01 02:57:00,GSW
2:23.0,L.Doncic,5,17-21,1.0,2-pt,layup,ft,misses,Dallas,2022-08-01 02:23:00,GSW
0:57.0,L.Doncic,5,17-23,1.0,3-pt,jump,28,misses,Dallas,2022-08-01 00:57:00,GSW
4:54.0,L.Doncic,5,38-49,2.0,2-pt,layup,ft,misses,Dallas,2022-08-01 04:54:00,GSW
4:28.0,L.Doncic,5,38-51,2.0,2-pt,layup,ft,misses,Dallas,2022-08-01 04:28:00,GSW
10:14.0,L.Doncic,5,53-71,3.0,2-pt,layup,ft,misses,Dallas,2022-08-01 10:14:00,GSW
8:42.0,L.Doncic,5,55-78,3.0,3-pt,jump,30,misses,Dallas,2022-08-01 08:42:00,GSW
8:17.0,L.Doncic,5,57-78,3.0,2-pt,jump,8,makes,Dallas,2022-08-01 08:17:00,GSW
8:17.0,L.Doncic,5,58-78,3.0,free,throw,1,makes,Dallas,2022-08-01 08:17:00,GSW
5:26.0,L.Doncic,5,64-87,3.0,2-pt,jump,9,makes,Dallas,2022-08-01 05:26:00,GSW
3:51.0,L.Doncic,5,70-92,3.0,free,throw,2,misses,Dallas,2022-08-01 03:51:00,GSW
3:51.0,L.Doncic,5,70-92,3.0,free,throw,2,makes,Dallas,2022-08-01 03:51:00,GSW
2:40.0,L.Doncic,5,76-92,3.0,3-pt,jump,26,makes,Dallas,2022-08-01 02:40:00,GSW
2:04.0,L.Doncic,5,79-92,3.0,3-pt,jump,27,makes,Dallas,2022-08-01 02:04:00,GSW
1:09.0,L.Doncic,5,83-92,3.0,2-pt,jump,9,makes,Dallas,2022-08-01 01:09:00,GSW
0:34.0,L.Doncic,5,84-92,3.0,free,throw,2,misses,Dallas,2022-08-01 00:34:00,GSW
0:34.0,L.Doncic,5,84-92,3.0,free,throw,2,makes,Dallas,2022-08-01 00:34:00,GSW
0:02.0,L.Doncic,5,84-94,3.0,3-pt,jump,31,misses,Dallas,2022-08-01 00:02:00,GSW
11:19.0,L.Doncic,5,84-96,4.0,3-pt,jump,26,misses,Dallas,2022-08-01 11:19:00,GSW
10:17.0,L.Doncic,5,87-101,4.0,2-pt,jump,10,makes,Dallas,2022-08-01 10:17:00,GSW
