"","Time","Phoenix","","Score","","Dallas"
"92","1:09.0","","","21-34","","Defensive rebound by M. Kleber"
"93","1:04.0","","","21-34","","S. Dinwiddie misses 2-pt layup from 2 ft"
"94","1:02.0","Defensive rebound by J. McGee","","21-34","",""
"95","0:53.0","D. Booker makes 2-pt jump shot from 9 ft","+2","23-34","",""
"96","0:41.0","","","23-34","","L. Doncic misses 3-pt jump shot from 25 ft"
"97","0:38.0","Defensive rebound by J. McGee","","23-34","",""
"98","0:36.0","Personal foul by F. Ntilikina (drawn by D. Booker)","","23-34","",""
"99","0:36.0","D. Booker makes free throw 1 of 2","+1","24-34","",""
"100","0:36.0","J. Crowder enters the game for J. McGee","","24-34","",""
"101","0:36.0","D. Booker makes free throw 2 of 2","+1","25-34","",""
"102","0:21.0","","","25-37","+3","D. Bertans makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"103","0:01.0","D. Booker misses 2-pt jump shot from 6 ft","","25-37","",""
"104","0:01.0","","","25-37","","Defensive rebound by M. Kleber"
"105","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"106","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"107","Time","Phoenix","","Score","","Dallas"
"108","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"109","11:40.0","","","25-37","","J. Brunson misses 2-pt jump shot from 6 ft"
"110","11:38.0","Defensive rebound by J. Crowder","","25-37","",""
"111","11:33.0","Turnover by J. Crowder (bad pass)","","25-37","",""
"112","11:13.0","","","25-40","+3","D. Bertans makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie)"
"113","11:00.0","Offensive foul by J. McGee (drawn by J. Brunson)","","25-40","",""
"114","11:00.0","Turnover by J. McGee (offensive foul)","","25-40","",""
"115","10:48.0","","","25-40","","J. Brunson misses 2-pt jump shot from 18 ft"
"116","10:45.0","Defensive rebound by C. Johnson","","25-40","",""
"117","10:36.0","J. Crowder makes 2-pt jump shot from 22 ft (assist by C. Paul)","+2","27-40","",""
"118","10:19.0","","","27-43","+3","D. Bertans makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"119","10:00.0","J. McGee makes 2-pt jump shot from 7 ft (assist by C. Paul)","+2","29-43","",""
"120","9:44.0","","","29-46","+3","S. Dinwiddie makes 3-pt jump shot from 25 ft"
"121","9:30.0","Turnover by J. McGee (3 sec)","","29-46","",""
"122","9:16.0","","","29-46","","D. Bertans misses 3-pt jump shot from 25 ft"
"123","9:13.0","Defensive rebound by C. Paul","","29-46","",""
"124","9:05.0","J. Crowder makes 3-pt jump shot from 25 ft (assist by C. Johnson)","+3","32-46","",""
"125","8:53.0","","","32-46","","Offensive foul by M. Kleber (drawn by L. Shamet)"
"126","8:53.0","","","32-46","","Turnover by M. Kleber (offensive foul)"
"127","8:53.0","D. Ayton enters the game for J. McGee","","32-46","",""
"128","8:53.0","D. Booker enters the game for L. Shamet","","32-46","",""
"129","8:53.0","","","32-46","","D. Finney-Smith enters the game for D. Bertans"
"130","8:53.0","","","32-46","","D. Powell enters the game for M. Kleber"
"131","8:40.0","J. Crowder makes 3-pt jump shot from 23 ft (assist by C. Paul)","+3","35-46","",""
"132","8:29.0","","","35-48","+2","S. Dinwiddie makes 2-pt jump shot from 14 ft"
"133","8:10.0","D. Ayton makes 2-pt layup from 2 ft (assist by C. Paul)","+2","37-48","",""
"134","7:56.0","","","37-51","+3","S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by J. Brunson)"
"135","7:45.0","C. Paul misses 2-pt jump shot from 13 ft","","37-51","",""
"136","7:43.0","Offensive rebound by D. Ayton","","37-51","",""
"137","7:43.0","D. Ayton misses 2-pt layup from 2 ft","","37-51","",""
"138","7:40.0","","","37-51","","Defensive rebound by S. Dinwiddie"
"139","7:31.0","","","37-51","","Personal foul by C. Johnson (drawn by S. Dinwiddie)"
"140","7:15.0","","","37-51","","S. Dinwiddie misses 2-pt layup from 4 ft"
"141","7:12.0","","","37-51","","Offensive rebound by S. Dinwiddie"
"142","7:04.0","","","37-51","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"143","7:01.0","Defensive rebound by C. Paul","","37-51","",""
"144","6:56.0","Personal foul by D. Powell (drawn by D. Booker)","","37-51","",""
"145","6:56.0","","","37-51","","Dallas full timeout"
"146","6:56.0","M. Bridges enters the game for C. Johnson","","37-51","",""
"147","6:42.0","D. Ayton misses 2-pt jump shot from 12 ft","","37-51","",""
"148","6:41.0","","","37-51","","Defensive rebound by J. Brunson"
