"","Time","Phoenix","","Score","","Dallas"
"355","11:32.0","","","78-87","","S. Dinwiddie misses 2-pt jump shot from 11 ft"
"356","11:26.0","","","78-87","","Offensive rebound by F. Ntilikina"
"357","11:18.0","","","78-87","","Offensive foul by F. Ntilikina (drawn by D. Booker)"
"358","11:18.0","","","78-87","","Turnover by F. Ntilikina (offensive foul)"
"359","11:06.0","J. McGee misses 2-pt jump shot from 11 ft","","78-87","",""
"360","11:04.0","","","78-87","","Defensive rebound by F. Ntilikina"
"361","10:52.0","","","78-87","","Personal foul by J. McGee (drawn by J. Brunson)"
"362","10:52.0","","","78-87","","R. Bullock enters the game for F. Ntilikina"
"363","10:37.0","","","78-87","","S. Dinwiddie misses 2-pt layup from 2 ft (block by D. Booker)"
"364","10:35.0","Defensive rebound by C. Johnson","","78-87","",""
"365","10:28.0","Offensive foul by D. Booker (drawn by J. Brunson)","","78-87","",""
"366","10:28.0","Turnover by D. Booker (offensive foul)","","78-87","",""
"367","10:28.0","Instant Replay (Request: Ruling Stands)","","78-87","",""
"368","10:28.0","B. Biyombo enters the game for J. McGee","","78-87","",""
"369","10:28.0","C. Paul enters the game for L. Shamet","","78-87","",""
"370","10:28.0","","","78-87","","L. Doncic enters the game for S. Dinwiddie"
"371","10:09.0","","","78-89","+2","L. Doncic makes 2-pt jump shot from 10 ft"
"372","9:45.0","D. Booker misses 2-pt jump shot from 18 ft","","78-89","",""
"373","9:43.0","","","78-89","","Defensive rebound by M. Kleber"
"374","9:30.0","","","78-89","","L. Doncic misses 3-pt jump shot from 26 ft"
"375","9:28.0","Defensive rebound by C. Paul","","78-89","",""
"376","9:21.0","D. Booker makes 3-pt jump shot from 23 ft (assist by C. Paul)","+3","81-89","",""
"377","9:02.0","","","81-89","","J. Brunson misses 2-pt jump shot from 10 ft"
"378","9:00.0","","","81-89","","Offensive rebound by J. Brunson"
"379","8:59.0","","","81-89","","J. Brunson misses 2-pt layup from 4 ft"
"380","8:58.0","","","81-89","","Offensive rebound by Team"
"381","8:58.0","Loose ball foul by C. Paul (drawn by J. Brunson)","","81-89","",""
"382","8:58.0","J. Crowder enters the game for C. Paul","","81-89","",""
"383","8:58.0","","","81-89","","D. Finney-Smith enters the game for D. Bertans"
"384","8:45.0","","","81-89","","J. Brunson misses 3-pt jump shot from 25 ft"
"385","8:41.0","Defensive rebound by D. Booker","","81-89","",""
"386","8:37.0","Personal foul by L. Doncic (drawn by D. Booker)","","81-89","",""
"387","8:31.0","M. Bridges misses 3-pt jump shot from 23 ft","","81-89","",""
"388","8:28.0","","","81-89","","Defensive rebound by R. Bullock"
"389","8:13.0","","","81-89","","R. Bullock misses 2-pt jump shot from 20 ft"
"390","8:10.0","Defensive rebound by J. Crowder","","81-89","",""
"391","8:01.0","Turnover by D. Booker (bad pass; steal by L. Doncic)","","81-89","",""
"392","7:39.0","","","81-89","","L. Doncic misses 3-pt jump shot from 28 ft"
"393","7:35.0","Defensive rebound by C. Johnson","","81-89","",""
"394","7:29.0","C. Johnson misses 3-pt jump shot from 23 ft","","81-89","",""
"395","7:25.0","Offensive rebound by M. Bridges","","81-89","",""
"396","7:12.0","M. Bridges makes 2-pt jump shot from 10 ft (assist by C. Johnson)","+2","83-89","",""
"397","7:12.0","","","83-89","","Dallas full timeout"
"398","7:12.0","D. Ayton enters the game for B. Biyombo","","83-89","",""
"399","6:48.0","","","83-91","+2","L. Doncic makes 2-pt jump shot from 7 ft"
"400","6:34.0","D. Booker misses 2-pt layup from 4 ft (block by M. Kleber)","","83-91","",""
"401","6:31.0","","","83-91","","Defensive rebound by D. Finney-Smith"
"402","6:27.0","","","83-94","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by R. Bullock)"
"403","6:11.0","D. Booker misses 2-pt jump shot from 7 ft","","83-94","",""
"404","6:09.0","Offensive rebound by D. Ayton","","83-94","",""
"405","6:08.0","Turnover by D. Ayton (lost ball; steal by D. Finney-Smith)","","83-94","",""
"406","6:03.0","","","83-97","+3","D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by J. Brunson)"
"407","6:02.0","Phoenix full timeout","","83-97","",""
"408","5:47.0","C. Johnson makes 3-pt jump shot from 24 ft (assist by D. Booker)","+3","86-97","",""
"409","5:28.0","","","86-97","","Shooting foul by D. Booker (drawn by J. Brunson)"
"410","5:28.0","","","86-98","+1","J. Brunson makes free throw 1 of 2"
"411","5:28.0","","","86-99","+1","J. Brunson makes free throw 2 of 2"
"412","5:12.0","J. Crowder makes 2-pt jump shot from 12 ft (assist by D. Booker)","+2","88-99","",""
"413","4:47.0","","","88-101","+2","J. Brunson makes 2-pt jump shot from 10 ft"
"414","4:33.0","D. Booker misses 2-pt jump shot from 17 ft","","88-101","",""
"415","4:33.0","Offensive rebound by Team","","88-101","",""
"416","4:33.0","","","88-101","","Loose ball foul by J. Brunson (drawn by D. Ayton)"
"417","4:29.0","D. Ayton makes 2-pt jump shot from 10 ft (assist by D. Booker)","+2","90-101","",""
"418","4:12.0","","","90-101","","J. Brunson misses 2-pt layup from 2 ft (block by D. Ayton)"
"419","4:09.0","Defensive rebound by M. Bridges","","90-101","",""
"420","4:07.0","M. Bridges misses 2-pt jump shot from 15 ft","","90-101","",""
"421","4:03.0","Offensive rebound by D. Ayton","","90-101","",""
"422","4:02.0","J. Crowder misses 3-pt jump shot from 24 ft","","90-101","",""
"423","4:02.0","Offensive rebound by Team","","90-101","",""
"424","4:01.0","","","90-101","","Dallas full timeout"
"425","4:01.0","","","90-101","","Instant Replay (Challenge: Stands)"
"426","3:56.0","D. Booker makes 3-pt jump shot from 23 ft (assist by D. Ayton)","+3","93-101","",""
"427","3:30.0","","","93-104","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"428","3:15.0","M. Bridges makes 2-pt layup from 1 ft (assist by D. Booker)","+2","95-104","",""
"429","2:52.0","","","95-107","+3","J. Brunson makes 3-pt jump shot from 23 ft (assist by L. Doncic)"
"430","2:38.0","Offensive foul by D. Booker (drawn by L. Doncic)","","95-107","",""
"431","2:38.0","Turnover by D. Booker (offensive foul)","","95-107","",""
"432","2:17.0","","","95-107","","L. Doncic misses 3-pt jump shot from 28 ft"
"433","2:15.0","Defensive rebound by Team","","95-107","",""
"434","2:03.0","M. Bridges misses 3-pt jump shot from 23 ft","","95-107","",""
"435","1:59.0","Offensive rebound by C. Johnson","","95-107","",""
"436","1:54.0","J. Crowder misses 3-pt jump shot from 25 ft","","95-107","",""
"437","1:51.0","","","95-107","","Defensive rebound by M. Kleber"
"438","1:34.0","","","95-109","+2","L. Doncic makes 2-pt layup from 2 ft"
"439","1:34.0","Phoenix full timeout","","95-109","",""
"440","1:34.0","B. Biyombo enters the game for D. Ayton","","95-109","",""
"441","1:34.0","A. Holiday enters the game for D. Booker","","95-109","",""
"442","1:34.0","C. Payne enters the game for M. Bridges","","95-109","",""
"443","1:34.0","L. Shamet enters the game for J. Crowder","","95-109","",""
"444","1:34.0","I. Wainright enters the game for C. Johnson","","95-109","",""
"445","1:28.0","L. Shamet makes 2-pt dunk at rim (assist by C. Payne)","+2","97-109","",""
"446","1:08.0","","","97-111","+2","M. Kleber makes 2-pt dunk from 1 ft (assist by L. Doncic)"
"447","1:07.0","Personal take foul by R. Bullock (drawn by C. Payne)","","97-111","",""
"448","1:07.0","","","97-111","","D. Bertans enters the game for J. Brunson"
"449","1:07.0","","","97-111","","S. Brown enters the game for R. Bullock"
"450","1:07.0","","","97-111","","M. Chriss enters the game for L. Doncic"
"451","1:07.0","","","97-111","","J. Green enters the game for D. Finney-Smith"
"452","1:07.0","","","97-111","","F. Ntilikina enters the game for M. Kleber"
"453","0:53.0","B. Biyombo makes 2-pt layup at rim (assist by A. Holiday)","+2","99-111","",""
"454","0:43.0","","","99-111","","Turnover by F. Ntilikina (bad pass; steal by A. Holiday)"
"455","0:37.0","L. Shamet misses 2-pt jump shot from 22 ft","","99-111","",""
"456","0:35.0","","","99-111","","Defensive rebound by M. Chriss"
"457","0:15.0","","","99-111","","D. Bertans misses 3-pt jump shot from 27 ft"
"458","0:11.0","Defensive rebound by B. Biyombo","","99-111","",""
"459","0:02.0","A. Holiday makes 2-pt layup from 9 ft","+2","101-111","",""
"460","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
