"","Time","Boston","","Score","","Milwaukee"
"277","7:35.0","","","65-50","+2","B. Portis makes 2-pt dunk at rim"
"278","7:20.0","J. Brown makes 3-pt jump shot from 32 ft (assist by M. Smart)","+3","68-50","",""
"279","7:02.0","","","68-52","+2","W. Matthews makes 2-pt layup at rim (assist by G. Antetokounmpo)"
"280","6:34.0","G. Williams misses 2-pt jump shot from 16 ft","","68-52","",""
"281","6:31.0","","","68-52","","Defensive rebound by B. Portis"
"282","6:23.0","","","68-52","","G. Antetokounmpo misses 2-pt hook shot from 8 ft"
"283","6:21.0","Defensive rebound by M. Smart","","68-52","",""
"284","6:12.0","J. Tatum misses 3-pt jump shot from 27 ft","","68-52","",""
"285","6:08.0","","","68-52","","Defensive rebound by B. Portis"
"286","6:02.0","","","68-52","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"287","6:02.0","","","68-52","","Offensive rebound by G. Antetokounmpo"
"288","5:57.0","","","68-54","+2","G. Antetokounmpo makes 2-pt layup at rim"
"289","5:45.0","J. Brown misses 3-pt jump shot from 28 ft","","68-54","",""
"290","5:43.0","","","68-54","","Defensive rebound by G. Antetokounmpo"
"291","5:36.0","","","68-56","+2","B. Portis makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo)"
"292","5:36.0","Boston full timeout","","68-56","",""
"293","5:36.0","D. White enters the game for G. Williams","","68-56","",""
"294","5:36.0","","","68-56","","P. Connaughton enters the game for G. Allen"
"295","5:36.0","","","68-56","","G. Hill enters the game for W. Matthews"
"296","5:20.0","Shooting foul by B. Portis (drawn by J. Brown)","","68-56","",""
"297","5:20.0","J. Brown makes free throw 1 of 2","+1","69-56","",""
"298","5:20.0","J. Brown makes free throw 2 of 2","+1","70-56","",""
"299","5:02.0","","","70-56","","G. Hill misses 2-pt layup from 3 ft"
"300","4:59.0","Defensive rebound by A. Horford","","70-56","",""
"301","4:44.0","J. Tatum misses 3-pt jump shot from 26 ft","","70-56","",""
"302","4:41.0","","","70-56","","Defensive rebound by B. Portis"
"303","4:33.0","","","70-59","+3","P. Connaughton makes 3-pt jump shot from 27 ft (assist by J. Holiday)"
"304","4:13.0","D. White misses 3-pt jump shot from 27 ft","","70-59","",""
"305","4:10.0","Offensive rebound by A. Horford","","70-59","",""
"306","3:58.0","A. Horford misses 3-pt jump shot from 27 ft","","70-59","",""
"307","3:56.0","","","70-59","","Defensive rebound by G. Antetokounmpo"
"308","3:49.0","","","70-59","","B. Portis misses 2-pt jump shot from 14 ft"
"309","3:47.0","Defensive rebound by A. Horford","","70-59","",""
"310","3:31.0","J. Tatum misses 3-pt jump shot from 25 ft","","70-59","",""
"311","3:29.0","","","70-59","","Defensive rebound by G. Antetokounmpo"
"312","3:24.0","","","70-61","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"313","3:24.0","","","70-61","","Shooting foul by D. White (drawn by G. Antetokounmpo)"
"314","3:24.0","G. Williams enters the game for J. Brown","","70-61","",""
"315","3:24.0","","","70-61","","G. Allen enters the game for J. Holiday"
"316","3:24.0","","","70-62","+1","G. Antetokounmpo makes free throw 1 of 1"
"317","3:06.0","M. Smart makes 3-pt jump shot from 26 ft (assist by D. White)","+3","73-62","",""
"318","2:54.0","","","73-64","+2","G. Antetokounmpo makes 2-pt hook shot from 14 ft"
"319","2:40.0","Offensive foul by J. Tatum (drawn by G. Hill)","","73-64","",""
"320","2:40.0","Turnover by J. Tatum (offensive foul)","","73-64","",""
"321","2:40.0","D. Theis enters the game for A. Horford","","73-64","",""
"322","2:40.0","","","73-64","","J. Holiday enters the game for G. Antetokounmpo"
"323","2:40.0","","","73-64","","B. Lopez enters the game for G. Hill"
"324","2:30.0","","","73-64","","B. Lopez misses 2-pt dunk from 2 ft"
"325","2:28.0","Defensive rebound by D. Theis","","73-64","",""
"326","2:19.0","J. Tatum makes 2-pt jump shot from 5 ft","+2","75-64","",""
"327","2:09.0","","","75-64","","G. Allen misses 3-pt jump shot from 26 ft"
"328","2:07.0","Defensive rebound by J. Tatum","","75-64","",""
"329","2:01.0","Personal foul by G. Allen (drawn by D. White)","","75-64","",""
"330","2:01.0","","","75-64","","G. Hill enters the game for G. Allen"
"331","1:47.0","Turnover by J. Tatum (lost ball; steal by J. Holiday)","","75-64","",""
"332","1:41.0","","","75-64","","J. Holiday misses 3-pt jump shot from 27 ft"
"333","1:39.0","Defensive rebound by G. Williams","","75-64","",""
"334","1:20.0","D. Theis makes 2-pt jump shot from 5 ft (assist by M. Smart)","+2","77-64","",""
"335","1:03.0","","","77-66","+2","P. Connaughton makes 2-pt jump shot from 4 ft (assist by J. Holiday)"
"336","0:48.0","J. Tatum makes 2-pt jump shot from 3 ft","+2","79-66","",""
"337","0:48.0","Shooting foul by G. Hill (drawn by J. Tatum)","","79-66","",""
"338","0:48.0","","","79-66","","G. Antetokounmpo enters the game for B. Lopez"
"339","0:48.0","J. Tatum makes free throw 1 of 1","+1","80-66","",""
"340","0:33.0","","","80-68","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"341","0:28.0","M. Smart misses 2-pt layup from 5 ft","","80-68","",""
"342","0:28.0","Offensive rebound by Team","","80-68","",""
"343","0:12.0","J. Tatum makes 2-pt jump shot from 23 ft","+2","82-68","",""
"344","0:12.0","Instant Replay (Request: Ruling Stands)","","82-68","",""
