"","Time","Utah","","Score","","Dallas"
"136","9:29.0","D. Mitchell enters the game for R. O'Neale","","22-30","",""
"137","9:20.0","J. Clarkson makes 2-pt jump shot from 8 ft","+2","24-30","",""
"138","8:59.0","","","24-32","+2","D. Finney-Smith makes 2-pt dunk from 1 ft (assist by S. Dinwiddie)"
"139","8:43.0","J. Clarkson misses 2-pt jump shot from 12 ft","","24-32","",""
"140","8:40.0","","","24-32","","Defensive rebound by M. Kleber"
"141","8:31.0","","","24-32","","S. Dinwiddie misses 3-pt jump shot from 27 ft"
"142","8:28.0","Defensive rebound by R. Gobert","","24-32","",""
"143","8:21.0","D. Mitchell misses 2-pt jump shot from 15 ft","","24-32","",""
"144","8:18.0","","","24-32","","Defensive rebound by D. Bertans"
"145","8:02.0","","","24-32","","R. Bullock misses 3-pt jump shot from 23 ft"
"146","7:59.0","Defensive rebound by B. Bogdanovic","","24-32","",""
"147","7:53.0","B. Bogdanovic makes 2-pt jump shot from 11 ft","+2","26-32","",""
"148","7:34.0","","","26-32","","M. Kleber misses 3-pt jump shot from 25 ft"
"149","7:33.0","Defensive rebound by Team","","26-32","",""
"150","7:33.0","H. Whiteside enters the game for R. Gobert","","26-32","",""
"151","7:33.0","","","26-32","","J. Brunson enters the game for S. Dinwiddie"
"152","7:33.0","","","26-32","","D. Powell enters the game for M. Kleber"
"153","7:19.0","J. Clarkson makes 2-pt jump shot from 8 ft","+2","28-32","",""
"154","6:54.0","","","28-32","","R. Bullock misses 3-pt jump shot from 25 ft"
"155","6:50.0","Defensive rebound by B. Bogdanovic","","28-32","",""
"156","6:43.0","J. Clarkson makes 2-pt layup from 4 ft (assist by B. Bogdanovic)","+2","30-32","",""
"157","6:43.0","","","30-32","","Dallas full timeout"
"158","6:29.0","","","30-35","+3","D. Bertans makes 3-pt jump shot from 25 ft (assist by J. Brunson)"
"159","6:14.0","Turnover by J. Clarkson (bad pass; steal by D. Bertans)","","30-35","",""
"160","6:13.0","","","30-35","","Personal take foul by H. Whiteside (drawn by J. Brunson)"
"161","6:00.0","","","30-35","","J. Brunson misses 2-pt layup from 3 ft (block by D. Mitchell)"
"162","6:00.0","","","30-35","","Offensive rebound by Team"
"163","5:52.0","","","30-35","","J. Brunson misses 2-pt jump shot from 8 ft"
"164","5:50.0","","","30-35","","Offensive rebound by D. Powell"
"165","5:47.0","","","30-35","","D. Powell misses 2-pt layup from 2 ft (block by H. Whiteside)"
"166","5:46.0","Defensive rebound by H. Whiteside","","30-35","",""
"167","5:40.0","D. Mitchell misses 2-pt layup from 5 ft (block by D. Powell)","","30-35","",""
"168","5:36.0","","","30-35","","Defensive rebound by R. Bullock"
"169","5:33.0","","","30-37","+2","R. Bullock makes 2-pt layup from 1 ft (assist by J. Brunson)"
"170","5:19.0","D. Mitchell makes 2-pt jump shot from 11 ft","+2","32-37","",""
"171","4:57.0","","","32-37","","Personal foul by B. Bogdanovic (drawn by D. Powell)"
"172","4:57.0","M. Conley enters the game for J. Clarkson","","32-37","",""
"173","4:57.0","R. Gobert enters the game for D. House","","32-37","",""
"174","4:57.0","R. O'Neale enters the game for H. Whiteside","","32-37","",""
"175","4:57.0","","","32-37","","S. Dinwiddie enters the game for D. Bertans"
"176","4:46.0","","","32-37","","J. Brunson misses 3-pt jump shot from 25 ft"
"177","4:41.0","","","32-37","","Offensive rebound by D. Powell"
"178","4:41.0","","","32-39","+2","D. Powell makes 2-pt dunk at rim"
"179","4:24.0","B. Bogdanovic misses 2-pt hook shot from 4 ft","","32-39","",""
"180","4:21.0","","","32-39","","Defensive rebound by R. Bullock"
"181","4:06.0","","","32-39","","J. Brunson misses 3-pt jump shot from 25 ft"
"182","4:02.0","Defensive rebound by M. Conley","","32-39","",""
"183","3:55.0","B. Bogdanovic misses 3-pt jump shot from 26 ft","","32-39","",""
"184","3:52.0","","","32-39","","Defensive rebound by J. Brunson"
"185","3:34.0","","","32-39","","Shooting foul by D. Mitchell (drawn by J. Brunson)"
"186","3:34.0","","","32-40","+1","J. Brunson makes free throw 1 of 2"
"187","3:34.0","","","32-40","","M. Kleber enters the game for D. Powell"
"188","3:34.0","","","32-41","+1","J. Brunson makes free throw 2 of 2"
"189","3:20.0","D. Mitchell misses 3-pt jump shot from 31 ft","","32-41","",""
