"","Time","Dallas","","Score","","Golden State"
"111","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"112","Time","Dallas","","Score","","Golden State"
"113","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"114","11:40.0","","","18-28","","Offensive foul by K. Looney (drawn by F. Ntilikina)"
"115","11:40.0","","","18-28","","Turnover by K. Looney (offensive foul)"
"116","11:27.0","S. Dinwiddie misses 2-pt layup from 6 ft","","18-28","",""
"117","11:25.0","","","18-28","","Defensive rebound by K. Looney"
"118","11:04.0","","","18-30","+2","O. Porter makes 2-pt jump shot from 14 ft"
"119","10:43.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","20-30","",""
"120","10:33.0","","","20-30","","K. Thompson misses 3-pt jump shot from 27 ft"
"121","10:31.0","Defensive rebound by J. Brunson","","20-30","",""
"122","10:27.0","Personal foul by D. Lee (drawn by D. Powell)","","20-30","",""
"123","10:14.0","J. Brunson misses 2-pt jump shot from 12 ft","","20-30","",""
"124","10:11.0","Offensive rebound by D. Powell","","20-30","",""
"125","10:10.0","D. Bertans misses 3-pt jump shot from 26 ft","","20-30","",""
"126","10:08.0","","","20-30","","Defensive rebound by K. Thompson"
"127","9:58.0","","","20-30","","Turnover by K. Thompson (out of bounds lost ball)"
"128","9:58.0","R. Bullock enters the game for D. Bertans","","20-30","",""
"129","9:50.0","Shooting foul by O. Porter (drawn by S. Dinwiddie)","","20-30","",""
"130","9:50.0","S. Dinwiddie makes free throw 1 of 2","+1","21-30","",""
"131","9:50.0","S. Dinwiddie makes free throw 2 of 2","+1","22-30","",""
"132","9:40.0","","","22-32","+2","J. Poole makes 2-pt layup from 4 ft"
"133","9:27.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","22-32","",""
"134","9:25.0","","","22-32","","Defensive rebound by D. Lee"
"135","9:14.0","","","22-32","","J. Poole misses 2-pt jump shot from 20 ft"
"136","9:11.0","Defensive rebound by R. Bullock","","22-32","",""
"137","9:00.0","Turnover by S. Dinwiddie (lost ball; steal by J. Poole)","","22-32","",""
"138","9:00.0","M. Kleber enters the game for D. Powell","","22-32","",""
"139","8:37.0","","","22-34","+2","K. Looney makes 2-pt jump shot from 21 ft (assist by J. Poole)"
"140","8:19.0","J. Brunson makes 2-pt layup from 4 ft","+2","24-34","",""
"141","8:07.0","","","24-34","","O. Porter misses 3-pt jump shot from 27 ft"
"142","8:05.0","Defensive rebound by R. Bullock","","24-34","",""
"143","8:00.0","R. Bullock makes 2-pt layup from 3 ft","+2","26-34","",""
"144","8:00.0","","","26-34","","Golden State full timeout"
"145","8:00.0","","","26-34","","D. Green enters the game for K. Looney"
"146","8:00.0","","","26-34","","A. Wiggins enters the game for O. Porter"
"147","7:45.0","","","26-34","","K. Thompson misses 2-pt layup from 6 ft"
"148","7:45.0","","","26-34","","Offensive rebound by D. Green"
"149","7:45.0","","","26-34","","Shooting foul by R. Bullock (drawn by D. Green)"
"150","7:45.0","","","26-35","+1","D. Green makes free throw 1 of 2"
"151","7:45.0","","","26-35","","D. Green misses free throw 2 of 2"
"152","7:43.0","Defensive rebound by F. Ntilikina","","26-35","",""
"153","7:30.0","J. Brunson misses 2-pt layup from 5 ft (block by K. Thompson)","","26-35","",""
"154","7:27.0","","","26-35","","Defensive rebound by D. Lee"
"155","7:21.0","","","26-35","","A. Wiggins misses 3-pt jump shot from 26 ft"
"156","7:19.0","Defensive rebound by R. Bullock","","26-35","",""
"157","6:59.0","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by R. Bullock)","+3","29-35","",""
"158","6:44.0","Violation by Team (kicked ball)","","29-35","",""
"159","6:44.0","L. Doncic enters the game for S. Dinwiddie","","29-35","",""
"160","6:44.0","D. Finney-Smith enters the game for F. Ntilikina","","29-35","",""
"161","6:44.0","","","29-35","","S. Curry enters the game for D. Lee"
"162","6:32.0","","","29-35","","K. Thompson misses 3-pt jump shot from 28 ft"
"163","6:30.0","Defensive rebound by M. Kleber","","29-35","",""
"164","6:18.0","Shooting foul by J. Poole (drawn by J. Brunson)","","29-35","",""
"165","6:18.0","J. Brunson makes free throw 1 of 2","+1","30-35","",""
"166","6:18.0","J. Brunson misses free throw 2 of 2","","30-35","",""
"167","6:16.0","","","30-35","","Defensive rebound by K. Thompson"
"168","6:06.0","","","30-35","","Turnover by K. Thompson (lost ball; steal by L. Doncic)"
"169","5:56.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","33-35","",""
"170","5:37.0","","","33-37","+2","D. Green makes 2-pt layup from 6 ft (assist by J. Poole)"
"171","5:37.0","","","33-37","","Shooting foul by M. Kleber (drawn by D. Green)"
"172","5:37.0","S. Dinwiddie enters the game for M. Kleber","","33-37","",""
"173","5:37.0","","","33-37","","K. Looney enters the game for J. Poole"
"174","5:37.0","","","33-38","+1","D. Green makes free throw 1 of 1"
"175","5:24.0","J. Brunson misses 3-pt jump shot from 26 ft","","33-38","",""
"176","5:22.0","","","33-38","","Defensive rebound by S. Curry"
"177","5:12.0","","","33-38","","S. Curry misses 2-pt jump shot from 20 ft"
"178","5:09.0","Defensive rebound by Team","","33-38","",""
"179","4:51.0","Def 3 sec tech foul by Team","","33-38","",""
"180","4:51.0","R. Bullock makes technical free throw","+1","34-38","",""
"181","4:39.0","R. Bullock misses 3-pt jump shot from 26 ft","","34-38","",""
"182","4:37.0","","","34-38","","Defensive rebound by D. Green"
"183","4:31.0","","","34-38","","S. Curry misses 3-pt jump shot from 27 ft"
"184","4:29.0","Defensive rebound by J. Brunson","","34-38","",""
"185","4:25.0","Shooting foul by D. Green (drawn by L. Doncic)","","34-38","",""
"186","4:25.0","L. Doncic makes free throw 1 of 2","+1","35-38","",""
"187","4:25.0","L. Doncic misses free throw 2 of 2","","35-38","",""
"188","4:23.0","","","35-38","","Defensive rebound by D. Green"
"189","4:05.0","","","35-40","+2","A. Wiggins makes 2-pt jump shot from 8 ft"
"190","3:43.0","S. Dinwiddie misses 3-pt jump shot from 23 ft (block by K. Thompson)","","35-40","",""
"191","3:42.0","Offensive rebound by Team","","35-40","",""
"192","3:42.0","Technical foul by S. Dinwiddie","","35-40","",""
"193","3:42.0","","","35-41","+1","S. Curry makes technical free throw"
"194","3:39.0","J. Brunson misses 2-pt layup from 7 ft (block by S. Curry)","","35-41","",""
"195","3:36.0","","","35-41","","Defensive rebound by S. Curry"
"196","3:34.0","","","35-43","+2","S. Curry makes 2-pt layup from 7 ft"
"197","3:22.0","Shooting foul by D. Green (drawn by L. Doncic)","","35-43","",""
"198","3:22.0","L. Doncic makes free throw 1 of 2","+1","36-43","",""
"199","3:22.0","","","36-43","","J. Poole enters the game for D. Green"
