"","Time","Miami","","Score","","Boston"
"358","10:01.0","","","83-83","","Turnover by G. Williams (bad pass; steal by D. Dedmon)"
"359","9:49.0","Shooting foul by J. Brown (drawn by J. Butler)","","83-83","",""
"360","9:49.0","J. Butler misses free throw 1 of 2","","83-83","",""
"361","9:49.0","Offensive rebound by Team","","83-83","",""
"362","9:49.0","","","83-83","","J. Tatum enters the game for G. Williams"
"363","9:49.0","J. Butler misses free throw 2 of 2","","83-83","",""
"364","9:49.0","","","83-83","","Defensive rebound by J. Brown"
"365","9:26.0","","","83-83","","J. Brown misses 3-pt jump shot from 26 ft"
"366","9:23.0","Defensive rebound by T. Herro","","83-83","",""
"367","9:15.0","Offensive foul by D. Dedmon (drawn by J. Brown)","","83-83","",""
"368","9:15.0","Turnover by D. Dedmon (offensive foul)","","83-83","",""
"369","9:00.0","","","83-83","","P. Pritchard misses 3-pt jump shot from 27 ft"
"370","8:57.0","Defensive rebound by D. Dedmon","","83-83","",""
"371","8:47.0","J. Butler makes 2-pt jump shot from 16 ft","+2","85-83","",""
"372","8:28.0","","","85-85","+2","D. Theis makes 2-pt layup from 2 ft (assist by J. Tatum)"
"373","8:14.0","D. Robinson misses 3-pt jump shot from 26 ft","","85-85","",""
"374","8:12.0","","","85-85","","Defensive rebound by J. Brown"
"375","8:08.0","","","85-87","+2","J. Brown makes 2-pt layup from 2 ft"
"376","7:50.0","J. Butler misses 3-pt jump shot from 25 ft","","85-87","",""
"377","7:48.0","","","85-87","","Defensive rebound by D. White"
"378","7:43.0","","","85-89","+2","D. Theis makes 2-pt layup from 2 ft (assist by D. White)"
"379","7:43.0","","","85-89","","Shooting foul by D. Dedmon (drawn by D. Theis)"
"380","7:43.0","B. Adebayo enters the game for D. Dedmon","","85-89","",""
"381","7:43.0","","","85-89","","M. Smart enters the game for P. Pritchard"
"382","7:43.0","","","85-90","+1","D. Theis makes free throw 1 of 1"
"383","7:40.0","Miami full timeout","","85-90","",""
"384","7:40.0","K. Lowry enters the game for D. Robinson","","85-90","",""
"385","7:40.0","M. Strus enters the game for G. Vincent","","85-90","",""
"386","7:40.0","","","85-90","","A. Horford enters the game for D. Theis"
"387","7:40.0","","","85-90","","P. Pritchard enters the game for D. White"
"388","7:30.0","K. Lowry makes 3-pt jump shot from 26 ft (assist by B. Adebayo)","+3","88-90","",""
"389","7:08.0","","","88-90","","Turnover by M. Smart (bad pass; steal by B. Adebayo)"
"390","7:00.0","Turnover by M. Strus (bad pass)","","88-90","",""
"391","7:00.0","Loose ball foul by K. Lowry (drawn by M. Smart)","","88-90","",""
"392","6:44.0","","","88-90","","A. Horford misses 3-pt jump shot from 23 ft"
"393","6:41.0","Defensive rebound by T. Herro","","88-90","",""
"394","6:36.0","K. Lowry misses 3-pt jump shot from 27 ft","","88-90","",""
"395","6:32.0","","","88-90","","Defensive rebound by M. Smart"
"396","6:28.0","","","88-92","+2","J. Brown makes 2-pt layup from 2 ft"
"397","6:07.0","M. Strus makes 3-pt jump shot from 27 ft (assist by B. Adebayo)","+3","91-92","",""
"398","5:47.0","","","91-92","","J. Tatum misses 2-pt jump shot from 10 ft"
"399","5:45.0","Defensive rebound by J. Butler","","91-92","",""
"400","5:32.0","J. Butler makes 2-pt jump shot from 13 ft (assist by K. Lowry)","+2","93-92","",""
"401","5:10.0","","","93-92","","Shooting foul by J. Butler (drawn by J. Brown)"
"402","5:10.0","","","93-92","","J. Brown misses free throw 1 of 2"
"403","5:10.0","","","93-92","","Offensive rebound by Team"
"404","5:10.0","","","93-92","","D. White enters the game for P. Pritchard"
"405","5:10.0","","","93-93","+1","J. Brown makes free throw 2 of 2"
"406","4:58.0","Shooting foul by A. Horford (drawn by B. Adebayo)","","93-93","",""
"407","4:58.0","B. Adebayo makes free throw 1 of 2","+1","94-93","",""
"408","4:58.0","B. Adebayo makes free throw 2 of 2","+1","95-93","",""
"409","4:45.0","","","95-93","","J. Brown misses 2-pt dunk from 1 ft"
"410","4:41.0","Defensive rebound by T. Herro","","95-93","",""
"411","4:38.0","J. Butler makes 2-pt jump shot from 14 ft (assist by M. Strus)","+2","97-93","",""
"412","4:21.0","","","97-96","+3","D. White makes 3-pt jump shot from 24 ft (assist by J. Tatum)"
"413","4:01.0","T. Herro misses 2-pt jump shot from 21 ft","","97-96","",""
"414","3:59.0","","","97-96","","Defensive rebound by A. Horford"
"415","3:50.0","","","97-96","","J. Brown misses 3-pt jump shot from 23 ft"
"416","3:47.0","Defensive rebound by M. Strus","","97-96","",""
"417","3:41.0","Miami full timeout","","97-96","",""
"418","3:34.0","Shooting foul by A. Horford (drawn by B. Adebayo)","","97-96","",""
"419","3:34.0","B. Adebayo makes free throw 1 of 2","+1","98-96","",""
"420","3:34.0","B. Adebayo misses free throw 2 of 2","","98-96","",""
"421","3:34.0","","","98-96","","Defensive rebound by A. Horford"
"422","3:22.0","","","98-96","","Offensive foul by M. Smart (drawn by B. Adebayo)"
"423","3:22.0","","","98-96","","Turnover by M. Smart (offensive foul)"
"424","3:09.0","K. Lowry misses 3-pt jump shot from 26 ft","","98-96","",""
"425","3:06.0","","","98-96","","Defensive rebound by A. Horford"
"426","2:55.0","","","98-96","","J. Tatum misses 2-pt layup from 7 ft (block by M. Strus)"
"427","2:53.0","","","98-96","","Offensive rebound by Team"
"428","2:47.0","","","98-96","","J. Brown misses 2-pt jump shot from 14 ft"
"429","2:45.0","Defensive rebound by B. Adebayo","","98-96","",""
"430","2:31.0","J. Butler misses 2-pt jump shot from 16 ft","","98-96","",""
"431","2:28.0","","","98-96","","Defensive rebound by A. Horford"
"432","2:19.0","","","98-96","","J. Brown misses 2-pt layup from 4 ft"
"433","2:17.0","Defensive rebound by M. Strus","","98-96","",""
"434","2:00.0","K. Lowry makes 2-pt jump shot from 13 ft","+2","100-96","",""
"435","1:48.0","","","100-96","","J. Brown misses 2-pt layup from 4 ft (block by M. Strus)"
"436","1:45.0","Defensive rebound by T. Herro","","100-96","",""
"437","1:43.0","J. Butler makes 2-pt dunk from 2 ft (assist by T. Herro)","+2","102-96","",""
"438","1:43.0","","","102-96","","Boston full timeout"
"439","1:40.0","","","102-98","+2","J. Tatum makes 2-pt layup from 4 ft (assist by J. Brown)"
"440","1:18.0","K. Lowry misses 3-pt jump shot from 29 ft","","102-98","",""
"441","1:16.0","Offensive rebound by Team","","102-98","",""
"442","1:16.0","Turnover by Team (shot clock)","","102-98","",""
"443","1:11.0","","","102-98","","M. Smart misses 2-pt layup from 3 ft"
"444","1:09.0","Defensive rebound by M. Strus","","102-98","",""
"445","0:53.0","K. Lowry misses 2-pt jump shot from 21 ft","","102-98","",""
"446","0:50.0","Offensive rebound by B. Adebayo","","102-98","",""
"447","0:40.0","T. Herro misses 3-pt jump shot from 28 ft","","102-98","",""
"448","0:37.0","","","102-98","","Defensive rebound by J. Tatum"
"449","0:33.0","","","102-98","","Offensive foul by J. Tatum (drawn by M. Strus)"
"450","0:33.0","","","102-98","","Turnover by J. Tatum (offensive foul)"
"451","0:33.0","","","102-98","","Boston full timeout"
"452","0:33.0","","","102-98","","Instant Replay (Challenge: Ruling Stands)"
"453","0:33.0","Miami full timeout","","102-98","",""
"454","0:27.0","Personal take foul by M. Smart (drawn by B. Adebayo)","","102-98","",""
"455","0:27.0","B. Adebayo makes free throw 1 of 2","+1","103-98","",""
"456","0:27.0","B. Adebayo misses free throw 2 of 2","","103-98","",""
"457","0:26.0","","","103-98","","Defensive rebound by J. Tatum"
"458","0:21.0","","","103-98","","D. White misses 3-pt jump shot from 23 ft"
"459","0:19.0","Defensive rebound by Team","","103-98","",""
"460","0:10.0","Personal take foul by D. White (drawn by B. Adebayo)","","103-98","",""
"461","0:10.0","B. Adebayo makes free throw 1 of 2","+1","104-98","",""
"462","0:10.0","","","104-98","","M. Smart ejected from game"
"463","0:10.0","","","104-98","","Technical foul by M. Smart"
"464","0:10.0","J. Butler makes technical free throw","+1","105-98","",""
"465","0:10.0","","","105-98","","G. Williams enters the game for M. Smart"
"466","0:10.0","B. Adebayo makes free throw 2 of 2","+1","106-98","",""
"467","0:06.0","","","106-98","","J. Brown misses 3-pt jump shot from 26 ft"
"468","0:02.0","Defensive rebound by B. Adebayo","","106-98","",""
"469","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
