"","Time","Milwaukee","","Score","","Boston"
"102","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"103","11:42.0","","","28-26","","J. Tatum misses 2-pt jump shot from 7 ft"
"104","11:37.0","Defensive rebound by G. Allen","","28-26","",""
"105","11:25.0","G. Antetokounmpo makes 2-pt layup from 2 ft (assist by B. Portis)","+2","30-26","",""
"106","11:11.0","","","30-26","","Shooting foul by G. Hill (drawn by J. Tatum)"
"107","11:11.0","","","30-27","+1","J. Tatum makes free throw 1 of 2"
"108","11:11.0","","","30-28","+1","J. Tatum makes free throw 2 of 2"
"109","10:55.0","Turnover by G. Allen (bad pass; steal by A. Horford)","","30-28","",""
"110","10:51.0","","","30-30","+2","J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford)"
"111","10:35.0","G. Antetokounmpo makes 2-pt layup from 2 ft","+2","32-30","",""
"112","10:24.0","","","32-33","+3","J. Tatum makes 3-pt jump shot from 25 ft"
"113","10:14.0","B. Portis misses 3-pt jump shot from 28 ft","","32-33","",""
"114","10:12.0","","","32-33","","Defensive rebound by J. Tatum"
"115","10:03.0","","","32-33","","J. Tatum misses 2-pt jump shot from 21 ft"
"116","10:01.0","Defensive rebound by B. Portis","","32-33","",""
"117","9:45.0","G. Allen misses 2-pt layup from 7 ft","","32-33","",""
"118","9:41.0","","","32-33","","Defensive rebound by J. Tatum"
"119","9:33.0","","","32-33","","J. Tatum misses 3-pt jump shot from 25 ft"
"120","9:30.0","Defensive rebound by B. Portis","","32-33","",""
"121","9:21.0","P. Connaughton misses 3-pt jump shot from 23 ft","","32-33","",""
"122","9:20.0","Offensive rebound by B. Portis","","32-33","",""
"123","9:19.0","B. Portis misses 2-pt layup from 3 ft (block by D. Theis)","","32-33","",""
"124","9:19.0","Offensive rebound by Team","","32-33","",""
"125","9:19.0","J. Holiday enters the game for P. Connaughton","","32-33","",""
"126","9:19.0","W. Matthews enters the game for G. Hill","","32-33","",""
"127","9:19.0","","","32-33","","G. Williams enters the game for D. Theis"
"128","9:12.0","G. Antetokounmpo misses 2-pt jump shot from 19 ft","","32-33","",""
"129","9:09.0","","","32-33","","Defensive rebound by P. Pritchard"
"130","8:52.0","","","32-35","+2","D. White makes 2-pt jump shot from 6 ft"
"131","8:42.0","W. Matthews misses 3-pt jump shot from 26 ft","","32-35","",""
"132","8:39.0","","","32-35","","Defensive rebound by P. Pritchard"
"133","8:34.0","","","32-37","+2","D. White makes 2-pt layup from 3 ft (assist by P. Pritchard)"
"134","8:25.0","Milwaukee full timeout","","32-37","",""
"135","8:15.0","J. Holiday misses 3-pt jump shot from 25 ft","","32-37","",""
"136","8:13.0","Offensive rebound by G. Antetokounmpo","","32-37","",""
