"","Time","Boston","","Score","","Milwaukee"
"116","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"117","Time","Boston","","Score","","Milwaukee"
"118","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"119","11:39.0","","","35-22","","D. Cousins misses 2-pt layup from 1 ft"
"120","11:36.0","Defensive rebound by R. Langford","","35-22","",""
"121","11:23.0","J. Parker misses 2-pt layup from 4 ft","","35-22","",""
"122","11:20.0","","","35-22","","Defensive rebound by D. Cousins"
"123","11:01.0","","","35-22","","D. Cousins misses 3-pt jump shot from 27 ft"
"124","10:58.0","Defensive rebound by J. Tatum","","35-22","",""
"125","10:51.0","M. Smart misses 3-pt jump shot from 28 ft","","35-22","",""
"126","10:48.0","","","35-22","","Defensive rebound by G. Antetokounmpo"
"127","10:39.0","","","35-24","+2","D. Cousins makes 2-pt layup from 2 ft (assist by G. Antetokounmpo)"
"128","10:24.0","Shooting foul by G. Allen (drawn by M. Smart)","","35-24","",""
"129","10:24.0","M. Smart makes free throw 1 of 2","+1","36-24","",""
"130","10:24.0","R. Williams enters the game for J. Parker","","36-24","",""
"131","10:24.0","","","36-24","","B. Portis enters the game for G. Antetokounmpo"
"132","10:24.0","M. Smart makes free throw 2 of 2","+1","37-24","",""
"133","10:07.0","","","37-24","","G. Allen misses 2-pt jump shot from 5 ft"
"134","10:03.0","","","37-24","","Offensive rebound by D. Cousins"
"135","10:03.0","","","37-24","","D. Cousins misses 2-pt layup at rim"
"136","10:02.0","Defensive rebound by R. Williams","","37-24","",""
"137","9:56.0","J. Tatum makes 3-pt jump shot from 27 ft (assist by P. Pritchard)","+3","40-24","",""
"138","9:56.0","","","40-24","","Milwaukee full timeout"
"139","9:56.0","","","40-24","","J. Holiday enters the game for G. Hill"
"140","9:37.0","","","40-26","+2","W. Matthews makes 2-pt jump shot from 6 ft"
"141","9:37.0","","","40-26","","Shooting foul by R. Williams (drawn by W. Matthews)"
"142","9:37.0","","","40-27","+1","W. Matthews makes free throw 1 of 1"
"143","9:16.0","P. Pritchard makes 3-pt jump shot from 27 ft (assist by J. Tatum)","+3","43-27","",""
"144","9:03.0","","","43-27","","Turnover by B. Portis (lost ball; steal by J. Tatum)"
"145","9:00.0","Shooting foul by D. Cousins (drawn by J. Tatum)","","43-27","",""
"146","9:00.0","J. Tatum makes free throw 1 of 3","+1","44-27","",""
"147","9:00.0","J. Tatum makes free throw 2 of 3","+1","45-27","",""
"148","9:00.0","","","45-27","","K. Middleton enters the game for W. Matthews"
"149","9:00.0","J. Tatum makes free throw 3 of 3","+1","46-27","",""
"150","8:42.0","","","46-27","","G. Allen misses 3-pt jump shot from 23 ft"
"151","8:39.0","","","46-27","","Offensive rebound by B. Portis"
"152","8:35.0","","","46-27","","K. Middleton misses 2-pt jump shot from 12 ft"
"153","8:33.0","Defensive rebound by P. Pritchard","","46-27","",""
"154","8:22.0","J. Tatum misses 2-pt layup from 6 ft","","46-27","",""
"155","8:18.0","","","46-27","","Defensive rebound by D. Cousins"
"156","8:18.0","","","46-27","","Shooting foul by R. Langford (drawn by G. Allen)"
"157","8:18.0","","","46-28","+1","G. Allen makes free throw 1 of 2"
"158","8:18.0","J. Brown enters the game for R. Langford","","46-28","",""
"159","8:18.0","","","46-29","+1","G. Allen makes free throw 2 of 2"
"160","8:00.0","M. Smart misses 3-pt jump shot from 24 ft","","46-29","",""
"161","8:00.0","","","46-29","","Defensive rebound by Team"
"162","8:00.0","","","46-29","","D. DiVincenzo enters the game for G. Allen"
"163","7:44.0","","","46-29","","K. Middleton misses 3-pt jump shot from 27 ft"
"164","7:41.0","","","46-29","","Offensive rebound by D. Cousins"
"165","7:41.0","","","46-31","+2","D. Cousins makes 2-pt layup from 2 ft"
"166","7:22.0","Turnover by J. Tatum (bad pass)","","46-31","",""
"167","7:09.0","","","46-31","","J. Holiday misses 2-pt layup from 1 ft"
"168","7:06.0","Defensive rebound by J. Tatum","","46-31","",""
"169","6:53.0","P. Pritchard misses 2-pt jump shot from 11 ft","","46-31","",""
"170","6:50.0","","","46-31","","Defensive rebound by D. DiVincenzo"
"171","6:50.0","J. Hernangómez enters the game for J. Tatum","","46-31","",""
"172","6:50.0","","","46-31","","G. Antetokounmpo enters the game for D. Cousins"
"173","6:44.0","","","46-31","","B. Portis misses 3-pt jump shot from 23 ft"
"174","6:40.0","Defensive rebound by P. Pritchard","","46-31","",""
"175","6:25.0","J. Hernangómez misses 3-pt jump shot from 25 ft","","46-31","",""
"176","6:22.0","","","46-31","","Defensive rebound by G. Antetokounmpo"
"177","6:15.0","","","46-34","+3","B. Portis makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo)"
"178","5:55.0","Shooting foul by G. Antetokounmpo (drawn by J. Hernangómez)","","46-34","",""
"179","5:55.0","J. Hernangómez misses free throw 1 of 2","","46-34","",""
"180","5:55.0","Offensive rebound by Team","","46-34","",""
"181","5:55.0","J. Hernangómez misses free throw 2 of 2","","46-34","",""
"182","5:50.0","Offensive rebound by P. Pritchard","","46-34","",""
"183","5:46.0","J. Brown misses 3-pt jump shot from 28 ft","","46-34","",""
"184","5:43.0","","","46-34","","Defensive rebound by B. Portis"
"185","5:31.0","","","46-34","","K. Middleton misses 2-pt jump shot from 21 ft (block by P. Pritchard)"
"186","5:27.0","Defensive rebound by J. Brown","","46-34","",""
"187","5:26.0","Personal foul by K. Middleton (drawn by J. Brown)","","46-34","",""
"188","5:16.0","J. Brown misses 3-pt jump shot from 28 ft","","46-34","",""
"189","5:16.0","Offensive rebound by Team","","46-34","",""
"190","5:16.0","","","46-34","","P. Connaughton enters the game for B. Portis"
"191","5:04.0","Turnover by R. Williams (off goaltending)","","46-34","",""
"192","4:50.0","","","46-34","","D. DiVincenzo misses 3-pt jump shot from 23 ft"
"193","4:46.0","Defensive rebound by R. Williams","","46-34","",""
"194","4:40.0","P. Pritchard makes 3-pt jump shot from 29 ft (assist by M. Smart)","+3","49-34","",""
"195","4:15.0","","","49-36","+2","J. Holiday makes 2-pt jump shot from 9 ft"
"196","4:03.0","Offensive foul by M. Smart (drawn by D. DiVincenzo)","","49-36","",""
"197","4:03.0","Turnover by M. Smart (offensive foul)","","49-36","",""
"198","4:03.0","J. Tatum enters the game for J. Hernangómez","","49-36","",""
"199","4:03.0","","","49-36","","G. Hill enters the game for D. DiVincenzo"
"200","3:53.0","","","49-36","","Turnover by G. Antetokounmpo (step out of bounds)"
"201","3:38.0","P. Pritchard misses 3-pt jump shot from 27 ft","","49-36","",""
"202","3:32.0","Offensive rebound by J. Tatum","","49-36","",""
"203","3:25.0","J. Brown makes 3-pt jump shot from 24 ft (assist by P. Pritchard)","+3","52-36","",""
"204","3:11.0","","","52-36","","K. Middleton misses 2-pt jump shot from 18 ft"
"205","3:09.0","Defensive rebound by M. Smart","","52-36","",""
"206","3:00.0","Turnover by J. Brown (out of bounds lost ball)","","52-36","",""
"207","3:00.0","","","52-36","","B. Portis enters the game for G. Antetokounmpo"
