"","Time","Dallas","","Score","","Utah"
"106","1:05.0","","","20-19","","M. Conley misses free throw 2 of 2"
"107","1:04.0","Defensive rebound by L. Doncic","","20-19","",""
"108","0:52.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","20-19","",""
"109","0:50.0","","","20-19","","Defensive rebound by J. Hernangómez"
"110","0:40.0","","","20-19","","J. Clarkson misses 2-pt jump shot from 7 ft"
"111","0:37.0","","","20-19","","Offensive rebound by R. Gobert"
"112","0:36.0","","","20-21","+2","R. Gobert makes 2-pt layup from 3 ft"
"113","0:23.0","D. Bertans misses 3-pt jump shot from 28 ft","","20-21","",""
"114","0:20.0","Offensive rebound by D. Powell","","20-21","",""
"115","0:19.0","","","20-21","","Technical foul by R. Gobert"
"116","0:19.0","D. Bertans makes technical free throw","+1","21-21","",""
"117","0:19.0","Shooting foul by R. Gobert (drawn by D. Powell)","","21-21","",""
"118","0:19.0","D. Powell makes free throw 1 of 2","+1","22-21","",""
"119","0:19.0","R. Bullock enters the game for D. Bertans","","22-21","",""
"120","0:19.0","","","22-21","","B. Bogdanovic enters the game for J. Hernangómez"
"121","0:19.0","","","22-21","","D. Mitchell enters the game for D. House"
"122","0:19.0","D. Powell makes free throw 2 of 2","+1","23-21","",""
"123","0:06.0","","","23-24","+3","J. Clarkson makes 3-pt jump shot from 26 ft (assist by M. Conley)"
"124","0:00.0","S. Dinwiddie misses 3-pt jump shot from 29 ft","","23-24","",""
"125","0:00.0","Offensive rebound by Team","","23-24","",""
"126","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"127","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"128","Time","Dallas","","Score","","Utah"
"129","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"130","11:35.0","Turnover by Team (shot clock)","","23-24","",""
"131","11:15.0","","","23-24","","D. House misses 2-pt layup from 4 ft"
"132","11:12.0","Defensive rebound by L. Doncic","","23-24","",""
"133","11:00.0","Personal foul by H. Whiteside (drawn by S. Dinwiddie)","","23-24","",""
"134","10:56.0","Personal foul by D. House (drawn by J. Green)","","23-24","",""
"135","10:48.0","L. Doncic misses 2-pt jump shot from 8 ft (block by H. Whiteside)","","23-24","",""
"136","10:46.0","","","23-24","","Defensive rebound by H. Whiteside"
"137","10:42.0","","","23-24","","Offensive foul by J. Clarkson (drawn by D. Powell)"
"138","10:42.0","","","23-24","","Turnover by J. Clarkson (offensive foul)"
"139","10:31.0","S. Dinwiddie misses 2-pt jump shot from 4 ft (block by H. Whiteside)","","23-24","",""
"140","10:27.0","","","23-24","","Defensive rebound by D. House"
"141","10:26.0","","","23-24","","Shooting foul by J. Green (drawn by D. House)"
"142","10:26.0","","","23-25","+1","D. House makes free throw 1 of 2"
"143","10:26.0","","","23-26","+1","D. House makes free throw 2 of 2"
"144","10:04.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","23-26","",""
"145","10:03.0","","","23-26","","Defensive rebound by Team"
"146","9:49.0","","","23-26","","M. Conley misses 2-pt jump shot from 6 ft"
"147","9:47.0","Defensive rebound by J. Green","","23-26","",""
"148","9:29.0","R. Bullock misses 3-pt jump shot from 26 ft","","23-26","",""
"149","9:27.0","","","23-26","","Defensive rebound by H. Whiteside"
"150","9:23.0","","","23-29","+3","J. Hernangómez makes 3-pt jump shot from 26 ft (assist by M. Conley)"
"151","9:04.0","J. Green makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie)","+3","26-29","",""
"152","8:47.0","","","26-29","","J. Clarkson misses 2-pt jump shot from 8 ft"
"153","8:44.0","","","26-29","","Offensive rebound by J. Clarkson"
"154","8:44.0","","","26-31","+2","J. Clarkson makes 2-pt layup at rim"
"155","8:33.0","L. Doncic makes 2-pt jump shot from 6 ft","+2","28-31","",""
"156","8:19.0","","","28-33","+2","J. Clarkson makes 2-pt layup from 5 ft"
"157","8:04.0","L. Doncic misses 2-pt jump shot from 13 ft","","28-33","",""
"158","8:03.0","","","28-33","","Defensive rebound by H. Whiteside"
"159","7:49.0","","","28-35","+2","J. Clarkson makes 2-pt jump shot from 9 ft"
"160","7:49.0","Dallas full timeout","","28-35","",""
"161","7:49.0","J. Brunson enters the game for L. Doncic","","28-35","",""
"162","7:49.0","D. Finney-Smith enters the game for D. Powell","","28-35","",""
"163","7:49.0","","","28-35","","B. Bogdanovic enters the game for M. Conley"
"164","7:49.0","","","28-35","","D. Mitchell enters the game for J. Hernangómez"
"165","7:49.0","","","28-35","","R. O'Neale enters the game for D. House"
"166","7:30.0","J. Green misses 3-pt jump shot from 24 ft","","28-35","",""
"167","7:26.0","","","28-35","","Defensive rebound by R. O'Neale"
"168","7:23.0","","","28-35","","Shooting foul by D. Finney-Smith (drawn by D. Mitchell)"
"169","7:23.0","","","28-35","","D. Mitchell misses free throw 1 of 2"
"170","7:23.0","","","28-35","","Offensive rebound by Team"
"171","7:23.0","","","28-36","+1","D. Mitchell makes free throw 2 of 2"
"172","7:02.0","S. Dinwiddie misses 2-pt jump shot from 10 ft","","28-36","",""
"173","7:00.0","Offensive rebound by S. Dinwiddie","","28-36","",""
"174","6:51.0","J. Green misses 3-pt jump shot from 23 ft","","28-36","",""
"175","6:48.0","","","28-36","","Defensive rebound by H. Whiteside"
"176","6:36.0","","","28-36","","D. Mitchell misses 3-pt jump shot from 27 ft"
"177","6:33.0","","","28-36","","Offensive rebound by Team"
"178","6:33.0","D. Bertans enters the game for J. Green","","28-36","",""
"179","6:33.0","","","28-36","","R. Gobert enters the game for H. Whiteside"
"180","6:27.0","Jump ball: D. Mitchell vs. R. Bullock (B. Bogdanovic gains possession)","Jump ball: D. Mitchell vs. R. Bullock (B. Bogdanovic gains possession)","Jump ball: D. Mitchell vs. R. Bullock (B. Bogdanovic gains possession)","Jump ball: D. Mitchell vs. R. Bullock (B. Bogdanovic gains possession)","Jump ball: D. Mitchell vs. R. Bullock (B. Bogdanovic gains possession)"
"181","6:22.0","","","28-36","","B. Bogdanovic misses 2-pt layup from 4 ft (block by D. Finney-Smith)"
"182","6:21.0","","","28-36","","Offensive rebound by R. Gobert"
"183","6:21.0","","","28-36","","Turnover by R. Gobert (lost ball; steal by S. Dinwiddie)"
"184","6:20.0","Offensive foul by D. Bertans (drawn by J. Clarkson)","","28-36","",""
"185","6:20.0","Turnover by D. Bertans (offensive foul)","","28-36","",""
"186","6:04.0","","","28-38","+2","D. Mitchell makes 2-pt jump shot from 10 ft"
"187","5:38.0","D. Bertans misses 3-pt jump shot from 23 ft","","28-38","",""
"188","5:36.0","","","28-38","","Defensive rebound by R. O'Neale"
"189","5:33.0","","","28-38","","Personal foul by D. Bertans (drawn by R. Gobert)"
"190","5:23.0","","","28-38","","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)"
"191","5:23.0","J. Green enters the game for D. Bertans","","28-38","",""
"192","5:23.0","M. Kleber enters the game for S. Dinwiddie","","28-38","",""
"193","5:21.0","","","28-38","","D. Mitchell misses 3-pt jump shot from 25 ft"
"194","5:17.0","Defensive rebound by J. Brunson","","28-38","",""
"195","5:11.0","Shooting foul by B. Bogdanovic (drawn by J. Brunson)","","28-38","",""
"196","5:11.0","J. Brunson makes free throw 1 of 2","+1","29-38","",""
"197","5:11.0","J. Brunson makes free throw 2 of 2","+1","30-38","",""
"198","4:51.0","","","30-40","+2","R. O'Neale makes 2-pt layup from 3 ft (assist by R. Gobert)"
"199","4:30.0","J. Brunson misses 2-pt jump shot from 7 ft","","30-40","",""
"200","4:29.0","Offensive rebound by J. Brunson","","30-40","",""
"201","4:24.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","32-40","",""
"202","4:11.0","","","32-42","+2","J. Clarkson makes 2-pt jump shot from 8 ft (assist by D. Mitchell)"
"203","4:11.0","Dallas full timeout","","32-42","",""
"204","3:58.0","J. Brunson misses 2-pt jump shot from 7 ft","","32-42","",""
"205","3:56.0","","","32-42","","Defensive rebound by B. Bogdanovic"
"206","3:49.0","","","32-44","+2","B. Bogdanovic makes 2-pt layup from 4 ft"
"207","3:32.0","D. Finney-Smith misses 3-pt jump shot from 22 ft","","32-44","",""
"208","3:32.0","Offensive rebound by R. Bullock","","32-44","",""
"209","3:27.0","R. Bullock misses 3-pt jump shot from 26 ft","","32-44","",""
"210","3:26.0","","","32-44","","Defensive rebound by Team"
"211","3:13.0","","","32-44","","J. Clarkson misses 3-pt jump shot from 26 ft"
"212","3:11.0","","","32-44","","Offensive rebound by Team"
"213","3:11.0","Loose ball foul by M. Kleber (drawn by R. Gobert)","","32-44","",""
"214","3:11.0","","","32-44","","R. Gobert misses free throw 1 of 2"
"215","3:11.0","","","32-44","","Offensive rebound by Team"
"216","3:11.0","L. Doncic enters the game for M. Kleber","","32-44","",""
"217","3:11.0","","","32-45","+1","R. Gobert makes free throw 2 of 2"
"218","3:00.0","Turnover by D. Finney-Smith (bad pass; steal by D. Mitchell)","","32-45","",""
"219","2:57.0","","","32-45","","Turnover by D. Mitchell (bad pass)"
"220","2:47.0","Turnover by L. Doncic (bad pass; steal by J. Clarkson)","","32-45","",""
"221","2:40.0","","","32-45","","Personal foul by J. Brunson (drawn by D. Mitchell)"
"222","2:40.0","","","32-46","+1","D. Mitchell makes free throw 1 of 2"
"223","2:40.0","","","32-47","+1","D. Mitchell makes free throw 2 of 2"
"224","2:29.0","J. Brunson makes 2-pt jump shot from 6 ft","+2","34-47","",""
"225","2:29.0","Shooting foul by J. Clarkson (drawn by J. Brunson)","","34-47","",""
"226","2:29.0","","","34-47","","M. Conley enters the game for J. Clarkson"
"227","2:29.0","J. Brunson misses free throw 1 of 1","","34-47","",""
"228","2:27.0","","","34-47","","Defensive rebound by R. O'Neale"
"229","2:16.0","","","34-47","","Shooting foul by J. Green (drawn by R. Gobert)"
"230","2:16.0","","","34-48","+1","R. Gobert makes free throw 1 of 2"
"231","2:16.0","","","34-49","+1","R. Gobert makes free throw 2 of 2"
"232","2:06.0","Personal foul by R. Gobert (drawn by J. Green)","","34-49","",""
"233","2:06.0","J. Green makes free throw 1 of 2","+1","35-49","",""
"234","2:06.0","","","35-49","","E. Paschall enters the game for R. Gobert"
"235","2:06.0","J. Green misses free throw 2 of 2","","35-49","",""
"236","2:05.0","","","35-49","","Defensive rebound by E. Paschall"
"237","1:51.0","","","35-49","","Shooting foul by J. Green (drawn by B. Bogdanovic)"
"238","1:51.0","","","35-50","+1","B. Bogdanovic makes free throw 1 of 2"
"239","1:51.0","","","35-51","+1","B. Bogdanovic makes free throw 2 of 2"
"240","1:31.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","37-51","",""
"241","1:16.0","","","37-51","","M. Conley misses 3-pt jump shot from 26 ft"
"242","1:12.0","Defensive rebound by D. Finney-Smith","","37-51","",""
"243","0:59.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","40-51","",""
"244","0:37.0","","","40-51","","M. Conley misses 3-pt jump shot from 26 ft"
"245","0:35.0","Defensive rebound by R. Bullock","","40-51","",""
"246","0:29.0","J. Brunson misses 3-pt jump shot from 25 ft","","40-51","",""
"247","0:26.0","","","40-51","","Defensive rebound by D. Mitchell"
"248","0:08.0","","","40-54","+3","B. Bogdanovic makes 3-pt jump shot from 26 ft (assist by D. Mitchell)"
"249","0:00.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","42-54","",""
"250","0:00.0","Instant Replay (Request: Ruling Stands)","","42-54","",""
"251","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"252","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"253","Time","Dallas","","Score","","Utah"
"254","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"255","11:43.0","D. Powell makes 2-pt dunk from 3 ft (assist by L. Doncic)","+2","44-54","",""
"256","11:25.0","","","44-56","+2","M. Conley makes 2-pt jump shot from 16 ft (assist by D. Mitchell)"
"257","11:10.0","Turnover by D. Powell (bad pass)","","44-56","",""
"258","10:48.0","","","44-56","","D. Mitchell misses 3-pt jump shot from 25 ft"
"259","10:45.0","Defensive rebound by R. Bullock","","44-56","",""
"260","10:33.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","47-56","",""
"261","10:23.0","","","47-56","","R. O'Neale misses 3-pt jump shot from 26 ft"
"262","10:20.0","Defensive rebound by D. Powell","","47-56","",""
"263","10:07.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","50-56","",""
"264","9:56.0","","","50-59","+3","M. Conley makes 3-pt jump shot from 26 ft"
"265","9:40.0","Shooting foul by B. Bogdanovic (drawn by L. Doncic)","","50-59","",""
"266","9:40.0","L. Doncic makes free throw 1 of 2","+1","51-59","",""
"267","9:40.0","L. Doncic makes free throw 2 of 2","+1","52-59","",""
"268","9:22.0","","","52-59","","R. Gobert misses 2-pt layup from 2 ft"
"269","9:20.0","Defensive rebound by L. Doncic","","52-59","",""
"270","9:16.0","R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith)","+3","55-59","",""
"271","8:53.0","","","55-59","","Turnover by B. Bogdanovic (lost ball; steal by D. Finney-Smith)"
"272","8:50.0","D. Finney-Smith makes 2-pt layup from 3 ft","+2","57-59","",""
"273","8:50.0","","","57-59","","Utah full timeout"
"274","8:35.0","","","57-59","","D. Mitchell misses 3-pt jump shot from 28 ft"
"275","8:34.0","","","57-59","","Offensive rebound by R. Gobert"
"276","8:34.0","","","57-59","","R. Gobert misses 2-pt layup from 2 ft"
"277","8:34.0","Defensive rebound by D. Powell","","57-59","",""
"278","8:17.0","L. Doncic misses 3-pt jump shot from 28 ft","","57-59","",""
"279","8:14.0","","","57-59","","Defensive rebound by R. Gobert"
"280","7:54.0","","","57-59","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"281","7:53.0","","","57-59","","Offensive rebound by R. Gobert"
"282","7:53.0","","","57-59","","Shooting foul by D. Finney-Smith (drawn by R. Gobert)"
"283","7:53.0","","","57-60","+1","R. Gobert makes free throw 1 of 2"
"284","7:53.0","","","57-60","","R. Gobert misses free throw 2 of 2"
"285","7:52.0","Defensive rebound by L. Doncic","","57-60","",""
"286","7:35.0","L. Doncic makes 2-pt hook shot from 7 ft","+2","59-60","",""
"287","7:20.0","","","59-60","","R. O'Neale misses 3-pt jump shot from 24 ft"
"288","7:17.0","Defensive rebound by D. Powell","","59-60","",""
"289","7:09.0","Personal foul by R. O'Neale (drawn by L. Doncic)","","59-60","",""
"290","7:09.0","","","59-60","","J. Clarkson enters the game for M. Conley"
"291","6:59.0","J. Brunson misses 2-pt jump shot from 11 ft","","59-60","",""
"292","6:57.0","","","59-60","","Defensive rebound by R. Gobert"
"293","6:49.0","","","59-63","+3","R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell)"
"294","6:27.0","Turnover by L. Doncic (bad pass; steal by D. Mitchell)","","59-63","",""
"295","6:21.0","","","59-65","+2","R. O'Neale makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"296","6:04.0","Turnover by D. Powell (3 sec)","","59-65","",""
"297","6:04.0","","","59-65","","H. Whiteside enters the game for R. Gobert"
"298","5:54.0","","","59-65","","R. O'Neale misses 3-pt jump shot from 26 ft"
"299","5:51.0","Defensive rebound by J. Brunson","","59-65","",""
"300","5:40.0","Turnover by L. Doncic (bad pass; steal by H. Whiteside)","","59-65","",""
"301","5:33.0","","","59-67","+2","J. Clarkson makes 2-pt jump shot from 10 ft"
"302","5:13.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","61-67","",""
"303","5:13.0","Shooting foul by H. Whiteside (drawn by J. Brunson)","","61-67","",""
"304","5:13.0","S. Dinwiddie enters the game for L. Doncic","","61-67","",""
"305","5:13.0","M. Kleber enters the game for D. Powell","","61-67","",""
"306","5:13.0","J. Brunson makes free throw 1 of 1","+1","62-67","",""
"307","5:03.0","","","62-69","+2","B. Bogdanovic makes 2-pt jump shot from 18 ft (assist by D. Mitchell)"
"308","4:40.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","65-69","",""
"309","4:27.0","","","65-69","","D. Mitchell misses 3-pt jump shot from 24 ft"
"310","4:25.0","Defensive rebound by D. Finney-Smith","","65-69","",""
"311","4:13.0","J. Brunson makes 3-pt jump shot from 26 ft","+3","68-69","",""
"312","3:54.0","","","68-71","+2","J. Clarkson makes 2-pt jump shot from 14 ft"
"313","3:31.0","S. Dinwiddie misses 2-pt jump shot from 10 ft","","68-71","",""
"314","3:29.0","Offensive rebound by S. Dinwiddie","","68-71","",""
"315","3:27.0","R. Bullock misses 3-pt jump shot from 25 ft","","68-71","",""
"316","3:26.0","Offensive rebound by Team","","68-71","",""
"317","3:26.0","","","68-71","","D. House enters the game for R. O'Neale"
"318","3:15.0","J. Brunson makes 3-pt jump shot from 23 ft (assist by R. Bullock)","+3","71-71","",""
"319","3:00.0","","","71-71","","D. Mitchell misses 2-pt dunk from 2 ft"
"320","2:58.0","Defensive rebound by R. Bullock","","71-71","",""
"321","2:54.0","D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","74-71","",""
"322","2:53.0","","","74-71","","Utah full timeout"
"323","2:53.0","","","74-71","","M. Conley enters the game for B. Bogdanovic"
"324","2:53.0","","","74-71","","R. Gobert enters the game for D. Mitchell"
"325","2:53.0","","","74-71","","J. Hernangómez enters the game for H. Whiteside"
"326","2:38.0","","","74-71","","J. Hernangómez misses 3-pt jump shot from 25 ft"
"327","2:36.0","","","74-71","","Offensive rebound by Team"
"328","2:36.0","Loose ball foul by R. Bullock (drawn by R. Gobert)","","74-71","",""
"329","2:27.0","","","74-74","+3","J. Hernangómez makes 3-pt jump shot from 24 ft (assist by M. Conley)"
"330","2:05.0","J. Brunson makes 2-pt jump shot from 13 ft","+2","76-74","",""
"331","1:48.0","","","76-74","","J. Clarkson misses 2-pt layup from 2 ft"
"332","1:43.0","","","76-74","","Offensive rebound by R. Gobert"
"333","1:43.0","","","76-76","+2","R. Gobert makes 2-pt dunk at rim"
"334","1:17.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","79-76","",""
"335","1:07.0","","","79-76","","M. Conley misses 3-pt jump shot from 25 ft"
"336","1:06.0","","","79-76","","Offensive rebound by R. Gobert"
"337","1:06.0","","","79-76","","Shooting foul by S. Dinwiddie (drawn by R. Gobert)"
"338","1:06.0","","","79-77","+1","R. Gobert makes free throw 1 of 2"
"339","1:06.0","J. Green enters the game for J. Brunson","","79-77","",""
"340","1:06.0","","","79-78","+1","R. Gobert makes free throw 2 of 2"
"341","0:43.0","Offensive foul by S. Dinwiddie (drawn by J. Hernangómez)","","79-78","",""
"342","0:43.0","Turnover by S. Dinwiddie (offensive foul)","","79-78","",""
"343","0:35.0","","","79-78","","Shooting foul by S. Dinwiddie (drawn by R. Gobert)"
"344","0:35.0","","","79-78","","R. Gobert misses free throw 1 of 2"
"345","0:35.0","","","79-78","","Offensive rebound by Team"
"346","0:35.0","D. Bertans enters the game for D. Finney-Smith","","79-78","",""
"347","0:35.0","","","79-78","","R. Gobert misses free throw 2 of 2"
"348","0:33.0","Defensive rebound by D. Bertans","","79-78","",""
"349","0:14.0","S. Dinwiddie makes 2-pt jump shot from 19 ft","+2","81-78","",""
