"","Time","Milwaukee","","Score","","Chicago"
"215","Time","Milwaukee","","Score","","Chicago"
"216","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"217","11:41.0","","","56-41","","N. Vucevic misses 3-pt jump shot from 26 ft"
"218","11:38.0","Defensive rebound by B. Portis","","56-41","",""
"219","11:32.0","Shooting foul by P. Williams (drawn by G. Antetokounmpo)","","56-41","",""
"220","11:32.0","G. Antetokounmpo makes free throw 1 of 2","+1","57-41","",""
"221","11:32.0","G. Antetokounmpo misses free throw 2 of 2","","57-41","",""
"222","11:29.0","Offensive rebound by B. Lopez","","57-41","",""
"223","11:25.0","B. Portis makes 3-pt jump shot from 23 ft (assist by J. Holiday)","+3","60-41","",""
"224","11:15.0","","","60-41","","Z. LaVine misses 3-pt jump shot from 26 ft"
"225","11:12.0","Defensive rebound by J. Holiday","","60-41","",""
"226","11:10.0","J. Holiday makes 3-pt jump shot from 30 ft","+3","63-41","",""
"227","10:51.0","","","63-41","","Shooting foul by B. Lopez (drawn by Z. LaVine)"
"228","10:51.0","","","63-42","+1","Z. LaVine makes free throw 1 of 2"
"229","10:51.0","","","63-43","+1","Z. LaVine makes free throw 2 of 2"
"230","10:36.0","G. Antetokounmpo misses 2-pt jump shot from 13 ft","","63-43","",""
"231","10:33.0","","","63-43","","Defensive rebound by D. DeRozan"
"232","10:27.0","","","63-43","","A. Dosunmu misses 3-pt jump shot from 23 ft"
"233","10:24.0","Defensive rebound by B. Portis","","63-43","",""
"234","10:20.0","Turnover by B. Portis (traveling)","","63-43","",""
"235","10:09.0","","","63-43","","N. Vucevic misses 3-pt jump shot from 23 ft"
"236","10:06.0","Defensive rebound by G. Antetokounmpo","","63-43","",""
"237","10:02.0","Personal foul by A. Dosunmu (drawn by G. Antetokounmpo)","","63-43","",""
"238","9:59.0","W. Matthews misses 2-pt layup from 2 ft","","63-43","",""
"239","9:57.0","","","63-43","","Defensive rebound by N. Vucevic"
"240","9:44.0","","","63-43","","D. DeRozan misses 2-pt jump shot from 18 ft"
"241","9:39.0","","","63-43","","Offensive rebound by N. Vucevic"
"242","9:39.0","","","63-43","","N. Vucevic misses 2-pt layup at rim"
"243","9:38.0","Defensive rebound by G. Antetokounmpo","","63-43","",""
"244","9:34.0","G. Antetokounmpo makes 2-pt layup from 1 ft","+2","65-43","",""
"245","9:19.0","","","65-46","+3","P. Williams makes 3-pt jump shot from 26 ft (assist by Z. LaVine)"
"246","9:04.0","Def 3 sec tech foul by Team","","65-46","",""
"247","9:04.0","J. Holiday misses technical free throw","","65-46","",""
"248","9:04.0","Offensive rebound by Team","","65-46","",""
"249","8:52.0","W. Matthews misses 3-pt jump shot from 28 ft","","65-46","",""
"250","8:48.0","Offensive rebound by B. Lopez","","65-46","",""
"251","8:42.0","G. Antetokounmpo misses 2-pt layup from 4 ft (block by N. Vucevic)","","65-46","",""
"252","8:39.0","","","65-46","","Defensive rebound by Z. LaVine"
"253","8:38.0","","","65-46","","Shooting foul by B. Lopez (drawn by P. Williams)"
"254","8:38.0","","","65-47","+1","P. Williams makes free throw 1 of 2"
"255","8:38.0","","","65-48","+1","P. Williams makes free throw 2 of 2"
"256","8:25.0","B. Portis misses 2-pt jump shot from 16 ft","","65-48","",""
"257","8:21.0","","","65-48","","Defensive rebound by P. Williams"
"258","8:19.0","","","65-48","","Personal foul by W. Matthews (drawn by Z. LaVine)"
"259","8:10.0","","","65-51","+3","A. Dosunmu makes 3-pt jump shot from 23 ft (assist by D. DeRozan)"
"260","7:59.0","J. Holiday misses 3-pt jump shot from 28 ft","","65-51","",""
"261","7:56.0","","","65-51","","Defensive rebound by P. Williams"
"262","7:49.0","","","65-54","+3","A. Dosunmu makes 3-pt jump shot from 24 ft (assist by Z. LaVine)"
"263","7:41.0","Milwaukee full timeout","","65-54","",""
"264","7:41.0","G. Allen enters the game for B. Lopez","","65-54","",""
"265","7:41.0","P. Connaughton enters the game for W. Matthews","","65-54","",""
"266","7:32.0","G. Antetokounmpo makes 2-pt layup from 1 ft","+2","67-54","",""
"267","7:32.0","Shooting foul by P. Williams (drawn by G. Antetokounmpo)","","67-54","",""
"268","7:32.0","G. Antetokounmpo makes free throw 1 of 1","+1","68-54","",""
"269","7:17.0","","","68-57","+3","P. Williams makes 3-pt jump shot from 23 ft (assist by Z. LaVine)"
"270","7:05.0","Turnover by B. Portis (step out of bounds)","","68-57","",""
"271","6:56.0","","","68-59","+2","D. DeRozan makes 2-pt jump shot from 19 ft"
"272","6:36.0","G. Antetokounmpo misses 2-pt layup from 2 ft","","68-59","",""
"273","6:34.0","","","68-59","","Defensive rebound by Z. LaVine"
"274","6:27.0","","","68-59","","Shooting foul by J. Holiday (drawn by D. DeRozan)"
"275","6:27.0","","","68-60","+1","D. DeRozan makes free throw 1 of 2"
"276","6:27.0","","","68-60","","D. DeRozan misses free throw 2 of 2"
"277","6:24.0","Defensive rebound by B. Portis","","68-60","",""
"278","6:03.0","P. Connaughton makes 2-pt layup from 2 ft (assist by B. Portis)","+2","70-60","",""
"279","5:52.0","","","70-60","","N. Vucevic misses 2-pt jump shot from 18 ft"
"280","5:49.0","Defensive rebound by B. Portis","","70-60","",""
"281","5:39.0","Personal foul by D. DeRozan (drawn by G. Antetokounmpo)","","70-60","",""
"282","5:32.0","G. Antetokounmpo makes 2-pt jump shot from 2 ft","+2","72-60","",""
"283","5:20.0","","","72-60","","Z. LaVine misses 2-pt layup from 1 ft (block by G. Antetokounmpo)"
"284","5:17.0","Defensive rebound by G. Antetokounmpo","","72-60","",""
"285","5:13.0","G. Allen makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)","+3","75-60","",""
"286","5:12.0","","","75-60","","Chicago full timeout"
"287","5:12.0","J. Carter enters the game for J. Holiday","","75-60","",""
"288","5:12.0","W. Matthews enters the game for B. Portis","","75-60","",""
"289","5:12.0","","","75-60","","D. Jones enters the game for N. Vucevic"
"290","4:55.0","","","75-60","","D. DeRozan misses 2-pt jump shot from 19 ft"
"291","4:52.0","Defensive rebound by G. Antetokounmpo","","75-60","",""
"292","4:47.0","Shooting foul by P. Williams (drawn by G. Antetokounmpo)","","75-60","",""
"293","4:47.0","G. Antetokounmpo makes free throw 1 of 2","+1","76-60","",""
"294","4:47.0","","","76-60","","J. Green enters the game for P. Williams"
"295","4:47.0","G. Antetokounmpo makes free throw 2 of 2","+1","77-60","",""
"296","4:32.0","","","77-60","","J. Green misses 2-pt jump shot from 8 ft"
"297","4:30.0","Defensive rebound by P. Connaughton","","77-60","",""
"298","4:21.0","J. Carter misses 2-pt jump shot from 9 ft","","77-60","",""
"299","4:17.0","","","77-60","","Defensive rebound by D. DeRozan"
"300","4:06.0","","","77-60","","D. Jones misses 3-pt jump shot from 23 ft"
"301","4:03.0","Defensive rebound by P. Connaughton","","77-60","",""
"302","3:54.0","G. Antetokounmpo makes 2-pt dunk from 1 ft","+2","79-60","",""
"303","3:50.0","","","79-62","+2","Z. LaVine makes 2-pt layup from 2 ft"
"304","3:50.0","Violation by Team (def goaltending)","","79-62","",""
"305","3:50.0","","","79-62","","Shooting foul by J. Carter (drawn by Z. LaVine)"
"306","3:50.0","","","79-62","","C. White enters the game for A. Dosunmu"
"307","3:50.0","","","79-63","+1","Z. LaVine makes free throw 1 of 1"
"308","3:43.0","Milwaukee full timeout","","79-63","",""
"309","3:34.0","Shooting foul by J. Green (drawn by G. Antetokounmpo)","","79-63","",""
"310","3:34.0","G. Antetokounmpo makes free throw 1 of 2","+1","80-63","",""
"311","3:34.0","G. Antetokounmpo misses free throw 2 of 2","","80-63","",""
"312","3:32.0","","","80-63","","Defensive rebound by D. DeRozan"
"313","3:16.0","","","80-63","","C. White misses 3-pt jump shot from 27 ft"
"314","3:10.0","","","80-63","","Offensive rebound by J. Green"
"315","3:10.0","","","80-65","+2","J. Green makes 2-pt layup at rim"
"316","3:00.0","Offensive foul by G. Antetokounmpo (drawn by D. Jones)","","80-65","",""
"317","3:00.0","Turnover by G. Antetokounmpo (offensive foul)","","80-65","",""
"318","3:00.0","J. Holiday enters the game for G. Antetokounmpo","","80-65","",""
"319","3:00.0","B. Lopez enters the game for W. Matthews","","80-65","",""
"320","3:00.0","","","80-65","","N. Vucevic enters the game for D. Jones"
"321","2:51.0","","","80-65","","Turnover by Z. LaVine (bad pass; steal by B. Lopez)"
"322","2:43.0","Offensive foul by B. Lopez (drawn by D. DeRozan)","","80-65","",""
"323","2:43.0","Turnover by B. Lopez (offensive foul)","","80-65","",""
"324","2:18.0","","","80-65","","Z. LaVine misses 2-pt jump shot from 18 ft"
"325","2:16.0","Defensive rebound by P. Connaughton","","80-65","",""
"326","2:11.0","J. Holiday makes 2-pt jump shot from 20 ft","+2","82-65","",""
"327","1:52.0","","","82-65","","Shooting foul by B. Lopez (drawn by D. DeRozan)"
