"","Time","Phoenix","","Score","","New Orleans"
"54","4:49.0","","","17-14","","Shooting foul by J. Crowder (drawn by J. Valanciunas)"
"55","4:49.0","","","17-15","+1","J. Valanciunas makes free throw 1 of 2"
"56","4:49.0","","","17-15","","T. Murphy enters the game for J. Hayes"
"57","4:49.0","","","17-16","+1","J. Valanciunas makes free throw 2 of 2"
"58","4:38.0","C. Paul makes 2-pt jump shot from 12 ft","+2","19-16","",""
"59","4:16.0","","","19-18","+2","C. McCollum makes 2-pt jump shot from 15 ft (assist by J. Valanciunas)"
"60","3:58.0","D. Ayton makes 2-pt jump shot from 12 ft (assist by C. Paul)","+2","21-18","",""
"61","3:45.0","","","21-18","","B. Ingram misses 2-pt jump shot from 15 ft"
"62","3:42.0","Defensive rebound by D. Ayton","","21-18","",""
"63","3:38.0","D. Ayton makes 2-pt layup from 3 ft (assist by C. Paul)","+2","23-18","",""
"64","3:38.0","","","23-18","","New Orleans full timeout"
"65","3:38.0","T. Craig enters the game for M. Bridges","","23-18","",""
"66","3:38.0","","","23-18","","D. Graham enters the game for C. McCollum"
"67","3:38.0","","","23-18","","L. Nance enters the game for J. Valanciunas"
"68","3:14.0","","","23-18","","T. Murphy misses 2-pt jump shot from 13 ft"
"69","3:11.0","Defensive rebound by D. Ayton","","23-18","",""
"70","2:57.0","","","23-18","","Violation by Team (kicked ball)"
"71","2:57.0","J. McGee enters the game for D. Ayton","","23-18","",""
"72","2:57.0","C. Payne enters the game for C. Paul","","23-18","",""
"73","2:50.0","Personal foul by H. Jones (drawn by J. McGee)","","23-18","",""
"74","2:45.0","J. Crowder misses 3-pt jump shot from 26 ft","","23-18","",""
"75","2:42.0","","","23-18","","Defensive rebound by D. Graham"
"76","2:38.0","","","23-20","+2","H. Jones makes 2-pt layup from 3 ft (assist by D. Graham)"
"77","2:38.0","Violation by Team (def goaltending)","","23-20","",""
"78","2:26.0","J. McGee makes 2-pt layup from 2 ft (assist by J. Crowder)","+2","25-20","",""
"79","2:12.0","","","25-20","","Personal foul by L. Shamet (drawn by H. Jones)"
"80","2:12.0","","","25-21","+1","B. Ingram makes free throw 1 of 2"
"81","2:12.0","C. Johnson enters the game for J. Crowder","","25-21","",""
"82","2:12.0","","","25-21","","N. Marshall enters the game for H. Jones"
"83","2:12.0","","","25-22","+1","B. Ingram makes free throw 2 of 2"
"84","2:00.0","Personal foul by N. Marshall (drawn by J. McGee)","","25-22","",""
"85","1:48.0","C. Payne misses 3-pt jump shot from 28 ft","","25-22","",""
"86","1:44.0","","","25-22","","Defensive rebound by B. Ingram"
"87","1:22.0","","","25-22","","B. Ingram misses 2-pt jump shot from 17 ft (block by T. Craig)"
"88","1:21.0","","","25-22","","Offensive rebound by L. Nance"
"89","1:21.0","","","25-22","","L. Nance misses 3-pt jump shot from 26 ft"
"90","1:21.0","","","25-22","","Offensive rebound by Team"
"91","1:21.0","","","25-22","","Turnover by Team (shot clock)"
"92","1:12.0","C. Johnson misses 3-pt jump shot from 27 ft","","25-22","",""
"93","1:09.0","Offensive rebound by Team","","25-22","",""
"94","1:09.0","","","25-22","","Loose ball foul by N. Marshall (drawn by J. McGee)"
"95","1:09.0","J. McGee makes free throw 1 of 2","+1","26-22","",""
"96","1:09.0","J. McGee misses free throw 2 of 2","","26-22","",""
"97","1:05.0","","","26-22","","Defensive rebound by T. Murphy"
"98","1:05.0","","","26-22","","Personal foul by C. Payne (drawn by D. Graham)"
"99","1:05.0","","","26-23","+1","D. Graham makes free throw 1 of 2"
"100","1:05.0","","","26-24","+1","D. Graham makes free throw 2 of 2"
"101","0:54.0","T. Craig misses 2-pt jump shot from 11 ft","","26-24","",""
"102","0:51.0","Offensive rebound by J. McGee","","26-24","",""
"103","0:50.0","J. McGee makes 2-pt layup from 3 ft","+2","28-24","",""
"104","0:38.0","","","28-27","+3","D. Graham makes 3-pt jump shot from 26 ft"
"105","0:31.0","C. Payne misses 2-pt layup from 6 ft","","28-27","",""
"106","0:28.0","","","28-27","","Defensive rebound by D. Graham"
"107","0:25.0","","","28-29","+2","B. Ingram makes 2-pt dunk from 3 ft (assist by N. Marshall)"
"108","0:01.0","T. Craig misses 3-pt jump shot from 23 ft","","28-29","",""
"109","0:01.0","Offensive rebound by Team","","28-29","",""
"110","0:01.0","Turnover by Team (shot clock)","","28-29","",""
"111","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"112","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"113","Time","Phoenix","","Score","","New Orleans"
"114","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"115","11:47.0","","","28-29","","C. McCollum misses 3-pt jump shot from 27 ft"
"116","11:44.0","","","28-29","","Offensive rebound by L. Nance"
"117","11:44.0","","","28-29","","L. Nance misses 2-pt layup from 5 ft (block by M. Bridges)"
