"","Time","Boston","","Score","","Miami"
"240","11:13.0","","","51-35","+2","B. Adebayo makes 2-pt jump shot from 6 ft (assist by P. Tucker)"
"241","10:51.0","A. Horford makes 3-pt jump shot from 24 ft","+3","54-35","",""
"242","10:34.0","","","54-37","+2","B. Adebayo makes 2-pt jump shot from 13 ft (assist by K. Lowry)"
"243","10:12.0","J. Tatum misses 2-pt layup from 3 ft","","54-37","",""
"244","10:10.0","","","54-37","","Defensive rebound by B. Adebayo"
"245","9:52.0","","","54-37","","Turnover by K. Lowry (bad pass; steal by J. Tatum)"
"246","9:44.0","M. Smart makes 3-pt jump shot from 25 ft (assist by J. Brown)","+3","57-37","",""
"247","9:26.0","","","57-39","+2","J. Butler makes 2-pt layup from 3 ft (assist by K. Lowry)"
"248","9:26.0","","","57-39","","Shooting foul by J. Tatum (drawn by J. Butler)"
"249","9:26.0","","","57-39","","J. Butler misses free throw 1 of 1"
"250","9:19.0","Defensive rebound by J. Tatum","","57-39","",""
"251","9:08.0","Personal foul by J. Butler (drawn by J. Brown)","","57-39","",""
"252","9:00.0","J. Tatum misses 3-pt jump shot from 26 ft","","57-39","",""
"253","8:55.0","","","57-39","","Defensive rebound by K. Lowry"
"254","8:49.0","","","57-42","+3","K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Tucker)"
"255","8:49.0","Boston full timeout","","57-42","",""
"256","8:28.0","J. Brown makes 2-pt layup from 1 ft (assist by A. Horford)","+2","59-42","",""
"257","8:10.0","","","59-42","","P. Tucker misses 3-pt jump shot from 24 ft"
"258","8:08.0","Defensive rebound by M. Smart","","59-42","",""
"259","8:07.0","Personal foul by P. Tucker (drawn by J. Brown)","","59-42","",""
"260","7:48.0","J. Brown makes 3-pt jump shot from 25 ft","+3","62-42","",""
"261","7:44.0","","","62-42","","Turnover by K. Lowry (bad pass)"
"262","7:31.0","J. Brown misses 3-pt jump shot from 26 ft","","62-42","",""
"263","7:28.0","","","62-42","","Defensive rebound by J. Butler"
"264","7:15.0","","","62-44","+2","B. Adebayo makes 2-pt jump shot from 11 ft"
"265","7:00.0","Turnover by M. Smart (bad pass; steal by J. Butler)","","62-44","",""
"266","6:56.0","","","62-44","","Shooting foul by J. Tatum (drawn by B. Adebayo)"
"267","6:56.0","","","62-45","+1","B. Adebayo makes free throw 1 of 2"
"268","6:56.0","G. Williams enters the game for A. Horford","","62-45","",""
"269","6:56.0","","","62-46","+1","B. Adebayo makes free throw 2 of 2"
"270","6:33.0","Turnover by G. Williams (bad pass; steal by B. Adebayo)","","62-46","",""
"271","6:28.0","","","62-46","","Turnover by K. Lowry (bad pass; steal by R. Williams)"
"272","6:17.0","Offensive foul by J. Tatum (drawn by B. Adebayo)","","62-46","",""
"273","6:17.0","Turnover by J. Tatum (offensive foul)","","62-46","",""
"274","6:17.0","D. Schröder enters the game for J. Tatum","","62-46","",""
