"","Time","Dallas","","Score","","Phoenix"
"351","10:01.0","Turnover by Team (shot clock)","","88-95","",""
"352","9:42.0","","","88-97","+2","C. Paul makes 2-pt layup from 2 ft"
"353","9:30.0","D. Finney-Smith misses 2-pt layup from 4 ft (block by B. Biyombo)","","88-97","",""
"354","9:30.0","Offensive rebound by L. Doncic","","88-97","",""
"355","9:30.0","Shooting foul by B. Biyombo (drawn by L. Doncic)","","88-97","",""
"356","9:30.0","L. Doncic makes free throw 1 of 2","+1","89-97","",""
"357","9:30.0","","","89-97","","L. Shamet enters the game for D. Booker"
"358","9:30.0","L. Doncic makes free throw 2 of 2","+1","90-97","",""
"359","9:10.0","","","90-99","+2","C. Paul makes 2-pt jump shot from 16 ft"
"360","8:55.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","93-99","",""
"361","8:33.0","","","93-99","","Turnover by C. Paul (bad pass; steal by L. Doncic)"
"362","8:24.0","Turnover by L. Doncic (lost ball; steal by C. Paul)","","93-99","",""
"363","8:20.0","","","93-101","+2","M. Bridges makes 2-pt dunk from 2 ft (assist by C. Paul)"
"364","8:16.0","Offensive foul by J. Brunson (drawn by C. Paul)","","93-101","",""
"365","8:16.0","Turnover by J. Brunson (offensive foul)","","93-101","",""
"366","8:05.0","","","93-103","+2","C. Paul makes 2-pt jump shot from 7 ft"
"367","8:05.0","Dallas full timeout","","93-103","",""
"368","8:05.0","S. Dinwiddie enters the game for M. Kleber","","93-103","",""
"369","7:40.0","L. Doncic misses 2-pt jump shot from 20 ft","","93-103","",""
"370","7:40.0","","","93-103","","Defensive rebound by C. Paul"
"371","7:27.0","","","93-105","+2","C. Paul makes 2-pt jump shot from 11 ft"
"372","7:17.0","J. Brunson misses 2-pt jump shot from 4 ft","","93-105","",""
"373","7:15.0","","","93-105","","Defensive rebound by B. Biyombo"
"374","7:04.0","","","93-107","+2","C. Paul makes 2-pt layup from 1 ft"
"375","7:04.0","","","93-107","","Shooting foul by L. Doncic (drawn by C. Paul)"
"376","7:04.0","","","93-108","+1","C. Paul makes free throw 1 of 1"
"377","6:49.0","R. Bullock misses 3-pt jump shot from 24 ft","","93-108","",""
"378","6:47.0","","","93-108","","Defensive rebound by C. Johnson"
"379","6:31.0","","","93-110","+2","B. Biyombo makes 2-pt dunk from 1 ft (assist by M. Bridges)"
"380","6:18.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","93-110","",""
"381","6:16.0","","","93-110","","Defensive rebound by C. Paul"
"382","6:16.0","D. Powell enters the game for S. Dinwiddie","","93-110","",""
"383","6:16.0","","","93-110","","D. Booker enters the game for L. Shamet"
"384","5:57.0","","","93-110","","C. Paul misses 2-pt jump shot from 15 ft"
"385","5:54.0","Defensive rebound by R. Bullock","","93-110","",""
"386","5:45.0","Personal foul by C. Paul (drawn by L. Doncic)","","93-110","",""
"387","5:45.0","","","93-110","","D. Ayton enters the game for B. Biyombo"
"388","5:45.0","","","93-110","","J. Crowder enters the game for C. Paul"
"389","5:41.0","Personal foul by M. Bridges (drawn by D. Powell)","","93-110","",""
"390","5:30.0","L. Doncic makes 2-pt layup from 3 ft","+2","95-110","",""
"391","5:15.0","","","95-113","+3","D. Booker makes 3-pt jump shot from 27 ft"
"392","5:03.0","J. Brunson misses 2-pt jump shot from 18 ft","","95-113","",""
"393","5:03.0","","","95-113","","Defensive rebound by J. Crowder"
"394","5:03.0","","","95-113","","Personal foul by D. Powell (drawn by J. Crowder)"
"395","4:46.0","","","95-116","+3","D. Booker makes 3-pt jump shot from 27 ft (assist by C. Johnson)"
"396","4:41.0","Dallas full timeout","","95-116","",""
"397","4:41.0","S. Brown enters the game for J. Brunson","","95-116","",""
"398","4:41.0","T. Burke enters the game for R. Bullock","","95-116","",""
"399","4:41.0","M. Chriss enters the game for L. Doncic","","95-116","",""
"400","4:41.0","J. Green enters the game for D. Finney-Smith","","95-116","",""
"401","4:41.0","F. Ntilikina enters the game for D. Powell","","95-116","",""
"402","4:29.0","T. Burke misses 2-pt jump shot from 8 ft","","95-116","",""
"403","4:27.0","Offensive rebound by M. Chriss","","95-116","",""
"404","4:26.0","M. Chriss misses 2-pt layup at rim","","95-116","",""
"405","4:25.0","","","95-116","","Defensive rebound by D. Ayton"
"406","4:13.0","","","95-119","+3","D. Booker makes 3-pt jump shot from 26 ft"
"407","4:02.0","S. Brown misses 3-pt jump shot from 24 ft","","95-119","",""
"408","4:01.0","","","95-119","","Defensive rebound by Team"
"409","4:01.0","","","95-119","","B. Biyombo enters the game for D. Ayton"
"410","4:01.0","","","95-119","","C. Payne enters the game for D. Booker"
"411","4:01.0","","","95-119","","L. Shamet enters the game for M. Bridges"
"412","4:01.0","","","95-119","","I. Wainright enters the game for J. Crowder"
"413","3:49.0","","","95-122","+3","I. Wainright makes 3-pt jump shot from 23 ft (assist by C. Payne)"
"414","3:27.0","Personal take foul by C. Johnson (drawn by F. Ntilikina)","","95-122","",""
"415","3:27.0","","","95-122","","T. Craig enters the game for C. Johnson"
"416","3:21.0","Personal foul by I. Wainright (drawn by M. Chriss)","","95-122","",""
"417","3:21.0","M. Chriss makes free throw 1 of 2","+1","96-122","",""
"418","3:21.0","M. Chriss makes free throw 2 of 2","+1","97-122","",""
"419","3:05.0","","","97-124","+2","C. Payne makes 2-pt jump shot from 11 ft"
"420","2:50.0","F. Ntilikina makes 3-pt jump shot from 26 ft (assist by T. Burke)","+3","100-124","",""
"421","2:38.0","","","100-126","+2","B. Biyombo makes 2-pt jump shot from 7 ft (assist by C. Payne)"
"422","2:38.0","Violation by Team (def goaltending)","","100-126","",""
"423","2:30.0","Turnover by T. Burke (lost ball; steal by T. Craig)","","100-126","",""
"424","2:25.0","","","100-126","","Turnover by T. Craig (lost ball; steal by S. Brown)"
"425","2:19.0","S. Brown misses 3-pt jump shot from 26 ft","","100-126","",""
"426","2:16.0","","","100-126","","Defensive rebound by L. Shamet"
"427","1:58.0","","","100-126","","L. Shamet misses 3-pt jump shot from 24 ft"
"428","1:56.0","Defensive rebound by S. Brown","","100-126","",""
"429","1:40.0","M. Chriss makes 2-pt dunk from 2 ft (assist by S. Brown)","+2","102-126","",""
"430","1:21.0","","","102-128","+2","C. Payne makes 2-pt jump shot from 17 ft"
"431","1:06.0","T. Burke makes 3-pt jump shot from 25 ft (assist by F. Ntilikina)","+3","105-128","",""
"432","1:02.0","","","105-128","","Shooting foul by F. Ntilikina (drawn by B. Biyombo)"
"433","1:02.0","","","105-128","","B. Biyombo misses free throw 1 of 2"
"434","1:02.0","","","105-128","","Offensive rebound by Team"
"435","1:02.0","","","105-129","+1","B. Biyombo makes free throw 2 of 2"
"436","0:46.0","T. Burke misses 3-pt jump shot from 26 ft","","105-129","",""
"437","0:44.0","Offensive rebound by M. Chriss","","105-129","",""
"438","0:44.0","Personal foul by T. Craig (drawn by M. Chriss)","","105-129","",""
"439","0:44.0","M. Chriss makes free throw 1 of 2","+1","106-129","",""
"440","0:44.0","M. Chriss misses free throw 2 of 2","","106-129","",""
"441","0:43.0","","","106-129","","Defensive rebound by T. Craig"
"442","0:31.0","","","106-129","","Turnover by C. Payne (lost ball; steal by T. Burke)"
"443","0:29.0","S. Brown makes 2-pt layup from 2 ft (assist by T. Burke)","+2","108-129","",""
"444","0:29.0","Shooting foul by B. Biyombo (drawn by S. Brown)","","108-129","",""
"445","0:29.0","S. Brown makes free throw 1 of 1","+1","109-129","",""
"446","0:04.0","","","109-129","","Turnover by Team (shot clock)"
"447","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
