"","Time","Dallas","","Score","","Phoenix"
"96","0:31.0","","","26-30","","Offensive foul by C. Johnson (drawn by D. Bertans)"
"97","0:31.0","","","26-30","","Turnover by C. Johnson (offensive foul)"
"98","0:31.0","","","26-30","","J. Crowder enters the game for C. Johnson"
"99","0:17.0","L. Doncic makes 2-pt jump shot from 6 ft","+2","28-30","",""
"100","0:01.0","","","28-32","+2","L. Shamet makes 2-pt jump shot from 4 ft (assist by C. Payne)"
"101","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"102","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"103","Time","Dallas","","Score","","Phoenix"
"104","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"105","11:37.0","S. Dinwiddie misses 2-pt layup from 2 ft (block by J. McGee)","","28-32","",""
"106","11:35.0","","","28-32","","Defensive rebound by J. Crowder"
"107","11:19.0","","","28-32","","C. Paul misses 2-pt jump shot from 8 ft"
"108","11:16.0","Defensive rebound by J. Brunson","","28-32","",""
"109","11:12.0","D. Bertans misses 3-pt jump shot from 26 ft","","28-32","",""
"110","11:08.0","","","28-32","","Defensive rebound by J. Crowder"
"111","11:01.0","","","28-34","+2","J. Crowder makes 2-pt jump shot from 17 ft"
"112","10:42.0","Turnover by J. Brunson (lost ball; steal by L. Shamet)","","28-34","",""
"113","10:29.0","","","28-34","","Personal foul by S. Dinwiddie (drawn by J. Crowder)"
"114","10:29.0","","","28-34","","C. Payne enters the game for M. Bridges"
"115","10:25.0","","","28-34","","Personal foul by J. Green (drawn by L. Shamet)"
"116","10:19.0","","","28-34","","Personal foul by D. Bertans (drawn by J. McGee)"
"117","10:19.0","","","28-34","","Instant Replay (Request: Ruling Stands)"
"118","10:19.0","","","28-34","","Offensive foul by J. McGee (drawn by M. Kleber)"
"119","10:19.0","","","28-34","","Turnover by J. McGee (offensive foul)"
"120","10:04.0","J. Brunson misses 2-pt jump shot from 9 ft","","28-34","",""
"121","10:02.0","Offensive rebound by M. Kleber","","28-34","",""
"122","10:00.0","S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Bertans)","+3","31-34","",""
"123","9:40.0","","","31-36","+2","J. McGee makes 2-pt dunk from 1 ft (assist by C. Payne)"
"124","9:18.0","J. Brunson makes 2-pt hook shot from 6 ft","+2","33-36","",""
"125","9:05.0","","","33-36","","C. Payne misses 2-pt jump shot from 16 ft"
"126","9:05.0","","","33-36","","Offensive rebound by Team"
"127","9:05.0","Loose ball foul by D. Bertans (drawn by J. McGee)","","33-36","",""
"128","9:01.0","","","33-36","","Personal foul by J. Green (drawn by C. Paul)"
"129","9:01.0","","","33-37","+1","C. Paul makes free throw 1 of 2"
"130","9:01.0","","","33-38","+1","C. Paul makes free throw 2 of 2"
"131","8:53.0","D. Bertans makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)","+3","36-38","",""
"132","8:36.0","","","36-38","","C. Payne misses 3-pt jump shot from 25 ft"
"133","8:36.0","Defensive rebound by Team","","36-38","",""
"134","8:36.0","","","36-38","","Loose ball foul by J. McGee (drawn by J. Green)"
"135","8:36.0","R. Bullock enters the game for J. Green","","36-38","",""
"136","8:36.0","","","36-38","","D. Ayton enters the game for J. McGee"
"137","8:36.0","","","36-38","","D. Booker enters the game for C. Payne"
"138","8:36.0","","","36-38","","Violation by Team (delay of game)"
"139","8:22.0","Shooting foul by L. Shamet (drawn by S. Dinwiddie)","","36-38","",""
