"","Time","Phoenix","","Score","","Dallas"
"273","3:53.0","Defensive rebound by J. Crowder","","58-71","",""
"274","3:42.0","D. Ayton misses 2-pt jump shot from 12 ft","","58-71","",""
"275","3:40.0","","","58-71","","Defensive rebound by S. Dinwiddie"
"276","3:31.0","","","58-73","+2","J. Brunson makes 2-pt jump shot from 7 ft (assist by S. Dinwiddie)"
"277","3:08.0","J. Crowder makes 2-pt jump shot from 12 ft (assist by C. Payne)","+2","60-73","",""
"278","2:51.0","","","60-73","","Shooting foul by C. Payne (drawn by J. Brunson)"
"279","2:51.0","","","60-73","","Dallas full timeout"
"280","2:51.0","C. Johnson enters the game for D. Ayton","","60-73","",""
"281","2:51.0","J. McGee enters the game for M. Bridges","","60-73","",""
"282","2:51.0","","","60-73","","F. Ntilikina enters the game for R. Bullock"
"283","2:51.0","","","60-74","+1","J. Brunson makes free throw 1 of 2"
"284","2:51.0","","","60-75","+1","J. Brunson makes free throw 2 of 2"
"285","2:38.0","D. Booker makes 3-pt jump shot from 25 ft (assist by C. Payne)","+3","63-75","",""
"286","2:16.0","","","63-77","+2","J. Brunson makes 2-pt jump shot from 8 ft"
"287","2:08.0","Turnover by D. Booker (bad pass; steal by D. Finney-Smith)","","63-77","",""
"288","2:05.0","","","63-77","","Turnover by D. Finney-Smith (bad pass; steal by J. Crowder)"
"289","1:57.0","Turnover by J. Crowder (bad pass)","","63-77","",""
"290","1:49.0","","","63-80","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie)"
"291","1:32.0","J. Crowder misses 3-pt jump shot from 25 ft","","63-80","",""
"292","1:30.0","","","63-80","","Defensive rebound by D. Finney-Smith"
"293","1:21.0","","","63-80","","D. Finney-Smith misses 3-pt jump shot from 23 ft"
"294","1:17.0","Defensive rebound by J. McGee","","63-80","",""
"295","1:13.0","Shooting foul by S. Dinwiddie (drawn by D. Booker)","","63-80","",""
"296","1:13.0","D. Booker misses free throw 1 of 2","","63-80","",""
"297","1:13.0","Offensive rebound by Team","","63-80","",""
"298","1:13.0","L. Shamet enters the game for J. Crowder","","63-80","",""
"299","1:13.0","D. Booker makes free throw 2 of 2","+1","64-80","",""
"300","0:57.0","","","64-80","","J. Brunson misses 3-pt jump shot from 25 ft"
"301","0:55.0","Defensive rebound by L. Shamet","","64-80","",""
"302","0:49.0","C. Johnson misses 3-pt jump shot from 23 ft","","64-80","",""
"303","0:46.0","","","64-80","","Defensive rebound by J. Brunson"
"304","0:34.0","","","64-80","","J. Brunson misses 2-pt jump shot from 17 ft"
"305","0:32.0","Defensive rebound by J. McGee","","64-80","",""
"306","0:22.0","C. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker)","+3","67-80","",""
"307","0:03.0","","","67-80","","Shooting foul by C. Payne (drawn by J. Brunson)"
"308","0:03.0","","","67-81","+1","J. Brunson makes free throw 1 of 2"
"309","0:03.0","","","67-81","","D. Powell enters the game for D. Finney-Smith"
"310","0:03.0","","","67-82","+1","J. Brunson makes free throw 2 of 2"
"311","0:01.0","Turnover by J. McGee (lost ball; steal by J. Brunson)","","67-82","",""
"312","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"313","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"314","Time","Phoenix","","Score","","Dallas"
"315","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"316","11:49.0","L. Shamet misses 3-pt jump shot from 23 ft","","67-82","",""
"317","11:45.0","","","67-82","","Defensive rebound by M. Kleber"
"318","11:29.0","","","67-82","","L. Doncic misses 2-pt jump shot from 9 ft"
"319","11:27.0","Defensive rebound by J. McGee","","67-82","",""
"320","11:14.0","Turnover by C. Payne (bad pass; steal by F. Ntilikina)","","67-82","",""
"321","11:14.0","","","67-82","","Personal take foul by C. Payne (drawn by F. Ntilikina)"
"322","11:04.0","","","67-85","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"323","10:49.0","J. McGee makes 2-pt dunk from 1 ft (assist by C. Johnson)","+2","69-85","",""
"324","10:31.0","","","69-85","","L. Doncic misses 2-pt layup from 2 ft"
"325","10:31.0","","","69-85","","Offensive rebound by Team"
"326","10:31.0","Loose ball foul by J. McGee (drawn by L. Doncic)","","69-85","",""
"327","10:31.0","M. Bridges enters the game for D. Booker","","69-85","",""
"328","10:31.0","C. Paul enters the game for C. Payne","","69-85","",""
"329","10:21.0","","","69-85","","L. Doncic misses 2-pt layup from 4 ft"
"330","10:19.0","Defensive rebound by J. McGee","","69-85","",""
"331","10:12.0","Shooting foul by F. Ntilikina (drawn by J. McGee)","","69-85","",""
"332","10:12.0","J. McGee makes free throw 1 of 2","+1","70-85","",""
"333","10:12.0","","","70-85","","D. Finney-Smith enters the game for F. Ntilikina"
"334","10:12.0","J. McGee makes free throw 2 of 2","+1","71-85","",""
"335","9:51.0","","","71-85","","Turnover by L. Doncic (bad pass; steal by L. Shamet)"
"336","9:44.0","J. McGee makes 2-pt dunk at rim (assist by L. Shamet)","+2","73-85","",""
"337","9:17.0","","","73-88","+3","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by M. Kleber)"
"338","8:59.0","M. Bridges misses 3-pt jump shot from 23 ft","","73-88","",""
"339","8:57.0","","","73-88","","Defensive rebound by L. Doncic"
"340","8:44.0","","","73-90","+2","L. Doncic makes 2-pt jump shot from 4 ft"
"341","8:26.0","J. McGee misses 2-pt hook shot from 3 ft","","73-90","",""
"342","8:24.0","","","73-90","","Defensive rebound by L. Doncic"
"343","8:13.0","","","73-90","","Turnover by L. Doncic (lost ball; steal by C. Paul)"
"344","8:11.0","Personal take foul by M. Kleber (drawn by C. Paul)","","73-90","",""
"345","8:11.0","D. Ayton enters the game for C. Johnson","","73-90","",""
"346","8:11.0","D. Booker enters the game for J. McGee","","73-90","",""
"347","8:11.0","J. Crowder enters the game for L. Shamet","","73-90","",""
"348","8:11.0","","","73-90","","J. Brunson enters the game for M. Kleber"
"349","8:07.0","Personal foul by L. Doncic (drawn by J. Crowder)","","73-90","",""
"350","8:07.0","","","73-90","","F. Ntilikina enters the game for L. Doncic"
