"","Time","New Orleans","","Score","","Phoenix"
"36","8:19.0","Shooting foul by D. Ayton (drawn by J. Hayes)","","4-11","",""
"37","8:19.0","J. Hayes misses free throw 1 of 2","","4-11","",""
"38","8:19.0","Offensive rebound by Team","","4-11","",""
"39","8:19.0","J. Hayes misses free throw 2 of 2","","4-11","",""
"40","8:17.0","","","4-11","","Defensive rebound by D. Ayton"
"41","8:08.0","","","4-11","","Turnover by C. Paul (bad pass; steal by H. Jones)"
"42","7:50.0","H. Jones misses 2-pt jump shot from 21 ft","","4-11","",""
"43","7:48.0","","","4-11","","Defensive rebound by Team"
"44","7:32.0","","","4-11","","D. Booker misses 2-pt jump shot from 21 ft"
"45","7:29.0","Defensive rebound by B. Ingram","","4-11","",""
"46","7:20.0","J. Valanciunas misses 3-pt jump shot from 26 ft","","4-11","",""
"47","7:18.0","","","4-11","","Defensive rebound by D. Ayton"
"48","7:09.0","","","4-11","","J. Crowder misses 3-pt jump shot from 27 ft"
"49","7:05.0","Defensive rebound by J. Valanciunas","","4-11","",""
"50","6:52.0","B. Ingram makes 2-pt jump shot from 18 ft","+2","6-11","",""
"51","6:35.0","","","6-13","+2","M. Bridges makes 2-pt layup from 1 ft (assist by D. Booker)"
"52","6:27.0","C. McCollum misses 2-pt jump shot from 17 ft","","6-13","",""
"53","6:23.0","","","6-13","","Defensive rebound by C. Paul"
"54","6:20.0","","","6-13","","Turnover by D. Booker (out of bounds lost ball)"
"55","6:20.0","","","6-13","","Phoenix full timeout"
"56","6:05.0","B. Ingram misses 2-pt jump shot from 16 ft","","6-13","",""
"57","6:03.0","","","6-13","","Defensive rebound by D. Ayton"
"58","5:49.0","","","6-15","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"59","5:28.0","C. McCollum misses 2-pt jump shot from 10 ft","","6-15","",""
"60","5:25.0","Offensive rebound by J. Valanciunas","","6-15","",""
"61","5:25.0","J. Valanciunas misses 2-pt layup from 1 ft","","6-15","",""
"62","5:23.0","","","6-15","","Defensive rebound by D. Booker"
"63","5:18.0","","","6-15","","D. Booker misses 2-pt jump shot from 15 ft"
"64","5:15.0","Defensive rebound by J. Valanciunas","","6-15","",""
"65","5:04.0","J. Valanciunas misses 2-pt jump shot from 17 ft","","6-15","",""
"66","5:02.0","","","6-15","","Defensive rebound by M. Bridges"
"67","4:52.0","","","6-17","+2","D. Ayton makes 2-pt jump shot from 12 ft (assist by C. Paul)"
"68","4:45.0","B. Ingram makes 2-pt jump shot from 17 ft","+2","8-17","",""
"69","4:45.0","Shooting foul by J. Crowder (drawn by B. Ingram)","","8-17","",""
"70","4:45.0","T. Murphy enters the game for J. Hayes","","8-17","",""
"71","4:45.0","L. Nance enters the game for J. Valanciunas","","8-17","",""
"72","4:45.0","","","8-17","","C. Johnson enters the game for J. Crowder"
"73","4:45.0","","","8-17","","C. Payne enters the game for C. Paul"
"74","4:45.0","B. Ingram makes free throw 1 of 1","+1","9-17","",""
"75","4:37.0","","","9-19","+2","C. Johnson makes 2-pt layup from 1 ft (assist by M. Bridges)"
"76","4:37.0","New Orleans full timeout","","9-19","",""
"77","4:28.0","Personal foul by C. Johnson (drawn by B. Ingram)","","9-19","",""
"78","4:22.0","C. McCollum misses 3-pt jump shot from 26 ft","","9-19","",""
"79","4:18.0","Offensive rebound by L. Nance","","9-19","",""
"80","4:07.0","H. Jones makes 3-pt jump shot from 25 ft (assist by C. McCollum)","+3","12-19","",""
"81","4:07.0","D. Graham enters the game for C. McCollum","","12-19","",""
"82","4:07.0","","","12-19","","T. Craig enters the game for D. Ayton"
"83","4:07.0","","","12-19","","J. McGee enters the game for M. Bridges"
"84","3:28.0","","","12-19","","Shooting foul by H. Jones (drawn by C. Johnson)"
"85","3:28.0","","","12-20","+1","C. Johnson makes free throw 1 of 2"
"86","3:28.0","N. Marshall enters the game for H. Jones","","12-20","",""
"87","3:28.0","","","12-20","","C. Johnson misses free throw 2 of 2"
"88","3:24.0","","","12-20","","Offensive rebound by J. McGee"
"89","3:15.0","","","12-22","+2","J. McGee makes 2-pt dunk from 1 ft (assist by D. Booker)"
"90","2:59.0","Personal foul by C. Payne (drawn by B. Ingram)","","12-22","",""
"91","2:47.0","L. Nance misses 3-pt jump shot from 27 ft","","12-22","",""
"92","2:43.0","","","12-22","","Defensive rebound by D. Booker"
"93","2:24.0","","","12-22","","Turnover by C. Johnson (bad pass)"
"94","2:03.0","B. Ingram misses 2-pt jump shot from 13 ft","","12-22","",""
"95","2:00.0","","","12-22","","Defensive rebound by J. McGee"
"96","1:56.0","","","12-24","+2","C. Johnson makes 2-pt dunk from 1 ft (assist by T. Craig)"
"97","1:41.0","D. Graham misses 3-pt jump shot from 25 ft","","12-24","",""
"98","1:38.0","","","12-24","","Defensive rebound by D. Booker"
"99","1:35.0","","","12-26","+2","D. Booker makes 2-pt jump shot from 23 ft"
"100","1:33.0","New Orleans full timeout","","12-26","",""
"101","1:33.0","Instant Replay (Request: Ruling Stands)","","12-26","",""
"102","1:33.0","C. McCollum enters the game for B. Ingram","","12-26","",""
"103","1:20.0","D. Graham misses 3-pt jump shot from 28 ft","","12-26","",""
"104","1:16.0","Offensive rebound by C. McCollum","","12-26","",""
"105","1:15.0","C. McCollum misses 3-pt jump shot from 27 ft","","12-26","",""
"106","1:15.0","","","12-26","","Defensive rebound by Team"
"107","1:14.0","Loose ball foul by L. Nance (drawn by J. McGee)","","12-26","",""
"108","1:14.0","","","12-27","+1","J. McGee makes free throw 1 of 2"
"109","1:14.0","","","12-28","+1","J. McGee makes free throw 2 of 2"
"110","0:55.0","Turnover by D. Graham (bad pass; steal by D. Booker)","","12-28","",""
"111","0:45.0","","","12-28","","Offensive foul by J. McGee (drawn by D. Graham)"
"112","0:45.0","","","12-28","","Turnover by J. McGee (offensive foul)"
"113","0:41.0","Personal foul by T. Craig (drawn by C. McCollum)","","12-28","",""
"114","0:41.0","C. McCollum makes free throw 1 of 2","+1","13-28","",""
"115","0:41.0","C. McCollum misses free throw 2 of 2","","13-28","",""
"116","0:39.0","","","13-28","","Defensive rebound by J. McGee"
"117","0:33.0","","","13-28","","D. Booker misses 3-pt jump shot from 27 ft"
"118","0:29.0","Defensive rebound by L. Nance","","13-28","",""
"119","0:22.0","C. McCollum makes 3-pt jump shot from 26 ft","+3","16-28","",""
"120","0:01.0","","","16-28","","D. Booker misses 2-pt jump shot from 21 ft"
"121","0:01.0","","","16-28","","Offensive rebound by Team"
"122","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"123","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"124","Time","New Orleans","","Score","","Phoenix"
"125","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"126","11:49.0","T. Murphy misses 3-pt jump shot from 25 ft","","16-28","",""
"127","11:46.0","","","16-28","","Defensive rebound by C. Paul"
"128","11:23.0","","","16-28","","C. Paul misses 3-pt jump shot from 33 ft"
"129","11:20.0","Defensive rebound by C. McCollum","","16-28","",""
"130","11:15.0","C. McCollum makes 2-pt jump shot from 11 ft","+2","18-28","",""
"131","11:07.0","","","18-28","","Personal foul by J. Alvarado (drawn by C. Paul)"
"132","11:07.0","","","18-28","","M. Bridges enters the game for T. Craig"
"133","10:46.0","","","18-31","+3","C. Paul makes 3-pt jump shot from 28 ft"
"134","10:29.0","J. Alvarado misses 3-pt jump shot from 27 ft","","18-31","",""
"135","10:26.0","","","18-31","","Defensive rebound by J. McGee"
"136","10:16.0","","","18-31","","C. Paul misses 2-pt jump shot from 9 ft"
"137","10:14.0","Defensive rebound by T. Murphy","","18-31","",""
"138","10:07.0","C. McCollum misses 3-pt jump shot from 27 ft","","18-31","",""
"139","10:05.0","","","18-31","","Defensive rebound by J. McGee"
"140","9:56.0","","","18-31","","Turnover by C. Johnson (lost ball)"
"141","9:56.0","","","18-31","","Loose ball foul by C. Johnson (drawn by N. Marshall)"
"142","9:56.0","","","18-31","","C. Payne enters the game for C. Johnson"
"143","9:35.0","N. Marshall misses 2-pt dunk from 3 ft (block by J. McGee)","","18-31","",""
"144","9:34.0","Offensive rebound by L. Nance","","18-31","",""
"145","9:33.0","L. Nance misses 2-pt layup from 3 ft","","18-31","",""
"146","9:33.0","","","18-31","","Defensive rebound by M. Bridges"
"147","9:25.0","","","18-31","","J. Crowder misses 3-pt jump shot from 24 ft"
"148","9:21.0","","","18-31","","Offensive rebound by J. McGee"
"149","9:20.0","","","18-31","","C. Payne misses 3-pt jump shot from 29 ft"
"150","9:16.0","Defensive rebound by Team","","18-31","",""
"151","9:16.0","","","18-31","","Loose ball foul by M. Bridges (drawn by N. Marshall)"
"152","9:02.0","T. Murphy misses 3-pt jump shot from 23 ft","","18-31","",""
"153","8:59.0","","","18-31","","Defensive rebound by M. Bridges"
"154","8:39.0","","","18-31","","Turnover by C. Paul (bad pass)"
"155","8:39.0","J. Valanciunas enters the game for N. Marshall","","18-31","",""
"156","8:23.0","Violation by L. Nance (jump ball)","","18-31","",""
"157","8:23.0","","","18-31","","Phoenix full timeout"
"158","8:23.0","B. Ingram enters the game for T. Murphy","","18-31","",""
"159","8:23.0","","","18-31","","D. Ayton enters the game for J. McGee"
"160","8:07.0","","","18-33","+2","D. Ayton makes 2-pt jump shot from 15 ft (assist by M. Bridges)"
"161","7:42.0","J. Valanciunas misses 2-pt hook shot from 2 ft","","18-33","",""
"162","7:40.0","Offensive rebound by J. Valanciunas","","18-33","",""
"163","7:40.0","Shooting foul by J. Crowder (drawn by J. Valanciunas)","","18-33","",""
"164","7:40.0","J. Valanciunas misses free throw 1 of 2","","18-33","",""
"165","7:40.0","Offensive rebound by Team","","18-33","",""
"166","7:40.0","J. Valanciunas makes free throw 2 of 2","+1","19-33","",""
"167","7:30.0","","","19-35","+2","C. Paul makes 2-pt jump shot from 18 ft"
"168","7:16.0","B. Ingram makes 2-pt jump shot from 18 ft (assist by J. Valanciunas)","+2","21-35","",""
"169","6:56.0","","","21-37","+2","D. Ayton makes 2-pt jump shot from 17 ft (assist by M. Bridges)"
"170","6:38.0","B. Ingram misses 2-pt jump shot from 7 ft","","21-37","",""
"171","6:36.0","","","21-37","","Defensive rebound by C. Paul"
"172","6:29.0","","","21-37","","C. Payne misses 3-pt jump shot from 26 ft"
"173","6:26.0","Defensive rebound by L. Nance","","21-37","",""
"174","6:16.0","Personal foul by J. Crowder (drawn by J. Valanciunas)","","21-37","",""
"175","6:16.0","H. Jones enters the game for L. Nance","","21-37","",""
"176","6:16.0","","","21-37","","D. Booker enters the game for J. Crowder"
"177","6:16.0","","","21-37","","C. Johnson enters the game for C. Paul"
"178","6:03.0","J. Valanciunas misses 2-pt dunk from 4 ft (block by M. Bridges)","","21-37","",""
"179","6:03.0","Offensive rebound by J. Valanciunas","","21-37","",""
"180","6:02.0","Jump ball: J. Valanciunas vs. M. Bridges (J. Alvarado gains possession)","Jump ball: J. Valanciunas vs. M. Bridges (J. Alvarado gains possession)","Jump ball: J. Valanciunas vs. M. Bridges (J. Alvarado gains possession)","Jump ball: J. Valanciunas vs. M. Bridges (J. Alvarado gains possession)","Jump ball: J. Valanciunas vs. M. Bridges (J. Alvarado gains possession)"
"181","6:00.0","Turnover by Team (shot clock)","","21-37","",""
"182","5:46.0","","","21-39","+2","D. Booker makes 2-pt layup from 2 ft (assist by D. Ayton)"
"183","5:23.0","C. McCollum misses 2-pt jump shot from 11 ft","","21-39","",""
"184","5:20.0","Offensive rebound by J. Valanciunas","","21-39","",""
"185","5:18.0","J. Valanciunas misses 2-pt layup from 4 ft (block by D. Ayton)","","21-39","",""
"186","5:18.0","Offensive rebound by Team","","21-39","",""
"187","5:09.0","Offensive foul by B. Ingram (drawn by C. Johnson)","","21-39","",""
"188","5:09.0","Turnover by B. Ingram (offensive foul)","","21-39","",""
"189","4:51.0","","","21-42","+3","C. Johnson makes 3-pt jump shot from 25 ft (assist by D. Booker)"
"190","4:41.0","J. Valanciunas makes 2-pt layup from 2 ft (assist by B. Ingram)","+2","23-42","",""
"191","4:23.0","","","23-42","","D. Booker misses 2-pt jump shot from 15 ft"
"192","4:21.0","","","23-42","","Offensive rebound by D. Ayton"
"193","4:19.0","","","23-42","","D. Ayton misses 2-pt layup from 10 ft (block by J. Alvarado)"
"194","4:19.0","Defensive rebound by J. Alvarado","","23-42","",""
"195","4:09.0","H. Jones misses 3-pt jump shot from 26 ft","","23-42","",""
"196","4:05.0","Offensive rebound by J. Valanciunas","","23-42","",""
"197","4:03.0","J. Valanciunas misses 2-pt layup from 4 ft","","23-42","",""
"198","4:03.0","Offensive rebound by J. Valanciunas","","23-42","",""
"199","4:03.0","J. Valanciunas misses 2-pt layup from 1 ft","","23-42","",""
"200","4:01.0","Offensive rebound by C. McCollum","","23-42","",""
"201","4:00.0","B. Ingram makes 3-pt jump shot from 27 ft (assist by C. McCollum)","+3","26-42","",""
"202","3:41.0","","","26-42","","M. Bridges misses 3-pt jump shot from 24 ft"
"203","3:38.0","Defensive rebound by J. Valanciunas","","26-42","",""
"204","3:31.0","Personal foul by D. Booker (drawn by B. Ingram)","","26-42","",""
"205","3:31.0","B. Ingram makes free throw 1 of 2","+1","27-42","",""
"206","3:31.0","B. Ingram makes free throw 2 of 2","+1","28-42","",""
"207","3:09.0","","","28-42","","D. Booker misses 2-pt jump shot from 19 ft"
"208","3:07.0","Defensive rebound by J. Valanciunas","","28-42","",""
"209","3:01.0","B. Ingram misses 2-pt jump shot from 17 ft","","28-42","",""
"210","2:57.0","Offensive rebound by H. Jones","","28-42","",""
"211","2:57.0","Turnover by J. Valanciunas (off goaltending)","","28-42","",""
"212","2:57.0","New Orleans full timeout","","28-42","",""
"213","2:57.0","","","28-42","","C. Paul enters the game for C. Payne"
"214","2:43.0","","","28-42","","Shooting foul by B. Ingram (drawn by M. Bridges)"
"215","2:43.0","","","28-43","+1","M. Bridges makes free throw 1 of 2"
"216","2:43.0","","","28-44","+1","M. Bridges makes free throw 2 of 2"
"217","2:27.0","Turnover by B. Ingram (lost ball; steal by C. Paul)","","28-44","",""
"218","2:20.0","","","28-46","+2","C. Johnson makes 2-pt layup from 1 ft"
"219","2:03.0","J. Alvarado misses 2-pt jump shot from 1 ft","","28-46","",""
"220","2:00.0","","","28-46","","Defensive rebound by C. Paul"
"221","1:52.0","","","28-46","","D. Ayton misses 2-pt jump shot from 19 ft"
"222","1:50.0","Defensive rebound by J. Valanciunas","","28-46","",""
"223","1:40.0","C. McCollum misses 2-pt jump shot from 3 ft","","28-46","",""
"224","1:38.0","","","28-46","","Defensive rebound by C. Paul"
"225","1:34.0","","","28-48","+2","M. Bridges makes 2-pt layup from 1 ft (assist by D. Booker)"
"226","1:11.0","H. Jones misses 2-pt jump shot from 6 ft","","28-48","",""
"227","1:11.0","Offensive rebound by Team","","28-48","",""
"228","1:11.0","","","28-48","","Loose ball foul by D. Ayton (drawn by J. Valanciunas)"
"229","1:11.0","J. Valanciunas misses free throw 1 of 2","","28-48","",""
"230","1:11.0","Offensive rebound by Team","","28-48","",""
"231","1:11.0","","","28-48","","T. Craig enters the game for C. Johnson"
"232","1:11.0","J. Valanciunas makes free throw 2 of 2","+1","29-48","",""
"233","0:59.0","","","29-51","+3","D. Ayton makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"234","0:45.0","J. Alvarado makes 3-pt jump shot from 25 ft (assist by C. McCollum)","+3","32-51","",""
"235","0:30.0","","","32-51","","D. Ayton misses 2-pt layup from 1 ft (block by C. McCollum)"
"236","0:30.0","Defensive rebound by C. McCollum","","32-51","",""
"237","0:13.0","Shooting foul by T. Craig (drawn by C. McCollum)","","32-51","",""
"238","0:13.0","C. McCollum makes free throw 1 of 2","+1","33-51","",""
"239","0:13.0","N. Marshall enters the game for B. Ingram","","33-51","",""
"240","0:13.0","T. Murphy enters the game for H. Jones","","33-51","",""
"241","0:13.0","L. Nance enters the game for J. Valanciunas","","33-51","",""
"242","0:13.0","","","33-51","","C. Johnson enters the game for T. Craig"
"243","0:13.0","C. McCollum makes free throw 2 of 2","+1","34-51","",""
"244","0:00.0","","","34-53","+2","C. Paul makes 2-pt layup from 1 ft"
"245","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"246","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"247","Time","New Orleans","","Score","","Phoenix"
"248","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"249","11:45.0","J. Hayes makes 2-pt jump shot from 3 ft (assist by B. Ingram)","+2","36-53","",""
"250","11:45.0","Shooting foul by C. Paul (drawn by J. Hayes)","","36-53","",""
"251","11:45.0","J. Hayes makes free throw 1 of 1","+1","37-53","",""
"252","11:30.0","","","37-55","+2","D. Ayton makes 2-pt layup from 2 ft (assist by C. Paul)"
"253","11:13.0","Turnover by C. McCollum (out of bounds lost ball)","","37-55","",""
"254","11:01.0","","","37-57","+2","C. Paul makes 2-pt jump shot from 15 ft"
"255","10:37.0","J. Valanciunas misses 2-pt layup from 2 ft","","37-57","",""
"256","10:37.0","Offensive rebound by Team","","37-57","",""
"257","10:34.0","Shooting foul by D. Booker (drawn by J. Hayes)","","37-57","",""
"258","10:34.0","J. Hayes makes free throw 1 of 2","+1","38-57","",""
"259","10:34.0","J. Hayes misses free throw 2 of 2","","38-57","",""
"260","10:32.0","","","38-57","","Defensive rebound by J. Crowder"
"261","10:19.0","","","38-57","","J. Crowder misses 3-pt jump shot from 27 ft"
"262","10:15.0","Defensive rebound by C. McCollum","","38-57","",""
"263","10:10.0","Personal foul by M. Bridges (drawn by J. Hayes)","","38-57","",""
"264","10:06.0","B. Ingram makes 2-pt dunk from 2 ft (assist by J. Valanciunas)","+2","40-57","",""
"265","9:38.0","","","40-59","+2","D. Ayton makes 2-pt hook shot from 7 ft (assist by J. Crowder)"
"266","9:22.0","C. McCollum misses 3-pt jump shot from 29 ft","","40-59","",""
"267","9:20.0","Offensive rebound by H. Jones","","40-59","",""
"268","9:20.0","H. Jones makes 2-pt dunk from 1 ft","+2","42-59","",""
"269","9:07.0","","","42-59","","Personal foul by H. Jones (drawn by D. Booker)"
"270","8:56.0","","","42-62","+3","D. Booker makes 3-pt jump shot from 31 ft (assist by C. Paul)"
"271","8:40.0","J. Valanciunas misses 2-pt layup from 6 ft","","42-62","",""
"272","8:35.0","Offensive rebound by J. Valanciunas","","42-62","",""
"273","8:34.0","J. Valanciunas misses 2-pt layup from 2 ft","","42-62","",""
"274","8:29.0","","","42-62","","Defensive rebound by D. Ayton"
"275","8:29.0","","","42-62","","Shooting foul by C. McCollum (drawn by D. Booker)"
"276","8:29.0","","","42-63","+1","D. Booker makes free throw 1 of 3"
"277","8:29.0","","","42-64","+1","D. Booker makes free throw 2 of 3"
"278","8:29.0","","","42-65","+1","D. Booker makes free throw 3 of 3"
"279","8:15.0","J. Hayes misses 2-pt layup from 4 ft (block by J. Crowder)","","42-65","",""
"280","8:14.0","Offensive rebound by J. Valanciunas","","42-65","",""
"281","8:14.0","J. Valanciunas makes 2-pt layup from 2 ft","+2","44-65","",""
"282","8:14.0","Shooting foul by D. Ayton (drawn by J. Valanciunas)","","44-65","",""
"283","8:14.0","J. Valanciunas makes free throw 1 of 1","+1","45-65","",""
"284","8:01.0","","","45-67","+2","C. Paul makes 2-pt jump shot from 17 ft"
"285","7:46.0","New Orleans full timeout","","45-67","",""
"286","7:46.0","T. Murphy enters the game for J. Hayes","","45-67","",""
"287","7:41.0","B. Ingram makes 2-pt jump shot from 15 ft (assist by T. Murphy)","+2","47-67","",""
"288","7:21.0","","","47-67","","C. Paul misses 2-pt jump shot from 2 ft"
"289","7:19.0","Defensive rebound by T. Murphy","","47-67","",""
"290","7:12.0","C. McCollum makes 3-pt jump shot from 28 ft (assist by B. Ingram)","+3","50-67","",""
"291","6:54.0","","","50-70","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"292","6:34.0","Turnover by B. Ingram (traveling)","","50-70","",""
"293","6:21.0","","","50-72","+2","D. Booker makes 2-pt jump shot from 19 ft (assist by C. Paul)"
"294","5:59.0","T. Murphy makes 3-pt jump shot from 29 ft (assist by C. McCollum)","+3","53-72","",""
"295","5:37.0","","","53-74","+2","D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker)"
"296","5:17.0","J. Valanciunas misses 2-pt layup from 7 ft (block by D. Ayton)","","53-74","",""
"297","5:17.0","Offensive rebound by Team","","53-74","",""
"298","5:12.0","C. McCollum makes 2-pt jump shot from 15 ft","+2","55-74","",""
"299","4:59.0","","","55-74","","M. Bridges misses 2-pt jump shot from 11 ft"
"300","4:56.0","Defensive rebound by J. Valanciunas","","55-74","",""
"301","4:56.0","L. Nance enters the game for J. Valanciunas","","55-74","",""
"302","4:56.0","","","55-74","","C. Johnson enters the game for J. Crowder"
"303","4:56.0","","","55-74","","C. Payne enters the game for C. Paul"
"304","4:52.0","Away from play foul by C. Johnson (drawn by B. Ingram)","","55-74","",""
"305","4:52.0","B. Ingram makes free throw 1 of 1","+1","56-74","",""
"306","4:37.0","L. Nance misses 2-pt jump shot from 6 ft","","56-74","",""
"307","4:36.0","Offensive rebound by C. McCollum","","56-74","",""
"308","4:36.0","C. McCollum misses 2-pt layup from 6 ft","","56-74","",""
"309","4:35.0","","","56-74","","Defensive rebound by Team"
"310","4:35.0","Loose ball foul by L. Nance (drawn by D. Ayton)","","56-74","",""
"311","4:24.0","","","56-74","","C. Payne misses 3-pt jump shot from 26 ft"
"312","4:20.0","Defensive rebound by B. Ingram","","56-74","",""
"313","4:09.0","H. Jones misses 2-pt jump shot from 9 ft (block by D. Ayton)","","56-74","",""
"314","4:04.0","","","56-74","","Defensive rebound by D. Ayton"
"315","4:04.0","","","56-74","","Personal foul by H. Jones (drawn by D. Booker)"
"316","4:04.0","N. Marshall enters the game for H. Jones","","56-74","",""
"317","3:59.0","","","56-74","","D. Booker misses 2-pt layup from 2 ft"
"318","3:56.0","Defensive rebound by L. Nance","","56-74","",""
"319","3:50.0","N. Marshall makes 2-pt jump shot from 1 ft (assist by T. Murphy)","+2","58-74","",""
"320","3:39.0","","","58-76","+2","C. Payne makes 2-pt layup from 3 ft"
"321","3:28.0","N. Marshall makes 2-pt layup from 2 ft","+2","60-76","",""
"322","3:11.0","","","60-76","","D. Booker misses 2-pt jump shot from 13 ft"
"323","3:07.0","Defensive rebound by C. McCollum","","60-76","",""
"324","3:02.0","C. McCollum misses 2-pt jump shot from 11 ft","","60-76","",""
"325","2:59.0","","","60-76","","Defensive rebound by C. Payne"
"326","2:55.0","","","60-76","","Turnover by C. Payne (bad pass; steal by B. Ingram)"
"327","2:44.0","C. McCollum misses 2-pt jump shot from 5 ft","","60-76","",""
"328","2:43.0","Offensive rebound by L. Nance","","60-76","",""
"329","2:43.0","L. Nance makes 2-pt layup from 2 ft","+2","62-76","",""
"330","2:43.0","","","62-76","","Phoenix full timeout"
"331","2:43.0","D. Graham enters the game for C. McCollum","","62-76","",""
"332","2:43.0","","","62-76","","J. McGee enters the game for D. Ayton"
"333","2:29.0","","","62-76","","M. Bridges misses 3-pt jump shot from 24 ft"
"334","2:27.0","Defensive rebound by T. Murphy","","62-76","",""
"335","2:04.0","L. Nance makes 2-pt layup from 3 ft (assist by D. Graham)","+2","64-76","",""
"336","1:46.0","","","64-76","","C. Johnson misses 3-pt jump shot from 26 ft"
"337","1:44.0","Defensive rebound by B. Ingram","","64-76","",""
"338","1:33.0","Shooting foul by M. Bridges (drawn by L. Nance)","","64-76","",""
"339","1:33.0","L. Nance makes free throw 1 of 2","+1","65-76","",""
"340","1:33.0","","","65-76","","T. Craig enters the game for M. Bridges"
"341","1:33.0","L. Nance makes free throw 2 of 2","+1","66-76","",""
"342","1:15.0","","","66-76","","C. Payne misses 2-pt layup from 3 ft"
"343","1:13.0","Defensive rebound by B. Ingram","","66-76","",""
"344","1:09.0","B. Ingram misses 2-pt jump shot from 6 ft","","66-76","",""
"345","1:05.0","Offensive rebound by N. Marshall","","66-76","",""
"346","1:04.0","N. Marshall makes 2-pt layup from 1 ft","+2","68-76","",""
"347","0:50.0","","","68-76","","T. Craig misses 3-pt jump shot from 23 ft"
"348","0:47.0","Defensive rebound by D. Graham","","68-76","",""
"349","0:34.0","Turnover by B. Ingram (bad pass; steal by T. Craig)","","68-76","",""
"350","0:28.0","","","68-76","","C. Payne misses 2-pt layup from 1 ft"
"351","0:28.0","Defensive rebound by Team","","68-76","",""
"352","0:28.0","","","68-76","","Loose ball foul by J. McGee (drawn by L. Nance)"
