"","Time","Phoenix","","Score","","Dallas"
"126","10:59.0","","","26-26","","K. Porzingis misses 2-pt jump shot from 9 ft"
"127","10:59.0","Defensive rebound by C. Johnson","","26-26","",""
"128","10:42.0","C. Payne misses 3-pt jump shot from 27 ft","","26-26","",""
"129","10:42.0","","","26-26","","Defensive rebound by L. Doncic"
"130","10:29.0","","","26-26","","K. Porzingis misses 2-pt jump shot from 17 ft"
"131","10:24.0","Defensive rebound by C. Payne","","26-26","",""
"132","10:14.0","C. Payne misses 2-pt layup from 3 ft","","26-26","",""
"133","10:13.0","","","26-26","","Defensive rebound by K. Porzingis"
"134","10:10.0","","","26-26","","T. Hardaway misses 2-pt layup from 3 ft (block by C. Paul)"
"135","10:07.0","Defensive rebound by C. Johnson","","26-26","",""
"136","10:05.0","C. Payne misses 3-pt jump shot from 26 ft","","26-26","",""
"137","10:01.0","","","26-26","","Defensive rebound by J. Green"
"138","9:45.0","","","26-26","","R. Bullock misses 3-pt jump shot from 25 ft"
"139","9:43.0","Defensive rebound by C. Johnson","","26-26","",""
"140","9:34.0","C. Paul makes 2-pt jump shot from 16 ft","+2","28-26","",""
"141","9:16.0","","","28-26","","L. Doncic misses 3-pt jump shot from 25 ft"
"142","9:13.0","Defensive rebound by L. Shamet","","28-26","",""
"143","9:05.0","C. Paul misses 3-pt jump shot from 26 ft","","28-26","",""
"144","9:02.0","","","28-26","","Defensive rebound by R. Bullock"
"145","8:58.0","","","28-26","","Personal foul by L. Shamet (drawn by K. Porzingis)"
"146","8:58.0","M. Bridges enters the game for C. Payne","","28-26","",""
"147","8:58.0","J. Crowder enters the game for L. Shamet","","28-26","",""
"148","8:58.0","","","28-26","","M. Kleber enters the game for R. Bullock"
"149","8:56.0","","","28-28","+2","J. Green makes 2-pt dunk from 1 ft (assist by T. Hardaway)"
"150","8:40.0","Shooting foul by K. Porzingis (drawn by C. Johnson)","","28-28","",""
"151","8:40.0","C. Johnson makes free throw 1 of 2","+1","29-28","",""
"152","8:40.0","J. McGee enters the game for B. Biyombo","","29-28","",""
"153","8:40.0","C. Johnson makes free throw 2 of 2","+1","30-28","",""
"154","8:31.0","","","30-28","","Turnover by K. Porzingis (lost ball; steal by J. Crowder)"
"155","8:27.0","M. Bridges makes 2-pt layup from 2 ft (assist by C. Johnson)","+2","32-28","",""
"156","8:27.0","","","32-28","","Dallas full timeout"
"157","8:07.0","","","32-28","","J. Green misses 2-pt jump shot from 3 ft"
"158","8:05.0","Defensive rebound by J. McGee","","32-28","",""
"159","7:58.0","C. Paul misses 2-pt jump shot from 14 ft","","32-28","",""
"160","7:55.0","","","32-28","","Defensive rebound by M. Kleber"
"161","7:46.0","","","32-31","+3","T. Hardaway makes 3-pt jump shot from 24 ft (assist by L. Doncic)"
"162","7:25.0","J. McGee misses 2-pt layup from 3 ft (block by K. Porzingis)","","32-31","",""
"163","7:23.0","","","32-31","","Defensive rebound by L. Doncic"
"164","7:16.0","","","32-33","+2","K. Porzingis makes 2-pt dunk from 3 ft (assist by M. Kleber)"
"165","7:06.0","C. Johnson misses 3-pt jump shot from 26 ft","","32-33","",""
"166","7:03.0","","","32-33","","Defensive rebound by T. Hardaway"
"167","6:54.0","","","32-36","+3","K. Porzingis makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"168","6:53.0","Phoenix full timeout","","32-36","",""
"169","6:53.0","D. Booker enters the game for C. Johnson","","32-36","",""
"170","6:53.0","","","32-36","","F. Ntilikina enters the game for J. Green"
"171","6:40.0","J. Crowder misses 2-pt jump shot from 5 ft","","32-36","",""
"172","6:37.0","","","32-36","","Defensive rebound by T. Hardaway"
"173","6:31.0","Loose ball foul by C. Paul (drawn by M. Kleber)","","32-36","",""
"174","6:21.0","","","32-38","+2","M. Kleber makes 2-pt dunk from 1 ft (assist by L. Doncic)"
"175","6:06.0","Personal foul by F. Ntilikina (drawn by D. Booker)","","32-38","",""
"176","6:06.0","","","32-38","","J. Brunson enters the game for L. Doncic"
"177","6:06.0","","","32-38","","D. Finney-Smith enters the game for T. Hardaway"
"178","6:01.0","D. Booker misses 2-pt jump shot from 16 ft","","32-38","",""
"179","5:59.0","","","32-38","","Defensive rebound by Team"
"180","5:38.0","","","32-38","","Turnover by M. Kleber (traveling)"
"181","5:38.0","","","32-38","","D. Powell enters the game for K. Porzingis"
"182","5:27.0","D. Booker misses 3-pt jump shot from 23 ft","","32-38","",""
"183","5:25.0","","","32-38","","Defensive rebound by D. Finney-Smith"
"184","5:11.0","","","32-38","","Shooting foul by J. Crowder (drawn by J. Brunson)"
"185","5:11.0","","","32-39","+1","J. Brunson makes free throw 1 of 2"
"186","5:11.0","","","32-39","","R. Bullock enters the game for F. Ntilikina"
"187","5:11.0","","","32-40","+1","J. Brunson makes free throw 2 of 2"
"188","5:02.0","Offensive foul by J. McGee (drawn by M. Kleber)","","32-40","",""
"189","5:02.0","Turnover by J. McGee (offensive foul)","","32-40","",""
"190","4:50.0","","","32-40","","Personal foul by C. Paul (drawn by D. Powell)"
"191","4:39.0","","","32-42","+2","J. Brunson makes 2-pt jump shot from 6 ft"
"192","4:23.0","D. Booker makes 2-pt layup from 2 ft","+2","34-42","",""
"193","4:15.0","","","34-42","","J. Brunson misses 2-pt jump shot from 20 ft"
"194","4:14.0","","","34-42","","Offensive rebound by J. Brunson"
"195","4:10.0","","","34-42","","D. Finney-Smith misses 3-pt jump shot from 24 ft"
"196","4:10.0","Defensive rebound by M. Bridges","","34-42","",""
"197","3:57.0","C. Paul makes 2-pt jump shot from 14 ft","+2","36-42","",""
"198","3:42.0","","","36-42","","Offensive foul by J. Brunson (drawn by D. Booker)"
"199","3:42.0","","","36-42","","Turnover by J. Brunson (offensive foul)"
"200","3:42.0","B. Biyombo enters the game for J. McGee","","36-42","",""
"201","3:42.0","C. Payne enters the game for C. Paul","","36-42","",""
"202","3:42.0","","","36-42","","L. Doncic enters the game for M. Kleber"
"203","3:28.0","C. Payne makes 2-pt jump shot from 11 ft (assist by M. Bridges)","+2","38-42","",""
"204","3:11.0","","","38-42","","Turnover by L. Doncic (lost ball; steal by B. Biyombo)"
"205","3:08.0","D. Booker makes 2-pt layup from 4 ft (assist by M. Bridges)","+2","40-42","",""
"206","3:08.0","","","40-42","","Dallas full timeout"
"207","2:46.0","","","40-45","+3","J. Brunson makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith)"
"208","2:23.0","C. Payne makes 2-pt jump shot from 11 ft (assist by B. Biyombo)","+2","42-45","",""
"209","2:02.0","","","42-45","","L. Doncic misses 3-pt jump shot from 26 ft"
"210","1:58.0","Defensive rebound by J. Crowder","","42-45","",""
"211","1:47.0","D. Booker misses 2-pt jump shot from 11 ft","","42-45","",""
"212","1:46.0","","","42-45","","Defensive rebound by L. Doncic"
"213","1:43.0","","","42-45","","Personal foul by D. Booker (drawn by L. Doncic)"
"214","1:43.0","Technical foul by D. Booker","","42-45","",""
"215","1:43.0","","","42-46","+1","L. Doncic makes technical free throw"
"216","1:43.0","","","42-47","+1","L. Doncic makes free throw 1 of 2"
"217","1:43.0","C. Johnson enters the game for B. Biyombo","","42-47","",""
"218","1:43.0","","","42-47","","T. Hardaway enters the game for R. Bullock"
"219","1:43.0","","","42-47","","K. Porzingis enters the game for D. Powell"
"220","1:43.0","","","42-48","+1","L. Doncic makes free throw 2 of 2"
"221","1:29.0","C. Payne misses 2-pt jump shot from 8 ft","","42-48","",""
"222","1:26.0","","","42-48","","Defensive rebound by K. Porzingis"
"223","1:20.0","","","42-48","","Turnover by J. Brunson (lost ball; steal by C. Payne)"
"224","1:15.0","C. Johnson makes 3-pt jump shot from 24 ft (assist by M. Bridges)","+3","45-48","",""
"225","0:53.0","","","45-48","","L. Doncic misses 2-pt jump shot from 8 ft"
"226","0:51.0","","","45-48","","Offensive rebound by J. Brunson"
"227","0:43.0","","","45-48","","K. Porzingis misses 2-pt jump shot from 7 ft"
"228","0:41.0","","","45-48","","Offensive rebound by D. Finney-Smith"
"229","0:35.0","","","45-48","","L. Doncic misses 3-pt jump shot from 26 ft"
"230","0:31.0","Defensive rebound by J. Crowder","","45-48","",""
"231","0:27.0","M. Bridges misses 3-pt jump shot from 25 ft","","45-48","",""
"232","0:24.0","","","45-48","","Defensive rebound by T. Hardaway"
"233","0:02.0","","","45-50","+2","L. Doncic makes 2-pt hook shot from 8 ft"
"234","0:01.0","Turnover by J. Crowder (bad pass; steal by L. Doncic)","","45-50","",""
"235","0:00.0","","","45-53","+3","L. Doncic makes 3-pt jump shot from 26 ft"
"236","0:00.0","","","45-53","","Instant Replay (Request: Ruling Stands)"
"237","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"238","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"239","Time","Phoenix","","Score","","Dallas"
"240","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"241","11:45.0","J. Crowder misses 3-pt jump shot from 23 ft","","45-53","",""
"242","11:43.0","","","45-53","","Defensive rebound by J. Brunson"
"243","11:23.0","","","45-53","","Shooting foul by J. McGee (drawn by M. Kleber)"
"244","11:23.0","","","45-54","+1","M. Kleber makes free throw 1 of 2"
"245","11:23.0","","","45-55","+1","M. Kleber makes free throw 2 of 2"
"246","11:12.0","D. Booker misses 2-pt jump shot from 15 ft","","45-55","",""
"247","11:10.0","","","45-55","","Defensive rebound by M. Kleber"
"248","10:57.0","","","45-57","+2","K. Porzingis makes 2-pt dunk from 1 ft (assist by L. Doncic)"
"249","10:46.0","Personal foul by K. Porzingis (drawn by D. Booker)","","45-57","",""
"250","10:34.0","J. Crowder makes 3-pt jump shot from 25 ft (assist by C. Paul)","+3","48-57","",""
"251","10:10.0","","","48-59","+2","L. Doncic makes 2-pt hook shot from 10 ft"
"252","10:02.0","D. Booker makes 2-pt layup from 4 ft","+2","50-59","",""
"253","9:45.0","","","50-59","","L. Doncic misses 2-pt layup from 3 ft"
"254","9:43.0","Defensive rebound by D. Booker","","50-59","",""
"255","9:41.0","Personal foul by D. Finney-Smith (drawn by D. Booker)","","50-59","",""
"256","9:33.0","C. Paul makes 2-pt jump shot from 11 ft","+2","52-59","",""
"257","9:18.0","","","52-61","+2","M. Kleber makes 2-pt dunk from 1 ft (assist by L. Doncic)"
"258","9:11.0","J. Crowder makes 3-pt jump shot from 26 ft (assist by C. Paul)","+3","55-61","",""
"259","8:48.0","","","55-61","","M. Kleber misses 3-pt jump shot from 26 ft"
"260","8:45.0","Defensive rebound by C. Paul","","55-61","",""
"261","8:33.0","C. Paul misses 2-pt jump shot from 12 ft","","55-61","",""
"262","8:31.0","","","55-61","","Defensive rebound by K. Porzingis"
