"","Time","Milwaukee","","Score","","Boston"
"114","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"115","11:43.0","R. Hood makes 3-pt jump shot from 28 ft","+3","33-30","",""
"116","11:27.0","","","33-32","+2","M. Smart makes 2-pt layup from 6 ft (assist by A. Horford)"
"117","11:06.0","G. Allen misses 2-pt hook shot from 10 ft","","33-32","",""
"118","11:04.0","","","33-32","","Defensive rebound by A. Horford"
"119","10:54.0","","","33-32","","J. Richardson misses 3-pt jump shot from 27 ft"
"120","10:51.0","Defensive rebound by G. Allen","","33-32","",""
"121","10:34.0","G. Allen makes 2-pt layup from 4 ft (assist by G. Hill)","+2","35-32","",""
"122","10:23.0","","","35-32","","G. Williams misses 3-pt jump shot from 23 ft"
"123","10:19.0","Defensive rebound by S. Ojeleye","","35-32","",""
"124","10:13.0","G. Hill misses 3-pt jump shot from 27 ft","","35-32","",""
"125","10:09.0","","","35-32","","Defensive rebound by J. Richardson"
"126","9:54.0","","","35-32","","J. Richardson misses 3-pt jump shot from 25 ft"
"127","9:48.0","","","35-32","","Offensive rebound by M. Smart"
"128","9:46.0","","","35-34","+2","J. Richardson makes 2-pt layup from 4 ft (assist by A. Horford)"
"129","9:26.0","G. Allen misses 3-pt jump shot from 27 ft","","35-34","",""
"130","9:24.0","","","35-34","","Defensive rebound by G. Williams"
"131","9:14.0","","","35-34","","R. Langford misses 3-pt jump shot from 27 ft"
"132","9:09.0","","","35-34","","Offensive rebound by R. Langford"
"133","9:01.0","","","35-34","","Personal foul by G. Allen (drawn by A. Horford)"
"134","9:01.0","B. Portis enters the game for T. Antetokounmpo","","35-34","",""
"135","9:01.0","","","35-34","","R. Williams enters the game for A. Horford"
"136","8:57.0","","","35-34","","M. Smart misses 2-pt jump shot from 17 ft"
"137","8:53.0","Defensive rebound by R. Hood","","35-34","",""
"138","8:45.0","Milwaukee full timeout","","35-34","",""
"139","8:45.0","P. Connaughton enters the game for G. Allen","","35-34","",""
"140","8:45.0","J. Holiday enters the game for G. Hill","","35-34","",""
"141","8:45.0","","","35-34","","A. Nesmith enters the game for J. Richardson"
"142","8:32.0","B. Portis misses 2-pt jump shot from 12 ft","","35-34","",""
"143","8:30.0","","","35-34","","Defensive rebound by R. Williams"
"144","8:10.0","","","35-37","+3","A. Nesmith makes 3-pt jump shot from 24 ft (assist by M. Smart)"
"145","7:54.0","J. Holiday makes 2-pt jump shot from 16 ft","+2","37-37","",""
"146","7:40.0","","","37-40","+3","M. Smart makes 3-pt jump shot from 26 ft (assist by R. Williams)"
"147","7:25.0","Offensive foul by B. Portis (drawn by G. Williams)","","37-40","",""
"148","7:25.0","Turnover by B. Portis (offensive foul)","","37-40","",""
"149","7:25.0","J. Nwora enters the game for R. Hood","","37-40","",""
"150","7:25.0","","","37-40","","J. Tatum enters the game for R. Langford"
"151","7:15.0","","","37-40","","J. Tatum misses 2-pt jump shot from 14 ft"
"152","7:11.0","Defensive rebound by P. Connaughton","","37-40","",""
"153","7:02.0","J. Holiday makes 2-pt jump shot from 16 ft (assist by B. Portis)","+2","39-40","",""
"154","6:49.0","","","39-40","","A. Nesmith misses 3-pt jump shot from 27 ft"
"155","6:45.0","Defensive rebound by J. Holiday","","39-40","",""
"156","6:33.0","Turnover by P. Connaughton (out of bounds lost ball)","","39-40","",""
"157","6:23.0","","","39-40","","Turnover by J. Tatum (bad pass)"
"158","6:11.0","J. Holiday makes 2-pt jump shot from 14 ft","+2","41-40","",""
"159","5:59.0","","","41-43","+3","J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Williams)"
"160","5:44.0","J. Holiday misses 3-pt jump shot from 28 ft","","41-43","",""
"161","5:41.0","","","41-43","","Defensive rebound by R. Williams"
"162","5:35.0","","","41-45","+2","G. Williams makes 2-pt layup from 2 ft (assist by M. Smart)"
"163","5:19.0","P. Connaughton makes 3-pt jump shot from 28 ft","+3","44-45","",""
"164","5:07.0","","","44-47","+2","R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart)"
"165","4:50.0","P. Connaughton misses 3-pt jump shot from 31 ft","","44-47","",""
"166","4:47.0","","","44-47","","Defensive rebound by A. Nesmith"
"167","4:33.0","","","44-47","","M. Smart misses 3-pt jump shot from 25 ft"
"168","4:30.0","","","44-47","","Offensive rebound by A. Nesmith"
"169","4:22.0","","","44-47","","Personal foul by P. Connaughton (drawn by J. Tatum)"
"170","4:22.0","G. Allen enters the game for S. Ojeleye","","44-47","",""
"171","4:22.0","","","44-47","","D. Schröder enters the game for G. Williams"
"172","4:18.0","","","44-47","","Turnover by D. Schröder (bad pass)"
