"","Time","Miami","","Score","","Boston"
"111","10:43.0","","","16-31","+2","J. Tatum makes 2-pt jump shot from 10 ft (assist by D. Schröder)"
"112","10:31.0","Personal foul by J. Tatum (drawn by B. Adebayo)","","16-31","",""
"113","10:25.0","M. Strus makes 3-pt jump shot from 26 ft (assist by B. Adebayo)","+3","19-31","",""
"114","10:05.0","","","19-31","","J. Tatum misses 2-pt jump shot from 16 ft"
"115","10:03.0","Defensive rebound by C. Silva","","19-31","",""
"116","9:52.0","T. Herro makes 2-pt jump shot from 17 ft","+2","21-31","",""
"117","9:37.0","","","21-31","","D. Schröder misses 3-pt jump shot from 23 ft"
"118","9:35.0","Defensive rebound by T. Herro","","21-31","",""
"119","9:21.0","M. Strus misses 3-pt jump shot from 29 ft","","21-31","",""
"120","9:18.0","Offensive rebound by C. Silva","","21-31","",""
"121","9:13.0","K. Guy makes 3-pt jump shot from 25 ft (assist by T. Herro)","+3","24-31","",""
"122","9:13.0","","","24-31","","Boston full timeout"
"123","9:13.0","","","24-31","","M. Smart enters the game for J. Richardson"
"124","8:55.0","","","24-31","","G. Williams misses 3-pt jump shot from 27 ft"
"125","8:52.0","","","24-31","","Offensive rebound by J. Tatum"
"126","8:51.0","","","24-31","","Shooting foul by C. Silva (drawn by J. Tatum)"
"127","8:51.0","","","24-31","","J. Tatum misses free throw 1 of 2"
"128","8:51.0","","","24-31","","Offensive rebound by Team"
"129","8:51.0","","","24-32","+1","J. Tatum makes free throw 2 of 2"
"130","8:29.0","B. Adebayo misses 2-pt jump shot from 10 ft","","24-32","",""
"131","8:26.0","Offensive rebound by Team","","24-32","",""
"132","8:26.0","","","24-32","","Loose ball foul by M. Smart (drawn by T. Herro)"
"133","8:15.0","M. Strus misses 3-pt jump shot from 25 ft","","24-32","",""
"134","8:13.0","","","24-32","","Defensive rebound by J. Tatum"
"135","8:04.0","","","24-32","","Turnover by A. Horford (out of bounds lost ball)"
"136","8:04.0","","","24-32","","J. Brown enters the game for J. Tatum"
"137","7:51.0","Shooting foul by G. Williams (drawn by C. Silva)","","24-32","",""
"138","7:51.0","C. Silva makes free throw 1 of 2","+1","25-32","",""
"139","7:51.0","C. Silva makes free throw 2 of 2","+1","26-32","",""
"140","7:37.0","","","26-32","","J. Brown misses 2-pt jump shot from 16 ft"
"141","7:35.0","Defensive rebound by C. Silva","","26-32","",""
"142","7:20.0","Turnover by C. Silva (lost ball; steal by G. Williams)","","26-32","",""
"143","7:12.0","","","26-32","","Shooting foul by B. Adebayo (drawn by M. Smart)"
"144","7:12.0","","","26-32","","M. Smart misses free throw 1 of 2"
"145","7:12.0","","","26-32","","Offensive rebound by Team"
"146","7:12.0","Defensive rebound by C. Silva","","26-32","",""
"147","7:12.0","C. Martin enters the game for B. Adebayo","","26-32","",""
"148","7:12.0","","","26-32","","R. Williams enters the game for A. Horford"
"149","7:12.0","","","26-32","","M. Smart misses free throw 2 of 2"
"150","6:55.0","T. Herro makes 3-pt jump shot from 26 ft (assist by M. Strus)","+3","29-32","",""
"151","6:46.0","","","29-32","","M. Smart misses 3-pt jump shot from 28 ft"
"152","6:44.0","Defensive rebound by Team","","29-32","",""
"153","6:37.0","M. Strus makes 3-pt jump shot from 26 ft (assist by C. Martin)","+3","32-32","",""
"154","6:34.0","","","32-32","","Boston full timeout"
"155","6:34.0","","","32-32","","J. Richardson enters the game for D. Schröder"
"156","6:34.0","","","32-32","","J. Tatum enters the game for G. Williams"
"157","6:12.0","","","32-35","+3","J. Brown makes 3-pt jump shot from 28 ft (assist by M. Smart)"
"158","6:00.0","Turnover by C. Martin (bad pass; steal by M. Smart)","","32-35","",""
"159","5:58.0","","","32-37","+2","M. Smart makes 2-pt layup from 1 ft"
"160","5:40.0","C. Martin misses 3-pt jump shot from 23 ft","","32-37","",""
"161","5:37.0","","","32-37","","Defensive rebound by R. Williams"
"162","5:28.0","","","32-39","+2","J. Brown makes 2-pt jump shot from 16 ft"
"163","5:27.0","Miami full timeout","","32-39","",""
"164","5:27.0","Violation by Team (delay of game)","","32-39","",""
"165","5:27.0","B. Adebayo enters the game for C. Silva","","32-39","",""
"166","5:11.0","Personal foul by J. Brown (drawn by B. Adebayo)","","32-39","",""
"167","4:59.0","T. Herro misses 2-pt layup from 3 ft (block by R. Williams)","","32-39","",""
"168","4:57.0","","","32-39","","Defensive rebound by J. Tatum"
"169","4:53.0","","","32-39","","J. Brown misses 2-pt layup from 5 ft"
"170","4:50.0","Defensive rebound by C. Martin","","32-39","",""
"171","4:46.0","C. Martin makes 2-pt layup from 3 ft","+2","34-39","",""
"172","4:26.0","","","34-39","","J. Brown misses 3-pt jump shot from 26 ft"
"173","4:22.0","Defensive rebound by K. Guy","","34-39","",""
"174","4:17.0","T. Herro misses 3-pt jump shot from 25 ft","","34-39","",""
"175","4:15.0","","","34-39","","Defensive rebound by Team"
"176","4:15.0","G. Vincent enters the game for K. Guy","","34-39","",""
"177","4:00.0","","","34-39","","Turnover by J. Richardson (bad pass; steal by B. Adebayo)"
"178","3:56.0","C. Martin misses 2-pt layup at rim","","34-39","",""
"179","3:54.0","","","34-39","","Defensive rebound by J. Tatum"
"180","3:52.0","","","34-41","+2","M. Smart makes 2-pt dunk from 2 ft (assist by J. Tatum)"
"181","3:26.0","C. Martin makes 2-pt dunk at rim (assist by B. Adebayo)","+2","36-41","",""
"182","3:11.0","","","36-43","+2","J. Brown makes 2-pt layup from 2 ft"
"183","2:54.0","Shooting foul by J. Richardson (drawn by B. Adebayo)","","36-43","",""
"184","2:54.0","B. Adebayo makes free throw 1 of 2","+1","37-43","",""
"185","2:54.0","K. Guy enters the game for T. Herro","","37-43","",""
"186","2:54.0","B. Adebayo misses free throw 2 of 2","","37-43","",""
"187","2:54.0","","","37-43","","Defensive rebound by J. Tatum"
"188","2:40.0","","","37-43","","J. Tatum misses 3-pt jump shot from 26 ft"
"189","2:37.0","","","37-43","","Offensive rebound by J. Brown"
"190","2:36.0","","","37-43","","Shooting foul by M. Strus (drawn by J. Brown)"
"191","2:36.0","","","37-44","+1","J. Brown makes free throw 1 of 2"
"192","2:36.0","","","37-45","+1","J. Brown makes free throw 2 of 2"
"193","2:25.0","M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent)","+3","40-45","",""
"194","2:09.0","","","40-45","","Personal foul by G. Vincent (drawn by J. Tatum)"
"195","2:09.0","","","40-45","","J. Tatum misses free throw 1 of 2"
"196","2:09.0","","","40-45","","Offensive rebound by Team"
"197","2:09.0","","","40-46","+1","J. Tatum makes free throw 2 of 2"
"198","1:56.0","B. Adebayo makes 2-pt dunk from 1 ft","+2","42-46","",""
"199","1:56.0","Shooting foul by R. Williams (drawn by B. Adebayo)","","42-46","",""
"200","1:56.0","","","42-46","","A. Horford enters the game for J. Richardson"
"201","1:56.0","B. Adebayo makes free throw 1 of 1","+1","43-46","",""
"202","1:32.0","","","43-46","","J. Brown misses 3-pt jump shot from 27 ft"
"203","1:29.0","","","43-46","","Offensive rebound by A. Horford"
"204","1:23.0","","","43-49","+3","M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum)"
"205","1:12.0","K. Guy misses 3-pt jump shot from 26 ft","","43-49","",""
"206","1:09.0","","","43-49","","Defensive rebound by A. Horford"
"207","0:59.0","","","43-52","+3","J. Tatum makes 3-pt jump shot from 26 ft"
"208","0:49.0","B. Adebayo makes 2-pt dunk from 1 ft (assist by M. Strus)","+2","45-52","",""
"209","0:38.0","","","45-54","+2","J. Tatum makes 2-pt layup from 2 ft"
"210","0:33.0","G. Vincent misses 3-pt jump shot from 25 ft","","45-54","",""
"211","0:30.0","","","45-54","","Defensive rebound by J. Brown"
"212","0:11.0","","","45-54","","R. Williams misses 2-pt dunk from 2 ft"
