Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
1:04.0,J.Tatum,5,44-54,2.0,3-pt,jump,25,misses,Boston,2022-06-05 01:04:00
0:30.0,J.Tatum,5,47-54,2.0,3-pt,jump,25,misses,Boston,2022-06-05 00:30:00
9:58.0,J.Tatum,5,49-58,3.0,2-pt,jump,9,makes,Boston,2022-06-05 09:58:00
8:53.0,J.Tatum,5,55-58,3.0,2-pt,jump,8,misses,Boston,2022-06-05 08:53:00
8:51.0,J.Tatum,5,55-60,3.0,2-pt,layup,,makes,Boston,2022-06-05 08:51:00
7:12.0,J.Tatum,5,59-60,3.0,3-pt,jump,26,misses,Boston,2022-06-05 07:12:00
5:34.0,J.Tatum,5,61-66,3.0,2-pt,jump,4,makes,Boston,2022-06-05 05:34:00
11:01.0,J.Tatum,5,79-90,4.0,2-pt,layup,2,makes,Boston,2022-06-05 11:01:00
11:01.0,J.Tatum,5,79-91,4.0,free,throw,1,makes,Boston,2022-06-05 11:01:00
9:27.0,J.Tatum,5,82-95,4.0,2-pt,dunk,2,makes,Boston,2022-06-05 09:27:00
8:56.0,J.Tatum,5,85-96,4.0,free,throw,2,misses,Boston,2022-06-05 08:56:00
8:56.0,J.Tatum,5,85-96,4.0,free,throw,2,makes,Boston,2022-06-05 08:56:00
7:47.0,J.Tatum,5,87-98,4.0,2-pt,jump,22,misses,Boston,2022-06-05 07:47:00
5:38.0,J.Tatum,5,95-99,4.0,2-pt,jump,9,misses,Boston,2022-06-05 05:38:00
5:02.0,J.Tatum,5,95-101,4.0,2-pt,jump,18,makes,Boston,2022-06-05 05:02:00
3:40.0,J.Tatum,5,99-103,4.0,2-pt,jump,18,makes,Boston,2022-06-05 03:40:00
3:09.0,J.Tatum,5,99-103,4.0,2-pt,jump,19,misses,Boston,2022-06-05 03:09:00
1:20.0,J.Tatum,5,102-105,4.0,2-pt,jump,22,misses,Boston,2022-06-05 01:20:00
0:31.0,J.Tatum,5,105-106,4.0,free,throw,2,makes,Boston,2022-06-05 00:31:00
0:31.0,J.Tatum,5,105-107,4.0,free,throw,2,makes,Boston,2022-06-05 00:31:00
9:12.0,J.Tatum,6,9-4,1.0,3-pt,jump,25,makes,Boston,2022-06-05 09:12:00
8:06.0,J.Tatum,6,15-6,1.0,3-pt,jump,28,makes,Boston,2022-06-05 08:06:00
7:11.0,J.Tatum,6,15-10,1.0,2-pt,jump,22,misses,Boston,2022-06-05 07:11:00
5:47.0,J.Tatum,6,17-17,1.0,2-pt,jump,12,misses,Boston,2022-06-05 05:47:00
5:24.0,J.Tatum,6,17-20,1.0,2-pt,jump,21,misses,Boston,2022-06-05 05:24:00
0:45.0,J.Tatum,6,28-26,1.0,3-pt,jump,26,makes,Boston,2022-06-05 00:45:00
11:22.0,J.Tatum,6,30-26,2.0,2-pt,layup,3,makes,Boston,2022-06-05 11:22:00
