Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
10:01.0,G.Antetokounmpo,4,4-5,1.0,2-pt,jump,6,makes,Milwaukee,2022-09-17 10:01:00
8:40.0,G.Antetokounmpo,4,7-5,1.0,free,throw,2,misses,Milwaukee,2022-09-17 08:40:00
8:40.0,G.Antetokounmpo,4,8-5,1.0,free,throw,2,makes,Milwaukee,2022-09-17 08:40:00
7:26.0,G.Antetokounmpo,4,11-8,1.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 07:26:00
1:04.0,G.Antetokounmpo,4,25-20,1.0,2-pt,dunk,1,makes,Milwaukee,2022-09-17 01:04:00
9:09.0,G.Antetokounmpo,4,33-26,2.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 09:09:00
9:09.0,G.Antetokounmpo,4,34-26,2.0,free,throw,1,makes,Milwaukee,2022-09-17 09:09:00
8:01.0,G.Antetokounmpo,4,39-28,2.0,2-pt,jump,5,makes,Milwaukee,2022-09-17 08:01:00
7:12.0,G.Antetokounmpo,4,39-31,2.0,3-pt,jump,26,misses,Milwaukee,2022-09-17 07:12:00
3:14.0,G.Antetokounmpo,4,48-36,2.0,2-pt,jump,4,makes,Milwaukee,2022-09-17 03:14:00
0:00.0,G.Antetokounmpo,4,56-41,2.0,3-pt,jump,33,misses,Milwaukee,2022-09-17 00:00:00
11:32.0,G.Antetokounmpo,4,57-41,3.0,free,throw,2,misses,Milwaukee,2022-09-17 11:32:00
11:32.0,G.Antetokounmpo,4,57-41,3.0,free,throw,2,makes,Milwaukee,2022-09-17 11:32:00
10:36.0,G.Antetokounmpo,4,63-43,3.0,2-pt,jump,13,misses,Milwaukee,2022-09-17 10:36:00
9:34.0,G.Antetokounmpo,4,65-43,3.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 09:34:00
8:42.0,G.Antetokounmpo,4,65-46,3.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 08:42:00
7:32.0,G.Antetokounmpo,4,67-54,3.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 07:32:00
7:32.0,G.Antetokounmpo,4,68-54,3.0,free,throw,1,makes,Milwaukee,2022-09-17 07:32:00
6:36.0,G.Antetokounmpo,4,68-59,3.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 06:36:00
5:32.0,G.Antetokounmpo,4,72-60,3.0,2-pt,jump,2,makes,Milwaukee,2022-09-17 05:32:00
4:47.0,G.Antetokounmpo,4,76-60,3.0,free,throw,2,makes,Milwaukee,2022-09-17 04:47:00
4:47.0,G.Antetokounmpo,4,77-60,3.0,free,throw,2,makes,Milwaukee,2022-09-17 04:47:00
3:54.0,G.Antetokounmpo,4,79-60,3.0,2-pt,dunk,1,makes,Milwaukee,2022-09-17 03:54:00
3:34.0,G.Antetokounmpo,4,80-63,3.0,free,throw,2,misses,Milwaukee,2022-09-17 03:34:00
3:34.0,G.Antetokounmpo,4,80-63,3.0,free,throw,2,makes,Milwaukee,2022-09-17 03:34:00
11:18.0,G.Antetokounmpo,4,92-76,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 11:18:00
11:18.0,G.Antetokounmpo,4,93-76,4.0,free,throw,2,makes,Milwaukee,2022-09-17 11:18:00
11:18.0,G.Antetokounmpo,4,94-76,4.0,free,throw,2,makes,Milwaukee,2022-09-17 11:18:00
10:50.0,G.Antetokounmpo,4,97-78,4.0,3-pt,jump,27,makes,Milwaukee,2022-09-17 10:50:00
9:31.0,G.Antetokounmpo,4,97-78,4.0,2-pt,jump,14,misses,Milwaukee,2022-09-17 09:31:00
7:28.0,G.Antetokounmpo,4,100-80,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 07:28:00
3:08.0,G.Antetokounmpo,4,110-93,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 03:08:00
2:26.0,G.Antetokounmpo,4,112-93,4.0,2-pt,dunk,,makes,Milwaukee,2022-09-17 02:26:00
11:35.0,G.Antetokounmpo,5,0-2,1.0,2-pt,dunk,,makes,Milwaukee,2022-09-17 11:35:00
11:11.0,G.Antetokounmpo,5,0-2,1.0,free,throw,2,misses,Milwaukee,2022-09-17 11:11:00
11:11.0,G.Antetokounmpo,5,0-3,1.0,free,throw,2,makes,Milwaukee,2022-09-17 11:11:00
8:04.0,G.Antetokounmpo,5,4-8,1.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 08:04:00
6:56.0,G.Antetokounmpo,5,7-12,1.0,2-pt,dunk,3,makes,Milwaukee,2022-09-17 06:56:00
3:03.0,G.Antetokounmpo,5,10-25,1.0,2-pt,layup,2,makes,Milwaukee,2022-09-17 03:03:00
1:47.0,G.Antetokounmpo,5,13-25,1.0,free,throw,2,misses,Milwaukee,2022-09-17 01:47:00
1:47.0,G.Antetokounmpo,5,13-26,1.0,free,throw,2,makes,Milwaukee,2022-09-17 01:47:00
0:30.0,G.Antetokounmpo,5,18-30,1.0,free,throw,2,makes,Milwaukee,2022-09-17 00:30:00
0:30.0,G.Antetokounmpo,5,18-31,1.0,free,throw,2,makes,Milwaukee,2022-09-17 00:30:00
0:02.0,G.Antetokounmpo,5,18-33,1.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 00:02:00
0:02.0,G.Antetokounmpo,5,18-34,1.0,free,throw,1,makes,Milwaukee,2022-09-17 00:02:00
10:41.0,G.Antetokounmpo,5,20-36,2.0,2-pt,hook,3,makes,Milwaukee,2022-09-17 10:41:00
10:11.0,G.Antetokounmpo,5,20-38,2.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 10:11:00
1:56.0,G.Antetokounmpo,5,35-53,2.0,3-pt,jump,26,misses,Milwaukee,2022-09-17 01:56:00
1:51.0,G.Antetokounmpo,5,35-54,2.0,free,throw,2,makes,Milwaukee,2022-09-17 01:51:00
1:51.0,G.Antetokounmpo,5,35-55,2.0,free,throw,2,makes,Milwaukee,2022-09-17 01:51:00
0:54.0,G.Antetokounmpo,5,40-57,2.0,2-pt,jump,11,makes,Milwaukee,2022-09-17 00:54:00
11:36.0,G.Antetokounmpo,5,44-62,3.0,2-pt,layup,1,makes,Milwaukee,2022-09-17 11:36:00
10:31.0,G.Antetokounmpo,5,47-63,3.0,free,throw,2,makes,Milwaukee,2022-09-17 10:31:00
10:31.0,G.Antetokounmpo,5,47-64,3.0,free,throw,2,makes,Milwaukee,2022-09-17 10:31:00
6:48.0,G.Antetokounmpo,5,57-76,3.0,2-pt,layup,5,makes,Milwaukee,2022-09-17 06:48:00
1:41.0,G.Antetokounmpo,5,64-90,3.0,2-pt,jump,5,makes,Milwaukee,2022-09-17 01:41:00
1:41.0,G.Antetokounmpo,5,64-91,3.0,free,throw,1,makes,Milwaukee,2022-09-17 01:41:00
0:56.0,G.Antetokounmpo,5,67-91,3.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 00:56:00
0:03.0,G.Antetokounmpo,5,68-91,3.0,2-pt,jump,16,misses,Milwaukee,2022-09-17 00:03:00
9:34.0,G.Antetokounmpo,5,72-93,4.0,2-pt,layup,ft,misses,Milwaukee,2022-09-17 09:34:00
8:55.0,G.Antetokounmpo,5,74-93,4.0,free,throw,2,misses,Milwaukee,2022-09-17 08:55:00
8:55.0,G.Antetokounmpo,5,74-94,4.0,free,throw,2,makes,Milwaukee,2022-09-17 08:55:00
