"","Time","Chicago","","Score","","Milwaukee"
"169","4:20.0","","","48-42","","G. Antetokounmpo misses 2-pt jump shot from 19 ft"
"170","4:16.0","Defensive rebound by P. Williams","","48-42","",""
"171","4:06.0","D. DeRozan misses 2-pt jump shot from 14 ft","","48-42","",""
"172","4:03.0","","","48-42","","Defensive rebound by G. Antetokounmpo"
"173","3:52.0","","","48-45","+3","W. Matthews makes 3-pt jump shot from 23 ft (assist by P. Connaughton)"
"174","3:30.0","Z. LaVine makes 3-pt jump shot from 26 ft (assist by A. Caruso)","+3","51-45","",""
"175","3:23.0","","","51-45","","J. Holiday misses 2-pt jump shot from 7 ft"
"176","3:23.0","Defensive rebound by N. Vucevic","","51-45","",""
"177","3:23.0","Chicago full timeout","","51-45","",""
"178","3:23.0","","","51-45","","G. Allen enters the game for G. Antetokounmpo"
"179","3:23.0","","","51-45","","K. Middleton enters the game for P. Connaughton"
"180","3:08.0","D. DeRozan makes 2-pt jump shot from 9 ft","+2","53-45","",""
"181","3:08.0","Shooting foul by K. Middleton (drawn by D. DeRozan)","","53-45","",""
"182","3:08.0","D. DeRozan makes free throw 1 of 1","+1","54-45","",""
"183","2:58.0","","","54-45","","Turnover by J. Holiday (out of bounds lost ball)"
"184","2:43.0","D. DeRozan makes 2-pt jump shot from 17 ft","+2","56-45","",""
"185","2:31.0","","","56-45","","K. Middleton misses 2-pt jump shot from 12 ft"
"186","2:28.0","Defensive rebound by P. Williams","","56-45","",""
"187","2:19.0","A. Caruso makes 3-pt jump shot from 27 ft","+3","59-45","",""
"188","1:59.0","","","59-47","+2","J. Holiday makes 2-pt jump shot from 7 ft"
"189","1:39.0","D. DeRozan misses 2-pt jump shot from 18 ft","","59-47","",""
"190","1:37.0","","","59-47","","Defensive rebound by B. Lopez"
"191","1:27.0","","","59-47","","Turnover by J. Holiday (bad pass; steal by Z. LaVine)"
"192","1:20.0","Personal foul by J. Holiday (drawn by Z. LaVine)","","59-47","",""
"193","1:20.0","","","59-47","","G. Antetokounmpo enters the game for B. Lopez"
"194","1:20.0","","","59-47","","S. Ibaka enters the game for W. Matthews"
"195","1:14.0","Personal foul by J. Holiday (drawn by D. DeRozan)","","59-47","",""
"196","1:14.0","D. DeRozan makes free throw 1 of 2","+1","60-47","",""
"197","1:14.0","D. DeRozan makes free throw 2 of 2","+1","61-47","",""
"198","0:59.0","","","61-49","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton)"
"199","0:59.0","","","61-49","","W. Matthews enters the game for J. Holiday"
"200","0:42.0","Personal foul by K. Middleton (drawn by Z. LaVine)","","61-49","",""
"201","0:42.0","Z. LaVine makes free throw 1 of 2","+1","62-49","",""
"202","0:42.0","","","62-49","","P. Connaughton enters the game for S. Ibaka"
"203","0:42.0","Z. LaVine makes free throw 2 of 2","+1","63-49","",""
"204","0:28.0","","","63-49","","G. Antetokounmpo misses 2-pt layup from 5 ft (block by P. Williams)"
"205","0:24.0","Defensive rebound by D. DeRozan","","63-49","",""
"206","0:12.0","N. Vucevic misses 3-pt jump shot from 27 ft","","63-49","",""
"207","0:08.0","Offensive rebound by P. Williams","","63-49","",""
"208","0:05.0","A. Caruso misses 3-pt jump shot from 25 ft","","63-49","",""
"209","0:02.0","","","63-49","","Defensive rebound by G. Antetokounmpo"
"210","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
