"","Time","Milwaukee","","Score","","Chicago"
"161","4:47.0","Offensive foul by G. Antetokounmpo (drawn by D. DeRozan)","","48-28","",""
"162","4:47.0","Turnover by G. Antetokounmpo (offensive foul)","","48-28","",""
"163","4:38.0","","","48-28","","Z. LaVine misses 2-pt layup from 1 ft (block by B. Lopez)"
"164","4:35.0","Defensive rebound by G. Allen","","48-28","",""
"165","4:30.0","G. Allen misses 2-pt layup from 3 ft (block by P. Williams)","","48-28","",""
"166","4:27.0","","","48-28","","Defensive rebound by N. Vucevic"
"167","4:18.0","","","48-30","+2","N. Vucevic makes 2-pt jump shot from 19 ft (assist by D. DeRozan)"
"168","4:03.0","J. Holiday makes 2-pt layup from 1 ft","+2","50-30","",""
"169","3:42.0","","","50-30","","Turnover by D. DeRozan (out of bounds lost ball)"
"170","3:42.0","","","50-30","","A. Caruso enters the game for A. Dosunmu"
"171","3:29.0","Personal foul by Z. LaVine (drawn by G. Allen)","","50-30","",""
"172","3:16.0","B. Lopez misses 2-pt hook shot from 7 ft","","50-30","",""
"173","3:14.0","","","50-30","","Defensive rebound by D. DeRozan"
"174","3:08.0","","","50-32","+2","D. DeRozan makes 2-pt layup from 2 ft"
"175","3:08.0","","","50-32","","Shooting foul by W. Matthews (drawn by D. DeRozan)"
"176","3:08.0","","","50-33","+1","D. DeRozan makes free throw 1 of 1"
"177","2:52.0","G. Allen makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)","+3","53-33","",""
"178","2:40.0","","","53-35","+2","D. DeRozan makes 2-pt jump shot from 19 ft (assist by N. Vucevic)"
"179","2:27.0","G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Holiday)","+2","55-35","",""
"180","2:27.0","P. Connaughton enters the game for G. Antetokounmpo","","55-35","",""
"181","1:58.0","","","55-35","","P. Williams misses 2-pt layup from 1 ft (block by G. Allen)"
"182","1:45.0","Defensive rebound by G. Allen","","55-35","",""
"183","1:45.0","J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Lopez)","+3","58-35","",""
"184","1:30.0","","","58-37","+2","N. Vucevic makes 2-pt jump shot from 20 ft (assist by Z. LaVine)"
"185","1:15.0","B. Lopez makes 2-pt layup from 2 ft","+2","60-37","",""
"186","1:03.0","","","60-37","","Personal foul by W. Matthews (drawn by D. DeRozan)"
"187","0:52.0","","","60-37","","N. Vucevic misses 3-pt jump shot from 25 ft"
"188","0:49.0","Defensive rebound by J. Holiday","","60-37","",""
"189","0:33.0","J. Holiday misses 3-pt jump shot from 24 ft","","60-37","",""
"190","0:31.0","","","60-37","","Defensive rebound by Z. LaVine"
"191","0:24.0","","","60-39","+2","N. Vucevic makes 2-pt jump shot from 6 ft (assist by Z. LaVine)"
"192","0:04.0","Turnover by J. Holiday (bad pass; steal by P. Williams)","","60-39","",""
"193","0:01.0","","","60-41","+2","Z. LaVine makes 2-pt layup at rim (assist by P. Williams)"
"194","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"195","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"196","Time","Milwaukee","","Score","","Chicago"
"197","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"198","11:46.0","","","60-41","","Turnover by D. DeRozan (bad pass; steal by W. Matthews)"
"199","11:31.0","G. Antetokounmpo misses 2-pt jump shot from 13 ft","","60-41","",""
"200","11:28.0","","","60-41","","Defensive rebound by D. DeRozan"
"201","11:14.0","","","60-44","+3","Z. LaVine makes 3-pt jump shot from 25 ft (assist by N. Vucevic)"
"202","10:58.0","G. Antetokounmpo makes 2-pt jump shot from 19 ft","+2","62-44","",""
"203","10:46.0","","","62-44","","D. DeRozan misses 2-pt jump shot from 13 ft (block by J. Holiday)"
"204","10:46.0","Defensive rebound by G. Antetokounmpo","","62-44","",""
"205","10:39.0","G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by J. Holiday)","+2","64-44","",""
"206","10:29.0","","","64-44","","N. Vucevic misses 3-pt jump shot from 25 ft"
"207","10:25.0","Defensive rebound by B. Portis","","64-44","",""
"208","10:13.0","Shooting foul by P. Williams (drawn by G. Antetokounmpo)","","64-44","",""
"209","10:13.0","G. Antetokounmpo makes free throw 1 of 2","+1","65-44","",""
"210","10:13.0","G. Antetokounmpo makes free throw 2 of 2","+1","66-44","",""
"211","9:49.0","","","66-44","","N. Vucevic misses 2-pt hook shot from 7 ft"
"212","9:46.0","Defensive rebound by G. Antetokounmpo","","66-44","",""
"213","9:33.0","B. Lopez misses 2-pt jump shot from 16 ft","","66-44","",""
"214","9:31.0","","","66-44","","Defensive rebound by N. Vucevic"
"215","9:19.0","","","66-44","","P. Williams misses 3-pt jump shot from 22 ft"
"216","9:14.0","Defensive rebound by B. Lopez","","66-44","",""
"217","9:05.0","B. Portis makes 2-pt jump shot from 13 ft (assist by J. Holiday)","+2","68-44","",""
"218","8:48.0","","","68-44","","N. Vucevic misses 3-pt jump shot from 26 ft"
"219","8:45.0","Defensive rebound by B. Portis","","68-44","",""
"220","8:36.0","G. Antetokounmpo misses 3-pt jump shot from 26 ft","","68-44","",""
"221","8:32.0","","","68-44","","Defensive rebound by D. DeRozan"
"222","8:16.0","","","68-44","","Turnover by P. Williams (bad pass)"
"223","8:02.0","G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by J. Holiday)","+2","70-44","",""
"224","8:00.0","","","70-44","","Chicago full timeout"
"225","8:00.0","","","70-44","","D. Jones enters the game for P. Williams"
"226","7:48.0","","","70-44","","Turnover by D. Jones (bad pass)"
"227","7:37.0","Personal foul by A. Caruso (drawn by J. Holiday)","","70-44","",""
"228","7:26.0","Personal foul by D. DeRozan (drawn by B. Lopez)","","70-44","",""
"229","7:19.0","W. Matthews makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo)","+3","73-44","",""
"230","6:55.0","","","73-47","+3","Z. LaVine makes 3-pt jump shot from 25 ft (assist by D. DeRozan)"
"231","6:44.0","W. Matthews misses 3-pt jump shot from 28 ft","","73-47","",""
"232","6:44.0","","","73-47","","Defensive rebound by Z. LaVine"
"233","6:35.0","","","73-49","+2","N. Vucevic makes 2-pt jump shot from 7 ft (assist by Z. LaVine)"
"234","6:25.0","Offensive foul by G. Antetokounmpo (drawn by A. Caruso)","","73-49","",""
"235","6:25.0","Turnover by G. Antetokounmpo (offensive foul)","","73-49","",""
"236","6:25.0","Milwaukee full timeout","","73-49","",""
"237","6:25.0","Instant Replay (Challenge: Ruling Stands)","","73-49","",""
"238","6:25.0","G. Allen enters the game for G. Antetokounmpo","","73-49","",""
"239","6:09.0","","","73-49","","A. Caruso misses 3-pt jump shot from 24 ft"
"240","6:07.0","Defensive rebound by B. Lopez","","73-49","",""
"241","5:59.0","B. Lopez misses 2-pt jump shot from 8 ft","","73-49","",""
"242","5:58.0","","","73-49","","Defensive rebound by N. Vucevic"
"243","5:43.0","","","73-49","","A. Caruso misses 3-pt jump shot from 25 ft"
"244","5:41.0","Defensive rebound by B. Portis","","73-49","",""
"245","5:33.0","B. Portis misses 3-pt jump shot from 24 ft","","73-49","",""
"246","5:30.0","","","73-49","","Defensive rebound by Z. LaVine"
"247","5:17.0","","","73-49","","Z. LaVine misses 2-pt layup from 2 ft"
"248","5:15.0","Defensive rebound by B. Portis","","73-49","",""
"249","5:06.0","J. Holiday misses 2-pt layup from 2 ft","","73-49","",""
"250","5:03.0","Offensive rebound by J. Holiday","","73-49","",""
"251","5:03.0","J. Holiday makes 2-pt layup at rim","+2","75-49","",""
"252","4:55.0","","","75-51","+2","N. Vucevic makes 2-pt jump shot from 19 ft (assist by A. Caruso)"
"253","4:55.0","P. Connaughton enters the game for W. Matthews","","75-51","",""
"254","4:55.0","","","75-51","","C. White enters the game for A. Caruso"
"255","4:36.0","Jump ball: Z. LaVine vs. J. Holiday (C. White gains possession)","Jump ball: Z. LaVine vs. J. Holiday (C. White gains possession)","Jump ball: Z. LaVine vs. J. Holiday (C. White gains possession)","Jump ball: Z. LaVine vs. J. Holiday (C. White gains possession)","Jump ball: Z. LaVine vs. J. Holiday (C. White gains possession)"
"256","4:36.0","Turnover by J. Holiday (lost ball; steal by Z. LaVine)","","75-51","",""
"257","4:25.0","","","75-54","+3","N. Vucevic makes 3-pt jump shot from 25 ft (assist by D. Jones)"
"258","4:07.0","B. Lopez misses 2-pt jump shot from 7 ft","","75-54","",""
"259","4:05.0","Offensive rebound by B. Portis","","75-54","",""
"260","4:02.0","P. Connaughton misses 3-pt jump shot from 23 ft","","75-54","",""
"261","4:00.0","","","75-54","","Defensive rebound by D. Jones"
"262","3:52.0","","","75-54","","Shooting foul by B. Lopez (drawn by D. DeRozan)"
"263","3:52.0","","","75-54","","D. DeRozan misses free throw 1 of 2"
"264","3:52.0","","","75-54","","Offensive rebound by Team"
"265","3:52.0","J. Carter enters the game for B. Portis","","75-54","",""
"266","3:52.0","","","75-54","","A. Dosunmu enters the game for Z. LaVine"
"267","3:52.0","","","75-54","","D. DeRozan misses free throw 2 of 2"
"268","3:51.0","Defensive rebound by Team","","75-54","",""
"269","3:42.0","Personal foul by D. Jones (drawn by J. Holiday)","","75-54","",""
"270","3:28.0","G. Allen makes 3-pt jump shot from 26 ft (assist by J. Holiday)","+3","78-54","",""
"271","3:16.0","","","78-54","","N. Vucevic misses 3-pt jump shot from 25 ft"
"272","3:14.0","Defensive rebound by J. Holiday","","78-54","",""
"273","3:02.0","J. Holiday misses 2-pt jump shot from 15 ft","","78-54","",""
"274","2:59.0","","","78-54","","Defensive rebound by D. DeRozan"
"275","2:53.0","","","78-54","","C. White misses 3-pt jump shot from 28 ft"
"276","2:50.0","Defensive rebound by J. Holiday","","78-54","",""
"277","2:31.0","B. Lopez makes 2-pt jump shot from 6 ft","+2","80-54","",""
"278","2:06.0","","","80-54","","A. Dosunmu misses 3-pt jump shot from 25 ft"
"279","2:04.0","Defensive rebound by G. Allen","","80-54","",""
"280","1:57.0","Shooting foul by D. DeRozan (drawn by J. Holiday)","","80-54","",""
"281","1:57.0","J. Holiday makes free throw 1 of 2","+1","81-54","",""
"282","1:57.0","G. Antetokounmpo enters the game for B. Lopez","","81-54","",""
"283","1:57.0","","","81-54","","T. Thompson enters the game for N. Vucevic"
"284","1:57.0","J. Holiday misses free throw 2 of 2","","81-54","",""
"285","1:55.0","","","81-54","","Defensive rebound by C. White"
"286","1:34.0","","","81-54","","C. White misses 2-pt jump shot from 17 ft"
"287","1:31.0","Defensive rebound by P. Connaughton","","81-54","",""
"288","1:17.0","G. Allen makes 2-pt layup from 1 ft (assist by J. Carter)","+2","83-54","",""
"289","1:17.0","Shooting foul by T. Thompson (drawn by G. Allen)","","83-54","",""
"290","1:17.0","B. Portis enters the game for J. Holiday","","83-54","",""
"291","1:17.0","","","83-54","","Z. LaVine enters the game for C. White"
"292","1:17.0","G. Allen makes free throw 1 of 1","+1","84-54","",""
"293","1:07.0","","","84-54","","D. Jones misses 3-pt jump shot from 22 ft"
