"","Time","Dallas","","Score","","Utah"
"228","0:47.0","","","65-51","","M. Conley misses 2-pt jump shot from 19 ft"
"229","0:44.0","","","65-51","","Offensive rebound by R. O'Neale"
"230","0:40.0","","","65-51","","J. Clarkson misses 3-pt jump shot from 28 ft"
"231","0:37.0","Defensive rebound by D. Finney-Smith","","65-51","",""
"232","0:31.0","D. Bertans makes 3-pt jump shot from 23 ft (assist by J. Green)","+3","68-51","",""
"233","0:23.0","","","68-51","","Offensive foul by R. O'Neale (drawn by R. Bullock)"
"234","0:23.0","","","68-51","","Turnover by R. O'Neale (offensive foul)"
"235","0:11.0","Offensive foul by D. Finney-Smith (drawn by R. O'Neale)","","68-51","",""
"236","0:11.0","Turnover by D. Finney-Smith (offensive foul)","","68-51","",""
"237","0:11.0","T. Burke enters the game for D. Finney-Smith","","68-51","",""
"238","0:11.0","","","68-51","","D. Mitchell enters the game for D. House"
"239","0:00.0","","","68-51","","Turnover by M. Conley (bad pass; steal by R. Bullock)"
"240","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"241","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"242","Time","Dallas","","Score","","Utah"
"243","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"244","11:50.0","Personal foul by R. Gobert (drawn by D. Powell)","","68-51","",""
"245","11:41.0","S. Dinwiddie misses 2-pt jump shot from 16 ft","","68-51","",""
"246","11:38.0","","","68-51","","Defensive rebound by R. Gobert"
"247","11:32.0","","","68-53","+2","D. Mitchell makes 2-pt jump shot from 13 ft"
"248","11:32.0","","","68-53","","Shooting foul by S. Dinwiddie (drawn by D. Mitchell)"
"249","11:32.0","","","68-54","+1","D. Mitchell makes free throw 1 of 1"
"250","11:08.0","S. Dinwiddie misses 3-pt jump shot from 29 ft","","68-54","",""
"251","11:07.0","Offensive rebound by Team","","68-54","",""
"252","11:07.0","Turnover by Team (shot clock)","","68-54","",""
"253","10:57.0","","","68-54","","M. Conley misses 3-pt jump shot from 24 ft"
"254","10:52.0","Defensive rebound by R. Bullock","","68-54","",""
"255","10:36.0","Turnover by D. Powell (traveling)","","68-54","",""
"256","10:22.0","","","68-56","+2","B. Bogdanovic makes 2-pt jump shot from 13 ft"
"257","10:05.0","J. Brunson makes 2-pt jump shot from 13 ft","+2","70-56","",""
"258","10:05.0","Shooting foul by R. O'Neale (drawn by J. Brunson)","","70-56","",""
"259","10:05.0","J. Brunson makes free throw 1 of 1","+1","71-56","",""
"260","9:55.0","","","71-56","","D. Mitchell misses 3-pt jump shot from 25 ft"
"261","9:52.0","Defensive rebound by D. Powell","","71-56","",""
"262","9:47.0","R. Bullock misses 3-pt jump shot from 28 ft","","71-56","",""
"263","9:42.0","","","71-56","","Defensive rebound by B. Bogdanovic"
"264","9:31.0","","","71-58","+2","R. Gobert makes 2-pt dunk from 2 ft (assist by M. Conley)"
"265","9:09.0","J. Brunson misses 3-pt jump shot from 26 ft","","71-58","",""
"266","9:07.0","","","71-58","","Defensive rebound by M. Conley"
"267","9:01.0","","","71-58","","Personal foul by D. Powell (drawn by M. Conley)"
"268","9:01.0","M. Kleber enters the game for D. Powell","","71-58","",""
"269","9:01.0","","","71-58","","Offensive foul by B. Bogdanovic (drawn by S. Dinwiddie)"
"270","9:01.0","","","71-58","","Turnover by B. Bogdanovic (offensive foul)"
"271","8:44.0","J. Brunson misses 2-pt jump shot from 8 ft","","71-58","",""
"272","8:41.0","","","71-58","","Defensive rebound by B. Bogdanovic"
"273","8:35.0","","","71-58","","D. Mitchell misses 3-pt jump shot from 25 ft"
"274","8:29.0","Defensive rebound by M. Kleber","","71-58","",""
"275","8:26.0","S. Dinwiddie makes 2-pt dunk from 3 ft (assist by J. Brunson)","+2","73-58","",""
"276","8:26.0","Shooting foul by R. Gobert (drawn by S. Dinwiddie)","","73-58","",""
"277","8:26.0","S. Dinwiddie makes free throw 1 of 1","+1","74-58","",""
"278","8:17.0","","","74-58","","Personal foul by R. Bullock (drawn by R. Gobert)"
"279","8:10.0","","","74-61","+3","B. Bogdanovic makes 3-pt jump shot from 26 ft (assist by M. Conley)"
"280","8:10.0","","","74-61","","Personal foul by M. Kleber (drawn by R. Gobert)"
"281","8:10.0","Personal foul by R. Gobert (drawn by M. Kleber)","","74-61","",""
"282","8:08.0","","","74-61","","Technical foul by R. Gobert"
"283","8:08.0","R. Bullock makes technical free throw","+1","75-61","",""
"284","7:46.0","S. Dinwiddie misses 2-pt layup from 5 ft","","75-61","",""
"285","7:44.0","","","75-61","","Defensive rebound by R. Gobert"
"286","7:41.0","","","75-64","+3","B. Bogdanovic makes 3-pt jump shot from 28 ft (assist by M. Conley)"
"287","7:23.0","R. Bullock makes 3-pt jump shot from 25 ft (assist by M. Kleber)","+3","78-64","",""
"288","7:10.0","","","78-64","","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)"
"289","6:55.0","","","78-64","","B. Bogdanovic misses 3-pt jump shot from 25 ft"
"290","6:53.0","Defensive rebound by D. Finney-Smith","","78-64","",""
"291","6:44.0","J. Brunson misses 3-pt jump shot from 25 ft","","78-64","",""
"292","6:42.0","","","78-64","","Defensive rebound by B. Bogdanovic"
"293","6:36.0","","","78-64","","Turnover by M. Conley (traveling)"
"294","6:36.0","","","78-64","","Utah full timeout"
"295","6:36.0","","","78-64","","J. Clarkson enters the game for M. Conley"
"296","6:36.0","","","78-64","","H. Whiteside enters the game for R. Gobert"
"297","6:24.0","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","81-64","",""
"298","6:11.0","","","81-66","+2","D. Mitchell makes 2-pt jump shot from 11 ft"
"299","5:46.0","S. Dinwiddie makes 2-pt layup from 3 ft (assist by J. Brunson)","+2","83-66","",""
"300","5:33.0","","","83-66","","Personal foul by R. Bullock (drawn by B. Bogdanovic)"
"301","5:33.0","Dallas full timeout","","83-66","",""
"302","5:33.0","Instant Replay (Challenge: Ruling Stands)","","83-66","",""
"303","5:33.0","","","83-66","","E. Paschall enters the game for H. Whiteside"
"304","5:33.0","","","83-67","+1","B. Bogdanovic makes free throw 1 of 2"
"305","5:33.0","","","83-68","+1","B. Bogdanovic makes free throw 2 of 2"
"306","5:10.0","J. Brunson misses 2-pt layup from 2 ft","","83-68","",""
"307","5:08.0","","","83-68","","Defensive rebound by D. Mitchell"
"308","5:02.0","","","83-70","+2","D. Mitchell makes 2-pt layup from 3 ft"
"309","4:40.0","S. Dinwiddie misses 2-pt jump shot from 10 ft","","83-70","",""
"310","4:35.0","Offensive rebound by M. Kleber","","83-70","",""
"311","4:35.0","M. Kleber makes 2-pt layup at rim","+2","85-70","",""
"312","4:31.0","","","85-73","+3","D. Mitchell makes 3-pt jump shot from 26 ft"
"313","4:14.0","J. Brunson misses 2-pt jump shot from 6 ft","","85-73","",""
"314","4:14.0","","","85-73","","Defensive rebound by Team"
"315","4:14.0","","","85-73","","Utah full timeout"
"316","4:14.0","","","85-73","","Instant Replay (Challenge: Ruling Stands)"
"317","4:14.0","J. Green enters the game for S. Dinwiddie","","85-73","",""
"318","4:11.0","Jump ball: E. Paschall vs. D. Finney-Smith (D. Mitchell gains possession)","Jump ball: E. Paschall vs. D. Finney-Smith (D. Mitchell gains possession)","Jump ball: E. Paschall vs. D. Finney-Smith (D. Mitchell gains possession)","Jump ball: E. Paschall vs. D. Finney-Smith (D. Mitchell gains possession)","Jump ball: E. Paschall vs. D. Finney-Smith (D. Mitchell gains possession)"
"319","3:51.0","","","85-75","+2","B. Bogdanovic makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"320","3:36.0","J. Brunson makes 2-pt layup from 3 ft","+2","87-75","",""
"321","3:36.0","Shooting foul by R. O'Neale (drawn by J. Brunson)","","87-75","",""
"322","3:36.0","","","87-75","","D. House enters the game for R. O'Neale"
"323","3:36.0","J. Brunson makes free throw 1 of 1","+1","88-75","",""
"324","3:16.0","","","88-77","+2","E. Paschall makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"325","3:16.0","","","88-77","","Shooting foul by M. Kleber (drawn by E. Paschall)"
"326","3:16.0","D. Bertans enters the game for M. Kleber","","88-77","",""
"327","3:16.0","","","88-78","+1","E. Paschall makes free throw 1 of 1"
"328","3:06.0","D. Bertans makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","91-78","",""
"329","2:54.0","","","91-80","+2","D. Mitchell makes 2-pt dunk from 1 ft"
"330","2:34.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","91-80","",""
"331","2:34.0","","","91-80","","Defensive rebound by D. House"
"332","2:24.0","","","91-80","","Personal foul by D. Bertans (drawn by D. Mitchell)"
"333","2:24.0","","","91-81","+1","D. Mitchell makes free throw 1 of 2"
"334","2:24.0","","","91-82","+1","D. Mitchell makes free throw 2 of 2"
"335","2:02.0","D. Finney-Smith makes 2-pt jump shot from 6 ft (assist by R. Bullock)","+2","93-82","",""
"336","1:52.0","","","93-82","","Shooting foul by J. Green (drawn by D. Mitchell)"
"337","1:52.0","","","93-83","+1","D. Mitchell makes free throw 1 of 2"
"338","1:52.0","","","93-84","+1","D. Mitchell makes free throw 2 of 2"
"339","1:37.0","D. Bertans misses 3-pt jump shot from 26 ft","","93-84","",""
"340","1:34.0","","","93-84","","Defensive rebound by D. House"
"341","1:24.0","","","93-86","+2","D. Mitchell makes 2-pt dunk from 2 ft"
