"","Time","Utah","","Score","","Dallas"
"124","9:44.0","","","28-25","","D. Powell enters the game for T. Burke"
"125","9:28.0","H. Whiteside misses 2-pt layup from 2 ft","","28-25","",""
"126","9:26.0","Offensive rebound by H. Whiteside","","28-25","",""
"127","9:26.0","H. Whiteside misses 2-pt layup from 3 ft","","28-25","",""
"128","9:26.0","","","28-25","","Defensive rebound by R. Bullock"
"129","9:11.0","","","28-25","","J. Brunson misses 2-pt jump shot from 20 ft"
"130","9:07.0","Defensive rebound by J. Hernangómez","","28-25","",""
"131","8:56.0","M. Conley misses 3-pt jump shot from 27 ft","","28-25","",""
"132","8:53.0","","","28-25","","Defensive rebound by D. Bertans"
"133","8:53.0","","","28-25","","Personal foul by M. Conley (drawn by J. Brunson)"
"134","8:53.0","D. Mitchell enters the game for M. Conley","","28-25","",""
"135","8:38.0","","","28-27","+2","J. Brunson makes 2-pt jump shot from 7 ft"
"136","8:24.0","J. Clarkson makes 2-pt jump shot from 12 ft","+2","30-27","",""
"137","8:11.0","","","30-27","","J. Brunson misses 2-pt jump shot from 4 ft"
"138","8:09.0","Defensive rebound by H. Whiteside","","30-27","",""
"139","7:58.0","D. Mitchell makes 2-pt jump shot from 5 ft (assist by J. Hernangómez)","+2","32-27","",""
"140","7:58.0","","","32-27","","Dallas full timeout"
"141","7:58.0","B. Bogdanovic enters the game for J. Hernangómez","","32-27","",""
"142","7:58.0","R. O'Neale enters the game for D. House","","32-27","",""
"143","7:58.0","","","32-27","","M. Kleber enters the game for D. Powell"
"144","7:43.0","","","32-30","+3","R. Bullock makes 3-pt jump shot from 25 ft (assist by M. Kleber)"
"145","7:20.0","D. Mitchell misses 2-pt jump shot from 11 ft","","32-30","",""
"146","7:18.0","","","32-30","","Defensive rebound by M. Kleber"
"147","7:00.0","","","32-33","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith)"
"148","6:39.0","Shooting foul by R. Bullock (drawn by J. Clarkson)","","32-33","",""
"149","6:39.0","J. Clarkson makes free throw 1 of 2","+1","33-33","",""
"150","6:39.0","R. Gobert enters the game for H. Whiteside","","33-33","",""
"151","6:39.0","","","33-33","","S. Dinwiddie enters the game for D. Bertans"
"152","6:39.0","","","33-33","","J. Green enters the game for D. Finney-Smith"
"153","6:39.0","J. Clarkson makes free throw 2 of 2","+1","34-33","",""
"154","6:23.0","","","34-36","+3","J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Green)"
"155","6:10.0","Offensive foul by R. Gobert (drawn by M. Kleber)","","34-36","",""
"156","6:10.0","Turnover by R. Gobert (offensive foul)","","34-36","",""
"157","5:55.0","","","34-36","","J. Brunson misses 3-pt jump shot from 26 ft"
"158","5:49.0","Defensive rebound by R. O'Neale","","34-36","",""
"159","5:43.0","J. Clarkson makes 2-pt jump shot from 8 ft","+2","36-36","",""
"160","5:31.0","","","36-38","+2","J. Green makes 2-pt jump shot from 19 ft"
"161","5:09.0","J. Clarkson makes 3-pt jump shot from 25 ft (assist by D. Mitchell)","+3","39-38","",""
"162","4:49.0","","","39-38","","J. Green misses 3-pt jump shot from 22 ft"
"163","4:46.0","Defensive rebound by J. Clarkson","","39-38","",""
"164","4:41.0","J. Clarkson misses 3-pt jump shot from 25 ft","","39-38","",""
"165","4:39.0","","","39-38","","Defensive rebound by J. Brunson"
"166","4:33.0","","","39-40","+2","S. Dinwiddie makes 2-pt layup from 1 ft (assist by J. Brunson)"
"167","4:10.0","Personal foul by S. Dinwiddie (drawn by B. Bogdanovic)","","39-40","",""
"168","4:10.0","","","39-40","","D. Bertans enters the game for J. Brunson"
"169","4:10.0","","","39-40","","D. Finney-Smith enters the game for R. Bullock"
"170","3:57.0","D. Mitchell makes 3-pt jump shot from 25 ft","+3","42-40","",""
"171","3:47.0","","","42-40","","Personal foul by J. Clarkson (drawn by D. Finney-Smith)"
"172","3:34.0","","","42-40","","Turnover by S. Dinwiddie (bad pass; steal by R. O'Neale)"
"173","3:33.0","Personal foul by D. Finney-Smith (drawn by D. Mitchell)","","42-40","",""
"174","3:33.0","","","42-40","","R. Bullock enters the game for J. Green"
"175","3:33.0","D. Mitchell makes free throw 1 of 2","+1","43-40","",""
"176","3:33.0","D. Mitchell makes free throw 2 of 2","+1","44-40","",""
