Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
3:12.0,G.Antetokounmpo,3,41-44,2.0,free,throw,2,makes,Milwaukee,2022-06-05 03:12:00
2:06.0,G.Antetokounmpo,3,41-44,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 02:06:00
1:18.0,G.Antetokounmpo,3,43-46,2.0,2-pt,dunk,1,makes,Milwaukee,2022-06-05 01:18:00
11:42.0,G.Antetokounmpo,3,50-48,3.0,2-pt,layup,3,makes,Milwaukee,2022-06-05 11:42:00
11:16.0,G.Antetokounmpo,3,50-48,3.0,3-pt,jump,26,misses,Milwaukee,2022-06-05 11:16:00
10:41.0,G.Antetokounmpo,3,50-48,3.0,3-pt,jump,26,misses,Milwaukee,2022-06-05 10:41:00
9:39.0,G.Antetokounmpo,3,52-53,3.0,2-pt,layup,4,makes,Milwaukee,2022-06-05 09:39:00
9:39.0,G.Antetokounmpo,3,52-54,3.0,free,throw,1,makes,Milwaukee,2022-06-05 09:39:00
8:36.0,G.Antetokounmpo,3,54-55,3.0,free,throw,2,makes,Milwaukee,2022-06-05 08:36:00
8:36.0,G.Antetokounmpo,3,54-56,3.0,free,throw,2,makes,Milwaukee,2022-06-05 08:36:00
8:15.0,G.Antetokounmpo,3,54-58,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 08:15:00
4:33.0,G.Antetokounmpo,3,61-69,3.0,free,throw,2,makes,Milwaukee,2022-06-05 04:33:00
4:33.0,G.Antetokounmpo,3,61-70,3.0,free,throw,2,makes,Milwaukee,2022-06-05 04:33:00
3:34.0,G.Antetokounmpo,3,63-73,3.0,2-pt,jump,19,misses,Milwaukee,2022-06-05 03:34:00
11:42.0,G.Antetokounmpo,3,67-80,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 11:42:00
9:48.0,G.Antetokounmpo,3,73-86,4.0,3-pt,jump,27,makes,Milwaukee,2022-06-05 09:48:00
8:51.0,G.Antetokounmpo,3,79-88,4.0,3-pt,jump,25,misses,Milwaukee,2022-06-05 08:51:00
7:12.0,G.Antetokounmpo,3,85-92,4.0,2-pt,hook,7,makes,Milwaukee,2022-06-05 07:12:00
6:41.0,G.Antetokounmpo,3,85-92,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 06:41:00
5:39.0,G.Antetokounmpo,3,88-94,4.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 05:39:00
2:48.0,G.Antetokounmpo,3,96-99,4.0,2-pt,hook,9,makes,Milwaukee,2022-06-05 02:48:00
1:53.0,G.Antetokounmpo,3,98-99,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 01:53:00
1:25.0,G.Antetokounmpo,3,100-99,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 01:25:00
0:44.0,G.Antetokounmpo,3,100-101,4.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 00:44:00
11:16.0,G.Antetokounmpo,4,0-2,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 11:16:00
10:06.0,G.Antetokounmpo,4,0-5,1.0,free,throw,2,makes,Milwaukee,2022-06-05 10:06:00
10:06.0,G.Antetokounmpo,4,0-6,1.0,free,throw,2,makes,Milwaukee,2022-06-05 10:06:00
7:25.0,G.Antetokounmpo,4,4-8,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 07:25:00
6:54.0,G.Antetokounmpo,4,6-8,1.0,3-pt,jump,26,misses,Milwaukee,2022-06-05 06:54:00
5:12.0,G.Antetokounmpo,4,11-16,1.0,2-pt,jump,8,misses,Milwaukee,2022-06-05 05:12:00
0:58.0,G.Antetokounmpo,4,16-23,1.0,2-pt,jump,19,makes,Milwaukee,2022-06-05 00:58:00
0:07.0,G.Antetokounmpo,4,18-25,1.0,2-pt,dunk,3,makes,Milwaukee,2022-06-05 00:07:00
11:21.0,G.Antetokounmpo,4,20-25,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 11:21:00
