"","Time","Memphis","","Score","","Golden State"
"356","9:44.0","","","90-110","","Defensive rebound by O. Porter"
"357","9:33.0","","","90-113","+3","O. Porter makes 3-pt jump shot from 27 ft (assist by D. Lee)"
"358","9:10.0","J. Morant makes 2-pt layup from 4 ft","+2","92-113","",""
"359","8:57.0","","","92-113","","J. Poole misses 3-pt jump shot from 28 ft"
"360","8:56.0","","","92-113","","Offensive rebound by Team"
"361","8:56.0","Loose ball foul by Z. Williams (drawn by K. Looney)","","92-113","",""
"362","8:48.0","","","92-113","","K. Thompson misses 2-pt jump shot from 11 ft"
"363","8:45.0","Defensive rebound by J. Jackson","","92-113","",""
"364","8:38.0","Z. Williams misses 3-pt jump shot from 23 ft","","92-113","",""
"365","8:35.0","","","92-113","","Defensive rebound by K. Thompson"
"366","8:26.0","","","92-113","","K. Thompson misses 3-pt jump shot from 27 ft"
"367","8:23.0","Defensive rebound by K. Anderson","","92-113","",""
"368","8:15.0","K. Anderson makes 2-pt jump shot from 7 ft","+2","94-113","",""
"369","8:14.0","","","94-113","","Golden State full timeout"
"370","8:14.0","","","94-113","","S. Curry enters the game for D. Lee"
"371","8:14.0","","","94-113","","A. Wiggins enters the game for K. Thompson"
"372","8:00.0","","","94-113","","Shooting foul by Z. Williams (drawn by S. Curry)"
"373","8:00.0","","","94-114","+1","S. Curry makes free throw 1 of 2"
"374","8:00.0","","","94-115","+1","S. Curry makes free throw 2 of 2"
"375","7:47.0","K. Anderson misses 3-pt jump shot from 23 ft","","94-115","",""
"376","7:45.0","Offensive rebound by Team","","94-115","",""
"377","7:45.0","","","94-115","","Loose ball foul by A. Wiggins (drawn by J. Jackson)"
"378","7:33.0","J. Morant misses 2-pt layup from 5 ft","","94-115","",""
"379","7:32.0","Offensive rebound by Team","","94-115","",""
"380","7:32.0","","","94-115","","D. Green enters the game for K. Looney"
"381","7:30.0","D. Bane makes 3-pt jump shot from 24 ft (assist by J. Jackson)","+3","97-115","",""
"382","7:13.0","","","97-115","","S. Curry misses 3-pt jump shot from 23 ft"
"383","7:08.0","Defensive rebound by Z. Williams","","97-115","",""
"384","7:04.0","Personal take foul by D. Green (drawn by D. Bane)","","97-115","",""
"385","6:55.0","Personal foul by A. Wiggins (drawn by J. Morant)","","97-115","",""
"386","6:55.0","J. Morant makes free throw 1 of 2","+1","98-115","",""
"387","6:55.0","","","98-115","","K. Thompson enters the game for A. Wiggins"
"388","6:55.0","J. Morant makes free throw 2 of 2","+1","99-115","",""
"389","6:42.0","","","99-115","","O. Porter misses 3-pt jump shot from 25 ft"
"390","6:40.0","Defensive rebound by J. Jackson","","99-115","",""
"391","6:27.0","J. Jackson misses 2-pt hook shot from 9 ft (block by O. Porter)","","99-115","",""
"392","6:24.0","Offensive rebound by D. Bane","","99-115","",""
"393","6:19.0","Offensive foul by K. Anderson (drawn by J. Poole)","","99-115","",""
"394","6:19.0","Turnover by K. Anderson (offensive foul)","","99-115","",""
"395","6:19.0","Technical foul by K. Anderson","","99-115","",""
"396","6:19.0","Technical foul by K. Anderson","","99-115","",""
"397","6:19.0","K. Anderson ejected from game","","99-115","",""
"398","6:19.0","","","99-116","+1","S. Curry makes technical free throw"
"399","6:19.0","T. Jones enters the game for K. Anderson","","99-116","",""
"400","6:19.0","D. Melton enters the game for J. Morant","","99-116","",""
"401","6:19.0","","","99-117","+1","S. Curry makes technical free throw"
"402","6:08.0","","","99-119","+2","J. Poole makes 2-pt layup from 6 ft"
"403","5:58.0","J. Jackson misses 2-pt jump shot from 8 ft","","99-119","",""
"404","5:55.0","","","99-119","","Defensive rebound by K. Thompson"
"405","5:39.0","","","99-122","+3","S. Curry makes 3-pt jump shot from 29 ft (assist by D. Green)"
"406","5:37.0","Memphis full timeout","","99-122","",""
"407","5:37.0","S. Adams enters the game for D. Bane","","99-122","",""
"408","5:37.0","J. Culver enters the game for J. Jackson","","99-122","",""
"409","5:37.0","J. Konchar enters the game for T. Jones","","99-122","",""
"410","5:37.0","X. Tillman enters the game for Z. Williams","","99-122","",""
"411","5:37.0","","","99-122","","J. Kuminga enters the game for O. Porter"
"412","5:19.0","Turnover by J. Konchar (bad pass)","","99-122","",""
"413","5:07.0","","","99-122","","J. Poole misses 2-pt layup from 4 ft"
"414","5:05.0","Defensive rebound by S. Adams","","99-122","",""
"415","5:02.0","D. Melton misses 3-pt jump shot from 27 ft","","99-122","",""
"416","5:00.0","","","99-122","","Defensive rebound by J. Kuminga"
"417","4:48.0","","","99-124","+2","J. Kuminga makes 2-pt dunk from 4 ft (assist by K. Thompson)"
"418","4:34.0","J. Konchar misses 2-pt layup from 4 ft","","99-124","",""
"419","4:32.0","","","99-124","","Defensive rebound by D. Green"
"420","4:28.0","","","99-127","+3","K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry)"
"421","4:13.0","S. Adams makes 2-pt jump shot from 9 ft","+2","101-127","",""
"422","4:12.0","","","101-127","","Golden State full timeout"
"423","4:12.0","","","101-127","","N. Bjelica enters the game for S. Curry"
"424","4:12.0","","","101-127","","D. Lee enters the game for D. Green"
"425","4:12.0","","","101-127","","M. Moody enters the game for J. Poole"
"426","4:12.0","","","101-127","","J. Toscano-Anderson enters the game for K. Thompson"
"427","3:55.0","","","101-127","","J. Kuminga misses 3-pt jump shot from 28 ft"
"428","3:52.0","Defensive rebound by J. Konchar","","101-127","",""
"429","3:41.0","S. Adams misses 2-pt hook shot from 10 ft","","101-127","",""
"430","3:38.0","","","101-127","","Defensive rebound by N. Bjelica"
"431","3:22.0","","","101-127","","J. Toscano-Anderson misses 2-pt layup from 7 ft"
"432","3:19.0","Defensive rebound by S. Adams","","101-127","",""
"433","3:16.0","Shooting foul by M. Moody (drawn by J. Culver)","","101-127","",""
"434","3:16.0","J. Culver makes free throw 1 of 2","+1","102-127","",""
"435","3:16.0","J. Culver misses free throw 2 of 2","","102-127","",""
"436","3:14.0","","","102-127","","Defensive rebound by M. Moody"
"437","2:55.0","","","102-127","","M. Moody misses 2-pt layup from 5 ft"
"438","2:55.0","","","102-127","","Offensive rebound by Team"
"439","2:55.0","","","102-127","","Away from play foul by J. Culver (drawn by D. Lee)"
"440","2:55.0","","","102-127","","D. Lee misses free throw 1 of 1"
"441","2:55.0","","","102-127","","Offensive rebound by Team"
"442","2:53.0","","","102-127","","D. Lee misses 3-pt jump shot from 23 ft"
"443","2:50.0","Defensive rebound by J. Culver","","102-127","",""
"444","2:44.0","J. Culver makes 2-pt layup from 5 ft","+2","104-127","",""
"445","2:31.0","","","104-127","","Turnover by N. Bjelica (bad pass)"
"446","2:26.0","D. Melton makes 2-pt layup from 6 ft","+2","106-127","",""
"447","2:26.0","Shooting foul by N. Bjelica (drawn by D. Melton)","","106-127","",""
"448","2:26.0","D. Melton makes free throw 1 of 1","+1","107-127","",""
"449","2:10.0","","","107-130","+3","J. Kuminga makes 3-pt jump shot from 27 ft (assist by J. Toscano-Anderson)"
"450","1:52.0","D. Melton misses 3-pt jump shot from 26 ft","","107-130","",""
"451","1:49.0","","","107-130","","Defensive rebound by D. Lee"
"452","1:40.0","","","107-133","+3","M. Moody makes 3-pt jump shot from 23 ft (assist by D. Lee)"
"453","1:24.0","J. Konchar misses 3-pt jump shot from 24 ft","","107-133","",""
"454","1:21.0","","","107-133","","Defensive rebound by J. Toscano-Anderson"
"455","1:14.0","","","107-135","+2","J. Kuminga makes 2-pt jump shot from 19 ft"
"456","0:58.0","Turnover by D. Melton (lost ball; steal by D. Lee)","","107-135","",""
"457","0:54.0","","","107-137","+2","J. Kuminga makes 2-pt layup from 6 ft (assist by D. Lee)"
"458","0:50.0","J. Culver makes 2-pt dunk from 2 ft (assist by S. Adams)","+2","109-137","",""
"459","0:38.0","","","109-139","+2","M. Moody makes 2-pt dunk from 4 ft (assist by J. Toscano-Anderson)"
"460","0:31.0","D. Melton misses 3-pt jump shot from 22 ft","","109-139","",""
"461","0:29.0","Offensive rebound by Team","","109-139","",""
"462","0:29.0","","","109-139","","Loose ball foul by J. Kuminga (drawn by S. Adams)"
"463","0:29.0","S. Adams misses free throw 1 of 2","","109-139","",""
"464","0:29.0","Offensive rebound by Team","","109-139","",""
"465","0:29.0","S. Adams makes free throw 2 of 2","+1","110-139","",""
"466","0:18.0","","","110-142","+3","J. Kuminga makes 3-pt jump shot from 25 ft"
"467","0:11.0","D. Melton makes 2-pt layup from 3 ft (assist by S. Adams)","+2","112-142","",""
"468","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
