"","Time","Memphis","","Score","","Golden State"
"366","2:14.0","B. Clarke makes free throw 2 of 2","+1","70-74","",""
"367","1:59.0","","","70-74","","J. Poole misses 2-pt jump shot from 6 ft"
"368","1:57.0","Defensive rebound by K. Anderson","","70-74","",""
"369","1:49.0","D. Bane makes 2-pt layup from 6 ft","+2","72-74","",""
"370","1:36.0","","","72-74","","Turnover by J. Poole (bad pass)"
"371","1:21.0","D. Bane makes 3-pt jump shot from 25 ft (assist by K. Anderson)","+3","75-74","",""
"372","1:02.0","","","75-76","+2","S. Curry makes 2-pt jump shot from 11 ft"
"373","0:51.0","D. Melton misses 3-pt jump shot from 24 ft","","75-76","",""
"374","0:49.0","","","75-76","","Defensive rebound by K. Thompson"
"375","0:41.0","","","75-78","+2","S. Curry makes 2-pt layup from 4 ft"
"376","0:24.0","D. Melton makes 2-pt layup from 4 ft (assist by B. Clarke)","+2","77-78","",""
"377","0:06.0","","","77-78","","Personal foul by D. Melton (drawn by J. Poole)"
"378","0:01.0","","","77-78","","S. Curry misses 3-pt jump shot from 33 ft"
"379","0:00.0","Defensive rebound by D. Bane","","77-78","",""
"380","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"381","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"382","Time","Memphis","","Score","","Golden State"
"383","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"384","11:45.0","D. Melton misses 2-pt jump shot from 6 ft","","77-78","",""
"385","11:43.0","","","77-78","","Defensive rebound by K. Looney"
"386","11:27.0","","","77-78","","K. Thompson misses 2-pt jump shot from 11 ft"
"387","11:25.0","","","77-78","","Offensive rebound by K. Looney"
"388","11:22.0","","","77-78","","K. Looney misses 2-pt layup at rim"
"389","11:21.0","","","77-78","","Offensive rebound by K. Looney"
"390","11:21.0","","","77-78","","K. Looney misses 2-pt layup at rim"
"391","11:20.0","","","77-78","","Offensive rebound by D. Lee"
"392","11:13.0","","","77-81","+3","A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Thompson)"
"393","10:58.0","D. Bane makes 2-pt layup from 4 ft (assist by S. Adams)","+2","79-81","",""
"394","10:45.0","","","79-81","","J. Poole misses 3-pt jump shot from 26 ft"
"395","10:43.0","Defensive rebound by K. Anderson","","79-81","",""
"396","10:28.0","D. Bane misses 2-pt layup from 8 ft (block by K. Thompson)","","79-81","",""
"397","10:27.0","Offensive rebound by Team","","79-81","",""
"398","10:27.0","D. Brooks enters the game for D. Melton","","79-81","",""
"399","10:23.0","D. Brooks makes 2-pt jump shot from 10 ft (assist by K. Anderson)","+2","81-81","",""
"400","9:56.0","","","81-83","+2","A. Wiggins makes 2-pt jump shot from 20 ft"
"401","9:39.0","D. Brooks misses 3-pt jump shot from 28 ft","","81-83","",""
"402","9:36.0","","","81-83","","Defensive rebound by A. Wiggins"
"403","9:22.0","","","81-83","","A. Wiggins misses 2-pt hook shot from 7 ft"
"404","9:19.0","Defensive rebound by S. Adams","","81-83","",""
"405","9:16.0","D. Brooks misses 2-pt layup from 8 ft (block by K. Thompson)","","81-83","",""
"406","9:16.0","","","81-83","","Defensive rebound by Team"
"407","9:16.0","J. Jackson enters the game for K. Anderson","","81-83","",""
"408","9:16.0","","","81-83","","D. Green enters the game for D. Lee"
"409","9:07.0","","","81-83","","J. Poole misses 3-pt jump shot from 30 ft"
"410","9:01.0","","","81-83","","Offensive rebound by A. Wiggins"
"411","9:01.0","","","81-83","","J. Poole misses 3-pt jump shot from 25 ft"
"412","8:58.0","","","81-83","","Offensive rebound by D. Green"
"413","8:57.0","","","81-83","","K. Thompson misses 3-pt jump shot from 23 ft"
"414","8:56.0","Defensive rebound by Team","","81-83","",""
"415","8:31.0","D. Brooks makes 2-pt layup from 6 ft","+2","83-83","",""
"416","8:21.0","","","83-83","","Shooting foul by S. Adams (drawn by J. Poole)"
"417","8:21.0","","","83-84","+1","J. Poole makes free throw 1 of 2"
"418","8:21.0","T. Jones enters the game for Z. Williams","","83-84","",""
"419","8:21.0","","","83-84","","S. Curry enters the game for A. Wiggins"
"420","8:21.0","","","83-85","+1","J. Poole makes free throw 2 of 2"
"421","8:02.0","D. Brooks makes 3-pt jump shot from 22 ft (assist by T. Jones)","+3","86-85","",""
"422","7:48.0","","","86-85","","D. Green misses 2-pt layup from 5 ft (block by J. Jackson)"
"423","7:46.0","","","86-85","","Offensive rebound by K. Looney"
"424","7:37.0","","","86-87","+2","D. Green makes 2-pt layup from 5 ft (assist by K. Looney)"
"425","7:24.0","T. Jones misses 2-pt layup from 6 ft (block by K. Thompson)","","86-87","",""
"426","7:21.0","","","86-87","","Defensive rebound by J. Poole"
"427","7:14.0","","","86-87","","K. Thompson misses 3-pt jump shot from 27 ft"
"428","7:11.0","Defensive rebound by S. Adams","","86-87","",""
"429","7:08.0","Memphis full timeout","","86-87","",""
"430","7:08.0","","","86-87","","A. Wiggins enters the game for J. Poole"
"431","6:55.0","D. Bane makes 3-pt jump shot from 26 ft (assist by T. Jones)","+3","89-87","",""
"432","6:29.0","","","89-90","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"433","6:14.0","Turnover by D. Brooks (lost ball; steal by A. Wiggins)","","89-90","",""
"434","6:10.0","","","89-92","+2","A. Wiggins makes 2-pt dunk from 4 ft"
"435","5:50.0","D. Brooks misses 2-pt layup from 8 ft","","89-92","",""
"436","5:47.0","","","89-92","","Defensive rebound by D. Green"
"437","5:45.0","","","89-95","+3","S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green)"
"438","5:43.0","Memphis full timeout","","89-95","",""
"439","5:25.0","D. Brooks misses 3-pt jump shot from 26 ft","","89-95","",""
"440","5:22.0","","","89-95","","Defensive rebound by Team"
"441","5:04.0","","","89-97","+2","D. Green makes 2-pt dunk from 4 ft (assist by K. Looney)"
"442","4:46.0","Shooting foul by S. Curry (drawn by S. Adams)","","89-97","",""
"443","4:46.0","S. Adams makes free throw 1 of 2","+1","90-97","",""
"444","4:46.0","S. Adams misses free throw 2 of 2","","90-97","",""
"445","4:44.0","","","90-97","","Defensive rebound by A. Wiggins"
"446","4:28.0","","","90-97","","D. Green misses 2-pt layup from 4 ft"
"447","4:25.0","","","90-97","","D. Green misses 2-pt layup from 5 ft"
"448","4:25.0","","","90-97","","Offensive rebound by K. Looney"
"449","4:25.0","","","90-97","","Offensive rebound by D. Green"
"450","4:23.0","","","90-99","+2","K. Looney makes 2-pt layup at rim"
"451","4:13.0","T. Jones makes 2-pt jump shot from 9 ft","+2","92-99","",""
"452","3:55.0","","","92-102","+3","S. Curry makes 3-pt jump shot from 30 ft"
"453","3:38.0","T. Jones misses 2-pt jump shot from 10 ft","","92-102","",""
"454","3:35.0","","","92-102","","Defensive rebound by S. Curry"
"455","3:18.0","","","92-102","","S. Curry misses 3-pt jump shot from 31 ft"
"456","3:15.0","","","92-102","","Offensive rebound by K. Looney"
"457","3:03.0","","","92-102","","S. Curry misses 3-pt jump shot from 29 ft"
"458","3:00.0","","","92-102","","Offensive rebound by K. Looney"
"459","2:58.0","","","92-105","+3","K. Thompson makes 3-pt jump shot from 28 ft (assist by K. Looney)"
"460","2:57.0","Memphis full timeout","","92-105","",""
"461","2:57.0","B. Clarke enters the game for S. Adams","","92-105","",""
"462","2:38.0","J. Jackson misses 2-pt hook shot from 3 ft","","92-105","",""
"463","2:36.0","","","92-105","","Defensive rebound by S. Curry"
"464","2:19.0","","","92-105","","D. Green misses 3-pt jump shot from 26 ft"
"465","2:17.0","Defensive rebound by T. Jones","","92-105","",""
"466","2:10.0","Personal foul by K. Looney (drawn by T. Jones)","","92-105","",""
"467","2:03.0","B. Clarke misses 2-pt jump shot from 9 ft","","92-105","",""
"468","2:01.0","","","92-105","","Defensive rebound by K. Looney"
"469","1:46.0","","","92-105","","S. Curry misses 2-pt jump shot from 13 ft"
"470","1:43.0","","","92-105","","Offensive rebound by D. Green"
"471","1:39.0","","","92-108","+3","S. Curry makes 3-pt jump shot from 24 ft (assist by K. Thompson)"
"472","1:32.0","D. Bane misses 2-pt jump shot from 7 ft","","92-108","",""
"473","1:32.0","Offensive rebound by B. Clarke","","92-108","",""
"474","1:32.0","B. Clarke makes 2-pt layup at rim","+2","94-108","",""
"475","1:32.0","Shooting foul by K. Looney (drawn by B. Clarke)","","94-108","",""
"476","1:32.0","B. Clarke misses free throw 1 of 1","","94-108","",""
"477","1:30.0","Offensive rebound by T. Jones","","94-108","",""
"478","1:30.0","Shooting foul by D. Green (drawn by T. Jones)","","94-108","",""
"479","1:30.0","T. Jones makes free throw 1 of 2","+1","95-108","",""
"480","1:30.0","T. Jones makes free throw 2 of 2","+1","96-108","",""
"481","1:17.0","","","96-108","","Turnover by K. Looney (bad pass; steal by B. Clarke)"
"482","1:12.0","J. Jackson misses 3-pt jump shot from 27 ft","","96-108","",""
"483","1:11.0","","","96-108","","Defensive rebound by A. Wiggins"
"484","1:08.0","","","96-108","","Personal take foul by D. Bane (drawn by S. Curry)"
"485","0:47.0","","","96-110","+2","S. Curry makes 2-pt layup from 5 ft"
"486","0:33.0","B. Clarke misses 2-pt jump shot from 10 ft","","96-110","",""
"487","0:30.0","Offensive rebound by B. Clarke","","96-110","",""
"488","0:27.0","J. Jackson misses 3-pt jump shot from 29 ft","","96-110","",""
"489","0:25.0","","","96-110","","Defensive rebound by S. Curry"
"490","0:01.0","","","96-110","","Turnover by Team (shot clock)"
"491","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
