"","Time","Golden State","","Score","","Memphis"
"36","8:54.0","K. Looney enters the game for D. Green","","1-8","",""
"37","8:44.0","J. Poole misses 2-pt jump shot from 15 ft","","1-8","",""
"38","8:42.0","","","1-8","","Defensive rebound by J. Jackson"
"39","8:27.0","","","1-8","","Turnover by D. Bane (bad pass; steal by A. Wiggins)"
"40","8:14.0","Turnover by J. Poole (lost ball; steal by J. Morant)","","1-8","",""
"41","7:59.0","","","1-8","","J. Morant misses 2-pt jump shot from 13 ft"
"42","7:56.0","Defensive rebound by K. Looney","","1-8","",""
"43","7:45.0","K. Looney makes 2-pt jump shot from 7 ft (assist by J. Poole)","+2","3-8","",""
"44","7:33.0","","","3-8","","J. Jackson misses 3-pt jump shot from 25 ft"
"45","7:29.0","","","3-8","","Offensive rebound by D. Melton"
"46","7:29.0","","","3-8","","D. Melton misses 3-pt jump shot from 23 ft"
"47","7:27.0","","","3-8","","Offensive rebound by D. Melton"
"48","7:24.0","","","3-8","","J. Morant misses 3-pt jump shot from 25 ft"
"49","7:20.0","Defensive rebound by K. Looney","","3-8","",""
"50","7:16.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry)","+3","6-8","",""
"51","7:07.0","","","6-8","","Offensive foul by X. Tillman (drawn by J. Poole)"
"52","7:07.0","","","6-8","","Turnover by X. Tillman (offensive foul)"
"53","6:50.0","A. Wiggins misses 2-pt jump shot from 6 ft","","6-8","",""
"54","6:47.0","","","6-8","","Defensive rebound by X. Tillman"
"55","6:44.0","","","6-8","","Shooting foul by K. Thompson (drawn by J. Morant)"
"56","6:44.0","","","6-9","+1","J. Morant makes free throw 1 of 2"
"57","6:44.0","","","6-9","","B. Clarke enters the game for D. Bane"
"58","6:44.0","","","6-9","","Z. Williams enters the game for X. Tillman"
"59","6:44.0","","","6-10","+1","J. Morant makes free throw 2 of 2"
"60","6:32.0","K. Looney makes 2-pt layup from 1 ft (assist by S. Curry)","+2","8-10","",""
"61","6:25.0","","","8-10","","J. Jackson misses 3-pt jump shot from 24 ft"
"62","6:22.0","Defensive rebound by J. Poole","","8-10","",""
"63","6:18.0","S. Curry misses 3-pt jump shot from 31 ft","","8-10","",""
"64","6:17.0","Offensive rebound by Team","","8-10","",""
"65","6:17.0","","","8-10","","Loose ball foul by D. Melton (drawn by A. Wiggins)"
"66","6:15.0","S. Curry makes 2-pt jump shot from 13 ft (assist by K. Thompson)","+2","10-10","",""
"67","5:54.0","","","10-13","+3","J. Morant makes 3-pt jump shot from 25 ft (assist by J. Jackson)"
"68","5:39.0","Shooting foul by B. Clarke (drawn by K. Looney)","","10-13","",""
"69","5:39.0","K. Looney misses free throw 1 of 2","","10-13","",""
"70","5:39.0","Offensive rebound by Team","","10-13","",""
"71","5:39.0","D. Lee enters the game for K. Thompson","","10-13","",""
"72","5:39.0","","","10-13","","K. Anderson enters the game for J. Jackson"
"73","5:39.0","K. Looney misses free throw 2 of 2","","10-13","",""
"74","5:37.0","","","10-13","","Defensive rebound by K. Anderson"
"75","5:19.0","","","10-13","","K. Anderson misses 3-pt jump shot from 23 ft"
"76","5:17.0","Defensive rebound by S. Curry","","10-13","",""
"77","5:17.0","Personal foul by K. Anderson (drawn by S. Curry)","","10-13","",""
"78","5:07.0","S. Curry makes 2-pt jump shot from 8 ft","+2","12-13","",""
"79","4:57.0","","","12-15","+2","J. Morant makes 2-pt jump shot from 12 ft"
"80","4:33.0","A. Wiggins misses 3-pt jump shot from 24 ft","","12-15","",""
"81","4:30.0","","","12-15","","Defensive rebound by Z. Williams"
"82","4:26.0","","","12-17","+2","B. Clarke makes 2-pt layup from 1 ft (assist by J. Morant)"
"83","4:16.0","J. Poole makes 2-pt layup from 2 ft","+2","14-17","",""
"84","4:04.0","","","14-20","+3","K. Anderson makes 3-pt jump shot from 25 ft (assist by Z. Williams)"
"85","3:46.0","S. Curry makes 3-pt jump shot from 23 ft (assist by A. Wiggins)","+3","17-20","",""
"86","3:28.0","","","17-20","","Offensive foul by B. Clarke (drawn by S. Curry)"
"87","3:28.0","","","17-20","","Turnover by B. Clarke (offensive foul)"
"88","3:28.0","O. Porter enters the game for J. Poole","","17-20","",""
"89","3:28.0","K. Thompson enters the game for A. Wiggins","","17-20","",""
"90","3:28.0","","","17-20","","J. Jackson enters the game for B. Clarke"
"91","3:20.0","K. Thompson misses 3-pt jump shot from 26 ft","","17-20","",""
"92","3:17.0","","","17-20","","Defensive rebound by J. Morant"
"93","3:09.0","","","17-22","+2","K. Anderson makes 2-pt layup from 1 ft (assist by J. Morant)"
"94","2:57.0","S. Curry makes 2-pt jump shot from 14 ft","+2","19-22","",""
