"","Time","Denver","","Score","","Golden State"
"145","6:37.0","","","37-38","","Turnover by A. Wiggins (traveling)"
"146","6:37.0","J. Green enters the game for B. Hyland","","37-38","",""
"147","6:25.0","Personal foul by K. Thompson (drawn by A. Gordon)","","37-38","",""
"148","6:25.0","","","37-38","","Technical foul by K. Thompson"
"149","6:25.0","Technical foul by A. Gordon","","37-38","",""
"150","6:25.0","","","37-38","","S. Curry enters the game for J. Poole"
"151","6:18.0","M. Morris misses 3-pt jump shot from 25 ft","","37-38","",""
"152","6:15.0","Offensive rebound by N. Jokic","","37-38","",""
"153","6:13.0","A. Gordon misses 3-pt jump shot from 26 ft","","37-38","",""
"154","6:11.0","","","37-38","","Defensive rebound by K. Looney"
"155","6:04.0","","","37-38","","S. Curry misses 3-pt jump shot from 30 ft"
"156","6:01.0","Defensive rebound by J. Green","","37-38","",""
"157","5:58.0","W. Barton makes 2-pt jump shot from 7 ft","+2","39-38","",""
"158","5:41.0","","","39-38","","S. Curry misses 2-pt jump shot from 11 ft"
"159","5:39.0","","","39-38","","Offensive rebound by K. Looney"
"160","5:37.0","","","39-40","+2","A. Wiggins makes 2-pt layup from 7 ft (assist by S. Curry)"
"161","5:21.0","N. Jokic makes 2-pt hook shot from 7 ft","+2","41-40","",""
"162","5:04.0","","","41-40","","S. Curry misses 3-pt jump shot from 28 ft"
"163","5:01.0","","","41-40","","Offensive rebound by S. Curry"
"164","5:00.0","","","41-40","","K. Thompson misses 3-pt jump shot from 29 ft"
"165","4:57.0","Defensive rebound by W. Barton","","41-40","",""
"166","4:51.0","W. Barton misses 2-pt jump shot from 12 ft","","41-40","",""
"167","4:49.0","","","41-40","","Defensive rebound by K. Looney"
"168","4:39.0","","","41-40","","A. Wiggins misses 2-pt jump shot from 9 ft"
"169","4:37.0","Defensive rebound by N. Jokic","","41-40","",""
"170","4:26.0","W. Barton misses 3-pt jump shot from 24 ft","","41-40","",""
"171","4:24.0","Offensive rebound by N. Jokic","","41-40","",""
"172","4:23.0","N. Jokic misses 2-pt layup from 3 ft","","41-40","",""
"173","4:23.0","Offensive rebound by Team","","41-40","",""
"174","4:23.0","","","41-40","","J. Poole enters the game for K. Looney"
"175","4:21.0","N. Jokic makes 2-pt jump shot from 14 ft (assist by M. Morris)","+2","43-40","",""
"176","4:07.0","","","43-40","","S. Curry misses 3-pt jump shot from 25 ft"
"177","4:05.0","Defensive rebound by W. Barton","","43-40","",""
"178","3:55.0","A. Gordon misses 2-pt jump shot from 11 ft","","43-40","",""
"179","3:53.0","","","43-40","","Defensive rebound by K. Thompson"
"180","3:48.0","","","43-40","","A. Wiggins misses 2-pt layup from 6 ft"
"181","3:46.0","Defensive rebound by N. Jokic","","43-40","",""
"182","3:32.0","Personal foul by D. Green (drawn by N. Jokic)","","43-40","",""
"183","3:26.0","Turnover by M. Morris (bad pass)","","43-40","",""
"184","3:17.0","","","43-43","+3","J. Poole makes 3-pt jump shot from 27 ft"
"185","2:59.0","A. Gordon misses 2-pt layup from 5 ft","","43-43","",""
"186","2:57.0","","","43-43","","Defensive rebound by K. Thompson"
"187","2:54.0","","","43-45","+2","J. Poole makes 2-pt layup from 5 ft"
"188","2:54.0","","","43-45","","Shooting foul by W. Barton (drawn by J. Poole)"
"189","2:54.0","","","43-45","","Golden State full timeout"
"190","2:54.0","","","43-46","+1","J. Poole makes free throw 1 of 1"
"191","2:42.0","Turnover by W. Barton (bad pass)","","43-46","",""
"192","2:35.0","","","43-48","+2","K. Thompson makes 2-pt layup from 3 ft (assist by D. Green)"
"193","2:17.0","N. Jokic misses 3-pt jump shot from 26 ft","","43-48","",""
"194","2:15.0","","","43-48","","Defensive rebound by A. Wiggins"
"195","2:09.0","","","43-48","","S. Curry misses 2-pt jump shot from 19 ft"
"196","2:07.0","Defensive rebound by J. Green","","43-48","",""
"197","1:57.0","W. Barton makes 2-pt jump shot from 6 ft","+2","45-48","",""
"198","1:42.0","","","45-51","+3","K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Poole)"
"199","1:25.0","N. Jokic misses 2-pt jump shot from 12 ft","","45-51","",""
"200","1:23.0","","","45-51","","Defensive rebound by A. Wiggins"
"201","1:14.0","","","45-53","+2","S. Curry makes 2-pt layup from 6 ft (assist by D. Green)"
"202","1:14.0","Violation by Team (def goaltending)","","45-53","",""
"203","1:14.0","Denver full timeout","","45-53","",""
"204","0:56.0","N. Jokic misses 2-pt hook shot from 7 ft","","45-53","",""
"205","0:53.0","","","45-53","","Defensive rebound by A. Wiggins"
"206","0:41.0","","","45-53","","S. Curry misses 2-pt jump shot from 15 ft"
"207","0:38.0","","","45-53","","Offensive rebound by Team"
"208","0:35.0","","","45-53","","Shooting foul by A. Gordon (drawn by A. Wiggins)"
"209","0:35.0","","","45-54","+1","A. Wiggins makes free throw 1 of 2"
"210","0:35.0","","","45-55","+1","A. Wiggins makes free throw 2 of 2"
