"","Time","Golden State","","Score","","Memphis"
"61","6:44.0","","","12-15","+3","D. Bane makes 3-pt jump shot from 26 ft (assist by X. Tillman)"
"62","6:33.0","Turnover by A. Wiggins (bad pass; steal by D. Bane)","","12-15","",""
"63","6:30.0","","","12-15","","Personal foul by K. Thompson (drawn by D. Bane)"
"64","6:30.0","","","12-16","+1","D. Bane makes free throw 1 of 2"
"65","6:30.0","Golden State full timeout","","12-16","",""
"66","6:30.0","J. Poole enters the game for G. Payton","","12-16","",""
"67","6:30.0","O. Porter enters the game for K. Thompson","","12-16","",""
"68","6:30.0","","","12-16","","K. Anderson enters the game for J. Jackson"
"69","6:30.0","","","12-16","","D. Bane misses free throw 2 of 2"
"70","6:30.0","Defensive rebound by J. Poole","","12-16","",""
"71","6:16.0","J. Poole misses 3-pt jump shot from 27 ft","","12-16","",""
"72","6:12.0","Offensive rebound by O. Porter","","12-16","",""
"73","6:11.0","S. Curry makes 3-pt jump shot from 27 ft (assist by O. Porter)","+3","15-16","",""
"74","5:51.0","","","15-16","","D. Brooks misses 2-pt jump shot from 20 ft"
"75","5:49.0","Defensive rebound by O. Porter","","15-16","",""
"76","5:37.0","Shooting foul by K. Anderson (drawn by A. Wiggins)","","15-16","",""
"77","5:37.0","A. Wiggins makes free throw 1 of 2","+1","16-16","",""
"78","5:37.0","","","16-16","","B. Clarke enters the game for D. Bane"
"79","5:37.0","","","16-16","","D. Melton enters the game for X. Tillman"
"80","5:37.0","A. Wiggins misses free throw 2 of 2","","16-16","",""
"81","5:35.0","","","16-16","","Defensive rebound by D. Melton"
"82","5:14.0","","","16-16","","D. Brooks misses 2-pt jump shot from 9 ft"
"83","5:10.0","","","16-16","","Offensive rebound by K. Anderson"
"84","5:02.0","","","16-19","+3","D. Brooks makes 3-pt jump shot from 23 ft (assist by K. Anderson)"
"85","4:51.0","J. Poole makes 2-pt layup from 2 ft (assist by S. Curry)","+2","18-19","",""
"86","4:43.0","","","18-21","+2","B. Clarke makes 2-pt dunk from 1 ft (assist by J. Morant)"
"87","4:29.0","D. Green makes 2-pt layup from 2 ft (assist by A. Wiggins)","+2","20-21","",""
"88","4:13.0","","","20-21","","D. Brooks misses 3-pt jump shot from 26 ft"
"89","4:10.0","Defensive rebound by O. Porter","","20-21","",""
"90","4:01.0","Turnover by D. Green (bad pass; steal by J. Morant)","","20-21","",""
"91","3:57.0","","","20-21","","J. Morant misses 2-pt layup from 1 ft"
"92","3:56.0","","","20-21","","Offensive rebound by Team"
"93","3:56.0","","","20-21","","Away from play foul by S. Curry (drawn by D. Melton)"
"94","3:56.0","","","20-22","+1","D. Melton makes free throw 1 of 1"
"95","3:45.0","","","20-25","+3","D. Melton makes 3-pt jump shot from 26 ft (assist by J. Morant)"
"96","3:29.0","A. Wiggins misses 3-pt jump shot from 25 ft","","20-25","",""
"97","3:26.0","","","20-25","","Defensive rebound by B. Clarke"
"98","3:19.0","","","20-25","","Turnover by B. Clarke (traveling)"
"99","3:08.0","S. Curry misses 3-pt jump shot from 25 ft","","20-25","",""
"100","3:06.0","","","20-25","","Defensive rebound by B. Clarke"
"101","2:57.0","","","20-25","","J. Morant misses 3-pt jump shot from 26 ft"
"102","2:52.0","","","20-25","","Offensive rebound by D. Melton"
"103","2:52.0","K. Looney enters the game for D. Green","","20-25","",""
"104","2:52.0","K. Thompson enters the game for A. Wiggins","","20-25","",""
"105","2:40.0","","","20-25","","D. Melton misses 3-pt jump shot from 23 ft"
"106","2:38.0","Defensive rebound by K. Looney","","20-25","",""
"107","2:30.0","S. Curry misses 2-pt jump shot from 10 ft","","20-25","",""
"108","2:26.0","","","20-25","","Defensive rebound by B. Clarke"
"109","2:21.0","","","20-25","","K. Anderson misses 2-pt jump shot from 9 ft"
"110","2:18.0","","","20-25","","Offensive rebound by K. Anderson"
"111","2:18.0","","","20-25","","K. Anderson misses 2-pt layup at rim"
"112","2:18.0","Defensive rebound by O. Porter","","20-25","",""
"113","2:07.0","Turnover by J. Poole (lost ball; steal by D. Melton)","","20-25","",""
"114","2:02.0","","","20-25","","D. Brooks misses 3-pt jump shot from 23 ft"
"115","1:58.0","Defensive rebound by O. Porter","","20-25","",""
"116","1:52.0","K. Looney misses 2-pt dunk from 1 ft (block by B. Clarke)","","20-25","",""
"117","1:47.0","","","20-25","","Defensive rebound by J. Morant"
"118","1:44.0","","","20-28","+3","D. Melton makes 3-pt jump shot from 23 ft (assist by D. Brooks)"
"119","1:19.0","K. Thompson misses 3-pt jump shot from 27 ft","","20-28","",""
"120","1:16.0","","","20-28","","Defensive rebound by J. Morant"
"121","1:11.0","","","20-30","+2","J. Morant makes 2-pt jump shot from 4 ft"
"122","0:57.0","S. Curry misses 2-pt jump shot from 4 ft","","20-30","",""
"123","0:57.0","Offensive rebound by K. Looney","","20-30","",""
"124","0:57.0","K. Looney makes 2-pt layup at rim","+2","22-30","",""
"125","0:36.0","","","22-30","","J. Morant misses 2-pt jump shot from 11 ft"
"126","0:33.0","Defensive rebound by J. Poole","","22-30","",""
"127","0:26.0","O. Porter misses 2-pt layup from 2 ft","","22-30","",""
"128","0:24.0","","","22-30","","Defensive rebound by B. Clarke"
"129","0:03.0","","","22-32","+2","J. Morant makes 2-pt layup from 1 ft"
"130","0:00.0","J. Poole makes 2-pt layup from 1 ft (assist by O. Porter)","+2","24-32","",""
"131","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"132","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"133","Time","Golden State","","Score","","Memphis"
"134","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"135","11:37.0","K. Looney makes 2-pt layup from 1 ft (assist by G. Payton)","+2","26-32","",""
"136","11:16.0","","","26-34","+2","J. Jackson makes 2-pt layup from 2 ft (assist by J. Konchar)"
"137","11:00.0","O. Porter misses 3-pt jump shot from 26 ft","","26-34","",""
"138","10:58.0","","","26-34","","Defensive rebound by J. Konchar"
"139","10:51.0","","","26-34","","T. Jones misses 2-pt jump shot from 8 ft"
"140","10:49.0","","","26-34","","Offensive rebound by Team"
"141","10:49.0","Loose ball foul by K. Thompson (drawn by J. Jackson)","","26-34","",""
"142","10:43.0","","","26-34","","D. Bane misses 3-pt jump shot from 25 ft (block by K. Thompson)"
"143","10:42.0","","","26-34","","Offensive rebound by Team"
"144","10:40.0","","","26-34","","J. Jackson misses 3-pt jump shot from 24 ft"
"145","10:36.0","","","26-34","","Offensive rebound by J. Konchar"
"146","10:36.0","A. Wiggins enters the game for K. Thompson","","26-34","",""
"147","10:24.0","","","26-34","","Turnover by J. Jackson (lost ball; steal by K. Looney)"
"148","10:17.0","J. Poole misses 3-pt jump shot from 26 ft","","26-34","",""
"149","10:14.0","Offensive rebound by G. Payton","","26-34","",""
"150","10:11.0","J. Poole misses 3-pt jump shot from 27 ft","","26-34","",""
"151","10:08.0","Offensive rebound by K. Looney","","26-34","",""
"152","10:08.0","Personal foul by J. Konchar (drawn by K. Looney)","","26-34","",""
"153","10:05.0","Personal foul by J. Konchar (drawn by O. Porter)","","26-34","",""
"154","10:00.0","Shooting foul by J. Jackson (drawn by A. Wiggins)","","26-34","",""
"155","10:00.0","A. Wiggins misses free throw 1 of 2","","26-34","",""
"156","10:00.0","Offensive rebound by Team","","26-34","",""
"157","10:00.0","A. Wiggins makes free throw 2 of 2","+1","27-34","",""
"158","9:44.0","","","27-36","+2","J. Jackson makes 2-pt hook shot from 7 ft"
"159","9:44.0","","","27-36","","Shooting foul by A. Wiggins (drawn by J. Jackson)"
"160","9:44.0","","","27-37","+1","J. Jackson makes free throw 1 of 1"
"161","9:31.0","Offensive foul by G. Payton (drawn by J. Konchar)","","27-37","",""
"162","9:31.0","Turnover by G. Payton (offensive foul)","","27-37","",""
"163","9:16.0","","","27-39","+2","D. Bane makes 2-pt jump shot from 17 ft (assist by T. Jones)"
"164","9:02.0","Shooting foul by J. Jackson (drawn by J. Poole)","","27-39","",""
"165","9:02.0","J. Poole makes free throw 1 of 2","+1","28-39","",""
"166","9:02.0","D. Green enters the game for K. Looney","","28-39","",""
"167","9:02.0","D. Lee enters the game for G. Payton","","28-39","",""
"168","9:02.0","J. Poole makes free throw 2 of 2","+1","29-39","",""
"169","8:46.0","","","29-42","+3","J. Jackson makes 3-pt jump shot from 24 ft (assist by D. Bane)"
"170","8:31.0","A. Wiggins misses 2-pt jump shot from 21 ft","","29-42","",""
"171","8:29.0","Offensive rebound by D. Green","","29-42","",""
"172","8:24.0","J. Poole makes 3-pt jump shot from 26 ft (assist by D. Lee)","+3","32-42","",""
"173","8:13.0","","","32-42","","Turnover by D. Bane (bad pass; steal by D. Green)"
"174","8:09.0","J. Poole makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","35-42","",""
"175","8:09.0","","","35-42","","Memphis full timeout"
"176","8:09.0","","","35-42","","K. Anderson enters the game for J. Jackson"
"177","7:56.0","","","35-42","","B. Clarke misses 2-pt jump shot from 7 ft (block by D. Green)"
"178","7:54.0","Defensive rebound by D. Green","","35-42","",""
"179","7:38.0","A. Wiggins misses 2-pt layup from 1 ft (block by J. Konchar)","","35-42","",""
"180","7:30.0","Offensive rebound by O. Porter","","35-42","",""
"181","7:30.0","O. Porter makes 2-pt jump shot from 5 ft","+2","37-42","",""
"182","7:21.0","","","37-42","","D. Bane misses 2-pt layup from 2 ft"
"183","7:19.0","Defensive rebound by D. Lee","","37-42","",""
"184","7:05.0","A. Wiggins makes 2-pt jump shot from 21 ft","+2","39-42","",""
"185","6:50.0","","","39-42","","Personal foul by O. Porter (drawn by K. Anderson)"
"186","6:50.0","S. Curry enters the game for J. Poole","","39-42","",""
"187","6:50.0","J. Kuminga enters the game for O. Porter","","39-42","",""
"188","6:50.0","","","39-42","","D. Melton enters the game for J. Konchar"
"189","6:43.0","","","39-44","+2","B. Clarke makes 2-pt layup from 1 ft (assist by T. Jones)"
"190","6:38.0","Turnover by D. Green (bad pass)","","39-44","",""
"191","6:23.0","","","39-44","","T. Jones misses 2-pt jump shot from 3 ft"
"192","6:19.0","Defensive rebound by J. Kuminga","","39-44","",""
"193","6:12.0","Turnover by D. Lee (lost ball; steal by D. Bane)","","39-44","",""
"194","5:59.0","","","39-44","","Turnover by B. Clarke (lost ball; steal by J. Kuminga)"
"195","5:54.0","A. Wiggins misses 3-pt jump shot from 24 ft","","39-44","",""
"196","5:50.0","","","39-44","","Defensive rebound by K. Anderson"
"197","5:38.0","","","39-46","+2","D. Melton makes 2-pt layup from 3 ft (assist by T. Jones)"
"198","5:38.0","Golden State full timeout","","39-46","",""
"199","5:38.0","J. Poole enters the game for D. Lee","","39-46","",""
"200","5:38.0","","","39-46","","D. Brooks enters the game for D. Bane"
"201","5:38.0","","","39-46","","J. Morant enters the game for B. Clarke"
"202","5:38.0","","","39-46","","X. Tillman enters the game for T. Jones"
"203","5:25.0","Shooting foul by X. Tillman (drawn by D. Green)","","39-46","",""
"204","5:25.0","D. Green makes free throw 1 of 2","+1","40-46","",""
"205","5:25.0","D. Green misses free throw 2 of 2","","40-46","",""
"206","5:19.0","Offensive rebound by J. Poole","","40-46","",""
"207","5:13.0","A. Wiggins makes 2-pt layup from 2 ft (assist by J. Kuminga)","+2","42-46","",""
"208","4:56.0","","","42-48","+2","X. Tillman makes 2-pt jump shot from 8 ft (assist by J. Morant)"
"209","4:46.0","S. Curry misses 2-pt layup from 6 ft","","42-48","",""
"210","4:43.0","","","42-48","","Defensive rebound by K. Anderson"
"211","4:21.0","","","42-48","","Turnover by Team (shot clock)"
"212","4:05.0","Turnover by D. Green (bad pass; steal by D. Melton)","","42-48","",""
"213","4:02.0","","","42-50","+2","D. Melton makes 2-pt dunk from 1 ft"
"214","3:39.0","A. Wiggins makes 2-pt layup from 1 ft (assist by J. Poole)","+2","44-50","",""
"215","3:39.0","Shooting foul by D. Brooks (drawn by A. Wiggins)","","44-50","",""
"216","3:39.0","A. Wiggins misses free throw 1 of 1","","44-50","",""
"217","3:36.0","","","44-50","","Defensive rebound by D. Melton"
"218","3:28.0","","","44-50","","J. Morant misses 2-pt layup from 2 ft"
"219","3:28.0","Defensive rebound by J. Poole","","44-50","",""
"220","3:20.0","Offensive foul by J. Kuminga (drawn by J. Morant)","","44-50","",""
"221","3:20.0","Turnover by J. Kuminga (offensive foul)","","44-50","",""
"222","3:20.0","","","44-50","","J. Jackson enters the game for K. Anderson"
"223","3:07.0","","","44-50","","Personal foul by A. Wiggins (drawn by J. Jackson)"
"224","3:02.0","","","44-52","+2","J. Jackson makes 2-pt hook shot from 6 ft (assist by D. Brooks)"
"225","2:49.0","D. Green makes 2-pt layup from 3 ft (assist by J. Poole)","+2","46-52","",""
"226","2:49.0","Shooting foul by D. Brooks (drawn by D. Green)","","46-52","",""
"227","2:49.0","","","46-52","","D. Bane enters the game for D. Brooks"
"228","2:49.0","","","46-52","","B. Clarke enters the game for X. Tillman"
"229","2:49.0","D. Green makes free throw 1 of 1","+1","47-52","",""
"230","2:44.0","","","47-52","","D. Melton misses 3-pt jump shot from 26 ft"
"231","2:39.0","Defensive rebound by A. Wiggins","","47-52","",""
"232","2:38.0","Turnover by D. Green (bad pass)","","47-52","",""
"233","2:25.0","","","47-52","","J. Morant misses 3-pt jump shot from 24 ft"
"234","2:21.0","Defensive rebound by J. Poole","","47-52","",""
"235","2:20.0","J. Kuminga makes 2-pt dunk from 1 ft (assist by J. Poole)","+2","49-52","",""
"236","2:03.0","","","49-52","","J. Morant misses 2-pt jump shot from 5 ft (block by J. Poole)"
"237","1:58.0","Defensive rebound by A. Wiggins","","49-52","",""
"238","1:55.0","J. Poole makes 2-pt layup from 1 ft (assist by D. Green)","+2","51-52","",""
"239","1:55.0","","","51-52","","Memphis full timeout"
"240","1:45.0","","","51-52","","Personal foul by J. Poole (drawn by J. Jackson)"
"241","1:45.0","","","51-53","+1","J. Jackson makes free throw 1 of 2"
"242","1:45.0","","","51-54","+1","J. Jackson makes free throw 2 of 2"
"243","1:34.0","Shooting foul by J. Jackson (drawn by J. Kuminga)","","51-54","",""
"244","1:34.0","J. Kuminga makes free throw 1 of 2","+1","52-54","",""
"245","1:34.0","","","52-54","","K. Anderson enters the game for J. Jackson"
"246","1:34.0","J. Kuminga makes free throw 2 of 2","+1","53-54","",""
"247","1:18.0","","","53-54","","Flagrant foul type 2 by D. Green (drawn by B. Clarke)"
"248","1:18.0","","","53-54","","Instant Replay (Request: Ruling Stands)"
"249","1:18.0","D. Green ejected from game","","53-54","",""
"250","1:18.0","","","53-55","+1","B. Clarke makes flagrant free throw 1 of 2"
"251","1:18.0","","","53-56","+1","B. Clarke makes flagrant free throw 2 of 2"
"252","1:18.0","O. Porter enters the game for D. Green","","53-56","",""
"253","1:15.0","","","53-56","","Personal foul by S. Curry (drawn by B. Clarke)"
"254","1:15.0","","","53-57","+1","B. Clarke makes free throw 1 of 2"
"255","1:15.0","","","53-57","","B. Clarke misses free throw 2 of 2"
"256","1:13.0","Defensive rebound by O. Porter","","53-57","",""
"257","0:51.0","S. Curry misses 2-pt jump shot from 2 ft (block by D. Melton)","","53-57","",""
"258","0:48.0","","","53-57","","Defensive rebound by D. Melton"
"259","0:47.0","","","53-59","+2","J. Morant makes 2-pt dunk from 1 ft (assist by D. Melton)"
"260","0:27.0","J. Poole misses 2-pt layup from 1 ft (block by B. Clarke)","","53-59","",""
"261","0:25.0","","","53-59","","Defensive rebound by B. Clarke"
"262","0:23.0","","","53-59","","Turnover by B. Clarke (bad pass; steal by O. Porter)"
"263","0:14.0","J. Kuminga misses 2-pt layup from 1 ft","","53-59","",""
"264","0:12.0","Offensive rebound by J. Kuminga","","53-59","",""
"265","0:12.0","J. Kuminga makes 2-pt dunk at rim","+2","55-59","",""
"266","0:00.0","","","55-61","+2","J. Morant makes 2-pt jump shot from 7 ft"
"267","0:00.0","","","55-61","","Instant Replay (Request: Ruling Stands)"
"268","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"269","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"270","Time","Golden State","","Score","","Memphis"
"271","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"272","11:44.0","J. Poole misses 3-pt jump shot from 25 ft","","55-61","",""
"273","11:42.0","","","55-61","","Defensive rebound by J. Jackson"
"274","11:31.0","","","55-61","","Turnover by J. Jackson (bad pass; steal by K. Thompson)"
"275","11:29.0","K. Thompson makes 2-pt layup from 2 ft","+2","57-61","",""
"276","11:13.0","","","57-63","+2","D. Bane makes 2-pt jump shot from 10 ft"
"277","10:56.0","K. Looney makes 2-pt layup from 1 ft (assist by J. Poole)","+2","59-63","",""
"278","10:34.0","","","59-63","","X. Tillman misses 2-pt jump shot from 12 ft"
"279","10:31.0","Defensive rebound by K. Looney","","59-63","",""
"280","10:20.0","Turnover by K. Looney (bad pass; steal by X. Tillman)","","59-63","",""
"281","10:09.0","","","59-66","+3","J. Morant makes 3-pt jump shot from 26 ft"
"282","9:59.0","J. Poole makes 2-pt layup from 1 ft","+2","61-66","",""
"283","9:43.0","","","61-66","","D. Bane misses 3-pt jump shot from 23 ft"
"284","9:39.0","Defensive rebound by K. Looney","","61-66","",""
"285","9:35.0","Personal foul by D. Bane (drawn by S. Curry)","","61-66","",""
"286","9:27.0","K. Thompson misses 2-pt jump shot from 3 ft","","61-66","",""
"287","9:23.0","","","61-66","","Defensive rebound by D. Brooks"
"288","9:14.0","","","61-66","","D. Brooks misses 3-pt jump shot from 26 ft"
"289","9:14.0","Defensive rebound by Team","","61-66","",""
"290","9:04.0","S. Curry makes 2-pt jump shot from 22 ft","+2","63-66","",""
"291","8:51.0","","","63-66","","J. Jackson misses 2-pt jump shot from 7 ft"
"292","8:49.0","Defensive rebound by K. Thompson","","63-66","",""
"293","8:35.0","S. Curry makes 2-pt jump shot from 18 ft","+2","65-66","",""
"294","8:14.0","","","65-66","","J. Morant misses 3-pt jump shot from 28 ft"
"295","8:10.0","Defensive rebound by A. Wiggins","","65-66","",""
"296","8:07.0","S. Curry makes 3-pt jump shot from 23 ft (assist by J. Poole)","+3","68-66","",""
"297","8:07.0","Shooting foul by J. Morant (drawn by S. Curry)","","68-66","",""
"298","8:07.0","","","68-66","","Memphis full timeout"
"299","8:07.0","","","68-66","","B. Clarke enters the game for X. Tillman"
"300","8:07.0","S. Curry misses free throw 1 of 1","","68-66","",""
"301","8:05.0","","","68-66","","Defensive rebound by J. Jackson"
"302","7:51.0","","","68-66","","D. Bane misses 3-pt jump shot from 26 ft"
"303","7:48.0","Defensive rebound by K. Looney","","68-66","",""
"304","7:37.0","Turnover by J. Poole (out of bounds lost ball)","","68-66","",""
"305","7:26.0","","","68-66","","D. Brooks misses 2-pt jump shot from 15 ft"
"306","7:24.0","Defensive rebound by A. Wiggins","","68-66","",""
"307","7:17.0","S. Curry misses 3-pt jump shot from 25 ft","","68-66","",""
"308","7:11.0","","","68-66","","Defensive rebound by Team"
"309","7:11.0","","","68-66","","Personal foul by K. Looney (drawn by B. Clarke)"
"310","6:52.0","","","68-66","","Personal foul by A. Wiggins (drawn by D. Brooks)"
"311","6:44.0","","","68-69","+3","J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant)"
"312","6:25.0","A. Wiggins misses 2-pt jump shot from 12 ft (block by J. Jackson)","","68-69","",""
"313","6:22.0","","","68-69","","Defensive rebound by J. Morant"
"314","6:20.0","","","68-71","+2","J. Morant makes 2-pt layup from 1 ft"
"315","6:20.0","Golden State full timeout","","68-71","",""
"316","6:02.0","Shooting foul by D. Brooks (drawn by S. Curry)","","68-71","",""
"317","6:02.0","S. Curry makes free throw 1 of 3","+1","69-71","",""
"318","6:02.0","S. Curry makes free throw 2 of 3","+1","70-71","",""
"319","6:02.0","","","70-71","","D. Melton enters the game for D. Brooks"
"320","6:02.0","S. Curry makes free throw 3 of 3","+1","71-71","",""
"321","5:53.0","","","71-71","","J. Morant misses 2-pt jump shot from 1 ft"
"322","5:50.0","","","71-71","","Offensive rebound by B. Clarke"
"323","5:50.0","","","71-71","","B. Clarke misses 2-pt layup at rim"
"324","5:50.0","Defensive rebound by S. Curry","","71-71","",""
"325","5:41.0","K. Looney makes 2-pt dunk at rim (assist by K. Thompson)","+2","73-71","",""
"326","5:40.0","","","73-71","","Turnover by J. Morant (bad pass)"
"327","5:31.0","J. Poole makes 3-pt jump shot from 26 ft (assist by K. Looney)","+3","76-71","",""
"328","5:11.0","","","76-73","+2","J. Jackson makes 2-pt hook shot from 6 ft (assist by J. Morant)"
"329","5:02.0","K. Thompson misses 2-pt jump shot from 9 ft","","76-73","",""
"330","5:00.0","","","76-73","","Defensive rebound by J. Morant"
"331","4:54.0","","","76-76","+3","J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant)"
"332","4:39.0","A. Wiggins makes 3-pt jump shot from 23 ft (assist by K. Thompson)","+3","79-76","",""
"333","4:30.0","","","79-79","+3","J. Jackson makes 3-pt jump shot from 28 ft (assist by J. Morant)"
"334","4:15.0","S. Curry misses 2-pt jump shot from 18 ft","","79-79","",""
"335","4:15.0","","","79-79","","Defensive rebound by Team"
"336","4:15.0","G. Payton enters the game for K. Thompson","","79-79","",""
"337","4:02.0","","","79-79","","J. Jackson misses 2-pt hook shot from 10 ft"
"338","4:01.0","","","79-79","","Offensive rebound by J. Jackson"
"339","3:59.0","","","79-79","","J. Morant misses 3-pt jump shot from 26 ft"
"340","3:55.0","","","79-79","","Offensive rebound by B. Clarke"
"341","3:54.0","","","79-82","+3","D. Melton makes 3-pt jump shot from 27 ft (assist by B. Clarke)"
"342","3:29.0","J. Poole makes 2-pt layup from 1 ft (assist by G. Payton)","+2","81-82","",""
"343","3:10.0","","","81-82","","J. Jackson misses 3-pt jump shot from 28 ft"
"344","3:08.0","","","81-82","","Offensive rebound by B. Clarke"
"345","3:06.0","","","81-85","+3","J. Jackson makes 3-pt jump shot from 26 ft (assist by B. Clarke)"
"346","2:50.0","J. Poole makes 3-pt jump shot from 26 ft (assist by S. Curry)","+3","84-85","",""
"347","2:33.0","","","84-85","","Turnover by J. Morant (traveling)"
"348","2:33.0","O. Porter enters the game for J. Poole","","84-85","",""
"349","2:33.0","K. Thompson enters the game for A. Wiggins","","84-85","",""
"350","2:20.0","S. Curry makes 3-pt jump shot from 25 ft (assist by K. Looney)","+3","87-85","",""
"351","2:01.0","","","87-85","","J. Morant misses 2-pt jump shot from 18 ft"
"352","1:58.0","","","87-85","","Offensive rebound by J. Jackson"
