"","Time","New Orleans","","Score","","Phoenix"
"72","3:22.0","","","18-21","","C. Payne misses 2-pt layup from 4 ft"
"73","3:18.0","Defensive rebound by L. Nance","","18-21","",""
"74","3:17.0","","","18-21","","Loose ball foul by C. Payne (drawn by L. Nance)"
"75","3:17.0","","","18-21","","D. Ayton enters the game for C. Johnson"
"76","3:01.0","Turnover by B. Ingram (bad pass; steal by J. Crowder)","","18-21","",""
"77","2:51.0","","","18-23","+2","J. Crowder makes 2-pt layup from 7 ft (assist by J. McGee)"
"78","2:35.0","Personal foul by J. Crowder (drawn by B. Ingram)","","18-23","",""
"79","2:35.0","","","18-23","","Phoenix full timeout"
"80","2:35.0","","","18-23","","M. Bridges enters the game for J. Crowder"
"81","2:27.0","Turnover by B. Ingram (lost ball; steal by L. Shamet)","","18-23","",""
"82","2:21.0","","","18-23","","Shooting foul by J. Valanciunas (drawn by C. Payne)"
"83","2:21.0","","","18-24","+1","C. Payne makes free throw 1 of 2"
"84","2:21.0","J. Hayes enters the game for J. Valanciunas","","18-24","",""
"85","2:21.0","","","18-25","+1","C. Payne makes free throw 2 of 2"
"86","2:08.0","Personal foul by C. Payne (drawn by D. Graham)","","18-25","",""
"87","1:56.0","B. Ingram misses 2-pt jump shot from 20 ft (block by M. Bridges)","","18-25","",""
"88","1:53.0","","","18-25","","Defensive rebound by M. Bridges"
"89","1:37.0","","","18-27","+2","C. Payne makes 2-pt jump shot from 15 ft"
"90","1:21.0","Turnover by J. Hayes (bad pass; steal by C. Payne)","","18-27","",""
"91","1:16.0","","","18-30","+3","C. Payne makes 3-pt jump shot from 26 ft"
"92","0:49.0","Shooting foul by C. Payne (drawn by D. Graham)","","18-30","",""
"93","0:49.0","D. Graham makes free throw 1 of 2","+1","19-30","",""
"94","0:49.0","H. Jones enters the game for T. Murphy","","19-30","",""
"95","0:49.0","","","19-30","","C. Paul enters the game for C. Payne"
"96","0:49.0","D. Graham makes free throw 2 of 2","+1","20-30","",""
"97","0:39.0","","","20-30","","Personal foul by H. Jones (drawn by C. Paul)"
"98","0:39.0","","","20-31","+1","C. Paul makes free throw 1 of 2"
"99","0:39.0","","","20-32","+1","C. Paul makes free throw 2 of 2"
"100","0:31.0","Turnover by D. Graham (step out of bounds)","","20-32","",""
