"","Time","New Orleans","","Score","","Phoenix"
"352","10:45.0","C. McCollum misses 2-pt jump shot from 13 ft (block by M. Bridges)","","78-89","",""
"353","10:42.0","","","78-89","","Defensive rebound by C. Johnson"
"354","10:36.0","","","78-89","","Shooting foul by T. Murphy (drawn by L. Shamet)"
"355","10:36.0","","","78-90","+1","L. Shamet makes free throw 1 of 2"
"356","10:36.0","","","78-90","","L. Shamet misses free throw 2 of 2"
"357","10:35.0","","","78-90","","Offensive rebound by Team"
"358","10:35.0","","","78-90","","C. Paul enters the game for L. Shamet"
"359","10:23.0","","","78-90","","Turnover by C. Paul (bad pass; steal by H. Jones)"
"360","10:16.0","C. McCollum misses 3-pt jump shot from 28 ft","","78-90","",""
"361","10:12.0","","","78-90","","Defensive rebound by C. Johnson"
"362","10:08.0","","","78-90","","M. Bridges misses 2-pt layup from 2 ft (block by C. McCollum)"
"363","10:07.0","Defensive rebound by C. McCollum","","78-90","",""
"364","9:52.0","Shooting foul by B. Biyombo (drawn by L. Nance)","","78-90","",""
"365","9:52.0","L. Nance makes free throw 1 of 2","+1","79-90","",""
"366","9:52.0","L. Nance misses free throw 2 of 2","","79-90","",""
"367","9:50.0","","","79-90","","Defensive rebound by C. Payne"
"368","9:38.0","","","79-90","","C. Payne misses 2-pt jump shot from 10 ft (block by H. Jones)"
"369","9:36.0","Defensive rebound by L. Nance","","79-90","",""
"370","9:22.0","Offensive foul by H. Jones (drawn by M. Bridges)","","79-90","",""
"371","9:22.0","Turnover by H. Jones (offensive foul)","","79-90","",""
"372","9:22.0","J. Valanciunas enters the game for L. Nance","","79-90","",""
"373","9:22.0","","","79-90","","J. McGee enters the game for B. Biyombo"
"374","9:12.0","","","79-90","","C. Payne misses 3-pt jump shot from 27 ft"
"375","9:06.0","Defensive rebound by H. Jones","","79-90","",""
"376","9:06.0","Turnover by H. Jones (bad pass; steal by C. Payne)","","79-90","",""
"377","9:00.0","","","79-92","+2","M. Bridges makes 2-pt layup from 2 ft (assist by C. Payne)"
"378","8:47.0","J. Valanciunas makes 2-pt jump shot from 8 ft","+2","81-92","",""
"379","8:47.0","Shooting foul by J. McGee (drawn by J. Valanciunas)","","81-92","",""
"380","8:47.0","B. Ingram enters the game for T. Murphy","","81-92","",""
"381","8:47.0","J. Valanciunas makes free throw 1 of 1","+1","82-92","",""
"382","8:35.0","","","82-92","","Personal foul by J. Alvarado (drawn by C. Paul)"
"383","8:35.0","","","82-92","","D. Ayton enters the game for J. McGee"
"384","8:35.0","","","82-92","","L. Shamet enters the game for C. Payne"
"385","8:23.0","","","82-92","","D. Ayton misses 2-pt hook shot from 6 ft"
"386","8:21.0","Defensive rebound by C. McCollum","","82-92","",""
"387","8:15.0","C. McCollum misses 3-pt jump shot from 26 ft","","82-92","",""
"388","8:13.0","Offensive rebound by Team","","82-92","",""
"389","8:04.0","J. Alvarado misses 3-pt jump shot from 26 ft","","82-92","",""
"390","8:00.0","","","82-92","","Defensive rebound by C. Johnson"
"391","7:52.0","","","82-95","+3","M. Bridges makes 3-pt jump shot from 25 ft (assist by C. Johnson)"
"392","7:36.0","Shooting foul by C. Johnson (drawn by C. McCollum)","","82-95","",""
"393","7:36.0","C. McCollum makes free throw 1 of 3","+1","83-95","",""
"394","7:36.0","C. McCollum makes free throw 2 of 3","+1","84-95","",""
"395","7:36.0","C. McCollum makes free throw 3 of 3","+1","85-95","",""
"396","7:22.0","","","85-95","","Personal foul by J. Alvarado (drawn by C. Paul)"
"397","7:09.0","","","85-95","","Turnover by D. Ayton (lost ball; steal by J. Alvarado)"
"398","7:00.0","C. McCollum misses 2-pt jump shot from 14 ft","","85-95","",""
"399","6:58.0","","","85-95","","Defensive rebound by M. Bridges"
"400","6:57.0","","","85-95","","Turnover by M. Bridges (out of bounds lost ball)"
"401","6:57.0","","","85-95","","Phoenix full timeout"
"402","6:47.0","C. McCollum makes 2-pt jump shot from 15 ft (assist by J. Valanciunas)","+2","87-95","",""
"403","6:24.0","","","87-97","+2","M. Bridges makes 2-pt jump shot from 17 ft (assist by C. Paul)"
"404","6:01.0","J. Alvarado makes 2-pt jump shot from 2 ft","+2","89-97","",""
"405","5:43.0","","","89-99","+2","C. Paul makes 2-pt jump shot from 15 ft"
"406","5:23.0","J. Alvarado makes 3-pt jump shot from 23 ft (assist by J. Valanciunas)","+3","92-99","",""
"407","5:03.0","","","92-99","","Shooting foul by C. McCollum (drawn by D. Ayton)"
"408","5:03.0","","","92-99","","D. Ayton misses free throw 1 of 2"
"409","5:03.0","","","92-99","","Offensive rebound by Team"
"410","5:03.0","","","92-99","","J. Crowder enters the game for L. Shamet"
"411","5:03.0","","","92-100","+1","D. Ayton makes free throw 2 of 2"
"412","4:46.0","B. Ingram misses 2-pt jump shot from 7 ft","","92-100","",""
"413","4:44.0","","","92-100","","Defensive rebound by C. Paul"
"414","4:39.0","","","92-100","","Turnover by  (8 sec)"
"415","4:39.0","","","92-100","","Technical foul by C. Paul"
"416","4:39.0","B. Ingram misses technical free throw","","92-100","",""
"417","4:39.0","Offensive rebound by Team","","92-100","",""
"418","4:39.0","","","92-100","","L. Shamet enters the game for C. Johnson"
"419","4:22.0","Turnover by H. Jones (lost ball; steal by L. Shamet)","","92-100","",""
"420","4:18.0","","","92-100","","Turnover by L. Shamet (bad pass; steal by H. Jones)"
"421","4:07.0","Shooting foul by D. Ayton (drawn by B. Ingram)","","92-100","",""
"422","4:07.0","B. Ingram makes free throw 1 of 2","+1","93-100","",""
"423","4:07.0","B. Ingram misses free throw 2 of 2","","93-100","",""
"424","4:05.0","","","93-100","","Defensive rebound by D. Ayton"
"425","3:51.0","","","93-102","+2","C. Paul makes 2-pt jump shot from 10 ft"
"426","3:50.0","New Orleans full timeout","","93-102","",""
"427","3:50.0","","","93-102","","C. Payne enters the game for L. Shamet"
"428","3:35.0","Turnover by B. Ingram (lost ball; steal by J. Crowder)","","93-102","",""
"429","3:27.0","","","93-102","","Personal foul by H. Jones (drawn by C. Paul)"
"430","3:27.0","","","93-103","+1","C. Paul makes free throw 1 of 2"
"431","3:27.0","","","93-104","+1","C. Paul makes free throw 2 of 2"
"432","3:10.0","C. McCollum makes 2-pt layup from 2 ft","+2","95-104","",""
"433","3:10.0","","","95-104","","Phoenix full timeout"
"434","3:10.0","New Orleans full timeout","","95-104","",""
"435","2:52.0","","","95-104","","M. Bridges misses 2-pt jump shot from 11 ft"
"436","2:51.0","Defensive rebound by C. McCollum","","95-104","",""
"437","2:37.0","B. Ingram misses 2-pt jump shot from 9 ft","","95-104","",""
"438","2:35.0","","","95-104","","Defensive rebound by C. Payne"
"439","2:13.0","","","95-104","","C. Paul misses 3-pt jump shot from 26 ft"
"440","2:11.0","Defensive rebound by J. Valanciunas","","95-104","",""
"441","2:04.0","Personal foul by C. Payne (drawn by J. Alvarado)","","95-104","",""
"442","2:04.0","","","95-104","","C. Johnson enters the game for C. Payne"
"443","2:04.0","J. Alvarado makes free throw 1 of 2","+1","96-104","",""
"444","2:04.0","J. Alvarado makes free throw 2 of 2","+1","97-104","",""
"445","1:55.0","","","97-106","+2","C. Johnson makes 2-pt dunk from 1 ft"
"446","1:42.0","C. McCollum misses 2-pt jump shot from 9 ft","","97-106","",""
"447","1:42.0","","","97-106","","Defensive rebound by C. Johnson"
"448","1:21.0","","","97-106","","C. Paul misses 2-pt jump shot from 11 ft"
"449","1:19.0","Defensive rebound by B. Ingram","","97-106","",""
"450","1:09.0","H. Jones misses 3-pt jump shot from 23 ft","","97-106","",""
"451","1:06.0","","","97-106","","Defensive rebound by C. Paul"
"452","1:05.0","","","97-106","","Personal take foul by C. McCollum (drawn by M. Bridges)"
"453","1:05.0","","","97-107","+1","M. Bridges makes free throw 1 of 2"
"454","1:05.0","","","97-108","+1","M. Bridges makes free throw 2 of 2"
"455","1:05.0","New Orleans full timeout","","97-108","",""
"456","1:05.0","L. Nance enters the game for J. Valanciunas","","97-108","",""
"457","1:02.0","B. Ingram misses 3-pt jump shot from 25 ft","","97-108","",""
"458","0:59.0","Offensive rebound by L. Nance","","97-108","",""
"459","0:58.0","C. McCollum misses 3-pt jump shot from 23 ft","","97-108","",""
"460","0:56.0","","","97-108","","Defensive rebound by D. Ayton"
"461","0:41.0","","","97-110","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by D. Ayton)"
"462","0:34.0","B. Ingram misses 3-pt jump shot from 26 ft","","97-110","",""
"463","0:34.0","","","97-110","","Defensive rebound by C. Paul"
"464","0:29.0","","","97-112","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by C. Paul)"
"465","0:21.0","J. Alvarado misses 3-pt jump shot from 26 ft","","97-112","",""
"466","0:20.0","","","97-112","","Defensive rebound by Team"
"467","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
