"","Time","Phoenix","","Score","","New Orleans"
"110","10:46.0","","","28-28","","Defensive rebound by C. McCollum"
"111","10:45.0","","","28-28","","Personal foul by J. McGee (drawn by L. Nance)"
"112","10:35.0","","","28-28","","Personal foul by C. Johnson (drawn by L. Nance)"
"113","10:27.0","","","28-28","","Personal foul by J. McGee (drawn by C. McCollum)"
"114","10:27.0","B. Biyombo enters the game for J. McGee","","28-28","",""
"115","10:15.0","","","28-28","","L. Nance misses 2-pt layup from 3 ft"
"116","10:11.0","","","28-28","","Offensive rebound by L. Nance"
"117","10:11.0","","","28-30","+2","L. Nance makes 2-pt layup at rim"
"118","9:55.0","B. Biyombo misses 2-pt hook shot from 10 ft","","28-30","",""
"119","9:53.0","","","28-30","","Defensive rebound by J. Alvarado"
"120","9:49.0","","","28-30","","J. Alvarado misses 2-pt jump shot from 10 ft"
"121","9:46.0","Defensive rebound by D. Booker","","28-30","",""
"122","9:43.0","Personal foul by L. Nance (drawn by D. Booker)","","28-30","",""
"123","9:31.0","Personal foul by T. Murphy (drawn by B. Biyombo)","","28-30","",""
"124","9:25.0","Offensive foul by B. Biyombo (drawn by T. Murphy)","","28-30","",""
"125","9:25.0","Turnover by B. Biyombo (offensive foul)","","28-30","",""
"126","9:08.0","","","28-30","","L. Nance misses 2-pt layup from 5 ft"
"127","9:06.0","Defensive rebound by C. Johnson","","28-30","",""
"128","8:57.0","C. Paul makes 2-pt jump shot from 17 ft","+2","30-30","",""
"129","8:40.0","","","30-33","+3","T. Murphy makes 3-pt jump shot from 24 ft (assist by J. Alvarado)"
"130","8:25.0","B. Biyombo makes 2-pt layup from 2 ft (assist by L. Shamet)","+2","32-33","",""
"131","8:06.0","","","32-33","","J. Alvarado misses 2-pt layup from 2 ft"
"132","8:06.0","Defensive rebound by D. Booker","","32-33","",""
"133","8:06.0","Offensive foul by C. Paul (drawn by J. Alvarado)","","32-33","",""
"134","8:06.0","Turnover by C. Paul (offensive foul)","","32-33","",""
"135","8:06.0","M. Bridges enters the game for C. Johnson","","32-33","",""
"136","8:06.0","J. Crowder enters the game for L. Shamet","","32-33","",""
"137","8:06.0","","","32-33","","B. Ingram enters the game for J. Alvarado"
"138","8:06.0","","","32-33","","N. Marshall enters the game for T. Murphy"
"139","7:53.0","","","32-33","","C. McCollum misses 3-pt jump shot from 25 ft"
"140","7:48.0","Defensive rebound by B. Biyombo","","32-33","",""
"141","7:40.0","Shooting foul by H. Jones (drawn by C. Paul)","","32-33","",""
"142","7:40.0","C. Paul makes free throw 1 of 2","+1","33-33","",""
"143","7:40.0","D. Ayton enters the game for B. Biyombo","","33-33","",""
"144","7:40.0","C. Paul makes free throw 2 of 2","+1","34-33","",""
"145","7:23.0","","","34-35","+2","L. Nance makes 2-pt layup from 2 ft (assist by B. Ingram)"
"146","7:04.0","M. Bridges misses 2-pt layup from 1 ft","","34-35","",""
"147","7:02.0","","","34-35","","Defensive rebound by H. Jones"
"148","6:57.0","","","34-37","+2","H. Jones makes 2-pt layup from 2 ft"
"149","6:31.0","D. Booker misses 3-pt jump shot from 27 ft","","34-37","",""
"150","6:28.0","","","34-37","","Defensive rebound by C. McCollum"
"151","6:27.0","","","34-37","","Shooting foul by J. Crowder (drawn by H. Jones)"
"152","6:27.0","","","34-37","","New Orleans full timeout"
"153","6:27.0","","","34-38","+1","H. Jones makes free throw 1 of 2"
"154","6:27.0","","","34-39","+1","H. Jones makes free throw 2 of 2"
"155","6:11.0","Personal foul by C. McCollum (drawn by M. Bridges)","","34-39","",""
"156","6:11.0","M. Bridges makes free throw 1 of 2","+1","35-39","",""
"157","6:11.0","M. Bridges makes free throw 2 of 2","+1","36-39","",""
"158","5:55.0","","","36-39","","H. Jones misses 2-pt jump shot from 5 ft"
"159","5:53.0","","","36-39","","Offensive rebound by N. Marshall"
"160","5:47.0","","","36-39","","Turnover by Team (shot clock)"
"161","5:47.0","C. Payne enters the game for D. Booker","","36-39","",""
"162","5:33.0","C. Paul makes 2-pt jump shot from 15 ft","+2","38-39","",""
"163","5:17.0","","","38-39","","C. McCollum misses 3-pt jump shot from 27 ft"
"164","5:11.0","","","38-39","","Offensive rebound by L. Nance"
"165","5:11.0","","","38-41","+2","L. Nance makes 2-pt layup at rim"
