"","Time","Milwaukee","","Score","","Boston"
"24","8:46.0","","","8-8","","J. Tatum misses 2-pt layup from 2 ft"
"25","8:43.0","Defensive rebound by B. Lopez","","8-8","",""
"26","8:40.0","B. Lopez misses 3-pt jump shot from 26 ft","","8-8","",""
"27","8:38.0","","","8-8","","Defensive rebound by R. Williams"
"28","8:28.0","","","8-8","","J. Tatum misses 3-pt jump shot from 25 ft"
"29","8:25.0","Defensive rebound by G. Antetokounmpo","","8-8","",""
"30","8:16.0","Turnover by G. Antetokounmpo (lost ball; steal by J. Brown)","","8-8","",""
"31","8:04.0","","","8-8","","Shooting foul by B. Portis (drawn by M. Smart)"
"32","8:04.0","","","8-9","+1","M. Smart makes free throw 1 of 2"
"33","8:04.0","","","8-10","+1","M. Smart makes free throw 2 of 2"
"34","7:52.0","G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by J. Holiday)","+2","10-10","",""
"35","7:39.0","","","10-10","","M. Smart misses 3-pt jump shot from 27 ft"
"36","7:36.0","Defensive rebound by G. Antetokounmpo","","10-10","",""
"37","7:29.0","Turnover by W. Matthews (step out of bounds)","","10-10","",""
"38","7:29.0","G. Allen enters the game for J. Holiday","","10-10","",""
"39","7:12.0","","","10-10","","A. Horford misses 2-pt jump shot from 8 ft"
"40","7:09.0","Defensive rebound by B. Portis","","10-10","",""
"41","7:04.0","G. Antetokounmpo misses 2-pt jump shot from 17 ft","","10-10","",""
"42","7:02.0","","","10-10","","Defensive rebound by R. Williams"
"43","6:56.0","","","10-10","","Shooting foul by G. Allen (drawn by J. Tatum)"
"44","6:56.0","","","10-10","","Boston full timeout"
"45","6:56.0","J. Holiday enters the game for B. Portis","","10-10","",""
"46","6:56.0","","","10-10","","J. Tatum misses free throw 1 of 2"
"47","6:56.0","","","10-10","","Offensive rebound by Team"
"48","6:56.0","","","10-11","+1","J. Tatum makes free throw 2 of 2"
"49","6:43.0","J. Holiday misses 2-pt layup from 6 ft (block by R. Williams)","","10-11","",""
"50","6:42.0","Offensive rebound by B. Lopez","","10-11","",""
"51","6:40.0","B. Lopez makes 2-pt dunk from 1 ft","+2","12-11","",""
"52","6:23.0","","","12-14","+3","A. Horford makes 3-pt jump shot from 24 ft (assist by M. Smart)"
"53","6:11.0","W. Matthews misses 3-pt jump shot from 26 ft","","12-14","",""
"54","6:08.0","","","12-14","","Defensive rebound by J. Tatum"
"55","5:51.0","","","12-14","","J. Tatum misses 2-pt jump shot from 4 ft"
"56","5:50.0","","","12-14","","Offensive rebound by R. Williams"
"57","5:50.0","","","12-14","","R. Williams misses 2-pt layup at rim"
"58","5:49.0","","","12-14","","Offensive rebound by R. Williams"
"59","5:49.0","","","12-16","+2","R. Williams makes 2-pt layup at rim"
"60","5:28.0","Turnover by J. Holiday (lost ball; steal by J. Tatum)","","12-16","",""
"61","5:20.0","","","12-16","","J. Brown misses 3-pt jump shot from 25 ft"
"62","5:18.0","Defensive rebound by G. Antetokounmpo","","12-16","",""
"63","5:11.0","G. Antetokounmpo misses 2-pt layup from 4 ft","","12-16","",""
"64","5:09.0","","","12-16","","Defensive rebound by J. Brown"
"65","5:01.0","","","12-16","","Personal foul by J. Holiday (drawn by J. Brown)"
"66","5:01.0","P. Connaughton enters the game for G. Antetokounmpo","","12-16","",""
"67","5:01.0","B. Portis enters the game for W. Matthews","","12-16","",""
"68","5:01.0","","","12-16","","D. White enters the game for J. Tatum"
"69","5:01.0","","","12-16","","G. Williams enters the game for R. Williams"
"70","4:50.0","","","12-18","+2","M. Smart makes 2-pt layup from 2 ft (assist by A. Horford)"
"71","4:42.0","Milwaukee full timeout","","12-18","",""
"72","4:42.0","G. Antetokounmpo enters the game for J. Holiday","","12-18","",""
"73","4:42.0","J. Carter enters the game for B. Lopez","","12-18","",""
"74","4:31.0","Turnover by G. Allen (bad pass; steal by M. Smart)","","12-18","",""
"75","4:28.0","","","12-18","","D. White misses 2-pt jump shot from 11 ft"
"76","4:25.0","Defensive rebound by P. Connaughton","","12-18","",""
"77","4:15.0","B. Portis misses 3-pt jump shot from 26 ft","","12-18","",""
"78","4:13.0","","","12-18","","Defensive rebound by G. Williams"
"79","3:59.0","","","12-18","","D. White misses 2-pt jump shot from 7 ft"
"80","3:56.0","Defensive rebound by P. Connaughton","","12-18","",""
"81","3:50.0","Turnover by J. Carter (lost ball; steal by J. Brown)","","12-18","",""
"82","3:50.0","","","12-18","","Personal take foul by G. Antetokounmpo (drawn by J. Brown)"
"83","3:50.0","","","12-18","","P. Pritchard enters the game for M. Smart"
"84","3:50.0","","","12-18","","J. Brown misses free throw 1 of 2"
"85","3:50.0","","","12-18","","Offensive rebound by Team"
"86","3:50.0","","","12-19","+1","J. Brown makes free throw 2 of 2"
"87","3:35.0","G. Antetokounmpo makes 2-pt jump shot from 5 ft (assist by P. Connaughton)","+2","14-19","",""
"88","3:13.0","","","14-22","+3","G. Williams makes 3-pt jump shot from 25 ft (assist by A. Horford)"
"89","2:54.0","J. Carter misses 2-pt layup from 8 ft (block by A. Horford)","","14-22","",""
"90","2:52.0","Offensive rebound by Team","","14-22","",""
"91","2:47.0","P. Connaughton makes 3-pt jump shot from 29 ft (assist by G. Antetokounmpo)","+3","17-22","",""
"92","2:27.0","","","17-22","","G. Williams misses 3-pt jump shot from 25 ft"
"93","2:25.0","","","17-22","","Offensive rebound by J. Brown"
"94","2:25.0","","","17-24","+2","J. Brown makes 2-pt dunk at rim"
"95","2:08.0","B. Portis makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo)","+3","20-24","",""
"96","1:56.0","","","20-24","","Turnover by D. White (bad pass; steal by B. Portis)"
"97","1:51.0","B. Portis makes 2-pt layup from 1 ft","+2","22-24","",""
"98","1:47.0","","","22-24","","Boston full timeout"
"99","1:47.0","B. Lopez enters the game for G. Allen","","22-24","",""
"100","1:47.0","W. Matthews enters the game for B. Portis","","22-24","",""
