"","Time","Denver","","Score","","Golden State"
"150","8:26.0","M. Morris makes 2-pt layup from 6 ft (assist by D. Cousins)","+2","39-31","",""
"151","8:12.0","","","39-31","","Personal foul by B. Forbes (drawn by K. Thompson)"
"152","8:12.0","","","39-31","","D. Green enters the game for G. Payton"
"153","8:12.0","","","39-31","","A. Wiggins enters the game for K. Thompson"
"154","8:07.0","","","39-31","","Personal foul by D. Cousins (drawn by J. Poole)"
"155","8:06.0","","","39-31","","Personal foul by D. Cousins (drawn by D. Green)"
"156","7:54.0","","","39-31","","A. Wiggins misses 2-pt jump shot from 6 ft"
"157","7:52.0","Defensive rebound by W. Barton","","39-31","",""
"158","7:41.0","J. Green misses 2-pt layup from 6 ft (block by O. Porter)","","39-31","",""
"159","7:38.0","Offensive rebound by J. Green","","39-31","",""
"160","7:35.0","J. Green makes 2-pt layup at rim","+2","41-31","",""
"161","7:32.0","","","41-31","","Turnover by D. Green (lost ball; steal by D. Cousins)"
"162","7:25.0","M. Morris makes 2-pt layup from 6 ft","+2","43-31","",""
"163","7:03.0","","","43-33","+2","N. Bjelica makes 2-pt layup from 6 ft (assist by J. Poole)"
"164","6:43.0","Turnover by M. Morris (lost ball; steal by J. Poole)","","43-33","",""
"165","6:40.0","","","43-35","+2","J. Poole makes 2-pt layup from 6 ft"
"166","6:26.0","B. Forbes misses 3-pt jump shot from 26 ft","","43-35","",""
"167","6:24.0","","","43-35","","Defensive rebound by A. Wiggins"
"168","6:15.0","","","43-35","","A. Wiggins misses 2-pt jump shot from 14 ft"
"169","6:12.0","Defensive rebound by M. Morris","","43-35","",""
"170","6:02.0","Turnover by W. Barton (out of bounds lost ball)","","43-35","",""
"171","6:02.0","A. Gordon enters the game for D. Cousins","","43-35","",""
"172","6:02.0","N. Jokic enters the game for J. Green","","43-35","",""
"173","6:02.0","","","43-35","","S. Curry enters the game for N. Bjelica"
"174","6:02.0","","","43-35","","K. Thompson enters the game for O. Porter"
"175","5:55.0","Violation by Team (kicked ball)","","43-35","",""
"176","5:45.0","","","43-37","+2","K. Thompson makes 2-pt layup from 4 ft (assist by J. Poole)"
"177","5:43.0","Technical foul by M. Morris","","43-37","",""
"178","5:43.0","","","43-38","+1","S. Curry makes technical free throw"
"179","5:43.0","J. Green enters the game for B. Forbes","","43-38","",""
"180","5:27.0","W. Barton misses 2-pt layup from 7 ft","","43-38","",""
"181","5:24.0","","","43-38","","Defensive rebound by D. Green"
"182","5:13.0","","","43-40","+2","K. Thompson makes 2-pt jump shot from 6 ft (assist by J. Poole)"
"183","5:01.0","Personal foul by D. Green (drawn by N. Jokic)","","43-40","",""
"184","4:46.0","A. Gordon misses 2-pt jump shot from 16 ft","","43-40","",""
"185","4:45.0","Offensive rebound by Team","","43-40","",""
"186","4:45.0","Turnover by Team (shot clock)","","43-40","",""
"187","4:36.0","","","43-42","+2","S. Curry makes 2-pt layup from 6 ft"
"188","4:25.0","Offensive foul by A. Gordon (drawn by D. Green)","","43-42","",""
"189","4:25.0","Turnover by A. Gordon (offensive foul)","","43-42","",""
"190","4:11.0","","","43-44","+2","S. Curry makes 2-pt layup from 5 ft"
"191","4:11.0","Denver full timeout","","43-44","",""
"192","3:55.0","Personal foul by D. Green (drawn by N. Jokic)","","43-44","",""
"193","3:49.0","N. Jokic misses 3-pt jump shot from 26 ft","","43-44","",""
"194","3:47.0","","","43-44","","Defensive rebound by S. Curry"
"195","3:38.0","","","43-47","+3","J. Poole makes 3-pt jump shot from 30 ft (assist by D. Green)"
"196","3:21.0","W. Barton misses 3-pt jump shot from 27 ft","","43-47","",""
"197","3:19.0","Offensive rebound by J. Green","","43-47","",""
"198","3:16.0","W. Barton misses 2-pt jump shot from 11 ft","","43-47","",""
"199","3:14.0","Offensive rebound by W. Barton","","43-47","",""
"200","3:12.0","W. Barton makes 2-pt layup at rim","+2","45-47","",""
"201","2:57.0","","","45-49","+2","J. Poole makes 2-pt layup from 5 ft (assist by D. Green)"
"202","2:48.0","M. Morris makes 2-pt jump shot from 16 ft (assist by N. Jokic)","+2","47-49","",""
"203","2:48.0","Shooting foul by S. Curry (drawn by M. Morris)","","47-49","",""
"204","2:48.0","M. Morris misses free throw 1 of 1","","47-49","",""
"205","2:47.0","Offensive rebound by Team","","47-49","",""
"206","2:41.0","N. Jokic misses 2-pt hook shot from 12 ft (block by D. Green)","","47-49","",""
"207","2:39.0","","","47-49","","Defensive rebound by S. Curry"
"208","2:32.0","Violation by Team (kicked ball)","","47-49","",""
"209","2:32.0","","","47-49","","Golden State full timeout"
"210","2:22.0","","","47-52","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green)"
"211","2:03.0","J. Green misses 3-pt jump shot from 23 ft","","47-52","",""
"212","2:00.0","","","47-52","","Defensive rebound by J. Poole"
"213","1:50.0","","","47-52","","K. Thompson misses 2-pt jump shot from 11 ft"
"214","1:46.0","Defensive rebound by W. Barton","","47-52","",""
"215","1:34.0","M. Morris misses 3-pt jump shot from 26 ft","","47-52","",""
"216","1:29.0","","","47-52","","Defensive rebound by D. Green"
"217","1:23.0","","","47-54","+2","K. Thompson makes 2-pt layup from 4 ft (assist by J. Poole)"
"218","1:06.0","N. Jokic makes 2-pt layup from 5 ft","+2","49-54","",""
"219","1:00.0","","","49-57","+3","S. Curry makes 3-pt jump shot from 29 ft"
"220","0:49.0","M. Morris misses 2-pt jump shot from 16 ft","","49-57","",""
"221","0:46.0","Offensive rebound by N. Jokic","","49-57","",""
"222","0:46.0","Shooting foul by A. Wiggins (drawn by N. Jokic)","","49-57","",""
"223","0:46.0","N. Jokic makes free throw 1 of 2","+1","50-57","",""
"224","0:46.0","A. Rivers enters the game for M. Morris","","50-57","",""
"225","0:46.0","","","50-57","","K. Looney enters the game for D. Green"
"226","0:46.0","N. Jokic makes free throw 2 of 2","+1","51-57","",""
"227","0:35.0","","","51-57","","J. Poole misses 3-pt jump shot from 28 ft"
"228","0:33.0","Defensive rebound by A. Rivers","","51-57","",""
"229","0:23.0","W. Barton misses 2-pt jump shot from 20 ft","","51-57","",""
"230","0:21.0","","","51-57","","Defensive rebound by J. Poole"
"231","0:08.0","","","51-57","","Personal take foul by A. Rivers (drawn by S. Curry)"
