"","Time","Golden State","","Score","","Denver"
"104","0:01.0","K. Thompson enters the game for G. Payton","","34-32","",""
"105","0:01.0","","","34-32","","F. Campazzo enters the game for D. Cousins"
"106","0:01.0","S. Curry misses 3-pt jump shot from 26 ft","","34-32","",""
"107","0:00.0","Offensive rebound by Team","","34-32","",""
"108","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"109","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"110","Time","Golden State","","Score","","Denver"
"111","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"112","11:45.0","J. Poole makes 3-pt jump shot from 24 ft (assist by N. Bjelica)","+3","37-32","",""
"113","11:28.0","","","37-35","+3","B. Forbes makes 3-pt jump shot from 23 ft (assist by A. Rivers)"
"114","11:28.0","Loose ball foul by N. Bjelica (drawn by D. Cousins)","","37-35","",""
"115","11:28.0","Instant Replay (Request: Ruling Stands)","","37-35","",""
"116","11:28.0","","","37-36","+1","D. Cousins makes free throw 1 of 1"
"117","11:09.0","K. Thompson makes 3-pt jump shot from 26 ft","+3","40-36","",""
"118","10:47.0","","","40-38","+2","D. Cousins makes 2-pt dunk from 1 ft"
"119","10:21.0","K. Thompson misses 3-pt jump shot from 26 ft","","40-38","",""
"120","10:17.0","","","40-38","","Defensive rebound by D. Cousins"
"121","10:13.0","","","40-38","","B. Hyland misses 3-pt jump shot from 27 ft (block by K. Thompson)"
"122","10:09.0","Defensive rebound by A. Iguodala","","40-38","",""
"123","10:06.0","Personal foul by B. Hyland (drawn by K. Thompson)","","40-38","",""
"124","9:57.0","N. Bjelica misses 2-pt layup from 7 ft (block by A. Rivers)","","40-38","",""
"125","9:54.0","","","40-38","","Defensive rebound by A. Rivers"
"126","9:52.0","","","40-38","","Turnover by A. Rivers (bad pass; steal by O. Porter)"
"127","9:43.0","J. Poole makes 3-pt jump shot from 23 ft","+3","43-38","",""
"128","9:22.0","","","43-40","+2","D. Cousins makes 2-pt layup from 2 ft (assist by B. Hyland)"
"129","8:57.0","Turnover by A. Iguodala (bad pass; steal by A. Rivers)","","43-40","",""
"130","8:45.0","","","43-42","+2","J. Green makes 2-pt layup from 2 ft (assist by B. Hyland)"
"131","8:34.0","J. Poole makes 2-pt layup from 4 ft","+2","45-42","",""
