"","Time","Golden State","","Score","","Denver"
"352","3:11.0","","","81-92","+3","A. Rivers makes 3-pt jump shot from 23 ft (assist by B. Hyland)"
"353","3:09.0","Golden State full timeout","","81-92","",""
"354","3:09.0","A. Iguodala enters the game for G. Payton","","81-92","",""
"355","3:09.0","K. Thompson enters the game for J. Poole","","81-92","",""
"356","3:09.0","","","81-92","","B. Forbes enters the game for M. Morris"
"357","3:00.0","Offensive foul by O. Porter (drawn by B. Hyland)","","81-92","",""
"358","3:00.0","Turnover by O. Porter (offensive foul)","","81-92","",""
"359","2:44.0","","","81-92","","Shooting foul by O. Porter (drawn by A. Gordon)"
"360","2:44.0","","","81-93","+1","A. Gordon makes free throw 1 of 2"
"361","2:44.0","","","81-94","+1","A. Gordon makes free throw 2 of 2"
"362","2:32.0","S. Curry misses 2-pt jump shot from 19 ft","","81-94","",""
"363","2:30.0","","","81-94","","Defensive rebound by A. Gordon"
"364","2:12.0","","","81-94","","A. Rivers misses 2-pt layup from 6 ft (block by S. Curry)"
"365","2:12.0","Defensive rebound by S. Curry","","81-94","",""
"366","2:11.0","Personal take foul by N. Jokic (drawn by S. Curry)","","81-94","",""
"367","2:11.0","S. Curry misses free throw 1 of 2","","81-94","",""
"368","2:11.0","Offensive rebound by Team","","81-94","",""
"369","2:11.0","","","81-94","","J. Green enters the game for A. Gordon"
"370","2:11.0","S. Curry makes free throw 2 of 2","+1","82-94","",""
"371","2:03.0","","","82-94","","B. Forbes misses 3-pt jump shot from 25 ft"
"372","1:58.0","Defensive rebound by D. Green","","82-94","",""
"373","1:55.0","D. Green makes 2-pt layup from 3 ft","+2","84-94","",""
"374","1:55.0","Shooting foul by J. Green (drawn by D. Green)","","84-94","",""
"375","1:55.0","D. Green makes free throw 1 of 1","+1","85-94","",""
"376","1:46.0","","","85-94","","Turnover by N. Jokic (lost ball; steal by D. Green)"
"377","1:41.0","S. Curry makes 3-pt jump shot from 32 ft","+3","88-94","",""
"378","1:17.0","","","88-96","+2","N. Jokic makes 2-pt jump shot from 18 ft (assist by A. Rivers)"
"379","0:52.0","K. Thompson misses 2-pt jump shot from 20 ft","","88-96","",""
"380","0:50.0","","","88-96","","Defensive rebound by J. Green"
"381","0:42.0","","","88-96","","B. Hyland misses 3-pt jump shot from 27 ft"
"382","0:39.0","Defensive rebound by D. Green","","88-96","",""
"383","0:36.0","Personal foul by A. Rivers (drawn by S. Curry)","","88-96","",""
"384","0:36.0","S. Curry misses free throw 1 of 2","","88-96","",""
"385","0:36.0","Offensive rebound by Team","","88-96","",""
"386","0:36.0","A. Wiggins enters the game for K. Thompson","","88-96","",""
"387","0:36.0","S. Curry makes free throw 2 of 2","+1","89-96","",""
"388","0:23.0","","","89-96","","Shooting foul by D. Green (drawn by N. Jokic)"
"389","0:23.0","","","89-97","+1","N. Jokic makes free throw 1 of 2"
"390","0:23.0","J. Poole enters the game for D. Green","","89-97","",""
"391","0:23.0","","","89-97","","F. Campazzo enters the game for B. Forbes"
"392","0:23.0","","","89-97","","A. Gordon enters the game for J. Green"
"393","0:23.0","","","89-97","","J. Green enters the game for B. Hyland"
"394","0:23.0","","","89-98","+1","N. Jokic makes free throw 2 of 2"
"395","0:05.0","A. Wiggins misses 2-pt jump shot from 15 ft","","89-98","",""
"396","0:02.0","","","89-98","","Defensive rebound by N. Jokic"
"397","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"398","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"399","Time","Golden State","","Score","","Denver"
"400","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"401","11:43.0","K. Thompson misses 3-pt jump shot from 29 ft","","89-98","",""
"402","11:41.0","","","89-98","","Defensive rebound by Team"
"403","11:22.0","","","89-100","+2","J. Green makes 2-pt dunk from 2 ft (assist by B. Hyland)"
"404","11:08.0","S. Curry makes 2-pt layup from 3 ft","+2","91-100","",""
"405","10:51.0","Violation by Team (kicked ball)","","91-100","",""
"406","10:45.0","","","91-100","","Turnover by D. Cousins (lost ball; steal by J. Poole)"
"407","10:43.0","Personal take foul by J. Green (drawn by J. Poole)","","91-100","",""
"408","10:33.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Wiggins)","+3","94-100","",""
"409","10:15.0","","","94-100","","B. Hyland misses 2-pt layup from 7 ft (block by A. Wiggins)"
"410","10:12.0","","","94-100","","Offensive rebound by B. Hyland"
"411","10:10.0","","","94-100","","Turnover by A. Rivers (lost ball; steal by S. Curry)"
"412","10:07.0","Personal take foul by D. Cousins (drawn by S. Curry)","","94-100","",""
"413","9:54.0","A. Wiggins misses 2-pt jump shot from 3 ft","","94-100","",""
"414","9:53.0","","","94-100","","Defensive rebound by B. Hyland"
"415","9:51.0","","","94-100","","Offensive foul by J. Green (drawn by J. Poole)"
"416","9:51.0","","","94-100","","Turnover by J. Green (offensive foul)"
"417","9:51.0","","","94-100","","Violation by Team (delay of game)"
"418","9:36.0","K. Thompson misses 3-pt jump shot from 25 ft","","94-100","",""
"419","9:32.0","","","94-100","","Defensive rebound by D. Cousins"
"420","9:20.0","","","94-102","+2","D. Cousins makes 2-pt layup from 5 ft (assist by W. Barton)"
"421","9:20.0","","","94-102","","Shooting foul by A. Iguodala (drawn by D. Cousins)"
"422","9:20.0","","","94-102","","D. Cousins misses free throw 1 of 1"
"423","9:17.0","","","94-102","","Offensive rebound by Team"
"424","9:07.0","","","94-102","","Shooting foul by A. Iguodala (drawn by D. Cousins)"
"425","9:07.0","","","94-103","+1","D. Cousins makes free throw 1 of 2"
"426","9:07.0","","","94-104","+1","D. Cousins makes free throw 2 of 2"
"427","8:51.0","S. Curry makes 3-pt jump shot from 26 ft","+3","97-104","",""
"428","8:51.0","Shooting foul by W. Barton (drawn by S. Curry)","","97-104","",""
"429","8:51.0","S. Curry makes free throw 1 of 1","+1","98-104","",""
"430","8:33.0","","","98-106","+2","D. Cousins makes 2-pt jump shot from 14 ft"
"431","8:18.0","A. Wiggins misses 3-pt jump shot from 24 ft","","98-106","",""
"432","8:15.0","","","98-106","","Defensive rebound by B. Hyland"
"433","8:04.0","","","98-108","+2","B. Hyland makes 2-pt layup from 3 ft"
"434","8:04.0","Golden State full timeout","","98-108","",""
"435","8:04.0","D. Green enters the game for A. Iguodala","","98-108","",""
"436","7:53.0","D. Green makes 2-pt layup from 4 ft (assist by S. Curry)","+2","100-108","",""
"437","7:22.0","","","100-108","","B. Hyland misses 2-pt jump shot from 15 ft"
"438","7:19.0","Defensive rebound by A. Wiggins","","100-108","",""
"439","7:17.0","K. Thompson misses 3-pt jump shot from 24 ft","","100-108","",""
"440","7:15.0","Offensive rebound by K. Thompson","","100-108","",""
"441","7:15.0","Shooting foul by A. Rivers (drawn by K. Thompson)","","100-108","",""
"442","7:15.0","K. Thompson misses free throw 1 of 2","","100-108","",""
"443","7:15.0","Offensive rebound by Team","","100-108","",""
"444","7:15.0","","","100-108","","A. Gordon enters the game for D. Cousins"
"445","7:15.0","","","100-108","","N. Jokic enters the game for J. Green"
"446","7:15.0","","","100-108","","M. Morris enters the game for B. Hyland"
"447","7:15.0","K. Thompson makes free throw 2 of 2","+1","101-108","",""
"448","6:58.0","","","101-108","","N. Jokic misses 3-pt jump shot from 25 ft"
"449","6:55.0","Defensive rebound by S. Curry","","101-108","",""
"450","6:51.0","S. Curry misses 3-pt jump shot from 26 ft","","101-108","",""
"451","6:48.0","","","101-108","","Defensive rebound by W. Barton"
"452","6:33.0","","","101-110","+2","A. Gordon makes 2-pt layup from 2 ft (assist by N. Jokic)"
"453","6:33.0","","","101-110","","Shooting foul by K. Thompson (drawn by A. Gordon)"
"454","6:33.0","","","101-111","+1","A. Gordon makes free throw 1 of 1"
"455","6:25.0","Personal take foul by N. Jokic (drawn by J. Poole)","","101-111","",""
"456","6:25.0","J. Poole makes free throw 1 of 2","+1","102-111","",""
"457","6:25.0","J. Poole makes free throw 2 of 2","+1","103-111","",""
"458","6:00.0","","","103-113","+2","A. Gordon makes 2-pt jump shot from 12 ft (assist by M. Morris)"
"459","5:44.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry)","+3","106-113","",""
"460","5:25.0","","","106-113","","Personal foul by D. Green (drawn by N. Jokic)"
"461","5:13.0","","","106-115","+2","M. Morris makes 2-pt jump shot from 18 ft"
"462","4:57.0","S. Curry makes 2-pt layup from 4 ft","+2","108-115","",""
"463","4:27.0","","","108-115","","N. Jokic misses 2-pt jump shot from 16 ft"
"464","4:26.0","Defensive rebound by D. Green","","108-115","",""
"465","4:14.0","A. Wiggins makes 2-pt dunk from 2 ft (assist by D. Green)","+2","110-115","",""
"466","3:48.0","","","110-115","","Turnover by M. Morris (bad pass; steal by K. Thompson)"
"467","3:45.0","S. Curry misses 2-pt jump shot from 23 ft","","110-115","",""
"468","3:40.0","Offensive rebound by J. Poole","","110-115","",""
"469","3:32.0","K. Thompson makes 2-pt jump shot from 14 ft (assist by J. Poole)","+2","112-115","",""
"470","3:31.0","","","112-115","","Denver full timeout"
"471","3:17.0","","","112-117","+2","N. Jokic makes 2-pt jump shot from 7 ft"
"472","3:16.0","Golden State full timeout","","112-117","",""
"473","2:58.0","Shooting foul by W. Barton (drawn by S. Curry)","","112-117","",""
"474","2:58.0","S. Curry makes free throw 1 of 2","+1","113-117","",""
"475","2:58.0","S. Curry makes free throw 2 of 2","+1","114-117","",""
"476","2:39.0","","","114-117","","A. Gordon misses 2-pt dunk from 5 ft"
"477","2:34.0","Defensive rebound by A. Wiggins","","114-117","",""
"478","2:28.0","A. Wiggins makes 2-pt dunk from 2 ft (assist by S. Curry)","+2","116-117","",""
"479","2:05.0","","","116-117","","Personal foul by D. Green (drawn by A. Gordon)"
"480","2:05.0","O. Porter enters the game for D. Green","","116-117","",""
"481","2:05.0","","","116-118","+1","A. Gordon makes free throw 1 of 2"
"482","2:05.0","","","116-119","+1","A. Gordon makes free throw 2 of 2"
"483","1:47.0","S. Curry makes 2-pt layup from 5 ft","+2","118-119","",""
"484","1:47.0","Shooting foul by A. Gordon (drawn by S. Curry)","","118-119","",""
"485","1:47.0","S. Curry makes free throw 1 of 1","+1","119-119","",""
"486","1:37.0","","","119-119","","Turnover by M. Morris (out of bounds lost ball)"
"487","1:21.0","S. Curry makes 2-pt jump shot from 22 ft","+2","121-119","",""
"488","1:06.0","","","121-121","+2","N. Jokic makes 2-pt layup from 2 ft (assist by M. Morris)"
"489","0:45.0","K. Thompson misses 3-pt jump shot from 24 ft","","121-121","",""
"490","0:42.0","Offensive rebound by A. Wiggins","","121-121","",""
"491","0:42.0","A. Wiggins misses 2-pt dunk at rim","","121-121","",""
"492","0:42.0","","","121-121","","Defensive rebound by Team"
"493","0:42.0","K. Looney enters the game for O. Porter","","121-121","",""
"494","0:33.0","","","121-123","+2","M. Morris makes 2-pt jump shot from 8 ft"
"495","0:33.0","Golden State full timeout","","121-123","",""
"496","0:33.0","O. Porter enters the game for K. Looney","","121-123","",""
"497","0:33.0","","","121-123","","J. Green enters the game for N. Jokic"
"498","0:31.0","Turnover by O. Porter (bad pass; steal by A. Rivers)","","121-123","",""
"499","0:22.0","","","121-123","","Denver full timeout"
"500","0:22.0","K. Looney enters the game for O. Porter","","121-123","",""
"501","0:22.0","","","121-123","","N. Jokic enters the game for A. Gordon"
"502","0:08.0","","","121-126","+3","W. Barton makes 3-pt jump shot from 23 ft (assist by N. Jokic)"
"503","0:07.0","Golden State full timeout","","121-126","",""
"504","0:07.0","O. Porter enters the game for K. Looney","","121-126","",""
"505","0:07.0","","","121-126","","A. Gordon enters the game for W. Barton"
"506","0:06.0","S. Curry misses 3-pt jump shot from 24 ft","","121-126","",""
"507","0:02.0","","","121-126","","Defensive rebound by M. Morris"
"508","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
