"","Time","Golden State","","Score","","Dallas"
"126","11:02.0","J. Kuminga makes 2-pt jump shot from 9 ft","+2","29-29","",""
"127","10:57.0","","","29-29","","Personal foul by J. Poole (drawn by J. Brunson)"
"128","10:50.0","","","29-29","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"129","10:47.0","Defensive rebound by J. Kuminga","","29-29","",""
"130","10:38.0","M. Moody makes 2-pt jump shot from 11 ft (assist by J. Kuminga)","+2","31-29","",""
"131","10:20.0","","","31-32","+3","D. Bertans makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)"
"132","10:04.0","J. Poole misses 3-pt jump shot from 30 ft","","31-32","",""
"133","10:01.0","","","31-32","","Defensive rebound by D. Bertans"
"134","9:49.0","","","31-34","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by S. Dinwiddie)"
"135","9:32.0","J. Kuminga misses 3-pt jump shot from 23 ft","","31-34","",""
"136","9:29.0","","","31-34","","Defensive rebound by D. Bertans"
"137","9:20.0","","","31-34","","S. Dinwiddie misses 2-pt jump shot from 2 ft (block by K. Looney)"
"138","9:18.0","Defensive rebound by K. Looney","","31-34","",""
"139","9:12.0","J. Poole misses 3-pt jump shot from 26 ft","","31-34","",""
"140","9:08.0","","","31-34","","Defensive rebound by D. Finney-Smith"
"141","8:49.0","","","31-34","","D. Bertans misses 2-pt layup from 3 ft"
"142","8:47.0","","","31-34","","Offensive rebound by D. Bertans"
"143","8:45.0","","","31-37","+3","R. Bullock makes 3-pt jump shot from 22 ft (assist by D. Bertans)"
"144","8:45.0","Golden State full timeout","","31-37","",""
"145","8:28.0","J. Kuminga misses 2-pt jump shot from 12 ft","","31-37","",""
"146","8:25.0","","","31-37","","Defensive rebound by D. Bertans"
"147","8:14.0","","","31-39","+2","D. Bertans makes 2-pt dunk at rim (assist by S. Dinwiddie)"
"148","7:57.0","Turnover by J. Poole (bad pass; steal by S. Dinwiddie)","","31-39","",""
"149","7:52.0","","","31-39","","R. Bullock misses 3-pt jump shot from 23 ft"
"150","7:50.0","Defensive rebound by J. Kuminga","","31-39","",""
"151","7:32.0","J. Kuminga makes 2-pt jump shot from 5 ft (assist by K. Thompson)","+2","33-39","",""
"152","7:22.0","","","33-41","+2","J. Brunson makes 2-pt jump shot from 4 ft"
"153","7:09.0","J. Poole misses 3-pt jump shot from 25 ft","","33-41","",""
"154","7:08.0","","","33-41","","Defensive rebound by D. Bertans"
"155","6:51.0","","","33-43","+2","J. Brunson makes 2-pt layup from 1 ft"
"156","6:25.0","J. Kuminga misses 2-pt jump shot from 15 ft","","33-43","",""
"157","6:22.0","","","33-43","","Defensive rebound by J. Brunson"
"158","6:19.0","","","33-43","","Shooting foul by J. Kuminga (drawn by S. Dinwiddie)"
"159","6:19.0","","","33-44","+1","S. Dinwiddie makes free throw 1 of 2"
"160","6:19.0","S. Curry enters the game for J. Kuminga","","33-44","",""
"161","6:19.0","D. Green enters the game for K. Looney","","33-44","",""
"162","6:19.0","A. Wiggins enters the game for J. Poole","","33-44","",""
"163","6:19.0","","","33-44","","L. Doncic enters the game for J. Brunson"
"164","6:19.0","","","33-44","","F. Ntilikina enters the game for R. Bullock"
"165","6:19.0","","","33-45","+1","S. Dinwiddie makes free throw 2 of 2"
"166","6:07.0","Turnover by S. Curry (bad pass; steal by L. Doncic)","","33-45","",""
"167","6:07.0","","","33-45","","Personal take foul by K. Thompson (drawn by F. Ntilikina)"
"168","6:07.0","","","33-45","","J. Brunson enters the game for S. Dinwiddie"
"169","6:02.0","","","33-45","","Personal foul by A. Wiggins (drawn by D. Finney-Smith)"
"170","6:02.0","","","33-45","","D. Finney-Smith misses free throw 1 of 2"
"171","6:02.0","","","33-45","","Offensive rebound by Team"
"172","6:02.0","D. Lee enters the game for K. Thompson","","33-45","",""
"173","6:02.0","","","33-45","","M. Kleber enters the game for D. Bertans"
"174","6:02.0","","","33-46","+1","D. Finney-Smith makes free throw 2 of 2"
"175","5:50.0","D. Lee misses 3-pt jump shot from 24 ft","","33-46","",""
"176","5:46.0","","","33-46","","Defensive rebound by L. Doncic"
"177","5:35.0","","","33-48","+2","D. Finney-Smith makes 2-pt layup from 1 ft (assist by M. Kleber)"
"178","5:27.0","Shooting foul by F. Ntilikina (drawn by D. Green)","","33-48","",""
"179","5:27.0","D. Green makes free throw 1 of 2","+1","34-48","",""
"180","5:27.0","D. Green makes free throw 2 of 2","+1","35-48","",""
"181","5:15.0","","","35-48","","L. Doncic misses 3-pt jump shot from 27 ft"
"182","5:11.0","Defensive rebound by D. Lee","","35-48","",""
"183","4:57.0","S. Curry misses 2-pt layup from 5 ft","","35-48","",""
"184","4:55.0","","","35-48","","Defensive rebound by L. Doncic"
"185","4:35.0","","","35-51","+3","F. Ntilikina makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith)"
"186","4:08.0","M. Moody misses 2-pt jump shot from 8 ft (block by L. Doncic)","","35-51","",""
"187","4:03.0","Offensive rebound by D. Lee","","35-51","",""
"188","4:03.0","D. Lee makes 2-pt layup at rim","+2","37-51","",""
"189","3:50.0","","","37-54","+3","J. Brunson makes 3-pt jump shot from 25 ft (assist by L. Doncic)"
"190","3:41.0","S. Curry makes 2-pt jump shot from 17 ft (assist by D. Green)","+2","39-54","",""
"191","3:41.0","Shooting foul by F. Ntilikina (drawn by S. Curry)","","39-54","",""
"192","3:41.0","J. Poole enters the game for D. Lee","","39-54","",""
"193","3:41.0","K. Thompson enters the game for M. Moody","","39-54","",""
"194","3:41.0","","","39-54","","R. Bullock enters the game for D. Finney-Smith"
"195","3:41.0","","","39-54","","S. Dinwiddie enters the game for F. Ntilikina"
"196","3:41.0","S. Curry makes free throw 1 of 1","+1","40-54","",""
"197","3:30.0","","","40-54","","L. Doncic misses 2-pt layup from 5 ft (block by D. Green)"
"198","3:28.0","Defensive rebound by S. Curry","","40-54","",""
"199","3:26.0","D. Green misses 2-pt layup from 4 ft (block by M. Kleber)","","40-54","",""
"200","3:23.0","","","40-54","","Defensive rebound by J. Brunson"
"201","3:22.0","","","40-54","","Shooting foul by S. Curry (drawn by L. Doncic)"
"202","3:22.0","","","40-55","+1","L. Doncic makes free throw 1 of 2"
"203","3:22.0","","","40-56","+1","L. Doncic makes free throw 2 of 2"
"204","3:11.0","D. Green makes 2-pt layup from 3 ft (assist by S. Curry)","+2","42-56","",""
"205","3:11.0","Shooting foul by M. Kleber (drawn by D. Green)","","42-56","",""
"206","3:11.0","D. Green misses free throw 1 of 1","","42-56","",""
"207","3:09.0","","","42-56","","Defensive rebound by L. Doncic"
"208","2:50.0","","","42-56","","R. Bullock misses 3-pt jump shot from 23 ft (block by D. Green)"
"209","2:46.0","","","42-56","","Offensive rebound by J. Brunson"
"210","2:44.0","","","42-56","","L. Doncic misses 2-pt jump shot from 14 ft"
"211","2:42.0","Defensive rebound by S. Curry","","42-56","",""
"212","2:39.0","S. Curry misses 3-pt jump shot from 26 ft","","42-56","",""
"213","2:36.0","","","42-56","","Defensive rebound by L. Doncic"
"214","2:32.0","","","42-58","+2","L. Doncic makes 2-pt layup from 3 ft"
"215","2:19.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green)","+3","45-58","",""
"216","2:05.0","","","45-58","","Personal foul by J. Poole (drawn by J. Brunson)"
"217","2:05.0","","","45-58","","Dallas full timeout"
"218","2:05.0","K. Looney enters the game for J. Poole","","45-58","",""
"219","2:05.0","","","45-58","","D. Finney-Smith enters the game for M. Kleber"
"220","2:05.0","","","45-59","+1","J. Brunson makes free throw 1 of 2"
"221","2:05.0","","","45-60","+1","J. Brunson makes free throw 2 of 2"
"222","1:49.0","S. Curry makes 2-pt jump shot from 10 ft (assist by A. Wiggins)","+2","47-60","",""
"223","1:33.0","","","47-62","+2","L. Doncic makes 2-pt layup from 1 ft"
"224","1:20.0","A. Wiggins misses 3-pt jump shot from 26 ft","","47-62","",""
"225","1:17.0","","","47-62","","Defensive rebound by D. Finney-Smith"
"226","0:59.0","","","47-62","","S. Dinwiddie misses 3-pt jump shot from 22 ft"
"227","0:57.0","Defensive rebound by K. Looney","","47-62","",""
"228","0:45.0","Turnover by K. Looney (out of bounds lost ball)","","47-62","",""
"229","0:31.0","","","47-62","","L. Doncic misses 3-pt jump shot from 28 ft"
"230","0:28.0","Defensive rebound by D. Green","","47-62","",""
"231","0:06.0","Turnover by S. Curry (dbl dribble)","","47-62","",""
"232","0:06.0","M. Moody enters the game for S. Curry","","47-62","",""
"233","0:06.0","J. Toscano-Anderson enters the game for K. Thompson","","47-62","",""
"234","0:01.0","","","47-62","","L. Doncic misses 2-pt jump shot from 5 ft"
"235","0:01.0","Defensive rebound by K. Looney","","47-62","",""
"236","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"237","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"238","Time","Golden State","","Score","","Dallas"
"239","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"240","11:38.0","","","47-64","+2","J. Brunson makes 2-pt jump shot from 11 ft"
"241","11:14.0","K. Looney misses 2-pt hook shot from 2 ft","","47-64","",""
"242","11:12.0","Offensive rebound by A. Wiggins","","47-64","",""
"243","11:06.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green)","+3","50-64","",""
"244","10:41.0","","","50-67","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by R. Bullock)"
"245","10:21.0","A. Wiggins misses 2-pt layup from 3 ft","","50-67","",""
"246","10:20.0","Offensive rebound by Team","","50-67","",""
"247","10:20.0","","","50-67","","Loose ball foul by L. Doncic (drawn by A. Wiggins)"
"248","10:08.0","S. Curry misses 2-pt jump shot from 15 ft","","50-67","",""
"249","10:05.0","","","50-67","","Defensive rebound by L. Doncic"
"250","9:52.0","","","50-70","+3","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson)"
"251","9:37.0","D. Green misses 3-pt jump shot from 25 ft","","50-70","",""
"252","9:35.0","","","50-70","","Defensive rebound by D. Finney-Smith"
"253","9:24.0","","","50-72","+2","L. Doncic makes 2-pt jump shot from 5 ft"
"254","9:24.0","Golden State full timeout","","50-72","",""
"255","9:24.0","J. Poole enters the game for K. Looney","","50-72","",""
"256","9:14.0","S. Curry misses 3-pt jump shot from 26 ft","","50-72","",""
"257","9:12.0","","","50-72","","Defensive rebound by J. Brunson"
"258","9:02.0","","","50-72","","J. Brunson misses 2-pt hook shot from 4 ft"
"259","8:58.0","Defensive rebound by D. Green","","50-72","",""
"260","8:55.0","K. Thompson misses 3-pt jump shot from 29 ft","","50-72","",""
"261","8:54.0","Offensive rebound by A. Wiggins","","50-72","",""
"262","8:54.0","Shooting foul by D. Finney-Smith (drawn by A. Wiggins)","","50-72","",""
"263","8:54.0","A. Wiggins makes free throw 1 of 2","+1","51-72","",""
"264","8:54.0","A. Wiggins makes free throw 2 of 2","+1","52-72","",""
"265","8:42.0","","","52-75","+3","L. Doncic makes 3-pt jump shot from 24 ft (assist by J. Brunson)"
"266","8:30.0","K. Thompson makes 2-pt jump shot from 13 ft (assist by S. Curry)","+2","54-75","",""
"267","8:30.0","Shooting foul by J. Brunson (drawn by K. Thompson)","","54-75","",""
"268","8:30.0","K. Thompson misses free throw 1 of 1","","54-75","",""
"269","8:28.0","","","54-75","","Defensive rebound by L. Doncic"
"270","8:12.0","","","54-78","+3","R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith)"
"271","7:47.0","A. Wiggins misses 2-pt layup from 2 ft","","54-78","",""
"272","7:45.0","","","54-78","","Defensive rebound by D. Finney-Smith"
"273","7:30.0","","","54-78","","L. Doncic misses 2-pt jump shot from 17 ft (block by J. Poole)"
"274","7:27.0","Defensive rebound by A. Wiggins","","54-78","",""
"275","7:26.0","A. Wiggins makes 2-pt dunk from 1 ft","+2","56-78","",""
"276","7:08.0","","","56-78","","Personal foul by J. Poole (drawn by D. Finney-Smith)"
"277","7:08.0","","","56-78","","M. Kleber enters the game for D. Powell"
"278","6:57.0","","","56-81","+3","L. Doncic makes 3-pt jump shot from 26 ft"
"279","6:46.0","Shooting foul by M. Kleber (drawn by D. Green)","","56-81","",""
"280","6:46.0","D. Green misses free throw 1 of 2","","56-81","",""
"281","6:46.0","Offensive rebound by Team","","56-81","",""
"282","6:46.0","","","56-81","","F. Ntilikina enters the game for D. Finney-Smith"
"283","6:46.0","D. Green misses free throw 2 of 2","","56-81","",""
"284","6:44.0","","","56-81","","Defensive rebound by L. Doncic"
"285","6:36.0","","","56-81","","L. Doncic misses 3-pt jump shot from 25 ft"
"286","6:33.0","Defensive rebound by D. Green","","56-81","",""
"287","6:23.0","A. Wiggins makes 2-pt jump shot from 14 ft (assist by D. Green)","+2","58-81","",""
"288","6:12.0","","","58-81","","J. Brunson misses 2-pt jump shot from 19 ft"
"289","6:09.0","Defensive rebound by K. Thompson","","58-81","",""
"290","6:01.0","S. Curry misses 3-pt jump shot from 25 ft (block by J. Brunson)","","58-81","",""
