"","Time","Dallas","","Score","","Phoenix"
"131","8:23.0","","","34-47","","Personal foul by J. Brunson (drawn by J. Crowder)"
"132","8:23.0","L. Doncic enters the game for D. Bertans","","34-47","",""
"133","8:23.0","J. Green enters the game for J. Brunson","","34-47","",""
"134","8:23.0","","","34-47","","D. Ayton enters the game for J. McGee"
"135","8:23.0","","","34-47","","M. Bridges enters the game for L. Shamet"
"136","8:17.0","Flagrant foul type 1 by J. Crowder (drawn by L. Doncic)","","34-47","",""
"137","8:17.0","","","34-47","","Turnover by J. Crowder (turnover)"
"138","8:17.0","","","34-47","","Instant Replay (Request: Ruling Stands)"
"139","8:17.0","L. Doncic makes flagrant free throw 1 of 2","+1","35-47","",""
"140","8:17.0","L. Doncic misses flagrant free throw 2 of 2","","35-47","",""
"141","8:17.0","Offensive rebound by Team","","35-47","",""
"142","8:17.0","","","35-47","","L. Shamet enters the game for C. Johnson"
"143","7:54.0","M. Kleber makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie)","+3","38-47","",""
"144","7:37.0","","","38-49","+2","C. Payne makes 2-pt layup from 2 ft"
"145","7:22.0","L. Doncic misses 3-pt jump shot from 26 ft","","38-49","",""
"146","7:20.0","","","38-49","","Defensive rebound by M. Bridges"
"147","7:12.0","","","38-51","+2","D. Ayton makes 2-pt jump shot from 10 ft (assist by C. Payne)"
"148","6:49.0","L. Doncic misses 2-pt layup from 3 ft (block by J. Crowder)","","38-51","",""
"149","6:48.0","Offensive rebound by L. Doncic","","38-51","",""
"150","6:48.0","Personal foul by L. Shamet (drawn by L. Doncic)","","38-51","",""
"151","6:48.0","","","38-51","","Phoenix full timeout"
"152","6:48.0","D. Finney-Smith enters the game for S. Dinwiddie","","38-51","",""
"153","6:48.0","D. Powell enters the game for M. Kleber","","38-51","",""
"154","6:48.0","","","38-51","","D. Booker enters the game for L. Shamet"
"155","6:34.0","R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","41-51","",""
"156","6:34.0","Shooting foul by J. Crowder (drawn by R. Bullock)","","41-51","",""
"157","6:34.0","R. Bullock makes free throw 1 of 1","+1","42-51","",""
"158","6:21.0","","","42-51","","D. Ayton misses 2-pt jump shot from 9 ft"
"159","6:20.0","Defensive rebound by L. Doncic","","42-51","",""
"160","6:14.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","45-51","",""
"161","5:58.0","","","45-51","","J. Crowder misses 3-pt jump shot from 23 ft"
"162","5:56.0","Defensive rebound by R. Bullock","","45-51","",""
"163","5:48.0","D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic)","+2","47-51","",""
"164","5:37.0","","","47-51","","Turnover by C. Payne (step out of bounds)"
"165","5:37.0","","","47-51","","C. Paul enters the game for C. Payne"
"166","5:22.0","D. Finney-Smith misses 2-pt jump shot from 12 ft (block by M. Bridges)","","47-51","",""
"167","5:20.0","","","47-51","","Defensive rebound by J. Crowder"
"168","5:20.0","","","47-51","","Personal take foul by D. Finney-Smith (drawn by J. Crowder)"
"169","5:06.0","","","47-53","+2","D. Ayton makes 2-pt hook shot from 3 ft (assist by C. Paul)"
"170","4:55.0","L. Doncic misses 3-pt jump shot from 24 ft","","47-53","",""
"171","4:52.0","Offensive rebound by D. Finney-Smith","","47-53","",""
"172","4:41.0","L. Doncic misses 2-pt jump shot from 10 ft","","47-53","",""
"173","4:38.0","","","47-53","","Defensive rebound by J. Crowder"
"174","4:32.0","","","47-53","","Personal foul by J. Green (drawn by C. Paul)"
"175","4:32.0","M. Kleber enters the game for J. Green","","47-53","",""
"176","4:32.0","","","47-53","","T. Craig enters the game for J. Crowder"
"177","4:25.0","","","47-53","","T. Craig misses 3-pt jump shot from 26 ft"
"178","4:22.0","Defensive rebound by D. Powell","","47-53","",""
"179","4:03.0","R. Bullock misses 3-pt jump shot from 24 ft","","47-53","",""
"180","4:01.0","","","47-53","","Defensive rebound by T. Craig"
"181","3:49.0","","","47-55","+2","D. Ayton makes 2-pt jump shot from 14 ft (assist by C. Paul)"
"182","3:40.0","Personal foul by C. Paul (drawn by M. Kleber)","","47-55","",""
"183","3:40.0","M. Kleber makes free throw 1 of 2","+1","48-55","",""
"184","3:40.0","","","48-55","","C. Johnson enters the game for T. Craig"
"185","3:40.0","M. Kleber misses free throw 2 of 2","","48-55","",""
"186","3:38.0","","","48-55","","Defensive rebound by C. Paul"
"187","3:23.0","","","48-57","+2","D. Booker makes 2-pt dunk at rim"
"188","3:09.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","48-57","",""
"189","3:09.0","L. Doncic makes free throw 1 of 2","+1","49-57","",""
"190","3:09.0","L. Doncic makes free throw 2 of 2","+1","50-57","",""
"191","3:00.0","","","50-60","+3","C. Johnson makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"192","2:42.0","L. Doncic makes 2-pt layup from 3 ft","+2","52-60","",""
"193","2:26.0","","","52-62","+2","C. Paul makes 2-pt jump shot from 18 ft"
"194","2:03.0","L. Doncic misses 3-pt jump shot from 25 ft","","52-62","",""
"195","2:02.0","","","52-62","","Defensive rebound by C. Paul"
"196","1:42.0","","","52-65","+3","C. Paul makes 3-pt jump shot from 25 ft"
"197","1:41.0","Dallas full timeout","","52-65","",""
"198","1:41.0","S. Dinwiddie enters the game for D. Powell","","52-65","",""
"199","1:32.0","Personal foul by M. Bridges (drawn by L. Doncic)","","52-65","",""
"200","1:32.0","L. Doncic makes free throw 1 of 2","+1","53-65","",""
"201","1:32.0","L. Doncic makes free throw 2 of 2","+1","54-65","",""
"202","1:18.0","","","54-67","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"203","0:49.0","L. Doncic misses 3-pt jump shot from 26 ft","","54-67","",""
"204","0:45.0","","","54-67","","Defensive rebound by D. Ayton"
"205","0:36.0","","","54-67","","C. Johnson misses 3-pt jump shot from 26 ft"
"206","0:34.0","Defensive rebound by D. Finney-Smith","","54-67","",""
"207","0:30.0","L. Doncic makes 2-pt layup from 4 ft","+2","56-67","",""
"208","0:05.0","","","56-69","+2","D. Ayton makes 2-pt jump shot from 18 ft"
"209","0:00.0","S. Dinwiddie misses 2-pt jump shot from 12 ft","","56-69","",""
"210","0:00.0","Offensive rebound by Team","","56-69","",""
"211","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"212","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"213","Time","Dallas","","Score","","Phoenix"
"214","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"215","11:45.0","D. Powell makes 2-pt layup from 2 ft (assist by L. Doncic)","+2","58-69","",""
"216","11:20.0","","","58-71","+2","D. Booker makes 2-pt jump shot from 15 ft"
"217","10:59.0","L. Doncic makes 2-pt jump shot from 13 ft","+2","60-71","",""
"218","10:59.0","Shooting foul by C. Paul (drawn by L. Doncic)","","60-71","",""
"219","10:59.0","L. Doncic makes free throw 1 of 1","+1","61-71","",""
"220","10:50.0","","","61-73","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"221","10:32.0","L. Doncic makes 2-pt layup from 3 ft","+2","63-73","",""
"222","10:09.0","","","63-73","","J. Crowder misses 3-pt jump shot from 23 ft"
"223","10:08.0","Defensive rebound by L. Doncic","","63-73","",""
"224","10:00.0","J. Brunson misses 3-pt jump shot from 23 ft","","63-73","",""
"225","10:00.0","Offensive rebound by Team","","63-73","",""
"226","10:00.0","","","63-73","","Loose ball foul by C. Paul (drawn by D. Finney-Smith)"
"227","9:51.0","L. Doncic misses 3-pt jump shot from 25 ft","","63-73","",""
"228","9:49.0","Offensive rebound by J. Brunson","","63-73","",""
"229","9:48.0","J. Brunson makes 2-pt jump shot from 2 ft","+2","65-73","",""
"230","9:35.0","","","65-75","+2","C. Paul makes 2-pt jump shot from 16 ft"
"231","9:35.0","","","65-75","","Shooting foul by D. Powell (drawn by C. Paul)"
"232","9:35.0","","","65-76","+1","C. Paul makes free throw 1 of 1"
"233","9:15.0","L. Doncic misses 2-pt jump shot from 10 ft","","65-76","",""
"234","9:13.0","","","65-76","","Defensive rebound by D. Ayton"
"235","9:00.0","","","65-78","+2","D. Booker makes 2-pt jump shot from 11 ft"
"236","8:52.0","Personal foul by D. Booker (drawn by J. Brunson)","","65-78","",""
"237","8:38.0","D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Doncic)","+3","68-78","",""
"238","8:17.0","","","68-78","","D. Booker misses 3-pt jump shot from 23 ft"
"239","8:16.0","","","68-78","","Offensive rebound by Team"
"240","8:16.0","Loose ball foul by D. Powell (drawn by D. Ayton)","","68-78","",""
"241","8:09.0","","","68-78","","D. Booker misses 3-pt jump shot from 25 ft"
"242","8:07.0","Defensive rebound by R. Bullock","","68-78","",""
"243","8:02.0","D. Powell misses 2-pt layup from 2 ft","","68-78","",""
"244","8:00.0","","","68-78","","Defensive rebound by D. Ayton"
"245","7:53.0","","","68-78","","D. Booker misses 2-pt jump shot from 11 ft"
"246","7:52.0","","","68-78","","Offensive rebound by D. Ayton"
"247","7:50.0","","","68-80","+2","D. Ayton makes 2-pt jump shot from 6 ft"
"248","7:40.0","R. Bullock makes 3-pt jump shot from 23 ft (assist by J. Brunson)","+3","71-80","",""
"249","7:20.0","","","71-82","+2","D. Ayton makes 2-pt hook shot from 5 ft (assist by J. Crowder)"
"250","7:12.0","Personal foul by M. Bridges (drawn by J. Brunson)","","71-82","",""
"251","7:12.0","M. Kleber enters the game for D. Powell","","71-82","",""
"252","6:58.0","R. Bullock misses 3-pt jump shot from 23 ft (block by M. Bridges)","","71-82","",""
"253","6:58.0","Offensive rebound by Team","","71-82","",""
"254","6:58.0","","","71-82","","Phoenix full timeout"
"255","6:57.0","Shooting foul by J. Crowder (drawn by D. Finney-Smith)","","71-82","",""
"256","6:57.0","D. Finney-Smith makes free throw 1 of 2","+1","72-82","",""
"257","6:57.0","D. Finney-Smith misses free throw 2 of 2","","72-82","",""
"258","6:55.0","","","72-82","","Defensive rebound by J. Crowder"
"259","6:45.0","","","72-82","","Turnover by C. Paul (bad pass; steal by J. Brunson)"
"260","6:42.0","J. Brunson misses 2-pt layup from 2 ft","","72-82","",""
"261","6:39.0","","","72-82","","Defensive rebound by M. Bridges"
"262","6:34.0","","","72-82","","Turnover by J. Crowder (bad pass; steal by R. Bullock)"
"263","6:34.0","Personal take foul by J. Crowder (drawn by M. Kleber)","","72-82","",""
"264","6:34.0","Instant Replay (Request: Ruling Stands)","","72-82","",""
"265","6:34.0","M. Kleber misses free throw 1 of 2","","72-82","",""
"266","6:34.0","Offensive rebound by Team","","72-82","",""
"267","6:34.0","","","72-82","","C. Johnson enters the game for J. Crowder"
"268","6:34.0","M. Kleber makes free throw 2 of 2","+1","73-82","",""
"269","6:16.0","","","73-82","","D. Ayton misses 2-pt jump shot from 13 ft"
"270","6:13.0","Defensive rebound by R. Bullock","","73-82","",""
"271","6:10.0","Turnover by L. Doncic (bad pass)","","73-82","",""
"272","5:57.0","","","73-85","+3","C. Johnson makes 3-pt jump shot from 23 ft (assist by M. Bridges)"
"273","5:32.0","L. Doncic misses 2-pt layup from 5 ft","","73-85","",""
"274","5:31.0","Offensive rebound by L. Doncic","","73-85","",""
"275","5:30.0","L. Doncic misses 2-pt layup from 1 ft (block by D. Ayton)","","73-85","",""
"276","5:28.0","","","73-85","","Defensive rebound by D. Ayton"
"277","5:25.0","","","73-85","","Turnover by D. Booker (bad pass)"
"278","5:05.0","L. Doncic misses 2-pt jump shot from 7 ft","","73-85","",""
"279","5:01.0","Offensive rebound by D. Finney-Smith","","73-85","",""
"280","5:01.0","D. Finney-Smith makes 2-pt dunk from 1 ft","+2","75-85","",""
"281","4:36.0","","","75-87","+2","C. Paul makes 2-pt jump shot from 14 ft"
"282","4:25.0","M. Kleber misses 3-pt jump shot from 23 ft","","75-87","",""
"283","4:21.0","Offensive rebound by J. Brunson","","75-87","",""
"284","4:12.0","Turnover by L. Doncic (bad pass)","","75-87","",""
"285","4:12.0","S. Dinwiddie enters the game for J. Brunson","","75-87","",""
"286","4:12.0","","","75-87","","C. Payne enters the game for C. Paul"
"287","3:59.0","","","75-90","+3","C. Johnson makes 3-pt jump shot from 27 ft (assist by D. Booker)"
"288","3:59.0","Dallas full timeout","","75-90","",""
"289","3:44.0","R. Bullock misses 3-pt jump shot from 25 ft","","75-90","",""
"290","3:42.0","","","75-90","","Defensive rebound by C. Payne"
"291","3:42.0","J. Green enters the game for R. Bullock","","75-90","",""
"292","3:19.0","","","75-93","+3","C. Payne makes 3-pt jump shot from 26 ft (assist by M. Bridges)"
"293","2:52.0","D. Finney-Smith misses 3-pt jump shot from 24 ft","","75-93","",""
"294","2:50.0","","","75-93","","Defensive rebound by D. Booker"
"295","2:43.0","","","75-93","","D. Booker misses 2-pt jump shot from 17 ft"
"296","2:40.0","Defensive rebound by J. Green","","75-93","",""
"297","2:18.0","Turnover by Team (shot clock)","","75-93","",""
"298","2:18.0","F. Ntilikina enters the game for D. Finney-Smith","","75-93","",""
"299","2:18.0","","","75-93","","J. McGee enters the game for D. Ayton"
"300","1:58.0","","","75-93","","C. Payne misses 2-pt jump shot from 12 ft"
"301","1:56.0","Defensive rebound by L. Doncic","","75-93","",""
"302","1:48.0","S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by F. Ntilikina)","+3","78-93","",""
"303","1:28.0","","","78-96","+3","M. Bridges makes 3-pt jump shot from 24 ft (assist by C. Johnson)"
"304","1:16.0","Shooting foul by J. McGee (drawn by L. Doncic)","","78-96","",""
"305","1:16.0","L. Doncic makes free throw 1 of 2","+1","79-96","",""
"306","1:16.0","L. Doncic misses free throw 2 of 2","","79-96","",""
"307","1:13.0","","","79-96","","Defensive rebound by C. Johnson"
"308","1:00.0","","","79-96","","C. Payne misses 3-pt jump shot from 25 ft"
"309","0:57.0","","","79-96","","Offensive rebound by C. Johnson"
"310","0:56.0","","","79-96","","C. Johnson misses 2-pt jump shot from 13 ft"
"311","0:56.0","","","79-96","","Offensive rebound by J. McGee"
"312","0:42.0","","","79-96","","D. Booker misses 2-pt jump shot from 8 ft"
"313","0:39.0","Defensive rebound by S. Dinwiddie","","79-96","",""
"314","0:30.0","M. Kleber misses 3-pt jump shot from 29 ft","","79-96","",""
"315","0:27.0","","","79-96","","Defensive rebound by D. Booker"
"316","0:02.0","","","79-96","","D. Booker misses 2-pt jump shot from 21 ft"
"317","0:00.0","Defensive rebound by L. Doncic","","79-96","",""
"318","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"319","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"320","Time","Dallas","","Score","","Phoenix"
"321","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"322","11:44.0","","","79-98","+2","C. Johnson makes 2-pt jump shot from 16 ft (assist by C. Payne)"
"323","11:28.0","M. Kleber makes 2-pt dunk from 3 ft (assist by L. Doncic)","+2","81-98","",""
"324","11:28.0","Shooting foul by J. McGee (drawn by M. Kleber)","","81-98","",""
"325","11:28.0","M. Kleber misses free throw 1 of 1","","81-98","",""
"326","11:25.0","","","81-98","","Defensive rebound by J. McGee"
"327","11:14.0","","","81-100","+2","M. Bridges makes 2-pt jump shot from 13 ft (assist by C. Payne)"
"328","11:00.0","J. Brunson makes 2-pt layup from 7 ft","+2","83-100","",""
"329","10:47.0","","","83-100","","J. McGee misses 2-pt hook shot from 11 ft"
"330","10:45.0","","","83-100","","Offensive rebound by M. Bridges"
"331","10:44.0","","","83-102","+2","M. Bridges makes 2-pt layup from 2 ft"
"332","10:27.0","D. Finney-Smith misses 3-pt jump shot from 23 ft","","83-102","",""
"333","10:24.0","","","83-102","","Defensive rebound by L. Shamet"
"334","10:21.0","","","83-102","","C. Payne misses 3-pt jump shot from 28 ft"
"335","10:19.0","Defensive rebound by M. Kleber","","83-102","",""
"336","10:12.0","Personal foul by M. Bridges (drawn by L. Doncic)","","83-102","",""
"337","10:12.0","","","83-102","","Phoenix full timeout"
"338","10:12.0","","","83-102","","Instant Replay (Challenge: Stands)"
"339","10:12.0","R. Bullock enters the game for M. Kleber","","83-102","",""
"340","10:12.0","","","83-102","","T. Craig enters the game for M. Bridges"
"341","10:05.0","J. Brunson makes 2-pt layup from 2 ft","+2","85-102","",""
"342","9:52.0","","","85-102","","Personal foul by S. Dinwiddie (drawn by C. Johnson)"
"343","9:37.0","","","85-102","","Turnover by Team (shot clock)"
"344","9:20.0","J. Brunson misses 2-pt layup from 5 ft","","85-102","",""
"345","9:18.0","","","85-102","","Defensive rebound by C. Payne"
"346","9:13.0","","","85-104","+2","C. Johnson makes 2-pt dunk from 1 ft (assist by C. Payne)"
"347","8:52.0","Turnover by L. Doncic (lost ball; steal by J. McGee)","","85-104","",""
"348","8:48.0","","","85-106","+2","J. McGee makes 2-pt dunk from 1 ft"
"349","8:28.0","J. Brunson makes 2-pt jump shot from 20 ft","+2","87-106","",""
"350","8:12.0","","","87-106","","Turnover by T. Craig (bad pass; steal by D. Finney-Smith)"
