"","Time","Dallas","","Score","","Phoenix"
"66","4:03.0","","","15-7","","C. Johnson enters the game for J. Crowder"
"67","4:03.0","","","15-7","","L. Shamet enters the game for C. Paul"
"68","3:58.0","","","15-7","","D. Ayton misses 2-pt jump shot from 12 ft"
"69","3:54.0","Defensive rebound by L. Doncic","","15-7","",""
"70","3:44.0","R. Bullock misses 3-pt jump shot from 23 ft","","15-7","",""
"71","3:41.0","","","15-7","","Defensive rebound by M. Bridges"
"72","3:30.0","","","15-10","+3","L. Shamet makes 3-pt jump shot from 23 ft (assist by C. Johnson)"
"73","3:13.0","S. Dinwiddie makes 3-pt jump shot from 24 ft","+3","18-10","",""
"74","3:03.0","","","18-10","","C. Johnson misses 3-pt jump shot from 26 ft"
"75","3:01.0","Defensive rebound by D. Finney-Smith","","18-10","",""
"76","2:37.0","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","21-10","",""
"77","2:21.0","","","21-12","+2","M. Bridges makes 2-pt jump shot from 17 ft (assist by D. Ayton)"
"78","2:01.0","Turnover by R. Bullock (step out of bounds)","","21-12","",""
"79","2:01.0","Dallas full timeout","","21-12","",""
"80","2:01.0","D. Bertans enters the game for R. Bullock","","21-12","",""
"81","2:01.0","D. Powell enters the game for M. Kleber","","21-12","",""
"82","2:01.0","","","21-12","","B. Biyombo enters the game for D. Ayton"
"83","1:44.0","","","21-12","","M. Bridges misses 2-pt jump shot from 4 ft"
"84","1:42.0","Defensive rebound by D. Powell","","21-12","",""
"85","1:26.0","D. Powell makes 2-pt layup from 3 ft (assist by L. Doncic)","+2","23-12","",""
"86","1:14.0","","","23-12","","L. Shamet misses 2-pt layup from 3 ft"
"87","1:12.0","Defensive rebound by L. Doncic","","23-12","",""
"88","1:01.0","L. Doncic makes 2-pt jump shot from 16 ft","+2","25-12","",""
"89","0:46.0","","","25-15","+3","C. Johnson makes 3-pt jump shot from 26 ft (assist by L. Shamet)"
"90","0:31.0","S. Dinwiddie makes 2-pt layup from 2 ft","+2","27-15","",""
"91","0:07.0","","","27-15","","M. Bridges misses 2-pt jump shot from 16 ft"
"92","0:04.0","","","27-15","","Offensive rebound by C. Johnson"
"93","0:04.0","","","27-17","+2","C. Johnson makes 2-pt layup from 2 ft"
