"","Time","Dallas","","Score","","Phoenix"
"344","8:08.0","","","105-62","","C. Johnson enters the game for D. Booker"
"345","7:57.0","","","105-62","","J. Crowder misses 3-pt jump shot from 25 ft"
"346","7:53.0","","","105-62","","Offensive rebound by J. McGee"
"347","7:52.0","","","105-62","","J. McGee misses 2-pt layup from 1 ft"
"348","7:50.0","Defensive rebound by F. Ntilikina","","105-62","",""
"349","7:34.0","S. Dinwiddie makes 2-pt layup from 2 ft","+2","107-62","",""
"350","7:14.0","","","107-65","+3","C. Paul makes 3-pt jump shot from 26 ft"
"351","6:57.0","J. Brunson makes 2-pt jump shot from 18 ft","+2","109-65","",""
"352","6:46.0","","","109-65","","J. Crowder misses 2-pt layup from 5 ft (block by D. Bertans)"
"353","6:44.0","Defensive rebound by D. Bertans","","109-65","",""
"354","6:44.0","Personal take foul by C. Paul (drawn by D. Bertans)","","109-65","",""
"355","6:44.0","","","109-65","","Phoenix full timeout"
"356","6:44.0","M. Chriss enters the game for D. Powell","","109-65","",""
"357","6:44.0","","","109-65","","M. Bridges enters the game for J. Crowder"
"358","6:44.0","","","109-65","","C. Payne enters the game for C. Paul"
"359","6:23.0","S. Dinwiddie makes 2-pt jump shot from 20 ft","+2","111-65","",""
"360","6:07.0","","","111-65","","L. Shamet misses 3-pt jump shot from 28 ft"
"361","6:04.0","","","111-65","","Offensive rebound by J. McGee"
"362","5:59.0","","","111-68","+3","C. Johnson makes 3-pt jump shot from 27 ft (assist by C. Payne)"
"363","5:31.0","M. Chriss makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","114-68","",""
"364","5:17.0","","","114-68","","Shooting foul by M. Chriss (drawn by C. Johnson)"
"365","5:17.0","","","114-69","+1","C. Johnson makes free throw 1 of 2"
"366","5:17.0","T. Burke enters the game for J. Brunson","","114-69","",""
"367","5:17.0","J. Green enters the game for S. Dinwiddie","","114-69","",""
"368","5:17.0","","","114-69","","A. Holiday enters the game for M. Bridges"
"369","5:17.0","","","114-69","","E. Payton enters the game for L. Shamet"
"370","5:17.0","","","114-70","+1","C. Johnson makes free throw 2 of 2"
"371","4:59.0","","","114-70","","Technical foul by E. Payton"
"372","4:59.0","Technical foul by D. Bertans","","114-70","",""
"373","4:59.0","","","114-70","","I. Wainright enters the game for C. Johnson"
"374","4:50.0","Turnover by F. Ntilikina (bad pass; steal by J. McGee)","","114-70","",""
"375","4:40.0","","","114-72","+2","E. Payton makes 2-pt layup from 1 ft (assist by A. Holiday)"
"376","4:26.0","T. Burke makes 2-pt jump shot from 20 ft","+2","116-72","",""
"377","4:18.0","","","116-72","","Personal foul by T. Burke (drawn by J. McGee)"
"378","4:18.0","S. Brown enters the game for D. Bertans","","116-72","",""
"379","4:13.0","","","116-72","","C. Payne misses 3-pt jump shot from 28 ft"
"380","4:13.0","Defensive rebound by F. Ntilikina","","116-72","",""
"381","3:58.0","Turnover by F. Ntilikina (bad pass; steal by A. Holiday)","","116-72","",""
"382","3:53.0","","","116-72","","A. Holiday misses 2-pt layup from 3 ft"
"383","3:51.0","","","116-72","","Offensive rebound by I. Wainright"
"384","3:50.0","","","116-74","+2","I. Wainright makes 2-pt layup from 1 ft"
"385","3:27.0","J. Green makes 3-pt jump shot from 25 ft (assist by F. Ntilikina)","+3","119-74","",""
"386","3:16.0","","","119-74","","Turnover by C. Payne (bad pass; steal by S. Brown)"
"387","3:13.0","Turnover by S. Brown (bad pass)","","119-74","",""
"388","3:13.0","B. Marjanovic enters the game for F. Ntilikina","","119-74","",""
"389","3:02.0","","","119-76","+2","I. Wainright makes 2-pt jump shot from 6 ft (assist by E. Payton)"
"390","2:48.0","T. Burke makes 2-pt layup from 3 ft","+2","121-76","",""
"391","2:46.0","Violation by Team (delay of game)","","121-76","",""
"392","2:39.0","","","121-76","","A. Holiday misses 2-pt jump shot from 8 ft"
"393","2:37.0","","","121-76","","Offensive rebound by C. Payne"
"394","2:35.0","","","121-79","+3","I. Wainright makes 3-pt jump shot from 28 ft (assist by C. Payne)"
"395","2:08.0","S. Brown misses 2-pt layup from 8 ft (block by I. Wainright)","","121-79","",""
"396","2:08.0","","","121-79","","Defensive rebound by Team"
"397","2:08.0","","","121-79","","Phoenix full timeout"
"398","1:50.0","","","121-79","","I. Wainright misses 2-pt jump shot from 7 ft"
"399","1:48.0","Defensive rebound by T. Burke","","121-79","",""
"400","1:32.0","B. Marjanovic misses 2-pt layup from 3 ft (block by J. McGee)","","121-79","",""
"401","1:30.0","","","121-79","","Defensive rebound by C. Payne"
"402","1:26.0","","","121-82","+3","I. Wainright makes 3-pt jump shot from 23 ft (assist by E. Payton)"
"403","1:18.0","M. Chriss misses 3-pt jump shot from 24 ft","","121-82","",""
"404","1:15.0","","","121-82","","Defensive rebound by I. Wainright"
"405","1:10.0","","","121-82","","Turnover by C. Payne (lost ball; steal by B. Marjanovic)"
"406","1:10.0","Personal foul by C. Payne (drawn by B. Marjanovic)","","121-82","",""
"407","0:53.0","M. Chriss misses 2-pt layup from 4 ft (block by A. Holiday)","","121-82","",""
"408","0:50.0","","","121-82","","Defensive rebound by I. Wainright"
"409","0:45.0","","","121-82","","E. Payton misses 2-pt jump shot from 10 ft"
"410","0:45.0","","","121-82","","Offensive rebound by J. McGee"
"411","0:45.0","","","121-84","+2","J. McGee makes 2-pt dunk from 2 ft"
"412","0:36.0","B. Marjanovic makes 2-pt layup from 2 ft","+2","123-84","",""
"413","0:25.0","","","123-84","","A. Holiday misses 3-pt jump shot from 26 ft"
"414","0:22.0","","","123-84","","Offensive rebound by I. Wainright"
"415","0:18.0","","","123-84","","J. McGee misses 3-pt jump shot from 26 ft"
"416","0:14.0","","","123-84","","Offensive rebound by J. McGee"
"417","0:10.0","","","123-87","+3","A. Holiday makes 3-pt jump shot from 25 ft (assist by J. McGee)"
"418","0:04.0","Turnover by B. Marjanovic (lost ball; steal by A. Holiday)","","123-87","",""
"419","0:01.0","","","123-90","+3","A. Holiday makes 3-pt jump shot from 29 ft"
"420","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
