"","Time","Dallas","","Score","","Phoenix"
"354","8:25.0","L. Doncic misses 3-pt jump shot from 25 ft","","66-90","",""
"355","8:21.0","","","66-90","","Defensive rebound by L. Shamet"
"356","8:07.0","","","66-90","","C. Johnson misses 3-pt jump shot from 23 ft"
"357","8:04.0","Defensive rebound by J. Brunson","","66-90","",""
"358","7:57.0","Turnover by D. Finney-Smith (lost ball; steal by C. Johnson)","","66-90","",""
"359","7:47.0","","","66-90","","Turnover by C. Paul (bad pass; steal by D. Bertans)"
"360","7:46.0","F. Ntilikina makes 2-pt layup at rim","+2","68-90","",""
"361","7:46.0","Shooting foul by J. Crowder (drawn by F. Ntilikina)","","68-90","",""
"362","7:46.0","","","68-90","","D. Booker enters the game for B. Biyombo"
"363","7:46.0","F. Ntilikina makes free throw 1 of 1","+1","69-90","",""
"364","7:29.0","","","69-90","","Turnover by C. Paul (bad pass; steal by L. Doncic)"
"365","7:23.0","Shooting foul by D. Booker (drawn by J. Brunson)","","69-90","",""
"366","7:23.0","J. Brunson makes free throw 1 of 2","+1","70-90","",""
"367","7:23.0","J. Brunson makes free throw 2 of 2","+1","71-90","",""
"368","7:00.0","","","71-90","","Turnover by C. Johnson (lost ball; steal by L. Doncic)"
"369","6:52.0","J. Brunson misses 2-pt layup from 5 ft","","71-90","",""
"370","6:52.0","Offensive rebound by Team","","71-90","",""
"371","6:52.0","","","71-90","","Phoenix full timeout"
"372","6:52.0","","","71-90","","M. Bridges enters the game for L. Shamet"
"373","6:49.0","Jump ball: D. Finney-Smith vs. C. Johnson (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. C. Johnson (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. C. Johnson (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. C. Johnson (L. Doncic gains possession)","Jump ball: D. Finney-Smith vs. C. Johnson (L. Doncic gains possession)"
"374","6:38.0","L. Doncic misses 2-pt jump shot from 9 ft","","71-90","",""
"375","6:38.0","","","71-90","","Defensive rebound by Team"
"376","6:38.0","","","71-90","","D. Ayton enters the game for C. Johnson"
"377","6:19.0","","","71-90","","D. Booker misses 3-pt jump shot from 25 ft"
"378","6:16.0","Defensive rebound by L. Doncic","","71-90","",""
"379","6:14.0","Shooting foul by D. Booker (drawn by D. Finney-Smith)","","71-90","",""
"380","6:14.0","D. Finney-Smith makes free throw 1 of 2","+1","72-90","",""
"381","6:14.0","D. Finney-Smith makes free throw 2 of 2","+1","73-90","",""
"382","5:51.0","","","73-92","+2","D. Ayton makes 2-pt hook shot from 7 ft (assist by C. Paul)"
"383","5:36.0","J. Brunson misses 2-pt jump shot from 8 ft","","73-92","",""
"384","5:35.0","","","73-92","","Defensive rebound by D. Ayton"
"385","5:18.0","","","73-95","+3","C. Paul makes 3-pt jump shot from 26 ft (assist by D. Ayton)"
"386","5:00.0","D. Bertans makes 3-pt jump shot from 28 ft (assist by J. Brunson)","+3","76-95","",""
"387","4:42.0","","","76-95","","Phoenix full timeout"
"388","4:42.0","","","76-95","","Instant Replay (Request: Ruling Stands)"
"389","4:42.0","S. Brown enters the game for D. Bertans","","76-95","",""
"390","4:42.0","T. Burke enters the game for J. Brunson","","76-95","",""
"391","4:42.0","M. Chriss enters the game for L. Doncic","","76-95","",""
"392","4:42.0","J. Green enters the game for D. Finney-Smith","","76-95","",""
"393","4:38.0","","","76-95","","C. Paul misses 2-pt jump shot from 16 ft"
"394","4:34.0","Defensive rebound by M. Chriss","","76-95","",""
"395","4:25.0","Personal foul by J. Crowder (drawn by J. Green)","","76-95","",""
"396","4:25.0","","","76-95","","I. Wainright enters the game for J. Crowder"
"397","4:25.0","J. Green misses free throw 1 of 2","","76-95","",""
"398","4:25.0","Offensive rebound by Team","","76-95","",""
"399","4:25.0","J. Green misses free throw 2 of 2","","76-95","",""
"400","4:23.0","Offensive rebound by M. Chriss","","76-95","",""
"401","4:22.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","76-95","",""
"402","4:17.0","","","76-95","","Defensive rebound by D. Booker"
"403","4:08.0","","","76-97","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"404","3:58.0","Personal take foul by M. Bridges (drawn by T. Burke)","","76-97","",""
"405","3:58.0","T. Burke makes free throw 1 of 2","+1","77-97","",""
"406","3:58.0","","","77-97","","B. Biyombo enters the game for D. Ayton"
"407","3:58.0","","","77-97","","T. Craig enters the game for D. Booker"
"408","3:58.0","","","77-97","","A. Holiday enters the game for M. Bridges"
"409","3:58.0","","","77-97","","C. Payne enters the game for C. Paul"
"410","3:58.0","T. Burke makes free throw 2 of 2","+1","78-97","",""
"411","3:43.0","","","78-97","","A. Holiday misses 2-pt jump shot from 12 ft"
"412","3:40.0","Defensive rebound by J. Green","","78-97","",""
"413","3:32.0","T. Burke misses 3-pt jump shot from 27 ft","","78-97","",""
"414","3:30.0","","","78-97","","Defensive rebound by B. Biyombo"
"415","3:07.0","","","78-100","+3","A. Holiday makes 3-pt jump shot from 27 ft (assist by T. Craig)"
"416","2:45.0","M. Chriss makes 2-pt dunk from 1 ft (assist by F. Ntilikina)","+2","80-100","",""
"417","2:31.0","","","80-102","+2","B. Biyombo makes 2-pt dunk from 1 ft (assist by A. Holiday)"
"418","2:10.0","T. Burke misses 2-pt layup from 2 ft (block by T. Craig)","","80-102","",""
"419","2:08.0","","","80-102","","Defensive rebound by I. Wainright"
"420","1:52.0","","","80-102","","T. Craig misses 2-pt layup from 2 ft"
"421","1:50.0","","","80-102","","Offensive rebound by B. Biyombo"
"422","1:48.0","","","80-102","","B. Biyombo misses 2-pt jump shot from 13 ft"
"423","1:46.0","Defensive rebound by S. Brown","","80-102","",""
"424","1:42.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","80-102","",""
"425","1:40.0","","","80-102","","Defensive rebound by B. Biyombo"
"426","1:22.0","","","80-102","","A. Holiday misses 2-pt layup from 4 ft"
"427","1:21.0","","","80-102","","Offensive rebound by A. Holiday"
"428","1:19.0","","","80-105","+3","T. Craig makes 3-pt jump shot from 26 ft (assist by A. Holiday)"
"429","1:07.0","F. Ntilikina misses 3-pt jump shot from 25 ft","","80-105","",""
"430","1:05.0","","","80-105","","Defensive rebound by T. Craig"
"431","0:56.0","","","80-105","","C. Payne misses 3-pt jump shot from 25 ft"
"432","0:54.0","","","80-105","","Offensive rebound by A. Holiday"
"433","0:52.0","","","80-108","+3","T. Craig makes 3-pt jump shot from 25 ft (assist by A. Holiday)"
"434","0:31.0","Personal foul by A. Holiday (drawn by S. Brown)","","80-108","",""
"435","0:31.0","S. Brown misses free throw 1 of 2","","80-108","",""
"436","0:31.0","Offensive rebound by Team","","80-108","",""
"437","0:31.0","S. Brown misses free throw 2 of 2","","80-108","",""
"438","0:27.0","","","80-108","","Defensive rebound by I. Wainright"
"439","0:24.0","","","80-108","","Turnover by I. Wainright (bad pass)"
"440","0:15.0","S. Brown misses 3-pt jump shot from 26 ft","","80-108","",""
"441","0:10.0","","","80-108","","Defensive rebound by C. Payne"
"442","0:02.0","","","80-108","","Shooting foul by M. Chriss (drawn by B. Biyombo)"
"443","0:02.0","Technical foul by M. Chriss","","80-108","",""
"444","0:02.0","","","80-108","","Technical foul by B. Biyombo"
"445","0:02.0","M. Chriss ejected from game","","80-108","",""
"446","0:02.0","","","80-108","","B. Biyombo ejected from game"
"447","0:02.0","","","80-108","","C. Johnson enters the game for B. Biyombo"
"448","0:02.0","","","80-109","+1","C. Johnson makes free throw 1 of 2"
"449","0:02.0","","","80-110","+1","C. Johnson makes technical free throw"
"450","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
