"","Time","Phoenix","","Score","","Dallas"
"353","10:17.0","M. Bridges misses 2-pt jump shot from 10 ft","","76-94","",""
"354","10:17.0","","","76-94","","Defensive rebound by L. Doncic"
"355","10:13.0","","","76-94","","Shooting foul by C. Paul (drawn by D. Bertans)"
"356","10:13.0","","","76-95","+1","D. Bertans makes free throw 1 of 2"
"357","10:13.0","","","76-96","+1","D. Bertans makes free throw 2 of 2"
"358","10:02.0","D. Booker misses 2-pt layup from 2 ft","","76-96","",""
"359","10:02.0","Offensive rebound by Team","","76-96","",""
"360","10:02.0","","","76-96","","Dallas full timeout"
"361","10:02.0","","","76-96","","Instant Replay (Challenge: Ruling Stands)"
"362","10:02.0","","","76-96","","M. Kleber enters the game for D. Bertans"
"363","9:59.0","Jump ball: T. Craig vs. L. Doncic (C. Paul gains possession)","Jump ball: T. Craig vs. L. Doncic (C. Paul gains possession)","Jump ball: T. Craig vs. L. Doncic (C. Paul gains possession)","Jump ball: T. Craig vs. L. Doncic (C. Paul gains possession)","Jump ball: T. Craig vs. L. Doncic (C. Paul gains possession)"
"364","9:45.0","D. Booker misses 2-pt jump shot from 12 ft","","76-96","",""
"365","9:43.0","","","76-96","","Defensive rebound by L. Doncic"
"366","9:32.0","","","76-96","","Turnover by S. Dinwiddie (bad pass; steal by C. Paul)"
"367","9:28.0","Turnover by D. Booker (bad pass; steal by R. Bullock)","","76-96","",""
"368","9:11.0","","","76-96","","R. Bullock misses 3-pt jump shot from 23 ft"
"369","9:09.0","","","76-96","","Offensive rebound by R. Bullock"
"370","8:58.0","","","76-96","","L. Doncic misses 3-pt jump shot from 26 ft"
"371","8:55.0","Defensive rebound by T. Craig","","76-96","",""
"372","8:55.0","D. Ayton enters the game for M. Bridges","","76-96","",""
"373","8:55.0","J. Crowder enters the game for C. Johnson","","76-96","",""
"374","8:40.0","D. Ayton misses 2-pt jump shot from 13 ft","","76-96","",""
"375","8:37.0","","","76-96","","Defensive rebound by L. Doncic"
"376","8:32.0","","","76-96","","Turnover by F. Ntilikina (lost ball; steal by C. Paul)"
"377","8:28.0","C. Paul misses 3-pt jump shot from 26 ft","","76-96","",""
"378","8:25.0","","","76-96","","Defensive rebound by F. Ntilikina"
"379","8:05.0","","","76-96","","M. Kleber misses 2-pt jump shot from 14 ft"
"380","8:03.0","Defensive rebound by D. Booker","","76-96","",""
"381","7:53.0","C. Paul makes 3-pt jump shot from 23 ft (assist by D. Booker)","+3","79-96","",""
"382","7:31.0","","","79-96","","M. Kleber misses 3-pt jump shot from 26 ft"
"383","7:28.0","Defensive rebound by T. Craig","","79-96","",""
"384","7:24.0","Turnover by D. Ayton (traveling)","","79-96","",""
"385","7:24.0","","","79-96","","J. Brunson enters the game for S. Dinwiddie"
"386","7:10.0","","","79-96","","Personal foul by T. Craig (drawn by L. Doncic)"
"387","6:58.0","","","79-99","+3","R. Bullock makes 3-pt jump shot from 26 ft (assist by L. Doncic)"
"388","6:47.0","Offensive foul by J. Crowder (drawn by F. Ntilikina)","","79-99","",""
"389","6:47.0","Turnover by J. Crowder (offensive foul)","","79-99","",""
"390","6:25.0","","","79-99","","Shooting foul by D. Ayton (drawn by L. Doncic)"
"391","6:25.0","","","79-99","","L. Doncic misses free throw 1 of 2"
"392","6:25.0","","","79-99","","Offensive rebound by Team"
"393","6:25.0","","","79-100","+1","L. Doncic makes free throw 2 of 2"
"394","6:17.0","T. Craig makes 2-pt layup at rim (assist by C. Paul)","+2","81-100","",""
"395","5:52.0","","","81-100","","L. Doncic misses 2-pt jump shot from 11 ft"
"396","5:51.0","Defensive rebound by D. Ayton","","81-100","",""
"397","5:43.0","D. Ayton misses 2-pt jump shot from 16 ft","","81-100","",""
"398","5:40.0","","","81-100","","Defensive rebound by L. Doncic"
"399","5:31.0","","","81-100","","J. Brunson misses 2-pt jump shot from 6 ft"
"400","5:28.0","Defensive rebound by D. Ayton","","81-100","",""
"401","5:16.0","C. Paul makes 3-pt jump shot from 26 ft (assist by J. Crowder)","+3","84-100","",""
"402","4:59.0","","","84-100","","Personal foul by C. Paul (drawn by J. Brunson)"
"403","4:46.0","","","84-102","+2","L. Doncic makes 2-pt layup from 2 ft"
"404","4:32.0","Turnover by C. Paul (lost ball; steal by L. Doncic)","","84-102","",""
"405","4:15.0","","","84-104","+2","L. Doncic makes 2-pt jump shot from 4 ft"
"406","4:07.0","Offensive foul by D. Booker (drawn by L. Doncic)","","84-104","",""
"407","4:07.0","Turnover by D. Booker (offensive foul)","","84-104","",""
"408","4:01.0","","","84-104","","Offensive foul by F. Ntilikina (drawn by C. Paul)"
"409","4:01.0","","","84-104","","Turnover by F. Ntilikina (offensive foul)"
"410","4:01.0","B. Biyombo enters the game for D. Ayton","","84-104","",""
"411","4:01.0","C. Payne enters the game for D. Booker","","84-104","",""
"412","4:01.0","L. Shamet enters the game for J. Crowder","","84-104","",""
"413","4:01.0","I. Wainright enters the game for C. Paul","","84-104","",""
"414","4:01.0","","","84-104","","D. Powell enters the game for M. Kleber"
"415","3:47.0","T. Craig misses 3-pt jump shot from 23 ft","","84-104","",""
"416","3:47.0","Offensive rebound by I. Wainright","","84-104","",""
"417","3:47.0","I. Wainright misses 2-pt layup from 2 ft","","84-104","",""
"418","3:46.0","Offensive rebound by I. Wainright","","84-104","",""
"419","3:44.0","I. Wainright misses 2-pt layup from 1 ft (block by D. Powell)","","84-104","",""
"420","3:43.0","Offensive rebound by Team","","84-104","",""
"421","3:43.0","","","84-104","","S. Dinwiddie enters the game for L. Doncic"
"422","3:39.0","Turnover by C. Payne (bad pass; steal by S. Dinwiddie)","","84-104","",""
"423","3:28.0","","","84-104","","J. Brunson misses 2-pt jump shot from 7 ft"
"424","3:26.0","Defensive rebound by C. Payne","","84-104","",""
"425","3:21.0","C. Payne misses 2-pt layup from 2 ft","","84-104","",""
"426","3:20.0","Offensive rebound by T. Craig","","84-104","",""
"427","3:19.0","T. Craig makes 2-pt layup from 1 ft","+2","86-104","",""
"428","3:06.0","","","86-104","","Personal foul by C. Payne (drawn by D. Powell)"
"429","3:06.0","","","86-104","","D. Powell misses free throw 1 of 2"
"430","3:06.0","","","86-104","","Offensive rebound by Team"
"431","3:06.0","","","86-104","","S. Brown enters the game for J. Brunson"
"432","3:06.0","","","86-104","","J. Green enters the game for R. Bullock"
"433","3:06.0","","","86-104","","D. Powell misses free throw 2 of 2"
"434","3:03.0","Defensive rebound by B. Biyombo","","86-104","",""
"435","2:44.0","T. Craig misses 2-pt layup from 5 ft","","86-104","",""
"436","2:43.0","Offensive rebound by B. Biyombo","","86-104","",""
"437","2:42.0","B. Biyombo misses 2-pt layup from 1 ft (block by S. Brown)","","86-104","",""
"438","2:42.0","Offensive rebound by I. Wainright","","86-104","",""
"439","2:37.0","Turnover by I. Wainright (bad pass; steal by J. Green)","","86-104","",""
"440","2:23.0","","","86-106","+2","D. Powell makes 2-pt layup from 1 ft (assist by S. Dinwiddie)"
"441","2:08.0","C. Payne misses 2-pt jump shot from 6 ft","","86-106","",""
"442","2:06.0","","","86-106","","Defensive rebound by S. Brown"
"443","1:49.0","","","86-109","+3","S. Dinwiddie makes 3-pt jump shot from 26 ft"
"444","1:43.0","Personal take foul by F. Ntilikina (drawn by C. Payne)","","86-109","",""
"445","1:43.0","Phoenix full timeout","","86-109","",""
"446","1:43.0","","","86-109","","T. Burke enters the game for S. Dinwiddie"
"447","1:43.0","","","86-109","","M. Chriss enters the game for F. Ntilikina"
"448","1:43.0","","","86-109","","B. Marjanovic enters the game for D. Powell"
"449","1:30.0","L. Shamet misses 2-pt jump shot from 19 ft","","86-109","",""
"450","1:27.0","","","86-109","","Defensive rebound by B. Marjanovic"
"451","1:15.0","","","86-109","","Shooting foul by B. Biyombo (drawn by B. Marjanovic)"
"452","1:15.0","","","86-110","+1","B. Marjanovic makes free throw 1 of 2"
"453","1:15.0","","","86-111","+1","B. Marjanovic makes free throw 2 of 2"
"454","1:05.0","L. Shamet misses 3-pt jump shot from 24 ft","","86-111","",""
"455","1:01.0","","","86-111","","Defensive rebound by B. Marjanovic"
"456","0:50.0","","","86-111","","Personal foul by C. Payne (drawn by M. Chriss)"
"457","0:50.0","","","86-112","+1","M. Chriss makes free throw 1 of 2"
"458","0:50.0","","","86-113","+1","M. Chriss makes free throw 2 of 2"
"459","0:41.0","C. Payne misses 2-pt layup at rim","","86-113","",""
"460","0:38.0","Offensive rebound by B. Biyombo","","86-113","",""
"461","0:38.0","B. Biyombo misses 2-pt layup at rim","","86-113","",""
"462","0:37.0","","","86-113","","Defensive rebound by S. Brown"
"463","0:22.0","","","86-113","","B. Marjanovic misses 2-pt jump shot from 8 ft"
"464","0:20.0","Defensive rebound by L. Shamet","","86-113","",""
"465","0:11.0","I. Wainright misses 3-pt jump shot from 23 ft","","86-113","",""
"466","0:08.0","","","86-113","","Defensive rebound by M. Chriss"
"467","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
