"","Time","Phoenix","","Score","","Dallas"
"172","4:32.0","","","39-42","","Turnover by M. Kleber (bad pass)"
"173","4:23.0","D. Booker misses 3-pt jump shot from 25 ft","","39-42","",""
"174","4:20.0","","","39-42","","Defensive rebound by D. Finney-Smith"
"175","4:12.0","","","39-44","+2","L. Doncic makes 2-pt layup from 1 ft (assist by F. Ntilikina)"
"176","4:12.0","","","39-44","","Shooting foul by D. Booker (drawn by L. Doncic)"
"177","4:12.0","C. Johnson enters the game for J. Crowder","","39-44","",""
"178","4:12.0","","","39-44","","R. Bullock enters the game for F. Ntilikina"
"179","4:12.0","","","39-45","+1","L. Doncic makes free throw 1 of 1"
"180","3:49.0","C. Johnson misses 3-pt jump shot from 23 ft","","39-45","",""
"181","3:46.0","","","39-45","","Defensive rebound by R. Bullock"
"182","3:41.0","","","39-48","+3","R. Bullock makes 3-pt jump shot from 27 ft (assist by J. Brunson)"
"183","3:25.0","Turnover by C. Paul (lost ball; steal by D. Finney-Smith)","","39-48","",""
"184","3:25.0","","","39-48","","Personal take foul by C. Paul (drawn by D. Finney-Smith)"
"185","3:25.0","","","39-49","+1","D. Finney-Smith makes free throw 1 of 2"
"186","3:25.0","","","39-49","","D. Finney-Smith misses free throw 2 of 2"
"187","3:23.0","Defensive rebound by C. Paul","","39-49","",""
"188","3:08.0","M. Bridges makes 2-pt dunk from 1 ft (assist by C. Johnson)","+2","41-49","",""
"189","2:48.0","","","41-52","+3","L. Doncic makes 3-pt jump shot from 25 ft"
"190","2:34.0","D. Ayton makes 2-pt layup at rim (assist by C. Paul)","+2","43-52","",""
"191","2:20.0","","","43-52","","L. Doncic misses 3-pt jump shot from 25 ft"
"192","2:18.0","","","43-52","","Offensive rebound by M. Kleber"
"193","2:17.0","","","43-52","","R. Bullock misses 3-pt jump shot from 27 ft"
"194","2:14.0","Defensive rebound by D. Ayton","","43-52","",""
"195","2:04.0","Personal foul by M. Kleber (drawn by D. Booker)","","43-52","",""
